maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
5,5,4.469111,7.996277,8,8,6.228444,6.190299,0.000465,65,65,662.283746,503.287030,0.003523,0.004636,0.003523,-222.663647,1229.237707,-0.001559,0.008604
5,6,2.868898,7.999055,8,8,5.652595,5.645606,0.000118,66,66,665.152644,511.286085,0.003579,0.004656,0.003579,-214.664592,1237.236762,-0.001503,0.008660
5,7,2.244107,7.999944,8,8,4.624457,4.622297,0.000007,67,67,667.396751,519.286029,0.003635,0.004672,0.003635,-206.664648,1245.236706,-0.001447,0.008716
5,8,4.838879,7.999983,8,8,4.462562,4.460143,0.000002,68,68,672.235630,527.286012,0.003691,0.004705,0.003691,-198.664665,1253.236689,-0.001391,0.008772
5,9,0.877158,7.999989,8,8,3.991474,3.989622,0.000001,69,69,673.112789,535.286001,0.003747,0.004712,0.003747,-190.664676,1261.236678,-0.001335,0.008828
5,10,1.685380,7.999949,8,8,3.690217,3.689626,0.000006,70,70,674.798169,543.285949,0.003803,0.004723,0.003803,-182.664728,1269.236627,-0.001279,0.008884
5,11,2.035498,7.999806,8,8,3.619269,3.618645,0.000024,71,71,676.833667,551.285755,0.003859,0.004738,0.003859,-174.664922,1277.236432,-0.001223,0.008940
5,12,1.842617,7.999999,8,8,3.563416,3.563117,0.000000,72,72,678.676284,559.285754,0.003915,0.004751,0.003915,-166.664923,1285.236431,-0.001167,0.008996
5,13,0.780278,8.000000,8,8,3.387556,3.387569,0.000000,73,73,679.456562,567.285754,0.003971,0.004756,0.003971,-158.664923,1293.236431,-0.001111,0.009052
5,14,3.421560,7.999998,8,8,3.167502,3.167357,0.000000,74,74,682.878122,575.285753,0.004027,0.004780,0.004027,-150.664925,1301.236430,-0.001055,0.009108
5,15,2.114342,7.999996,8,8,3.102387,3.102460,0.000001,75,75,684.992464,583.285748,0.004083,0.004795,0.004083,-142.664929,1309.236425,-0.000999,0.009164
5,16,3.387297,8.000000,8,8,2.911647,2.911540,0.000000,76,76,688.379760,591.285748,0.004139,0.004818,0.004139,-134.664929,1317.236425,-0.000943,0.009220
6,1,4.433970,7.931462,8,8,56.315805,43.068782,0.008567,77,77,692.813730,599.217211,0.004194,0.004849,0.004194,-126.733466,1325.167888,-0.000887,0.009276
6,2,15.906832,7.999816,8,8,13.928422,13.650070,0.000023,78,78,708.720562,607.217027,0.004250,0.004961,0.004250,-118.733650,1333.167704,-0.000831,0.009332
6,3,5.181812,7.999003,8,8,13.230826,13.033330,0.000125,79,79,713.902375,615.216030,0.004306,0.004997,0.004306,-110.734647,1341.166707,-0.000775,0.009388
6,4,7.017443,7.999989,8,8,7.275203,7.256662,0.000001,80,80,720.919818,623.216019,0.004362,0.005046,0.004362,-102.734658,1349.166696,-0.000719,0.009444
6,5,10.916384,7.996717,8,8,6.246784,6.212578,0.000410,81,81,731.836201,631.212736,0.004418,0.005123,0.004418,-94.737941,1357.163413,-0.000663,0.009500
6,6,11.846605,7.999098,8,8,5.648442,5.639690,0.000113,82,82,743.682806,639.211834,0.004474,0.005206,0.004474,-86.738843,1365.162511,-0.000607,0.009556
6,7,10.529915,7.999944,8,8,4.636496,4.634512,0.000007,83,83,754.212721,647.211778,0.004530,0.005279,0.004530,-78.738899,1373.162455,-0.000551,0.009612
6,8,8.790991,7.999987,8,8,4.462163,4.459819,0.000002,84,84,763.003712,655.211766,0.004586,0.005341,0.004586,-70.738911,1381.162443,-0.000495,0.009668
6,9,8.112243,7.999991,8,8,4.004505,4.002890,0.000001,85,85,771.115955,663.211757,0.004642,0.005398,0.004642,-62.738920,1389.162434,-0.000439,0.009724
6,10,1.421275,7.999948,8,8,3.687891,3.687029,0.000006,86,86,772.537229,671.211705,0.004698,0.005408,0.004698,-54.738972,1397.162382,-0.000383,0.009780
6,11,3.037495,7.999830,8,8,3.625246,3.624678,0.000021,87,87,775.574724,679.211535,0.004754,0.005429,0.004754,-46.739142,1405.162212,-0.000327,0.009836
6,12,6.025626,7.999998,8,8,3.571961,3.571735,0.000000,88,88,781.600350,687.211533,0.004810,0.005471,0.004810,-38.739144,1413.162210,-0.000271,0.009892
6,13,6.341927,8.000000,8,8,3.387439,3.387346,0.000000,89,89,787.942277,695.211532,0.004866,0.005515,0.004866,-30.739145,1421.162209,-0.000215,0.009948
6,14,7.250342,7.999999,8,8,3.173445,3.173394,0.000000,90,90,795.192619,703.211531,0.004922,0.005566,0.004922,-22.739146,1429.162208,-0.000159,0.010004
6,15,8.047814,7.999996,8,8,3.105301,3.105335,0.000001,91,91,803.240433,711.211527,0.004978,0.005622,0.004978,-14.739150,1437.162204,-0.000103,0.010060
6,16,4.322079,8.000000,8,8,2.915568,2.915540,0.000000,92,92,807.562512,719.211527,0.005034,0.005653,0.005034,-6.739150,1445.162204,-0.000047,0.010116
