date,method,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
2024-07-03,adapted,0.058708924327547256,0.05234161788584127,0.058708924327547256,0.05715572390613866,0.06138495852432281
2024-07-03,adapted,0.060665608545587384,0.053884916988499856,0.060665608545587384,0.058943955748678195,0.06347946446110879
2024-07-03,adapted,0.0626222927636275,0.05500728256091572,0.0626222927636275,0.06070033389394709,0.06547512097714259
2024-07-03,adapted,0.06457897698166763,0.05597704012597191,0.06457897698166763,0.06286145943842844,0.06752333321582987
2024-07-03,adapted,0.06653566119970776,0.05747687569710255,0.06653566119970776,0.06474340698063133,0.06958490156040475
2024-07-03,adapted,0.0685007432040914,0.06093289462664524,0.0685007432040914,0.06638613736679433,0.07125647084689744
2024-07-03,adapted,0.07045742742213153,0.06216267517092104,0.07045742742213153,0.06827461475115365,0.0735231643183928
2024-07-03,adapted,0.07241411164017166,0.06327631530804469,0.07241411164017166,0.07051898060998023,0.07552390196210815
2024-07-03,adapted,0.07437079585821177,0.06414762827560816,0.07437079585821177,0.07230919548796653,0.07728496390533456
2024-07-03,adapted,0.0763274800762519,0.06537248227782853,0.0763274800762519,0.07427711244083199,0.07903613700469204
2024-07-03,adapted,0.07828416429429202,0.06724349842341755,0.07828416429429202,0.0761220719823419,0.0808768852847752
2024-07-03,adapted,0.08024084851233215,0.06857068951060283,0.08024084851233215,0.0778500607741206,0.08276880633081465
2024-07-03,adapted,0.08219753273037228,0.06975086675855054,0.08219753273037228,0.07992671432620078,0.08511044615874759
2024-07-03,adapted,0.0841542169484124,0.0707207503569417,0.0841542169484124,0.08196729109632951,0.08711836793024774
2024-07-03,adapted,0.08611090116645252,0.07246716049893698,0.08611090116645252,0.08388793784419857,0.08905698401900379
2024-07-03,adapted,0.08806758538449265,0.07754479405759755,0.08806758538449265,0.08551253155723752,0.09104673322144531
2024-07-03,adapted,0.09002426960253278,0.07932177943685437,0.09002426960253278,0.08722609124197571,0.09301829173304968
2024-07-03,adapted,0.09198095382057289,0.08037232853956396,0.09198095382057289,0.08892164757946351,0.09474825960846722
2024-07-03,adapted,0.09393763803861302,0.08174446563899047,0.09393763803861302,0.0911339851334164,0.09670240914866066
2024-07-03,adapted,0.09589432225665315,0.08347171268123485,0.09589432225665315,0.09321084307644548,0.09881466229529086
