day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,gc_beta,loss,time,rmsre
2022-07-15,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.5464,0.4343,0.6315,2.7397,0.0154,-0.1796,1.7054,1.0,1.1988,32.9863,0.0
2022-07-16,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.2073,0.2834,0.3752,1.4119,0.0129,-0.1141,1.8721,1.0,1.2496,34.2397,0.0
2022-07-17,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.9318,0.2793,0.306,1.0165,0.0251,-0.0891,1.6984,1.0,1.2367,35.1015,0.0
2022-07-18,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.5322,0.5087,0.597,2.2678,-0.016,-0.0556,0.7544,1.0,1.0255,24.1774,0.0
2022-07-19,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.1705,0.1842,0.2395,0.9828,0.0078,-0.1937,2.2193,1.0,1.3276,48.1954,0.0
2022-07-20,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.5266,0.1362,0.227,0.9199,0.0083,-0.0883,2.0778,1.0,1.3889,54.8743,0.0
2022-07-21,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.0669,0.2733,0.4424,2.0409,0.0213,-0.0616,2.746,1.0,1.3801,49.3543,0.0
2022-07-22,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.4654,0.2046,0.2615,1.4444,0.0232,-0.0433,2.4412,1.0,1.3073,54.1209,0.0
2022-07-23,Cauchy_bb10_mm100_A20B20C20,18126,1.0,5.5942,0.2005,0.2187,1.3743,0.0097,-0.0468,1.9787,1.0,1.2304,54.3327,0.0
2022-07-24,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.8523,0.5385,0.6256,6.3659,0.0016,-0.0092,2.7193,1.0,1.2137,64.11,0.0
2022-07-25,Cauchy_bb10_mm100_A20B20C20,18126,1.0,5.7225,0.2078,0.2284,1.2849,-0.0005,-0.0626,2.2658,1.0,1.2682,52.0763,0.0
2022-07-26,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.7566,0.2501,0.3238,1.4494,0.0521,-0.1847,1.7238,1.0,1.3322,35.4525,0.0
2022-07-27,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.9454,0.2653,0.3673,1.7983,0.0614,-0.1866,1.9022,1.0,1.3358,38.0944,0.0
2022-07-28,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.4632,0.1378,0.1359,0.6505,0.046,-0.2145,1.5516,1.0,1.3398,41.6769,0.0
2023-07-1,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.116,0.1906,0.2811,1.896,0.0059,-0.0541,2.5934,1.0,1.4253,63.9607,0.0
2023-07-2,Cauchy_bb10_mm100_A20B20C20,18126,1.0,12.1787,0.152,0.1959,1.4266,0.0049,-0.0688,1.9809,1.0,1.484,58.331,0.0
2023-07-3,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.6797,0.2361,0.3275,1.9955,0.0028,-0.049,3.2659,1.0,1.4485,61.8173,0.0
2023-07-4,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.5005,0.1843,0.2055,0.9774,0.0246,-0.2339,0.6215,1.0,1.275,38.4957,0.0
2023-07-5,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.6729,0.2432,0.3443,1.3959,-0.0065,-0.2833,1.5178,1.0,1.3813,41.1567,0.0
2023-07-6,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.767,0.217,0.295,1.0738,-0.0187,-0.2161,1.265,1.0,1.4155,38.2557,0.0
2023-07-7,Cauchy_bb10_mm100_A20B20C20,18126,1.0,16.9015,0.2415,0.3871,1.5201,0.0034,-0.1901,0.9418,1.0,1.3788,37.2552,0.0
2023-07-8,Cauchy_bb10_mm100_A20B20C20,18126,1.0,11.59,0.2168,0.2715,1.2434,-0.0112,-0.0575,2.0059,1.0,1.4123,43.8796,0.0
2023-07-9,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.8936,0.1941,0.2738,1.1214,0.0317,-0.1365,0.2931,1.0,1.3358,34.4987,0.0
2023-07-10,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.7749,0.3443,0.4506,1.7717,0.0533,-0.1965,1.1732,1.0,1.2871,32.3082,0.0
2023-07-11,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.9219,0.2111,0.285,0.9734,-0.0168,-0.1771,0.4026,1.0,1.1953,29.1047,0.0
2023-07-12,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.9319,0.2841,0.3678,1.042,-0.0027,-0.1497,1.0081,1.0,1.2998,29.1646,0.0
2023-07-13,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.6819,0.2755,0.2818,1.3257,0.0354,-0.1561,1.3059,1.0,1.3907,33.0245,0.0
2023-07-14,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.3579,0.3181,0.3517,1.5696,0.0424,-0.1603,0.7884,1.0,1.2702,31.5045,0.0
2023-07-15,Cauchy_bb10_mm100_A20B20C20,18126,1.0,11.1058,0.2215,0.2725,1.1418,-0.024,-0.0827,0.2818,1.0,1.1793,34.1658,0.0
2023-07-16,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.8309,0.1891,0.2533,0.9344,-0.0534,-0.0255,0.9247,1.0,1.2947,42.7041,0.0
2023-07-17,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.8387,0.2539,0.2776,1.3293,-0.0031,-0.0325,0.8316,1.0,1.2251,36.288,0.0
2023-07-18,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.0682,0.2335,0.2918,0.6338,-0.2874,0.0988,1.0751,1.0,1.2156,44.1567,0.0
2023-07-19,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.5297,0.1362,0.1721,1.0563,0.0102,0.0066,1.6578,1.0,1.3227,54.7512,0.0
2023-07-20,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.2065,0.2045,0.3136,2.3303,0.0127,0.0053,1.9208,1.0,1.207,59.7223,0.0
2023-07-21,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.8055,0.342,0.4084,3.7262,0.0116,-0.0009,2.1856,1.0,1.2001,60.7661,0.0
2023-07-22,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.1686,0.1625,0.168,1.721,0.0044,-0.0085,1.2728,1.0,1.1805,61.327,0.0
2023-07-23,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.1312,0.2944,0.3462,1.6118,-0.0082,-0.0129,1.2911,1.0,1.1919,37.565,0.0
2023-07-24,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.0673,0.2096,0.2037,1.7845,0.0083,-0.0054,1.3704,1.0,1.2418,58.5837,0.0
2023-07-25,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.2719,0.1692,0.1943,1.7803,0.0067,0.0053,1.4887,1.0,1.2041,61.5869,0.0
2023-07-26,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.0486,0.1718,0.1906,2.0968,-0.0017,0.0011,1.5237,1.0,1.1904,65.2912,0.0
2023-07-27,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.1018,0.316,0.4222,4.4878,-0.0043,-0.0075,2.1573,1.0,1.1991,61.1462,0.0
2023-07-28,Cauchy_bb10_mm100_A20B20C20,18126,1.0,5.732,0.2806,0.3522,2.9396,-0.0047,-0.0053,1.4895,1.0,1.0827,58.1514,0.0
2024-07-1,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.9089,0.2259,0.273,1.3124,-0.0118,-0.1848,0.7667,1.0,1.3408,37.0076,0.0
2024-07-2,Cauchy_bb10_mm100_A20B20C20,18126,1.0,16.1278,0.1669,0.2259,1.3338,-0.02,-0.2071,1.4295,1.0,1.5233,46.0727,0.0
2024-07-3,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.643,0.1797,0.2299,1.3876,-0.0584,-0.2484,1.4469,1.0,1.4781,52.1346,0.0
2024-07-4,Cauchy_bb10_mm100_A20B20C20,18126,1.0,15.3173,0.1796,0.2707,1.7989,0.0155,-0.1466,1.0153,1.0,1.4267,44.4185,0.0
2024-07-5,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.8948,0.1801,0.2528,1.4293,0.048,-0.1766,1.1901,1.0,1.4461,43.7408,0.0
2024-07-6,Cauchy_bb10_mm100_A20B20C20,18126,1.0,15.618,0.2579,0.3689,1.7948,0.0286,-0.224,2.066,1.0,1.4596,37.2656,0.0
2024-07-7,Cauchy_bb10_mm100_A20B20C20,18126,1.0,17.904,0.2205,0.3537,1.5768,0.0111,-0.3159,1.0787,1.0,1.4395,39.8161,0.0
2024-07-8,Cauchy_bb10_mm100_A20B20C20,18126,1.0,16.4442,0.1716,0.1995,0.9126,-0.0062,-0.2823,0.4603,1.0,1.4673,33.9198,0.0
2024-07-9,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.9915,0.1947,0.2307,0.9991,0.0232,-0.2027,0.6032,1.0,1.2274,33.2828,0.0
2024-07-10,Cauchy_bb10_mm100_A20B20C20,18126,1.0,5.9559,0.1073,0.1504,0.6871,-0.0041,-0.0708,0.4279,1.0,1.1145,33.2651,0.0
2024-07-11,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.8136,0.2379,0.2946,1.1938,0.0032,-0.07,0.8077,1.0,1.1118,30.3569,0.0
2024-07-12,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.0764,0.1704,0.2177,1.027,-0.0051,-0.0016,0.7417,1.0,1.2701,40.6461,0.0
2024-07-13,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.8375,0.208,0.2497,0.9112,-0.0199,-0.0158,0.4291,1.0,1.1717,32.6152,0.0
2024-07-14,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.4743,0.2523,0.3036,1.3555,-0.0043,-0.0596,1.1802,1.0,1.1849,38.6388,0.0
2024-07-15,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.7429,0.1922,0.2354,1.2016,-0.0072,-0.0073,1.2421,1.0,1.3299,48.2393,0.0
2024-07-16,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.0325,0.2546,0.3446,1.515,-0.0214,0.0136,1.1502,1.0,1.3068,42.8103,0.0
2024-07-17,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.0204,0.2025,0.2693,1.7905,0.0087,0.0046,1.7207,1.0,1.2674,56.4393,0.0
2024-07-18,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.1487,0.2289,0.2857,1.423,0.0187,-0.0256,1.2684,1.0,1.272,43.8787,0.0
2024-07-19,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.0579,0.1484,0.2014,0.8156,-0.0061,-0.0577,1.0874,1.0,1.2607,48.0469,0.0
2024-07-20,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.9376,0.1835,0.2519,0.8555,0.0208,-0.0928,1.3114,1.0,1.2813,39.8077,0.0
2024-07-21,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.7644,0.1586,0.2168,0.768,0.0168,-0.1433,0.9798,1.0,1.22,45.1457,0.0
2024-07-22,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.4903,0.1709,0.2392,0.8518,0.015,-0.0697,1.2175,1.0,1.3382,42.7997,0.0
2024-07-23,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.1289,0.1727,0.2291,1.2141,-0.0062,-0.0592,1.2826,1.0,1.3303,49.3332,0.0
2024-07-24,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.7024,0.1582,0.2645,0.945,-0.0516,-0.0362,0.7546,1.0,1.2046,37.6982,0.0
2024-07-25,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.074,0.1955,0.3607,1.1628,-0.0257,-0.0985,1.0018,1.0,1.322,37.7483,0.0
2024-07-26,Cauchy_bb10_mm100_A20B20C20,18126,1.0,11.0768,0.1028,0.1478,0.6963,0.0193,-0.0924,0.7583,1.0,1.4225,47.5837,0.0
2024-07-27,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.8888,0.1074,0.1718,0.8894,0.0081,-0.0287,0.8032,1.0,1.3516,51.7483,0.0
2024-07-28,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.0496,0.1703,0.2805,1.5908,0.0098,-0.0167,1.617,1.0,1.2303,49.3367,0.0
2025-07-1,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.8149,0.1702,0.2333,0.8073,0.0109,-0.1167,1.8184,1.0,1.5017,45.9408,0.0
2025-07-2,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.4734,0.2042,0.3474,0.9212,0.0052,-0.2074,1.4341,1.0,1.245,27.2606,0.0
2025-07-3,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.2964,0.1571,0.2385,0.8524,-0.0255,-0.1588,2.1955,1.0,1.521,51.4251,0.0
2025-07-4,Cauchy_bb10_mm100_A20B20C20,18126,1.0,11.6312,0.1267,0.1671,0.9906,-0.0051,-0.0189,2.2645,1.0,1.5303,58.4106,0.0
2025-07-5,Cauchy_bb10_mm100_A20B20C20,18126,1.0,22.3811,0.1714,0.2314,1.0781,0.0003,-0.4143,1.5299,1.0,1.6597,49.8205,0.0
2025-07-6,Cauchy_bb10_mm100_A20B20C20,18126,1.0,20.3635,0.2029,0.3284,1.1215,0.0564,-0.2449,2.17,1.0,1.6008,48.2878,0.0
2025-07-7,Cauchy_bb10_mm100_A20B20C20,18126,1.0,15.4179,0.2182,0.3868,1.3036,0.0171,-0.211,1.1351,1.0,1.3848,37.3427,0.0
2025-07-8,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.5619,0.1548,0.2521,0.9087,-0.0364,-0.1432,2.2905,1.0,1.5529,55.579,0.0
2025-07-9,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.9377,0.2175,0.3433,1.1734,0.0,-0.0223,1.3894,1.0,1.3056,36.8994,0.0
2025-07-10,Cauchy_bb10_mm100_A20B20C20,18126,1.0,17.9426,0.2924,0.4119,1.4049,-0.0436,-0.0243,2.1795,1.0,1.4902,43.7297,0.0
2025-07-11,Cauchy_bb10_mm100_A20B20C20,18126,1.0,19.0928,0.4095,0.5168,1.794,-0.0091,-0.0537,1.4351,1.0,1.3666,39.8812,0.0
2025-07-12,Cauchy_bb10_mm100_A20B20C20,18126,1.0,17.8147,0.2482,0.4154,1.3269,0.0262,-0.2063,2.2292,1.0,1.5104,43.7606,0.0
2025-07-13,Cauchy_bb10_mm100_A20B20C20,18126,1.0,20.9519,0.2236,0.4524,1.2265,0.0423,-0.193,2.2697,1.0,1.5662,48.1999,0.0
2025-07-14,Cauchy_bb10_mm100_A20B20C20,18126,1.0,20.5124,0.2537,0.499,1.3269,0.0393,-0.1629,1.7347,1.0,1.4944,40.4007,0.0
2025-07-15,Cauchy_bb10_mm100_A20B20C20,18126,1.0,16.9167,0.2724,0.3309,1.1889,0.0416,-0.0973,1.0073,1.0,1.3927,33.1224,0.0
2025-07-16,Cauchy_bb10_mm100_A20B20C20,18126,1.0,19.1202,0.1897,0.2318,1.0244,0.0092,-0.0466,1.1148,1.0,1.5511,40.3181,0.0
2025-07-17,Cauchy_bb10_mm100_A20B20C20,18126,1.0,16.3923,0.2219,0.238,1.3473,-0.0059,-0.0668,2.0979,1.0,1.539,52.1132,0.0
2025-07-18,Cauchy_bb10_mm100_A20B20C20,18126,1.0,13.1375,0.2356,0.3138,1.3233,-0.0077,-0.0409,1.7544,1.0,1.4016,40.8694,0.0
2025-07-19,Cauchy_bb10_mm100_A20B20C20,18126,1.0,15.0808,0.1896,0.2732,1.2375,-0.0166,-0.0473,2.1717,1.0,1.5207,56.7145,0.0
2025-07-20,Cauchy_bb10_mm100_A20B20C20,18126,1.0,12.8117,0.1693,0.2614,1.1995,-0.025,-0.0593,2.9556,1.0,1.5454,54.5877,0.0
2025-07-21,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.5205,0.0624,0.0932,1.2495,-0.0043,0.0033,1.9814,1.0,1.4412,77.1765,0.0
2025-07-22,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.9476,0.1225,0.1684,1.8784,-0.0002,-0.0011,2.3566,1.0,1.3624,84.5535,0.0
2025-07-23,Cauchy_bb10_mm100_A20B20C20,18126,1.0,6.814,0.1018,0.1395,1.9214,-0.0032,-0.0011,1.9651,1.0,1.334,74.2167,0.0
2025-07-24,Cauchy_bb10_mm100_A20B20C20,18126,1.0,5.7287,0.0776,0.1147,1.2071,-0.0013,0.0005,1.1567,1.0,1.2388,72.8769,0.0
2025-07-25,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.1406,0.1374,0.1886,2.2083,-0.0003,-0.0032,1.9407,1.0,1.3408,80.224,0.0
2025-07-26,Cauchy_bb10_mm100_A20B20C20,18126,1.0,14.4844,0.1673,0.2857,0.8199,0.0248,-0.101,1.4417,1.0,1.4625,42.681,0.0
2025-07-27,Cauchy_bb10_mm100_A20B20C20,18126,1.0,17.9642,0.1665,0.232,0.7015,-0.0438,-0.2061,0.8834,1.0,1.5286,39.1991,0.0
2025-07-28,Cauchy_bb10_mm100_A20B20C20,18126,1.0,20.8902,0.1725,0.2324,1.0596,-0.0335,-0.2859,1.518,1.0,1.6278,50.4074,0.0
