year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2024,7,9,lon,Vecchia_mm20,0.5300,0.4946,-0.1601,hour_dummy_plus_lat_lon_ols,False,9.4306,0.2876,0.3430,1.5224,1.1868
2024,7,10,lat,Corridor_4x4_lag643,0.4043,0.3479,-0.3333,hour_dummy_plus_lat_lon_ols,False,5.4732,0.1510,0.1864,0.9710,0.6728
2024,7,10,lat,Debiased_Whittle,0.8878,0.8068,0.8068,hour_dummy_plus_lat_lon_ols,False,4.4278,0.1282,0.1581,0.9887,0.3692
2024,7,10,lat,Vecchia_mm20,0.6735,0.6221,-0.6221,hour_dummy_plus_lat_lon_ols,False,5.3962,0.2101,0.3046,1.4134,1.2266
2024,7,10,lon,Corridor_4x4_lag643,0.6686,0.5332,-0.4959,hour_dummy_plus_lat_lon_ols,False,5.4732,0.1510,0.1864,0.9710,0.6728
2024,7,10,lon,Debiased_Whittle,0.8214,0.6263,0.6069,hour_dummy_plus_lat_lon_ols,False,4.4278,0.1282,0.1581,0.9887,0.3692
2024,7,10,lon,Vecchia_mm20,0.7090,0.6018,-0.6018,hour_dummy_plus_lat_lon_ols,False,5.3962,0.2101,0.3046,1.4134,1.2266
2024,7,11,lat,Corridor_4x4_lag643,0.4304,0.2919,-0.2157,hour_dummy_plus_lat_lon_ols,False,7.2459,0.2278,0.2514,1.2726,0.6725
2024,7,11,lat,Debiased_Whittle,1.3769,1.1655,1.0061,hour_dummy_plus_lat_lon_ols,False,5.6195,0.1425,0.1285,0.8880,0.4932
2024,7,11,lat,Vecchia_mm20,1.3920,1.2020,-1.1945,hour_dummy_plus_lat_lon_ols,False,8.7132,0.4236,0.5315,2.2181,1.2602
2024,7,11,lon,Corridor_4x4_lag643,1.4630,1.3224,-1.3224,hour_dummy_plus_lat_lon_ols,False,7.2459,0.2278,0.2514,1.2726,0.6725
2024,7,11,lon,Debiased_Whittle,0.7070,0.6149,-0.2984,hour_dummy_plus_lat_lon_ols,False,5.6195,0.1425,0.1285,0.8880,0.4932
2024,7,11,lon,Vecchia_mm20,2.2225,1.8780,-1.8736,hour_dummy_plus_lat_lon_ols,False,8.7132,0.4236,0.5315,2.2181,1.2602
2024,7,12,lat,Corridor_4x4_lag643,0.7491,0.6674,0.2321,hour_dummy_plus_lat_lon_ols,False,8.8398,0.1699,0.2097,1.1815,0.7322
2024,7,12,lat,Debiased_Whittle,2.9840,2.5994,2.5994,hour_dummy_plus_lat_lon_ols,False,6.0689,0.1163,0.1387,0.7964,0.5087
2024,7,12,lat,Vecchia_mm20,0.8434,0.7391,-0.7391,hour_dummy_plus_lat_lon_ols,False,9.7808,0.2764,0.3604,1.7133,1.4812
2024,7,12,lon,Corridor_4x4_lag643,0.8298,0.6673,-0.5818,hour_dummy_plus_lat_lon_ols,False,8.8398,0.1699,0.2097,1.1815,0.7322
2024,7,12,lon,Debiased_Whittle,2.0262,1.6484,1.6484,hour_dummy_plus_lat_lon_ols,False,6.0689,0.1163,0.1387,0.7964,0.5087
2024,7,12,lon,Vecchia_mm20,1.4618,1.2821,-1.2821,hour_dummy_plus_lat_lon_ols,False,9.7808,0.2764,0.3604,1.7133,1.4812
2024,7,13,lat,Corridor_4x4_lag643,0.7025,0.5886,-0.2201,hour_dummy_plus_lat_lon_ols,False,9.1923,0.2178,0.2392,1.0964,0.5430
2024,7,13,lat,Debiased_Whittle,3.3957,3.0046,3.0046,hour_dummy_plus_lat_lon_ols,False,5.0231,0.1556,0.1832,0.9448,0.5802
2024,7,13,lat,Vecchia_mm20,0.7383,0.6082,-0.5421,hour_dummy_plus_lat_lon_ols,False,9.6708,0.3121,0.3724,1.4618,0.9396
2024,7,13,lon,Corridor_4x4_lag643,1.3251,1.1911,-1.1911,hour_dummy_plus_lat_lon_ols,False,9.1923,0.2178,0.2392,1.0964,0.5430
2024,7,13,lon,Debiased_Whittle,2.2030,1.9899,1.9899,hour_dummy_plus_lat_lon_ols,False,5.0231,0.1556,0.1832,0.9448,0.5802
2024,7,13,lon,Vecchia_mm20,1.5268,1.3298,-1.2719,hour_dummy_plus_lat_lon_ols,False,9.6708,0.3121,0.3724,1.4618,0.9396
2024,7,14,lat,Corridor_4x4_lag643,0.9408,0.7511,0.0911,hour_dummy_plus_lat_lon_ols,False,7.7097,0.2258,0.2762,1.3866,1.1140
2024,7,14,lat,Debiased_Whittle,1.9654,1.6191,1.6191,hour_dummy_plus_lat_lon_ols,False,6.3442,0.2262,0.2492,1.2007,0.7122
2024,7,14,lat,Vecchia_mm20,0.7787,0.6415,-0.5382,hour_dummy_plus_lat_lon_ols,False,8.7568,0.3925,0.4720,2.1820,1.5921
2024,7,14,lon,Corridor_4x4_lag643,1.2952,1.1361,-1.1361,hour_dummy_plus_lat_lon_ols,False,7.7097,0.2258,0.2762,1.3866,1.1140
2024,7,14,lon,Debiased_Whittle,0.5633,0.4655,0.2498,hour_dummy_plus_lat_lon_ols,False,6.3442,0.2262,0.2492,1.2007,0.7122
2024,7,14,lon,Vecchia_mm20,1.8327,1.5747,-1.5747,hour_dummy_plus_lat_lon_ols,False,8.7568,0.3925,0.4720,2.1820,1.5921
2024,7,15,lat,Corridor_4x4_lag643,1.3522,1.0745,0.5806,hour_dummy_plus_lat_lon_ols,False,8.5823,0.1778,0.2193,1.2521,1.1607
2024,7,15,lat,Debiased_Whittle,3.6207,3.1870,3.1870,hour_dummy_plus_lat_lon_ols,False,5.7560,0.1628,0.1749,1.1220,0.9061
