true_smooth,fit_smooth,n,fit_type,n_reps,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,nugget_mean,nugget_sd,success_rate,fit_s_mean
0.3000,0.5000,400,full_nugget0,1,2.1186,7.3422,,0.0063,,0.0000,,1.0000,0.1479
0.3000,0.5000,400,full_nugget_free,1,2.0540,5.5007,,0.0692,,2.4651,,1.0000,0.2537
0.3000,0.5000,400,nugget_only,1,2.0593,12.0000,,0.3000,,2.7048,,1.0000,0.0593
0.3000,0.5000,400,range_only_nugget0,1,2.1331,12.0000,,0.0105,,0.0000,,1.0000,0.0464
0.3000,0.5000,400,range_only_nugget_free,1,2.0621,12.0000,,0.1035,,2.0000,,1.0000,0.0266
0.3000,0.5000,400,sigma_only_nugget0,1,2.2070,288.8868,,0.3000,,0.0000,,1.0000,0.0414
0.3000,0.5000,400,sigma_only_nugget_free,1,2.0667,27.3257,,0.3000,,2.0000,,1.0000,0.0209
0.3000,0.5000,800,full_nugget0,1,2.1814,15.6511,,0.0072,,0.0000,,1.0000,0.3327
0.3000,0.5000,800,full_nugget_free,1,2.0163,12.2434,,0.1189,,2.4023,,1.0000,0.5201
0.3000,0.5000,800,nugget_only,1,2.0255,12.0000,,0.3000,,2.6775,,1.0000,0.4571
0.3000,0.5000,800,range_only_nugget0,1,2.1854,12.0000,,0.0056,,0.0000,,1.0000,0.1279
0.3000,0.5000,800,range_only_nugget_free,1,2.0212,12.0000,,0.0850,,2.0000,,1.0000,0.1486
0.3000,0.5000,800,sigma_only_nugget0,1,2.3738,300.0000,,0.3000,,0.0000,,1.0000,0.0412
0.3000,0.5000,800,sigma_only_nugget_free,1,2.0232,38.6908,,0.3000,,2.0000,,1.0000,0.1180
0.3000,0.5000,1600,full_nugget0,1,2.1587,25.3787,,0.0066,,0.0000,,1.0000,1.5940
0.3000,0.5000,1600,full_nugget_free,1,1.9434,20.0713,,0.1852,,2.2363,,1.0000,2.2852
0.3000,0.5000,1600,nugget_only,1,1.9549,12.0000,,0.3000,,2.4155,,1.0000,0.4906
0.3000,0.5000,1600,range_only_nugget0,1,2.1872,12.0000,,0.0033,,0.0000,,1.0000,0.6381
0.3000,0.5000,1600,range_only_nugget_free,1,1.9463,12.0000,,0.0977,,2.0000,,1.0000,0.8755
0.3000,0.5000,1600,sigma_only_nugget0,1,2.8674,300.0000,,0.3000,,0.0000,,1.0000,0.1411
0.3000,0.5000,1600,sigma_only_nugget_free,1,1.9459,36.8519,,0.3000,,2.0000,,1.0000,0.7878
0.3000,1.5000,200,full_nugget0,1,2.3244,11.4082,,0.0072,,0.0000,,1.0000,0.2468
0.3000,1.5000,200,full_nugget_free,1,2.1540,9.0522,,0.0811,,3.2133,,1.0000,0.3262
0.3000,1.5000,200,nugget_only,1,2.1895,12.0000,,0.3000,,3.9225,,1.0000,0.0830
0.3000,1.5000,200,range_only_nugget0,1,2.3248,12.0000,,0.0073,,0.0000,,1.0000,0.1338
0.3000,1.5000,200,range_only_nugget_free,1,2.1974,12.0000,,0.0472,,2.0000,,1.0000,0.0743
0.3000,1.5000,200,sigma_only_nugget0,1,573.7374,300.0000,,0.3000,,0.0000,,1.0000,0.0247
0.3000,1.5000,200,sigma_only_nugget_free,1,2.2508,218.3894,,0.3000,,2.0000,,1.0000,0.0834
0.3000,1.5000,400,full_nugget0,1,2.1772,7.0280,,0.0030,,0.0000,,1.0000,0.5679
0.3000,1.5000,400,full_nugget_free,1,2.0643,4.4211,,0.0364,,2.8306,,1.0000,0.8375
0.3000,1.5000,400,nugget_only,1,2.1101,12.0000,,0.3000,,3.5291,,1.0000,0.2532
0.3000,1.5000,400,range_only_nugget0,1,2.2150,12.0000,,0.0037,,0.0000,,1.0000,0.2362
0.3000,1.5000,400,range_only_nugget_free,1,2.0994,12.0000,,0.0433,,2.0000,,1.0000,0.1460
0.3000,1.5000,400,sigma_only_nugget0,1,4147.7475,300.0000,,0.3000,,0.0000,,1.0000,0.0357
0.3000,1.5000,400,sigma_only_nugget_free,1,2.1482,300.0000,,0.3000,,2.0000,,1.0000,0.0561
0.3000,1.5000,800,full_nugget0,1,2.4279,30.3439,,0.0030,,0.0000,,1.0000,1.5768
0.3000,1.5000,800,full_nugget_free,1,2.0373,9.7479,,0.0329,,2.7064,,1.0000,2.6173
0.3000,1.5000,800,nugget_only,1,2.1097,12.0000,,0.3000,,3.5539,,1.0000,0.5890
0.3000,1.5000,800,range_only_nugget0,1,2.7284,12.0000,,0.0030,,0.0000,,1.0000,0.2367
0.3000,1.5000,800,range_only_nugget_free,1,2.0544,12.0000,,0.0235,,2.0000,,1.0000,1.0782
0.3000,1.5000,800,sigma_only_nugget0,1,38550.1041,300.0000,,0.3000,,0.0000,,1.0000,0.0939
0.3000,1.5000,800,sigma_only_nugget_free,1,2.1136,300.0000,,0.3000,,2.0000,,1.0000,0.1199
0.3000,1.5000,1600,full_nugget0,1,2.6133,185.8970,,0.0030,,0.0000,,1.0000,5.4858
0.3000,1.5000,1600,full_nugget_free,1,1.9581,16.2367,,0.0353,,2.4563,,1.0000,11.9070
0.3000,1.5000,1600,nugget_only,1,2.0786,12.0000,,0.3000,,3.3461,,1.0000,3.9164
0.3000,1.5000,1600,range_only_nugget0,1,8.4888,12.0000,,0.0030,,0.0000,,1.0000,0.4236
0.3000,1.5000,1600,range_only_nugget_free,1,1.9682,12.0000,,0.0274,,2.0000,,1.0000,2.7306
0.3000,1.5000,1600,sigma_only_nugget0,1,276537.3610,300.0000,,0.3000,,0.0000,,1.0000,0.4362
0.3000,1.5000,1600,sigma_only_nugget_free,1,2.0226,300.0000,,0.3000,,2.0000,,1.0000,0.4673
0.5000,0.3000,200,full_nugget0,1,1.9614,4.4566,,0.0138,,0.0000,,1.0000,0.7116
0.5000,0.3000,200,full_nugget_free,1,1.9359,2.8770,,0.0447,,1.3778,,1.0000,0.9191
0.5000,0.3000,200,nugget_only,1,1.9554,12.0000,,0.3000,,1.1528,,1.0000,0.1381
0.5000,0.3000,200,range_only_nugget0,1,1.9921,12.0000,,0.0794,,0.0000,,1.0000,0.2125
0.5000,0.3000,200,range_only_nugget_free,1,1.9563,12.0000,,1.0000,,2.0000,,1.0000,0.0581
0.5000,0.3000,200,sigma_only_nugget0,1,2.0051,25.1160,,0.3000,,0.0000,,1.0000,0.1417
0.5000,0.3000,200,sigma_only_nugget_free,1,1.9512,5.2213,,0.3000,,2.0000,,1.0000,0.1424
0.5000,0.3000,400,full_nugget0,1,1.9574,5.9947,,0.0134,,0.0000,,1.0000,1.6613
0.5000,0.3000,400,full_nugget_free,1,1.8719,4.6344,,0.2823,,1.7081,,1.0000,2.7963
0.5000,0.3000,400,nugget_only,1,1.8904,12.0000,,0.3000,,1.3414,,1.0000,0.3925
0.5000,0.3000,400,range_only_nugget0,1,1.9677,12.0000,,0.0444,,0.0000,,1.0000,0.6574
0.5000,0.3000,400,range_only_nugget_free,1,1.8796,12.0000,,1.0000,,2.0000,,1.0000,0.0619
0.5000,0.3000,400,sigma_only_nugget0,1,1.9789,36.1426,,0.3000,,0.0000,,1.0000,0.5328
0.5000,0.3000,400,sigma_only_nugget_free,1,1.8753,4.1004,,0.3000,,2.0000,,1.0000,0.4744
0.5000,0.3000,800,full_nugget0,1,1.9763,24.4555,,0.0777,,0.0000,,1.0000,9.9395
0.5000,0.3000,800,full_nugget_free,1,1.8740,12.5421,,1.0000,,1.7918,,1.0000,8.4854
0.5000,0.3000,800,nugget_only,1,1.8824,12.0000,,0.3000,,1.5611,,1.0000,1.5003
0.5000,0.3000,800,range_only_nugget0,1,1.9838,12.0000,,0.0248,,0.0000,,1.0000,2.4725
0.5000,0.3000,800,range_only_nugget_free,1,1.8759,12.0000,,1.0000,,2.0000,,1.0000,0.2434
0.5000,0.3000,800,sigma_only_nugget0,1,1.9776,54.6931,,0.3000,,0.0000,,1.0000,1.8454
0.5000,0.3000,800,sigma_only_nugget_free,1,1.8774,5.7699,,0.3000,,2.0000,,1.0000,1.5278
0.5000,0.3000,1600,full_nugget0,1,1.9772,7.9882,,0.0054,,0.0000,,1.0000,38.3565
0.5000,0.3000,1600,full_nugget_free,1,1.8366,5.9779,,0.6387,,1.9236,,1.0000,23.6004
0.5000,0.3000,1600,nugget_only,1,1.8523,12.0000,,0.3000,,1.7017,,1.0000,6.4006
0.5000,0.3000,1600,range_only_nugget0,1,1.9802,12.0000,,0.0108,,0.0000,,1.0000,7.5740
0.5000,0.3000,1600,range_only_nugget_free,1,1.8399,12.0000,,1.0000,,2.0000,,1.0000,0.8569
0.5000,0.3000,1600,sigma_only_nugget0,1,1.9906,85.1401,,0.3000,,0.0000,,1.0000,6.3067
0.5000,0.3000,1600,sigma_only_nugget_free,1,1.8371,3.7252,,0.3000,,2.0000,,1.0000,6.3045
0.5000,0.5000,200,full_nugget0,1,1.9865,4.3139,,0.0079,,0.0000,,1.0000,0.0528
0.5000,0.5000,200,full_nugget_free,1,1.9350,2.5604,,0.0407,,1.7211,,1.0000,0.0704
0.5000,0.5000,200,nugget_only,1,1.9540,12.0000,,0.3000,,1.8677,,1.0000,0.0197
0.5000,0.5000,200,range_only_nugget0,1,2.0469,12.0000,,0.0249,,0.0000,,1.0000,0.0313
0.5000,0.5000,200,range_only_nugget_free,1,1.9547,12.0000,,0.2927,,2.0000,,1.0000,0.0123
0.5000,0.5000,200,sigma_only_nugget0,1,2.1191,121.0372,,0.3000,,0.0000,,1.0000,0.0161
0.5000,0.5000,200,sigma_only_nugget_free,1,1.9541,10.2261,,0.3000,,2.0000,,1.0000,0.0070
0.5000,0.5000,400,full_nugget0,1,2.0092,5.4499,,0.0055,,0.0000,,1.0000,0.0763
0.5000,0.5000,400,full_nugget_free,1,1.8704,4.1506,,0.1356,,1.8827,,1.0000,0.1234
0.5000,0.5000,400,nugget_only,1,1.8742,12.0000,,0.3000,,1.8399,,1.0000,0.0328
0.5000,0.5000,400,range_only_nugget0,1,2.0414,12.0000,,0.0130,,0.0000,,1.0000,0.0309
0.5000,0.5000,400,range_only_nugget_free,1,1.8730,12.0000,,0.4558,,2.0000,,1.0000,0.0232
0.5000,0.5000,400,sigma_only_nugget0,1,2.1091,237.5142,,0.3000,,0.0000,,1.0000,0.0409
0.5000,0.5000,400,sigma_only_nugget_free,1,1.8720,7.6142,,0.3000,,2.0000,,1.0000,0.0246
0.5000,0.5000,800,full_nugget0,1,2.0769,20.4407,,0.0125,,0.0000,,1.0000,0.3581
0.5000,0.5000,800,full_nugget_free,1,1.8733,14.4788,,0.3570,,1.9795,,1.0000,0.6097
0.5000,0.5000,800,nugget_only,1,1.8734,12.0000,,0.3000,,1.9813,,1.0000,0.1290
0.5000,0.5000,800,range_only_nugget0,1,2.0892,12.0000,,0.0075,,0.0000,,1.0000,0.1206
0.5000,0.5000,800,range_only_nugget_free,1,1.8734,12.0000,,0.3011,,2.0000,,1.0000,0.0891
0.5000,0.5000,800,sigma_only_nugget0,1,2.1584,300.0000,,0.3000,,0.0000,,1.0000,0.0298
0.5000,0.5000,800,sigma_only_nugget_free,1,1.8734,12.2451,,0.3000,,2.0000,,1.0000,0.0964
0.5000,0.5000,1600,full_nugget0,1,2.0580,10.5231,,0.0030,,0.0000,,1.0000,1.2910
0.5000,0.5000,1600,full_nugget_free,1,1.8352,6.4104,,0.2286,,2.0174,,1.0000,2.1839
0.5000,0.5000,1600,nugget_only,1,1.8363,12.0000,,0.3000,,1.9913,,1.0000,0.3696
0.5000,0.5000,1600,range_only_nugget0,1,2.0617,12.0000,,0.0032,,0.0000,,1.0000,0.4511
0.5000,0.5000,1600,range_only_nugget_free,1,1.8353,12.0000,,0.4303,,2.0000,,1.0000,0.2851
0.5000,0.5000,1600,sigma_only_nugget0,1,2.6764,300.0000,,0.3000,,0.0000,,1.0000,0.0686
0.5000,0.5000,1600,sigma_only_nugget_free,1,1.8352,8.3108,,0.3000,,2.0000,,1.0000,0.5566
0.5000,1.5000,200,full_nugget0,1,2.0237,4.1223,,0.0045,,0.0000,,1.0000,0.2871
0.5000,1.5000,200,full_nugget_free,1,1.9354,2.2656,,0.0320,,2.0084,,1.0000,0.2991
0.5000,1.5000,200,nugget_only,1,2.0224,12.0000,,0.3000,,2.7813,,1.0000,0.0785
0.5000,1.5000,200,range_only_nugget0,1,2.1485,12.0000,,0.0076,,0.0000,,1.0000,0.1649
0.5000,1.5000,200,range_only_nugget_free,1,1.9650,12.0000,,0.0786,,2.0000,,1.0000,0.0698
0.5000,1.5000,200,sigma_only_nugget0,1,477.2714,300.0000,,0.3000,,0.0000,,1.0000,0.0274
0.5000,1.5000,200,sigma_only_nugget_free,1,2.0105,147.1059,,0.3000,,2.0000,,1.0000,0.0574
0.5000,1.5000,400,full_nugget0,1,2.0868,5.8661,,0.0030,,0.0000,,1.0000,0.4534
0.5000,1.5000,400,full_nugget_free,1,1.8728,3.3116,,0.0503,,2.0034,,1.0000,0.5969
0.5000,1.5000,400,nugget_only,1,1.9112,12.0000,,0.3000,,2.3259,,1.0000,0.5369
0.5000,1.5000,400,range_only_nugget0,1,2.1622,12.0000,,0.0038,,0.0000,,1.0000,0.2696
0.5000,1.5000,400,range_only_nugget_free,1,1.8811,12.0000,,0.0916,,2.0000,,1.0000,0.1741
0.5000,1.5000,400,sigma_only_nugget0,1,3902.4335,300.0000,,0.3000,,0.0000,,1.0000,0.0246
0.5000,1.5000,400,sigma_only_nugget_free,1,1.8992,89.6895,,0.3000,,2.0000,,1.0000,0.1730
0.5000,1.5000,800,full_nugget0,1,2.3227,24.5863,,0.0030,,0.0000,,1.0000,1.8799
0.5000,1.5000,800,full_nugget_free,1,1.8829,13.0114,,0.0760,,2.1372,,1.0000,2.6057
0.5000,1.5000,800,nugget_only,1,1.9410,12.0000,,0.3000,,2.5106,,1.0000,0.7194
0.5000,1.5000,800,range_only_nugget0,1,2.4885,12.0000,,0.0030,,0.0000,,1.0000,0.2599
0.5000,1.5000,800,range_only_nugget_free,1,1.8839,12.0000,,0.0710,,2.0000,,1.0000,0.6017
0.5000,1.5000,800,sigma_only_nugget0,1,29096.1646,300.0000,,0.3000,,0.0000,,1.0000,0.1203
0.5000,1.5000,800,sigma_only_nugget_free,1,1.8960,300.0000,,0.3000,,2.0000,,1.0000,0.2097
0.5000,1.5000,1600,full_nugget0,1,2.5555,165.6107,,0.0030,,0.0000,,1.0000,5.1299
0.5000,1.5000,1600,full_nugget_free,1,1.8385,4.4851,,0.0488,,2.0945,,1.0000,14.8214
0.5000,1.5000,1600,nugget_only,1,1.8743,12.0000,,0.3000,,2.3124,,1.0000,3.9690
0.5000,1.5000,1600,range_only_nugget0,1,7.6436,12.0000,,0.0030,,0.0000,,1.0000,0.4525
0.5000,1.5000,1600,range_only_nugget_free,1,1.8406,12.0000,,0.0712,,2.0000,,1.0000,1.2297
0.5000,1.5000,1600,sigma_only_nugget0,1,248551.4273,300.0000,,0.3000,,0.0000,,1.0000,0.4130
0.5000,1.5000,1600,sigma_only_nugget_free,1,1.8487,300.0000,,0.3000,,2.0000,,1.0000,0.4473
1.5000,0.3000,200,full_nugget0,1,1.8976,30.5670,,0.6030,,0.0000,,1.0000,0.3928
1.5000,0.3000,200,full_nugget_free,1,1.8069,7.2241,,1.0000,,1.3753,,1.0000,0.5838
1.5000,0.3000,200,nugget_only,1,1.8530,12.0000,,0.3000,,0.7918,,1.0000,0.1037
1.5000,0.3000,200,range_only_nugget0,1,1.9132,12.0000,,0.1396,,0.0000,,1.0000,0.1787
1.5000,0.3000,200,range_only_nugget_free,1,1.8442,12.0000,,1.0000,,2.0000,,1.0000,0.0523
1.5000,0.3000,200,sigma_only_nugget0,1,1.8991,20.3175,,0.3000,,0.0000,,1.0000,0.1398
1.5000,0.3000,200,sigma_only_nugget_free,1,1.8576,4.3584,,0.3000,,2.0000,,1.0000,0.1330
1.5000,0.3000,400,full_nugget0,1,1.9003,12.6834,,0.0657,,0.0000,,1.0000,2.9573
1.5000,0.3000,400,full_nugget_free,1,1.7370,3.5424,,1.0000,,1.5202,,1.0000,0.8160
1.5000,0.3000,400,nugget_only,1,1.8017,12.0000,,0.3000,,1.0771,,1.0000,0.4805
1.5000,0.3000,400,range_only_nugget0,1,1.9004,12.0000,,0.0600,,0.0000,,1.0000,0.7971
1.5000,0.3000,400,range_only_nugget_free,1,1.7870,12.0000,,1.0000,,2.0000,,1.0000,0.0534
1.5000,0.3000,400,sigma_only_nugget0,1,1.9033,31.0768,,0.3000,,0.0000,,1.0000,0.6461
1.5000,0.3000,400,sigma_only_nugget_free,1,1.7619,2.0230,,0.3000,,2.0000,,1.0000,0.4684
1.5000,0.3000,800,full_nugget0,1,1.9790,47.2089,,0.2333,,0.0000,,1.0000,9.8103
1.5000,0.3000,800,full_nugget_free,1,1.8199,5.5049,,1.0000,,1.8339,,1.0000,6.3069
1.5000,0.3000,800,nugget_only,1,1.8568,12.0000,,0.3000,,1.5355,,1.0000,1.8142
1.5000,0.3000,800,range_only_nugget0,1,2.0111,12.0000,,0.0281,,0.0000,,1.0000,2.4837
1.5000,0.3000,800,range_only_nugget_free,1,1.8335,12.0000,,1.0000,,2.0000,,1.0000,0.2291
1.5000,0.3000,800,sigma_only_nugget0,1,1.9790,54.8461,,0.3000,,0.0000,,1.0000,2.1167
1.5000,0.3000,800,sigma_only_nugget_free,1,1.8331,3.4983,,0.3000,,2.0000,,1.0000,1.8149
1.5000,0.3000,1600,full_nugget0,1,1.9821,10.0645,,0.0081,,0.0000,,1.0000,40.7727
1.5000,0.3000,1600,full_nugget_free,1,1.7978,1.9821,,1.0000,,1.9759,,1.0000,13.2536
1.5000,0.3000,1600,nugget_only,1,1.8412,12.0000,,0.3000,,1.6957,,1.0000,6.2894
1.5000,0.3000,1600,range_only_nugget0,1,1.9826,12.0000,,0.0109,,0.0000,,1.0000,7.4859
1.5000,0.3000,1600,range_only_nugget_free,1,1.8204,12.0000,,1.0000,,2.0000,,1.0000,0.8374
1.5000,0.3000,1600,sigma_only_nugget0,1,1.9909,85.1912,,0.3000,,0.0000,,1.0000,6.4655
1.5000,0.3000,1600,sigma_only_nugget_free,1,1.8013,1.2477,,0.3000,,2.0000,,1.0000,7.3732
1.5000,0.5000,200,full_nugget0,1,2.0079,33.0933,,0.0985,,0.0000,,1.0000,0.0499
1.5000,0.5000,200,full_nugget_free,1,1.7911,10.7729,,1.0000,,1.6128,,1.0000,0.0522
1.5000,0.5000,200,nugget_only,1,1.8243,12.0000,,0.3000,,1.4308,,1.0000,0.0101
1.5000,0.5000,200,range_only_nugget0,1,2.0498,12.0000,,0.0389,,0.0000,,1.0000,0.0122
1.5000,0.5000,200,range_only_nugget_free,1,1.8008,12.0000,,1.0000,,2.0000,,1.0000,0.0063
1.5000,0.5000,200,sigma_only_nugget0,1,2.0150,98.2863,,0.3000,,0.0000,,1.0000,0.0302
1.5000,0.5000,200,sigma_only_nugget_free,1,1.8246,5.5627,,0.3000,,2.0000,,1.0000,0.0184
1.5000,0.5000,400,full_nugget0,1,2.0031,10.2420,,0.0133,,0.0000,,1.0000,0.1289
1.5000,0.5000,400,full_nugget_free,1,1.7284,6.5910,,1.0000,,1.6017,,1.0000,0.0849
1.5000,0.5000,400,nugget_only,1,1.7633,12.0000,,0.3000,,1.4986,,1.0000,0.0385
1.5000,0.5000,400,range_only_nugget0,1,2.0041,12.0000,,0.0156,,0.0000,,1.0000,0.0525
1.5000,0.5000,400,range_only_nugget_free,1,1.7442,12.0000,,1.0000,,2.0000,,1.0000,0.0121
1.5000,0.5000,400,sigma_only_nugget0,1,2.0466,209.5950,,0.3000,,0.0000,,1.0000,0.0335
1.5000,0.5000,400,sigma_only_nugget_free,1,1.7466,2.7599,,0.3000,,2.0000,,1.0000,0.0384
1.5000,0.5000,800,full_nugget0,1,2.0996,43.2007,,0.0265,,0.0000,,1.0000,0.3742
1.5000,0.5000,800,full_nugget_free,1,1.8076,10.7130,,1.0000,,1.9286,,1.0000,0.5270
1.5000,0.5000,800,nugget_only,1,1.8253,12.0000,,0.3000,,1.8674,,1.0000,0.1329
1.5000,0.5000,800,range_only_nugget0,1,2.1757,12.0000,,0.0085,,0.0000,,1.0000,0.1135
1.5000,0.5000,800,range_only_nugget_free,1,1.8081,12.0000,,1.0000,,2.0000,,1.0000,0.0155
1.5000,0.5000,800,sigma_only_nugget0,1,2.1736,300.0000,,0.3000,,0.0000,,1.0000,0.0251
1.5000,0.5000,800,sigma_only_nugget_free,1,1.8161,4.8854,,0.3000,,2.0000,,1.0000,0.1178
1.5000,0.5000,1600,full_nugget0,1,2.0665,10.7031,,0.0030,,0.0000,,1.0000,1.5256
1.5000,0.5000,1600,full_nugget_free,1,1.7941,4.1984,,1.0000,,2.0096,,1.0000,1.3226
1.5000,0.5000,1600,nugget_only,1,1.8146,12.0000,,0.3000,,1.9522,,1.0000,0.4687
1.5000,0.5000,1600,range_only_nugget0,1,2.0689,12.0000,,0.0032,,0.0000,,1.0000,0.4177
1.5000,0.5000,1600,range_only_nugget_free,1,1.7988,12.0000,,1.0000,,2.0000,,1.0000,0.0844
1.5000,0.5000,1600,sigma_only_nugget0,1,2.6813,300.0000,,0.3000,,0.0000,,1.0000,0.0889
1.5000,0.5000,1600,sigma_only_nugget_free,1,1.7964,1.7342,,0.3000,,2.0000,,1.0000,0.5392
1.5000,1.5000,200,full_nugget0,1,2.3135,25.3174,,0.0124,,0.0000,,1.0000,0.2059
1.5000,1.5000,200,full_nugget_free,1,1.7756,22.6025,,0.5842,,1.7506,,1.0000,0.2560
1.5000,1.5000,200,nugget_only,1,1.7839,12.0000,,0.3000,,1.7292,,1.0000,0.0767
1.5000,1.5000,200,range_only_nugget0,1,2.3921,12.0000,,0.0098,,0.0000,,1.0000,0.1030
1.5000,1.5000,200,range_only_nugget_free,1,1.7812,12.0000,,0.4747,,2.0000,,1.0000,0.0722
1.5000,1.5000,200,sigma_only_nugget0,1,381.1250,300.0000,,0.3000,,0.0000,,1.0000,0.0238
1.5000,1.5000,200,sigma_only_nugget_free,1,1.7883,10.2281,,0.3000,,2.0000,,1.0000,0.0366
1.5000,1.5000,400,full_nugget0,1,2.1757,8.5855,,0.0036,,0.0000,,1.0000,0.7814
1.5000,1.5000,400,full_nugget_free,1,1.7244,9.3071,,0.2987,,1.6503,,1.0000,0.8530
1.5000,1.5000,400,nugget_only,1,1.7248,12.0000,,0.3000,,1.6479,,1.0000,0.1753
1.5000,1.5000,400,range_only_nugget0,1,2.1889,12.0000,,0.0041,,0.0000,,1.0000,0.2785
1.5000,1.5000,400,range_only_nugget_free,1,1.7329,12.0000,,0.3376,,2.0000,,1.0000,0.2031
1.5000,1.5000,400,sigma_only_nugget0,1,3586.2866,300.0000,,0.3000,,0.0000,,1.0000,0.0286
1.5000,1.5000,400,sigma_only_nugget_free,1,1.7328,9.0024,,0.3000,,2.0000,,1.0000,0.1363
1.5000,1.5000,800,full_nugget0,1,2.4105,31.6476,,0.0031,,0.0000,,1.0000,1.7380
1.5000,1.5000,800,full_nugget_free,1,1.7994,29.9489,,0.4541,,1.9983,,1.0000,3.8313
1.5000,1.5000,800,nugget_only,1,1.8006,12.0000,,0.3000,,1.9947,,1.0000,0.8111
1.5000,1.5000,800,range_only_nugget0,1,2.6874,12.0000,,0.0030,,0.0000,,1.0000,0.2520
1.5000,1.5000,800,range_only_nugget_free,1,1.8005,12.0000,,0.3275,,2.0000,,1.0000,0.6341
1.5000,1.5000,800,sigma_only_nugget0,1,29839.3384,300.0000,,0.3000,,0.0000,,1.0000,0.1378
1.5000,1.5000,800,sigma_only_nugget_free,1,1.8004,15.1981,,0.3000,,2.0000,,1.0000,0.6775
