true_smooth,fit_smooth,rep,resolution_stride,resolution_label,fit_type,n,loss_per_obs,success,n_iter,fit_s,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
0.3000,0.3000,3,4,x4,sigma_only_nugget_free,64,2.3924,True,3,0.0237,8.8565,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,range_only_nugget_free,64,2.3978,True,2,0.0130,12.0000,0.1211,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,nugget_only,64,2.3936,True,3,0.0135,12.0000,0.0800,0.8567,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,sigma_only_nugget0,64,2.3971,True,5,0.0255,13.9722,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,range_only_nugget0,64,2.3908,True,3,0.0194,12.0000,0.0531,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,full_nugget_free,128,2.3387,True,11,0.3345,9.7639,0.0549,1.5854,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,full_nugget0,128,2.3441,True,11,0.2441,11.4740,0.0326,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,sigma_only_nugget_free,128,2.3398,True,3,0.0684,10.4113,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,range_only_nugget_free,128,2.3410,True,2,0.0540,12.0000,0.0940,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,nugget_only,128,2.3402,True,5,0.0879,12.0000,0.0800,1.6195,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,sigma_only_nugget0,128,2.3537,True,5,0.0897,18.3919,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,2,x2,range_only_nugget0,128,2.3443,True,4,0.0778,12.0000,0.0350,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,full_nugget_free,256,2.2345,True,12,1.4811,10.5882,0.0497,1.3259,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,full_nugget0,256,2.2418,True,13,1.0393,12.0617,0.0273,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,sigma_only_nugget_free,256,2.2371,True,3,0.2645,10.8862,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,range_only_nugget_free,256,2.2375,True,3,0.2564,12.0000,0.0907,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,nugget_only,256,2.2357,True,5,0.3662,12.0000,0.0800,1.6239,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,sigma_only_nugget0,256,2.2493,True,5,0.3699,22.0247,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,1,x1,range_only_nugget0,256,2.2418,True,6,0.3583,12.0000,0.0270,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,full_nugget_free,32,2.4294,True,14,0.0384,5.5398,0.0635,2.9803,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,full_nugget0,32,2.4342,True,9,0.0147,8.5644,0.0345,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,sigma_only_nugget_free,32,2.4350,True,3,0.0084,7.2807,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,range_only_nugget_free,32,2.4580,True,4,0.0039,12.0000,0.1401,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,nugget_only,32,2.4545,True,6,0.0056,12.0000,0.0800,0.5821,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,sigma_only_nugget0,32,2.4568,True,4,0.0047,11.5469,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,8,x8,range_only_nugget0,32,2.4515,True,4,0.0045,12.0000,0.0564,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,full_nugget_free,64,2.3450,True,16,0.1380,4.1191,0.0877,3.6928,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,full_nugget0,64,2.3540,True,11,0.0778,7.8606,0.0231,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,sigma_only_nugget_free,64,2.3559,True,3,0.0222,7.2165,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,range_only_nugget_free,64,2.3718,True,3,0.0139,12.0000,0.1494,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,nugget_only,64,2.3745,True,4,0.0214,12.0000,0.0800,1.1411,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,sigma_only_nugget0,64,2.3880,True,5,0.0244,13.7208,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,4,x4,range_only_nugget0,64,2.3738,True,4,0.0217,12.0000,0.0461,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,full_nugget_free,128,2.2713,True,20,0.5939,8.0755,0.0230,0.2199,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,full_nugget0,128,2.2714,True,9,0.2796,8.3083,0.0217,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,sigma_only_nugget_free,128,2.2846,True,3,0.0628,8.7559,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,range_only_nugget_free,128,2.2906,True,2,0.0426,12.0000,0.1129,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,nugget_only,128,2.2854,True,4,0.0825,12.0000,0.0800,1.1506,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,sigma_only_nugget0,128,2.2948,True,5,0.0960,16.3485,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,2,x2,range_only_nugget0,128,2.2810,True,4,0.0790,12.0000,0.0395,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,full_nugget_free,256,2.2549,True,12,1.4524,5.9612,0.0390,2.5343,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,full_nugget0,256,2.2789,True,14,1.1134,8.8966,0.0123,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,sigma_only_nugget_free,256,2.2622,True,3,0.2654,10.3657,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,range_only_nugget_free,256,2.2636,True,3,0.2435,12.0000,0.0863,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,nugget_only,256,2.2635,True,6,0.4025,12.0000,0.0800,2.1264,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,sigma_only_nugget0,256,2.3071,True,5,0.3645,24.7246,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,4,1,x1,range_only_nugget0,256,2.2848,True,7,0.3790,12.0000,0.0200,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,full_nugget_free,32,2.4459,True,15,0.0106,7.9321,0.1601,3.8099,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,full_nugget0,32,2.4948,True,9,0.0036,12.1917,0.0525,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,sigma_only_nugget_free,32,2.4652,True,2,0.0006,9.1839,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,range_only_nugget_free,32,2.4662,True,2,0.0007,12.0000,0.1153,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,nugget_only,32,2.4734,True,4,0.0007,12.0000,0.0800,1.9136,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,sigma_only_nugget0,32,2.5070,True,5,0.0009,15.9059,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,8,x8,range_only_nugget0,32,2.4949,True,5,0.0009,12.0000,0.0518,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,full_nugget_free,64,2.3542,True,15,0.0132,13.0100,0.0589,0.6848,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,full_nugget0,64,2.3547,True,10,0.0247,13.7450,0.0498,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,sigma_only_nugget_free,64,2.3561,True,3,0.0024,11.1220,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,range_only_nugget_free,64,2.3561,True,3,0.0020,12.0000,0.0883,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,nugget_only,64,2.3552,True,5,0.0032,12.0000,0.0800,1.6522,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,sigma_only_nugget0,64,2.3640,True,5,0.0051,20.0496,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,4,x4,range_only_nugget0,64,2.3563,True,5,0.0039,12.0000,0.0439,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,full_nugget_free,128,2.4120,True,11,0.0221,8.6433,0.1254,4.7930,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,full_nugget0,128,2.5155,True,10,0.0306,13.9906,0.0154,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,sigma_only_nugget_free,128,2.4809,True,4,0.0049,19.7240,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,range_only_nugget_free,128,2.4683,True,5,0.0087,12.0000,0.0357,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,nugget_only,128,2.4226,True,4,0.0086,12.0000,0.0800,4.1431,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,sigma_only_nugget0,128,2.5870,True,7,0.0087,57.3014,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,2,x2,range_only_nugget0,128,2.5187,True,5,0.0085,12.0000,0.0135,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,full_nugget_free,256,2.2794,True,12,0.0817,11.4479,0.0566,2.8746,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,full_nugget0,256,2.3262,True,9,0.0596,14.6678,0.0145,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,sigma_only_nugget_free,256,2.2917,True,4,0.0158,22.2398,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,range_only_nugget_free,256,2.2855,True,4,0.0168,12.0000,0.0367,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,nugget_only,256,2.2810,True,4,0.0172,12.0000,0.0800,3.1596,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,sigma_only_nugget0,256,2.3691,True,8,0.0180,70.9544,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,0,1,x1,range_only_nugget0,256,2.3294,True,7,0.0191,12.0000,0.0121,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,full_nugget_free,32,2.3865,True,13,0.0043,11.5035,0.2641,2.9959,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,full_nugget0,32,2.4165,True,9,0.0017,14.3675,0.0903,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,sigma_only_nugget_free,32,2.4193,True,3,0.0017,9.1116,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,range_only_nugget_free,32,2.3906,True,3,0.0007,12.0000,0.1779,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,nugget_only,32,2.4138,True,5,0.0008,12.0000,0.0800,0.6243,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,sigma_only_nugget0,32,2.4175,True,5,0.0008,13.2991,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,8,x8,range_only_nugget0,32,2.4199,True,5,0.0008,12.0000,0.0769,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,full_nugget_free,64,2.3977,True,16,0.0162,6.8909,0.7036,5.6285,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,full_nugget0,64,2.4612,True,10,0.0071,12.7217,0.0318,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,sigma_only_nugget_free,64,2.4343,True,3,0.0013,12.2061,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,range_only_nugget_free,64,2.4330,True,4,0.0041,12.0000,0.0685,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,nugget_only,64,2.4262,True,6,0.0058,12.0000,0.0800,2.8473,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,sigma_only_nugget0,64,2.4976,True,5,0.0021,26.1917,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,4,x4,range_only_nugget0,64,2.4617,True,6,0.0038,12.0000,0.0302,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,full_nugget_free,128,2.3899,True,12,0.0292,9.8191,0.1034,4.1049,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,full_nugget0,128,2.4528,True,10,0.0275,14.1288,0.0193,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,sigma_only_nugget_free,128,2.4219,True,4,0.0051,18.4483,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,range_only_nugget_free,128,2.4140,True,5,0.0078,12.0000,0.0420,2.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,nugget_only,128,2.3930,True,4,0.0041,12.0000,0.0800,3.6012,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,sigma_only_nugget0,128,2.5047,True,7,0.0074,48.6001,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,2,x2,range_only_nugget0,128,2.4558,True,4,0.0061,12.0000,0.0167,0.0000,12.0000,0.0800,2.0000
0.3000,0.5000,1,1,x1,full_nugget_free,256,2.2542,True,11,0.0620,11.5492,0.0523,2.5456,12.0000,0.0800,2.0000
0.3000,0.5000,1,1,x1,full_nugget0,256,2.2991,True,11,0.0462,14.2125,0.0150,0.0000,12.0000,0.0800,2.0000
