k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.95 b=1 nugget0,GC a=0.95 b=0.5 nugget0,GC a=1 b=1 nugget0,GC a=1 b=0.5 nugget0
35,40.6760,1.0758,1.0527,1.0473,1.0547,1.0500,1.0541,1.0504,1.0513,1.0490,1.0467,1.0463,1.0406,1.0427
36,41.8218,1.0517,1.0309,1.0242,1.0350,1.0286,1.0364,1.0307,1.0356,1.0308,1.0329,1.0296,1.0286,1.0273
37,42.9676,1.0626,1.0440,1.0366,1.0498,1.0424,1.0529,1.0457,1.0536,1.0470,1.0524,1.0468,1.0495,1.0454
38,44.1134,1.0577,1.0411,1.0332,1.0482,1.0400,1.0526,1.0443,1.0547,1.0467,1.0548,1.0474,1.0533,1.0469
39,45.2592,1.0712,1.0564,1.0481,1.0649,1.0560,1.0707,1.0613,1.0742,1.0646,1.0757,1.0663,1.0755,1.0667
40,46.4050,1.0476,1.0355,1.0276,1.0447,1.0359,1.0514,1.0419,1.0559,1.0458,1.0585,1.0482,1.0594,1.0492
41,47.5508,1.0675,1.0562,1.0471,1.0672,1.0569,1.0755,1.0642,1.0816,1.0694,1.0858,1.0729,1.0881,1.0749
42,48.6966,1.0718,1.0620,1.0525,1.0742,1.0633,1.0838,1.0715,1.0911,1.0777,1.0965,1.0820,1.1000,1.0849
43,49.8424,1.0333,1.0261,1.0173,1.0385,1.0281,1.0485,1.0365,1.0564,1.0429,1.0624,1.0477,1.0667,1.0511
44,50.9882,1.0369,1.0313,1.0232,1.0438,1.0340,1.0541,1.0425,1.0624,1.0491,1.0689,1.0541,1.0737,1.0577
45,52.1340,1.0108,1.0070,0.9987,1.0202,1.0101,1.0313,1.0192,1.0405,1.0265,1.0478,1.0321,1.0536,1.0364
46,53.2798,0.9688,0.9659,0.9589,0.9785,0.9695,0.9893,0.9782,0.9984,0.9853,1.0060,0.9909,1.0121,0.9953
47,54.4256,0.9964,0.9957,0.9871,1.0105,0.9997,1.0232,1.0101,1.0340,1.0187,1.0432,1.0256,1.0507,1.0312
48,55.5714,1.0076,1.0085,0.9996,1.0242,1.0130,1.0379,1.0242,1.0496,1.0335,1.0596,1.0412,1.0681,1.0474
49,56.7172,0.9892,0.9916,0.9825,1.0081,0.9965,1.0225,1.0084,1.0352,1.0184,1.0463,1.0267,1.0557,1.0337
50,57.8630,1.0032,1.0072,0.9978,1.0247,1.0126,1.0401,1.0253,1.0538,1.0360,1.0658,1.0452,1.0762,1.0528
51,59.0088,1.0130,1.0178,1.0081,1.0360,1.0235,1.0524,1.0368,1.0670,1.0482,1.0800,1.0580,1.0915,1.0664
52,60.1546,0.9363,0.9424,0.9333,0.9600,0.9482,0.9758,0.9611,0.9901,0.9723,1.0028,0.9819,1.0142,0.9902
53,61.3005,0.9540,0.9616,0.9521,0.9803,0.9679,0.9973,0.9817,1.0127,0.9938,1.0266,1.0043,1.0390,1.0134
54,62.4463,0.9684,0.9763,0.9663,0.9959,0.9828,1.0137,0.9973,1.0299,1.0101,1.0447,1.0212,1.0581,1.0310
55,63.5921,0.9239,0.9321,0.9225,0.9513,0.9386,0.9688,0.9528,0.9848,0.9653,0.9994,0.9764,1.0127,0.9860
56,64.7379,0.9506,0.9604,0.9503,0.9808,0.9675,0.9996,0.9828,1.0169,0.9963,1.0327,1.0083,1.0473,1.0189
57,65.8837,0.9320,0.9420,0.9320,0.9624,0.9491,0.9812,0.9644,0.9985,0.9779,1.0145,0.9900,1.0292,1.0007
58,67.0295,0.8703,0.8810,0.8730,0.8996,0.8885,0.9169,0.9024,0.9330,0.9149,0.9480,0.9261,0.9620,0.9362
59,68.1753,0.9221,0.9333,0.9234,0.9540,0.9408,0.9731,0.9563,0.9909,0.9702,1.0074,0.9826,1.0227,0.9937
60,69.3211,0.9041,0.9161,0.9063,0.9369,0.9237,0.9561,0.9394,0.9740,0.9534,0.9907,0.9660,1.0062,0.9773
61,70.4669,0.9110,0.9230,0.9130,0.9439,0.9306,0.9635,0.9464,0.9817,0.9607,0.9987,0.9735,1.0145,0.9850
62,71.6127,0.8922,0.9051,0.8957,0.9260,0.9132,0.9456,0.9290,0.9639,0.9433,0.9812,0.9563,0.9973,0.9680
63,72.7585,0.8706,0.8841,0.8753,0.9051,0.8927,0.9249,0.9086,0.9438,0.9232,0.9617,0.9365,0.9787,0.9487
64,73.9043,0.8350,0.8502,0.8415,0.8714,0.8592,0.8916,0.8754,0.9109,0.8904,0.9295,0.9042,0.9472,0.9169
65,75.0501,0.8244,0.8402,0.8315,0.8616,0.8494,0.8821,0.8658,0.9018,0.8810,0.9207,0.8951,0.9388,0.9082
66,76.1959,0.8810,0.8983,0.8889,0.9217,0.9084,0.9443,0.9264,0.9660,0.9432,0.9869,0.9588,1.0071,0.9733
67,77.3417,0.8847,0.9024,0.8926,0.9263,0.9125,0.9494,0.9310,0.9717,0.9482,0.9933,0.9642,1.0141,0.9792
68,78.4875,0.8481,0.8655,0.8560,0.8889,0.8754,0.9114,0.8935,0.9333,0.9104,0.9545,0.9262,0.9750,0.9409
69,79.6333,0.8301,0.8480,0.8387,0.8712,0.8581,0.8937,0.8761,0.9155,0.8930,0.9367,0.9088,0.9573,0.9237
