date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,parameter,estimate,loss,n_grid,n_valid
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget0,0.5000,nugget,0.0000,1.7603,72504,68157
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget0,0.5000,sigmasq,19.2722,1.8418,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget0,0.5000,range,0.6259,1.8418,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget0,0.5000,nugget,0.0000,1.8418,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget0,0.5000,sigmasq,19.3858,1.6836,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget0,0.5000,range,0.3853,1.6836,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget0,0.5000,nugget,0.0000,1.6836,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget0,0.5000,sigmasq,18.7703,1.6163,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget0,0.5000,range,0.2357,1.6163,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget0,0.5000,nugget,0.0000,1.6163,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget0,0.5000,sigmasq,18.1897,1.7210,72504,68961
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget0,0.5000,range,0.1420,1.7210,72504,68961
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget0,0.5000,nugget,0.0000,1.7210,72504,68961
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget0,0.5000,sigmasq,22.3726,1.9473,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget0,0.5000,range,0.5819,1.9473,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget0,0.5000,nugget,0.0000,1.9473,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget0,0.5000,sigmasq,20.9004,1.7140,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget0,0.5000,range,0.4006,1.7140,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget0,0.5000,nugget,0.0000,1.7140,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget0,0.5000,sigmasq,21.5510,1.6414,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget0,0.5000,range,0.2320,1.6414,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget0,0.5000,nugget,0.0000,1.6414,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget0,0.5000,sigmasq,20.2546,1.4345,72504,69193
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget0,0.5000,range,0.1744,1.4345,72504,69193
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget0,0.5000,nugget,0.0000,1.4345,72504,69193
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget0,0.5000,sigmasq,23.6574,2.0074,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget0,0.5000,range,0.5123,2.0074,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget0,0.5000,nugget,0.0000,2.0074,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget0,0.5000,sigmasq,22.2112,1.8034,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget0,0.5000,range,0.3521,1.8034,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget0,0.5000,nugget,0.0000,1.8034,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget0,0.5000,sigmasq,21.2348,1.7126,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget0,0.5000,range,0.2365,1.7126,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget0,0.5000,nugget,0.0000,1.7126,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget0,0.5000,sigmasq,20.7168,1.6347,72504,69427
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget0,0.5000,range,0.1786,1.6347,72504,69427
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget0,0.5000,nugget,0.0000,1.6347,72504,69427
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget0,0.5000,sigmasq,24.7398,2.0371,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget0,0.5000,range,0.5161,2.0371,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget0,0.5000,nugget,0.0000,2.0371,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget0,0.5000,sigmasq,23.1172,1.8432,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget0,0.5000,range,0.3430,1.8432,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget0,0.5000,nugget,0.0000,1.8432,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget0,0.5000,sigmasq,22.9721,1.6805,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget0,0.5000,range,0.2276,1.6805,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget0,0.5000,nugget,0.0000,1.6805,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget0,0.5000,sigmasq,21.8580,1.7220,72504,69444
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget0,0.5000,range,0.1740,1.7220,72504,69444
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget0,0.5000,nugget,0.0000,1.7220,72504,69444
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget0,0.5000,sigmasq,21.5183,1.9481,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget0,0.5000,range,0.4858,1.9481,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget0,0.5000,nugget,0.0000,1.9481,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget0,0.5000,sigmasq,22.0983,1.8555,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget0,0.5000,range,0.3104,1.8555,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget0,0.5000,nugget,0.0000,1.8555,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget0,0.5000,sigmasq,21.7202,1.8297,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget0,0.5000,range,0.2074,1.8297,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget0,0.5000,nugget,0.0000,1.8297,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget0,0.5000,sigmasq,20.7740,1.5071,72504,69400
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget0,0.5000,range,0.1520,1.5071,72504,69400
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget0,0.5000,nugget,0.0000,1.5071,72504,69400
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget0,0.5000,sigmasq,21.6057,1.9645,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget0,0.5000,range,0.4423,1.9645,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget0,0.5000,nugget,0.0000,1.9645,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget0,0.5000,sigmasq,21.4715,1.8873,4560,4345
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget0,0.5000,range,0.2756,1.8873,4560,4345
