year,month,calendar_day,slice_in_day,time_position,time_key,resolution_stride,resolution_label,variant,model_family,model_label,smooth,gc_alpha,gc_beta,n_valid_spectrum,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected
2023,7,4,5,29,2023_07_y23m07day04_hm05:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17549,14.99947505217181,2.7600492548264466,2.6404206333370333,2.7600492548264466,0.0,0.7,3.0,66,76.19588759338171,76.15757673486348,150,79.63329605624102,1.852442351193506,2.2824868777506766
2023,7,4,5,29,2023_07_y23m07day04_hm05:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17549,14.99947505217181,2.7600492548264466,2.6404206333370333,2.7600492548264466,0.0,0.7,3.0,67,77.3416904143348,77.33210735566547,154,79.63329605624102,1.4516591441294702,2.270978335833542
2023,7,4,5,29,2023_07_y23m07day04_hm05:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17549,14.99947505217181,2.7600492548264466,2.6404206333370333,2.7600492548264466,0.0,0.7,3.0,68,78.48749323528793,78.51969887722144,114,79.63329605624102,1.4918328910422023,2.2625057102239814
2023,7,4,5,29,2023_07_y23m07day04_hm05:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17549,14.99947505217181,2.7600492548264466,2.6404206333370333,2.7600492548264466,0.0,0.7,3.0,69,79.63329605624102,79.6125829588032,96,79.63329605624102,1.8929336452123107,2.2570137548385034
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,0,0.5729014104765542,0.627252201974578,2,79.63329605624102,4764.781505184584,3178.7202757803643
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,1,1.7187042314296626,1.695268273838533,18,79.63329605624102,1612.351758335488,1282.7641350852343
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,2,2.8645070523827707,2.888368177098319,26,79.63329605624102,714.9947018991965,632.6472917202508
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,3,4.0103098733358795,4.101153866844383,42,79.63329605624102,549.6224137579575,355.2949716642538
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,4,5.156112694288987,5.243474246005946,42,79.63329605624102,268.8452355005595,228.83238293513173
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,5,6.301915515242095,6.334396296799058,60,79.63329605624102,113.32198959911862,157.98050405849972
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,6,7.447718336195205,7.484202811445298,66,79.63329605624102,78.92555303685496,113.68529069430679
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,7,8.593521157148313,8.64988424118374,86,79.63329605624102,85.51976834224025,84.42913892174346
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,8,9.739323978101421,9.828990003837582,86,79.63329605624102,59.023738040460856,64.64503899036106
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,9,10.885126799054529,10.932120873774602,98,79.63329605624102,50.89247676538914,51.84871380311549
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,10,12.030929620007637,12.063865932841784,110,79.63329605624102,36.02371875480291,41.81402607079224
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,11,13.176732440960746,13.166390002837563,114,79.63329605624102,31.860247730705954,34.37604558872325
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,12,14.322535261913854,14.273893849907077,130,79.63329605624102,31.507577806519365,29.383046492671596
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,13,15.468338082866964,15.425211497575258,142,79.63329605624102,26.84069779976734,24.80860490890474
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,14,16.614140903820072,16.59460817503016,158,79.63329605624102,20.896595076971508,21.242836324176366
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,15,17.75994372477318,17.777808040803787,166,79.63329605624102,19.964670626417448,18.390470805896108
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,16,18.905746545726288,18.924882639210317,170,79.63329605624102,15.900347442853779,16.1554723718155
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,17,20.051549366679396,20.055622399506323,184,79.63329605624102,14.17842818267458,14.274695586941556
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,18,21.197352187632504,21.21689630794462,198,79.63329605624102,13.48088055692549,12.727052961920592
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,19,22.34315500858561,22.365098345328214,202,79.63329605624102,10.35823808470483,11.413318950438093
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,20,23.48895782953872,23.50197308177751,214,79.63329605624102,10.092676906494331,10.34989192283628
