date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,66,76.19588759338171,76.15757673486348,0,21.197352187632504,,,0.051544407667765864,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,67,77.3416904143348,77.33210735566547,0,21.197352187632504,,,0.0492471017759616,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,68,78.48749323528793,78.51969887722144,0,21.197352187632504,,,0.04705740657376788,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,69,79.63329605624102,79.6125829588032,0,21.197352187632504,,,0.0451564084783574,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,0,0.5729014104765542,0.627252201974578,2,42.96760578574156,895.520372048179,62.50161211469038,195.87389896722686,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,1,1.7187042314296626,1.695268273838533,18,42.96760578574156,333.7120186945805,71.77231434096231,185.2161590724222,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,2,2.8645070523827707,2.888368177098319,26,42.96760578574156,179.72380927537523,67.6648474791991,165.86363140578882,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,3,4.0103098733358795,4.101153866844383,42,42.96760578574156,132.55930893290957,58.5409068118793,141.66715287629592,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,4,5.156112694288987,5.243474246005946,42,42.96760578574156,43.6310967533422,49.701954508973195,118.5800530596438,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,5,6.301915515242095,6.334396296799058,62,42.96760578574156,34.27529320425394,41.7788976868171,98.45250969511152,11111.91883816286
