frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
high,30,49,34.9470,56.7172,gc_a0p7_b3p3_nugget0,GC a=0.7 b=3.3 nugget0,20,1.0667,1.0687,1.0198,1.1084
high,30,49,34.9470,56.7172,gc_a0p7_b3p3_nugget_free,GC a=0.7 b=3.3 nugget free,20,1.0721,1.0763,0.9945,1.1478
high,30,49,34.9470,56.7172,gc_a0p7_b5p0_nugget0,GC a=0.7 b=5 nugget0,20,1.0695,1.0721,1.0204,1.1136
high,30,49,34.9470,56.7172,gc_a0p7_b5p0_nugget_free,GC a=0.7 b=5 nugget free,20,1.0739,1.0780,0.9934,1.1516
very_high,50,69,57.8630,79.6333,matern_s03_nugget0,Matern s=0.3 nugget0,20,1.0639,1.0638,1.0032,1.1216
very_high,50,69,57.8630,79.6333,matern_s03_nugget_free,Matern s=0.3 nugget free,20,0.9240,0.9362,0.8461,0.9805
very_high,50,69,57.8630,79.6333,gc_a0p6_b2p5_nugget0,GC a=0.6 b=2.5 nugget0,20,0.9535,0.9590,0.8861,1.0055
very_high,50,69,57.8630,79.6333,gc_a0p6_b2p5_nugget_free,GC a=0.6 b=2.5 nugget free,20,0.9215,0.9311,0.8487,0.9700
very_high,50,69,57.8630,79.6333,gc_a0p6_b3p3_nugget0,GC a=0.6 b=3.3 nugget0,20,0.9581,0.9632,0.8910,1.0103
very_high,50,69,57.8630,79.6333,gc_a0p6_b3p3_nugget_free,GC a=0.6 b=3.3 nugget free,20,0.9216,0.9314,0.8486,0.9703
very_high,50,69,57.8630,79.6333,gc_a0p6_b5p0_nugget0,GC a=0.6 b=5 nugget0,20,0.9633,0.9681,0.8966,1.0158
very_high,50,69,57.8630,79.6333,gc_a0p6_b5p0_nugget_free,GC a=0.6 b=5 nugget free,20,0.9216,0.9315,0.8483,0.9707
very_high,50,69,57.8630,79.6333,gc_a0p7_b2p5_nugget0,GC a=0.7 b=2.5 nugget0,20,1.0055,1.0078,0.9430,1.0617
very_high,50,69,57.8630,79.6333,gc_a0p7_b2p5_nugget_free,GC a=0.7 b=2.5 nugget free,20,0.9389,0.9488,0.8648,0.9883
very_high,50,69,57.8630,79.6333,gc_a0p7_b3p3_nugget0,GC a=0.7 b=3.3 nugget0,20,1.0125,1.0143,0.9507,1.0690
very_high,50,69,57.8630,79.6333,gc_a0p7_b3p3_nugget_free,GC a=0.7 b=3.3 nugget free,20,0.9368,0.9471,0.8622,0.9872
very_high,50,69,57.8630,79.6333,gc_a0p7_b5p0_nugget0,GC a=0.7 b=5 nugget0,20,1.0204,1.0216,0.9595,1.0773
very_high,50,69,57.8630,79.6333,gc_a0p7_b5p0_nugget_free,GC a=0.7 b=5 nugget free,20,0.9343,0.9449,0.8591,0.9857
