n,true_smooth,fit_smooth,rep,fit_type,loss_per_obs,success,n_iter,n_eval,fit_s,message,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
1600,0.3000,0.3000,0,range_only_nugget_free,1.9433,True,3,10,5.1102,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3132,2.0000,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,nugget_only,2.1377,True,5,14,0.1445,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,2.0439,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,nugget_only,2.0514,True,3,14,0.5218,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.0019,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,nugget_only,2.0119,True,3,10,1.6558,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.1020,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,nugget_only,1.9433,True,3,12,6.4485,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.0009,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,sigma_only_nugget0,2.1786,True,7,20,0.2120,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.5328,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,sigma_only_nugget0,2.1041,True,4,12,0.4876,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.4264,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,sigma_only_nugget0,2.0974,True,4,12,1.8352,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.5019,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,sigma_only_nugget0,2.0511,True,4,12,6.3694,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0978,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,range_only_nugget0,2.1740,True,4,12,0.2083,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0474,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,range_only_nugget0,2.0891,True,4,12,0.6801,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0287,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,range_only_nugget0,2.0971,True,4,12,2.4104,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0161,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,range_only_nugget0,2.0656,True,4,12,7.2254,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0102,0.0000,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,full_nugget_free,2.1410,True,13,60,0.0601,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0110,0.2065,2.7182,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,full_nugget_free,2.0540,True,13,68,0.2537,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.5007,0.0692,2.4651,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,full_nugget_free,2.0163,True,10,48,0.5201,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.2434,0.1189,2.4023,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,full_nugget_free,1.9434,True,11,52,2.2852,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.0713,0.1852,2.2363,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,full_nugget0,2.2243,True,13,45,0.0651,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0136,0.0208,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,full_nugget0,2.1186,True,11,42,0.1479,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.3422,0.0063,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,full_nugget0,2.1814,True,8,30,0.3327,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.6511,0.0072,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,full_nugget0,2.1587,True,10,36,1.5940,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.3787,0.0066,0.0000,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,sigma_only_nugget_free,2.1538,True,4,12,0.0115,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.5691,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,sigma_only_nugget_free,2.0667,True,3,10,0.0209,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.3257,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,sigma_only_nugget_free,2.0232,True,4,12,0.1180,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.6908,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,sigma_only_nugget_free,1.9459,True,3,16,0.7878,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.8519,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,range_only_nugget_free,2.1500,True,3,10,0.0115,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.1175,2.0000,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,range_only_nugget_free,2.0621,True,3,10,0.0266,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.1035,2.0000,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,range_only_nugget_free,2.0212,True,4,12,0.1486,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0850,2.0000,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,range_only_nugget_free,1.9463,True,3,10,0.8755,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0977,2.0000,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,nugget_only,2.1428,True,5,14,0.0226,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.8992,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,nugget_only,2.0593,True,4,12,0.0593,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,2.7048,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,nugget_only,2.0255,True,3,10,0.4571,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.6775,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,nugget_only,1.9549,True,4,12,0.4906,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.4155,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,sigma_only_nugget0,2.2764,True,7,16,0.0229,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165.7901,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,sigma_only_nugget0,2.2070,True,4,10,0.0414,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288.8868,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,sigma_only_nugget0,2.3738,True,1,4,0.0412,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,sigma_only_nugget0,2.8674,True,0,2,0.1411,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.3000,0.5000,0,range_only_nugget0,2.2247,True,4,14,0.0289,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0192,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.5000,0,range_only_nugget0,2.1331,True,4,12,0.0464,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0105,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.5000,0,range_only_nugget0,2.1854,True,7,16,0.1279,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0056,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.5000,0,range_only_nugget0,2.1872,True,5,12,0.6381,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0033,0.0000,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,full_nugget_free,2.1540,True,10,48,0.3262,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0522,0.0811,3.2133,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,full_nugget_free,2.0643,True,11,56,0.8375,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.4211,0.0364,2.8306,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,full_nugget_free,2.0373,True,9,44,2.6173,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.7479,0.0329,2.7064,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,full_nugget_free,1.9581,True,10,52,11.9070,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.2367,0.0353,2.4563,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,full_nugget0,2.3244,True,9,51,0.2468,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.4082,0.0072,0.0000,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,full_nugget0,2.1772,True,9,36,0.5679,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0280,0.0030,0.0000,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,full_nugget0,2.4279,True,7,27,1.5768,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.3439,0.0030,0.0000,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,full_nugget0,2.6133,True,6,24,5.4858,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,185.8970,0.0030,0.0000,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,sigma_only_nugget_free,2.2508,True,5,18,0.0834,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,218.3894,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,sigma_only_nugget_free,2.1482,True,1,4,0.0561,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,sigma_only_nugget_free,2.1136,True,0,2,0.1199,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,sigma_only_nugget_free,2.0226,True,0,2,0.4673,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,range_only_nugget_free,2.1974,True,5,14,0.0743,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0472,2.0000,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,range_only_nugget_free,2.0994,True,2,10,0.1460,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0433,2.0000,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,range_only_nugget_free,2.0544,True,5,14,1.0782,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0235,2.0000,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,range_only_nugget_free,1.9682,True,3,12,2.7306,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0274,2.0000,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,nugget_only,2.1895,True,6,16,0.0830,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,3.9225,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,nugget_only,2.1101,True,3,18,0.2532,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,3.5291,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,nugget_only,2.1097,True,3,10,0.5890,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,3.5539,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,nugget_only,2.0786,True,3,18,3.9164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,3.3461,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,sigma_only_nugget0,573.7374,True,1,4,0.0247,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,sigma_only_nugget0,4147.7475,True,0,2,0.0357,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,sigma_only_nugget0,38550.1041,True,0,2,0.0939,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,sigma_only_nugget0,276537.3610,True,0,2,0.4362,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.3000,1.5000,0,range_only_nugget0,2.3248,True,6,26,0.1338,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0073,0.0000,12.0000,0.3000,2.0000
400,0.3000,1.5000,0,range_only_nugget0,2.2150,True,7,18,0.2362,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0037,0.0000,12.0000,0.3000,2.0000
800,0.3000,1.5000,0,range_only_nugget0,2.7284,True,1,4,0.2367,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
1600,0.3000,1.5000,0,range_only_nugget0,8.4888,True,0,2,0.4236,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,full_nugget_free,1.9359,True,11,60,0.9191,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.8770,0.0447,1.3778,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,full_nugget_free,1.8719,True,12,56,2.7963,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.6344,0.2823,1.7081,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,full_nugget_free,1.8740,True,13,60,8.4854,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.5421,1.0000,1.7918,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,full_nugget_free,1.8366,True,11,56,23.6004,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.9779,0.6387,1.9236,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,full_nugget0,1.9614,True,13,51,0.7116,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.4566,0.0138,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,full_nugget0,1.9574,True,10,36,1.6613,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.9947,0.0134,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,full_nugget0,1.9763,True,13,45,9.9395,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.4555,0.0777,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,full_nugget0,1.9772,True,13,57,38.3565,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.9882,0.0054,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,sigma_only_nugget_free,1.9512,True,2,10,0.1424,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.2213,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,sigma_only_nugget_free,1.8753,True,4,12,0.4744,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1004,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,sigma_only_nugget_free,1.8774,True,3,10,1.5278,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.7699,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,sigma_only_nugget_free,1.8371,True,4,12,6.3045,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.7252,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,range_only_nugget_free,1.9563,True,1,4,0.0581,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,range_only_nugget_free,1.8796,True,0,2,0.0619,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,range_only_nugget_free,1.8759,True,0,2,0.2434,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,range_only_nugget_free,1.8399,True,0,2,0.8569,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,nugget_only,1.9554,True,4,12,0.1381,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.1528,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,nugget_only,1.8904,True,3,10,0.3925,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.3414,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,nugget_only,1.8824,True,3,10,1.5003,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.5611,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,nugget_only,1.8523,True,4,12,6.4006,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.7017,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,sigma_only_nugget0,2.0051,True,5,14,0.1417,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.1160,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,sigma_only_nugget0,1.9789,True,5,14,0.5328,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.1426,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,sigma_only_nugget0,1.9776,True,4,12,1.8454,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.6931,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,sigma_only_nugget0,1.9906,True,4,12,6.3067,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,85.1401,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.3000,0,range_only_nugget0,1.9921,True,4,12,0.2125,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0794,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.3000,0,range_only_nugget0,1.9677,True,4,12,0.6574,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0444,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.3000,0,range_only_nugget0,1.9838,True,4,12,2.4725,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0248,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.3000,0,range_only_nugget0,1.9802,True,4,12,7.5740,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0108,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,full_nugget_free,1.9350,True,13,60,0.0704,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5604,0.0407,1.7211,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,full_nugget_free,1.8704,True,10,48,0.1234,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1506,0.1356,1.8827,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,full_nugget_free,1.8733,True,13,60,0.6097,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.4788,0.3570,1.9795,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,full_nugget_free,1.8352,True,12,56,2.1839,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.4104,0.2286,2.0174,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,full_nugget0,1.9865,True,14,51,0.0528,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3139,0.0079,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,full_nugget0,2.0092,True,8,30,0.0763,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.4499,0.0055,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,full_nugget0,2.0769,True,10,36,0.3581,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.4407,0.0125,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,full_nugget0,2.0580,True,7,36,1.2910,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.5231,0.0030,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,sigma_only_nugget_free,1.9541,True,2,8,0.0070,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10.2261,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,sigma_only_nugget_free,1.8720,True,3,10,0.0246,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.6142,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,sigma_only_nugget_free,1.8734,True,3,10,0.0964,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.2451,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,sigma_only_nugget_free,1.8352,True,4,14,0.5566,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8.3108,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,range_only_nugget_free,1.9547,True,3,10,0.0123,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.2927,2.0000,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,range_only_nugget_free,1.8730,True,2,8,0.0232,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.4558,2.0000,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,range_only_nugget_free,1.8734,True,3,10,0.0891,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3011,2.0000,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,range_only_nugget_free,1.8353,True,2,8,0.2851,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.4303,2.0000,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,nugget_only,1.9540,True,5,14,0.0197,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,1.8677,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,nugget_only,1.8742,True,3,10,0.0328,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.8399,12.0000,0.3000,2.0000
