date_str,day_idx,hour_idx,time_key,fit_scope,smooth,mean_design,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_valid,est_sigmasq,est_range_lat,est_range_lon,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,head_right_cols,above_count,right_col_count,per_time_conditioning_count
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3767,7,8,0.0460,4.4050,4.4510,18104,13.4236,0.1673,0.1705,1.1392,1,18104,10.0000,10,18104,10,,,,
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3806,1,2,0.8320,3.7540,4.5860,18104,13.1597,0.1476,0.1540,0.8789,1,18104,10.0000,10,18104,10,0.0000,2.0000,3.0000,10.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4123,0,1,0.0440,2.8480,2.8930,18102,11.9627,0.1821,0.1786,1.8556,1,18102,10.0000,10,18102,10,,,,
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4212,0,1,0.8270,2.7050,3.5320,18102,11.9404,0.1439,0.1517,1.3303,1,18102,10.0000,10,18102,10,0.0000,2.0000,3.0000,10.0000
20240703,2,,,pooled_day,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4024,0,1,0.5040,16.9440,17.4480,140352,14.0544,0.1881,0.2196,1.5902,1,140352,10.0000,10,140352,10,,,,
20240703,2,,,pooled_day,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4082,0,1,1.2770,16.7380,18.0150,140352,13.7069,0.1666,0.2002,1.3772,1,140352,10.0000,10,140352,10,0.0000,2.0000,3.0000,10.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4144,0,1,0.0490,2.2410,2.2890,18067,10.1131,0.2284,0.3161,3.2057,1,18067,10.0000,10,18067,10,,,,
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4176,0,1,0.8280,2.4530,3.2810,18067,10.3230,0.1975,0.2764,2.8833,1,18067,10.0000,10,18067,10,0.0000,2.0000,3.0000,10.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3504,0,1,0.0490,2.6530,2.7010,17670,12.7317,0.2020,0.2804,1.8742,1,17670,10.0000,10,17670,10,,,,
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3555,0,1,0.8140,2.6790,3.4930,17670,12.1104,0.1788,0.2592,1.7756,1,17670,10.0000,10,17670,10,0.0000,2.0000,3.0000,10.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3593,0,1,0.0460,2.6130,2.6590,16698,15.2134,0.1972,0.2556,1.2428,1,16698,10.0000,10,16698,10,,,,
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3646,0,1,0.7600,2.8570,3.6170,16698,14.7476,0.1827,0.2415,1.1656,1,16698,10.0000,10,16698,10,0.0000,2.0000,3.0000,10.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3924,0,1,0.0490,2.5340,2.5830,16863,16.7613,0.1945,0.2455,1.0878,1,16863,10.0000,10,16863,10,,,,
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3794,7,8,0.7720,4.3670,5.1390,16863,16.4843,0.1729,0.2204,0.8129,1,16863,10.0000,10,16863,10,0.0000,2.0000,3.0000,10.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4445,0,1,0.0470,2.6040,2.6510,17088,17.4400,0.1805,0.2174,1.0119,1,17088,10.0000,10,17088,10,,,,
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4502,0,1,0.7830,2.7010,3.4840,17088,16.9148,0.1662,0.2032,0.8946,1,17088,10.0000,10,17088,10,0.0000,2.0000,3.0000,10.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4470,0,1,0.0530,3.2050,3.2570,17760,15.2898,0.1742,0.1854,1.2453,1,17760,10.0000,10,17760,10,,,,
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4512,0,1,0.8180,3.0900,3.9080,17760,14.9798,0.1581,0.1721,1.0505,1,17760,10.0000,10,17760,10,0.0000,2.0000,3.0000,10.0000
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3767,7,8,0.0510,4.7400,4.7910,18104,13.4236,0.1673,0.1705,1.1392,1,18104,10.0000,10,18104,10,,,,
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3806,1,2,0.8440,3.7840,4.6290,18104,13.1597,0.1476,0.1540,0.8789,1,18104,10.0000,10,18104,10,0.0000,2.0000,3.0000,10.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,hour_spatial,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4123,0,1,0.0500,2.8080,2.8580,18102,11.9627,0.1821,0.1786,1.8556,1,18102,10.0000,10,18102,10,,,,
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,hour_spatial,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4212,0,1,0.8430,3.0140,3.8570,18102,11.9404,0.1439,0.1517,1.3303,1,18102,10.0000,10,18102,10,0.0000,2.0000,3.0000,10.0000
