date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,29,33.8011832181167,33.80557707630151,0,10.885126799054529,,6.8310900173544225,5.316689169029526,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,30,34.946986039069806,34.978238907489704,0,10.885126799054529,,6.831073556390516,5.3166763573364735,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,31,36.092788860022914,36.13158704314454,0,10.885126799054529,,6.831059374445668,5.31666531942124,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,32,37.23859168097602,37.27131507371626,0,10.885126799054529,,6.831047038745291,5.31665571845208,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,33,38.38439450192913,38.408323214044735,0,10.885126799054529,,6.831036144007809,5.3166472389952695,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,34,39.53019732288224,39.516826790211844,0,10.885126799054529,,6.83102669132616,5.316639881901451,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,35,40.676000143835346,40.64537353336212,0,10.885126799054529,,6.8310181001169035,5.316633195298128,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,36,41.82180296478845,41.8074915501277,0,10.885126799054529,,6.8310101928172235,5.316627040986817,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,37,42.96760578574156,42.97758132048538,0,10.885126799054529,,6.831003072208028,5.316621498962675,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,38,44.11340860669467,44.12023387815045,0,10.885126799054529,,6.830996826269939,5.31661663770169,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,39,45.25921142764778,45.263273002223634,0,10.885126799054529,,6.8309911977681255,5.3166122569960415,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,40,46.40501424860089,46.401623114899365,0,10.885126799054529,,6.830986126165827,5.316608309729508,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,41,47.550817069554,47.54209628556936,0,10.885126799054529,,6.830981523991565,5.3166047278223765,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,42,48.69661989050711,48.704018109813944,0,10.885126799054529,,6.830977265247517,5.316601413209584,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,43,49.842422711460216,49.82798037973217,0,10.885126799054529,,6.830973515315193,5.316598494608816,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,44,50.988225532413324,50.984981939444005,0,10.885126799054529,,6.830969994535261,5.316595754359092,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,45,52.13402835336643,52.13691557001522,0,10.885126799054529,,6.830966789967927,5.316593260220032,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,46,53.27983117431954,53.23891056784509,0,10.885126799054529,,6.830963978526769,5.316591072054056,0.7783075842248378
