smooth,resolution_stride,resolution_label,k_bin,k_mid,effective_k_max,data_spectrum,theory_spectrum_scaled,n_hours
0.3,2,x2,1,0.2735402741449877,6.337016351025548,1073.8081374069816,993.4253508957129,8
0.3,2,x2,2,0.4559004569083128,6.337016351025548,274.8410874306553,564.4509807792799,8
0.3,2,x2,3,0.6382606396716379,6.337016351025548,89.8815807231864,324.11763152569694,8
0.3,2,x2,4,0.8206208224349631,6.337016351025548,65.62033848220858,201.73976074881722,8
0.3,2,x2,5,1.0029810051982881,6.337016351025548,53.66809682408433,136.39704429513395,8
0.3,2,x2,6,1.1853411879616134,6.337016351025548,37.91265074585561,94.19856023273337,8
0.3,2,x2,7,1.3677013707249386,6.337016351025548,26.21587276185474,67.61490140604708,8
0.3,2,x2,8,1.5500615534882636,6.337016351025548,22.14971738044413,49.92676748611025,8
0.3,2,x2,9,1.7324217362515888,6.337016351025548,17.81835526374678,38.67440080610298,8
0.3,2,x2,10,1.9147819190149138,6.337016351025548,16.922059603982103,30.41806803199284,8
0.3,2,x2,11,2.097142101778239,6.337016351025548,13.920702976551986,24.511172637752253,8
0.3,2,x2,12,2.2795022845415644,6.337016351025548,12.368157613963346,20.05177775347868,8
0.3,2,x2,13,2.461862467304889,6.337016351025548,10.157979824347107,16.514583438034844,8
0.3,2,x2,14,2.6442226500682144,6.337016351025548,9.495043439226205,13.744939699480952,8
0.3,2,x2,15,2.82658283283154,6.337016351025548,8.333573371900336,11.550770153779084,8
0.3,2,x2,16,3.0089430155948644,6.337016351025548,7.474397994177583,9.858707606076374,8
0.3,2,x2,17,3.19130319835819,6.337016351025548,7.221888617517637,8.508179661190313,8
0.3,2,x2,18,3.3736633811215153,6.337016351025548,7.466361025653478,7.372437625890047,8
0.3,2,x2,19,3.55602356388484,6.337016351025548,6.504252559278684,6.444602233534755,8
0.3,2,x2,20,3.7383837466481653,6.337016351025548,6.143287178302133,5.677865403657689,8
0.3,2,x2,21,3.9207439294114903,6.337016351025548,5.6183675969669835,5.040186369108344,8
0.3,2,x2,22,4.103104112174815,6.337016351025548,6.1859360261177105,4.492013458501711,8
0.3,2,x2,23,4.285464294938141,6.337016351025548,6.5114950047138995,4.020744826707017,8
0.3,2,x2,24,4.467824477701466,6.337016351025548,6.019593269037142,3.608905015940187,8
0.3,2,x2,25,4.650184660464791,6.337016351025548,5.910070127956981,3.2451842199852154,8
0.3,2,x2,26,4.832544843228116,6.337016351025548,5.73572549041007,2.9423088055200606,8
0.3,2,x2,27,5.014905025991441,6.337016351025548,5.880617782611862,2.6738742777448086,8
0.3,2,x2,28,5.197265208754766,6.337016351025548,5.702139602706371,2.4362595956668267,8
0.3,2,x2,29,5.379625391518092,6.337016351025548,6.071855698301921,2.2302716783522873,8
0.3,2,x2,30,5.561985574281417,6.337016351025548,6.146839616510817,2.042456254303052,8
0.3,2,x2,31,5.744345757044742,6.337016351025548,6.38839052796724,1.8783239506982432,8
0.3,2,x2,32,5.926705939808067,6.337016351025548,6.723555033466752,1.7335959499791787,8
0.3,2,x2,33,6.109066122571392,6.337016351025548,7.199053081003803,1.6041035273954756,8
0.3,2,x2,34,6.291426305334717,6.337016351025548,7.187921751735084,1.4903505771393848,8
