k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.7 b=0.1 nugget0,GC a=0.7 b=0.07 nugget0,GC a=0.8 b=0.15 nugget0,GC a=0.8 b=0.1 nugget0,GC a=0.8 b=0.07 nugget0
55,63.5921,1.0973,0.9605,0.9571,0.9549,0.9796,0.9757,0.9733
56,64.7379,1.0646,0.9294,0.9260,0.9239,0.9482,0.9444,0.9421
57,65.8837,1.1128,0.9694,0.9658,0.9635,0.9894,0.9853,0.9828
58,67.0295,1.0532,0.9166,0.9134,0.9113,0.9356,0.9319,0.9296
59,68.1753,1.0914,0.9488,0.9451,0.9428,0.9689,0.9647,0.9621
60,69.3211,1.0980,0.9532,0.9494,0.9471,0.9737,0.9694,0.9668
61,70.4669,1.1216,0.9725,0.9686,0.9662,0.9936,0.9892,0.9865
62,71.6127,1.0675,0.9230,0.9194,0.9172,0.9433,0.9391,0.9366
63,72.7585,1.0182,0.8759,0.8725,0.8705,0.8954,0.8915,0.8891
64,73.9043,1.0308,0.8833,0.8799,0.8778,0.9034,0.8994,0.8970
65,75.0501,1.0317,0.8824,0.8789,0.8768,0.9027,0.8986,0.8961
66,76.1959,1.0407,0.8880,0.8845,0.8823,0.9087,0.9045,0.9020
67,77.3417,1.0587,0.9019,0.8982,0.8959,0.9231,0.9188,0.9162
68,78.4875,1.0032,0.8534,0.8499,0.8477,0.8737,0.8695,0.8670
69,79.6333,1.0262,0.8720,0.8684,0.8662,0.8929,0.8886,0.8861
