fit_smooth,variant,profile_type,resolution_label,resolution_stride,k_bin,k_mid,data_spectrum,n_hours,effective_k_max
0.3,nugget0,range_only,x4,2,45,,,0,
0.3,nugget0,range_only,x4,2,46,,,0,
0.3,nugget0,range_only,x4,2,47,,,0,
0.3,nugget0,range_only,x4,2,48,,,0,
0.3,nugget0,range_only,x4,2,49,,,0,
0.3,nugget0,range_only,x4,2,50,,,0,
0.3,nugget0,range_only,x4,2,51,,,0,
0.3,nugget0,range_only,x4,2,52,,,0,
0.3,nugget0,range_only,x4,2,53,,,0,
0.3,nugget0,range_only,x4,2,54,,,0,
0.3,nugget0,range_only,x4,2,55,,,0,
0.3,nugget0,range_only,x4,2,56,,,0,
0.3,nugget0,range_only,x4,2,57,,,0,
0.3,nugget0,range_only,x4,2,58,,,0,
0.3,nugget0,range_only,x4,2,59,,,0,
0.3,nugget0,range_only,x4,2,60,,,0,
0.3,nugget0,range_only,x4,2,61,,,0,
0.3,nugget0,range_only,x4,2,62,,,0,
0.3,nugget0,range_only,x4,2,63,,,0,
0.3,nugget0,range_only,x4,2,64,,,0,
0.3,nugget0,range_only,x4,2,65,,,0,
0.3,nugget0,range_only,x4,2,66,,,0,
0.3,nugget0,range_only,x4,2,67,,,0,
0.3,nugget0,range_only,x4,2,68,,,0,
0.3,nugget0,range_only,x4,2,69,,,0,
0.3,nugget0,range_only,x4,4,0,0.5729014104765542,225.61286778159226,8,19.908324014060256
0.3,nugget0,range_only,x4,4,1,1.7187042314296626,298.3401265176732,8,19.908324014060256
0.3,nugget0,range_only,x4,4,2,2.8645070523827707,210.97668538081084,8,19.908324014060256
0.3,nugget0,range_only,x4,4,3,4.0103098733358795,136.7170400436822,8,19.908324014060256
0.3,nugget0,range_only,x4,4,4,5.156112694288987,63.262652670871105,8,19.908324014060256
0.3,nugget0,range_only,x4,4,5,6.301915515242095,42.942742373724926,8,19.908324014060256
0.3,nugget0,range_only,x4,4,6,7.447718336195205,31.30340619795162,8,19.908324014060256
0.3,nugget0,range_only,x4,4,7,8.593521157148313,27.392076101893846,8,19.908324014060256
0.3,nugget0,range_only,x4,4,8,9.739323978101421,23.808867973551163,8,19.908324014060256
0.3,nugget0,range_only,x4,4,9,10.885126799054529,18.626708337687134,8,19.908324014060256
0.3,nugget0,range_only,x4,4,10,12.030929620007637,15.950058141143044,8,19.908324014060256
0.3,nugget0,range_only,x4,4,11,13.176732440960746,12.379297025181005,8,19.908324014060256
0.3,nugget0,range_only,x4,4,12,14.322535261913854,13.218960762584556,8,19.908324014060256
0.3,nugget0,range_only,x4,4,13,15.468338082866964,11.501826364539255,8,19.908324014060256
0.3,nugget0,range_only,x4,4,14,16.614140903820072,9.339132897971956,8,19.908324014060256
0.3,nugget0,range_only,x4,4,15,17.75994372477318,9.02152714322734,8,19.908324014060256
0.3,nugget0,range_only,x4,4,16,18.905746545726288,8.35618443857051,8,19.908324014060256
0.3,nugget0,range_only,x4,4,17,,,0,
0.3,nugget0,range_only,x4,4,18,,,0,
0.3,nugget0,range_only,x4,4,19,,,0,
0.3,nugget0,range_only,x4,4,20,,,0,
0.3,nugget0,range_only,x4,4,21,,,0,
0.3,nugget0,range_only,x4,4,22,,,0,
0.3,nugget0,range_only,x4,4,23,,,0,
0.3,nugget0,range_only,x4,4,24,,,0,
0.3,nugget0,range_only,x4,4,25,,,0,
0.3,nugget0,range_only,x4,4,26,,,0,
0.3,nugget0,range_only,x4,4,27,,,0,
0.3,nugget0,range_only,x4,4,28,,,0,
0.3,nugget0,range_only,x4,4,29,,,0,
0.3,nugget0,range_only,x4,4,30,,,0,
0.3,nugget0,range_only,x4,4,31,,,0,
0.3,nugget0,range_only,x4,4,32,,,0,
0.3,nugget0,range_only,x4,4,33,,,0,
0.3,nugget0,range_only,x4,4,34,,,0,
0.3,nugget0,range_only,x4,4,35,,,0,
0.3,nugget0,range_only,x4,4,36,,,0,
0.3,nugget0,range_only,x4,4,37,,,0,
0.3,nugget0,range_only,x4,4,38,,,0,
0.3,nugget0,range_only,x4,4,39,,,0,
0.3,nugget0,range_only,x4,4,40,,,0,
0.3,nugget0,range_only,x4,4,41,,,0,
0.3,nugget0,range_only,x4,4,42,,,0,
0.3,nugget0,range_only,x4,4,43,,,0,
0.3,nugget0,range_only,x4,4,44,,,0,
0.3,nugget0,range_only,x4,4,45,,,0,
0.3,nugget0,range_only,x4,4,46,,,0,
0.3,nugget0,range_only,x4,4,47,,,0,
0.3,nugget0,range_only,x4,4,48,,,0,
0.3,nugget0,range_only,x4,4,49,,,0,
0.3,nugget0,range_only,x4,4,50,,,0,
0.3,nugget0,range_only,x4,4,51,,,0,
0.3,nugget0,range_only,x4,4,52,,,0,
0.3,nugget0,range_only,x4,4,53,,,0,
0.3,nugget0,range_only,x4,4,54,,,0,
0.3,nugget0,range_only,x4,4,55,,,0,
0.3,nugget0,range_only,x4,4,56,,,0,
0.3,nugget0,range_only,x4,4,57,,,0,
0.3,nugget0,range_only,x4,4,58,,,0,
0.3,nugget0,range_only,x4,4,59,,,0,
0.3,nugget0,range_only,x4,4,60,,,0,
0.3,nugget0,range_only,x4,4,61,,,0,
0.3,nugget0,range_only,x4,4,62,,,0,
0.3,nugget0,range_only,x4,4,63,,,0,
0.3,nugget0,range_only,x4,4,64,,,0,
0.3,nugget0,range_only,x4,4,65,,,0,
0.3,nugget0,range_only,x4,4,66,,,0,
0.3,nugget0,range_only,x4,4,67,,,0,
0.3,nugget0,range_only,x4,4,68,,,0,
0.3,nugget0,range_only,x4,4,69,,,0,
0.3,nugget0,range_only,x4,8,0,,,0,
0.3,nugget0,range_only,x4,8,1,,,0,
0.3,nugget0,range_only,x4,8,2,,,0,
0.3,nugget0,range_only,x4,8,3,,,0,
0.3,nugget0,range_only,x4,8,4,,,0,
0.3,nugget0,range_only,x4,8,5,,,0,
0.3,nugget0,range_only,x4,8,6,,,0,
0.3,nugget0,range_only,x4,8,7,,,0,
0.3,nugget0,range_only,x4,8,8,,,0,
0.3,nugget0,range_only,x4,8,9,,,0,
0.3,nugget0,range_only,x4,8,10,,,0,
0.3,nugget0,range_only,x4,8,11,,,0,
0.3,nugget0,range_only,x4,8,12,,,0,
0.3,nugget0,range_only,x4,8,13,,,0,
0.3,nugget0,range_only,x4,8,14,,,0,
0.3,nugget0,range_only,x4,8,15,,,0,
0.3,nugget0,range_only,x4,8,16,,,0,
0.3,nugget0,range_only,x4,8,17,,,0,
0.3,nugget0,range_only,x4,8,18,,,0,
0.3,nugget0,range_only,x4,8,19,,,0,
0.3,nugget0,range_only,x4,8,20,,,0,
0.3,nugget0,range_only,x4,8,21,,,0,
0.3,nugget0,range_only,x4,8,22,,,0,
0.3,nugget0,range_only,x4,8,23,,,0,
0.3,nugget0,range_only,x4,8,24,,,0,
0.3,nugget0,range_only,x4,8,25,,,0,
0.3,nugget0,range_only,x4,8,26,,,0,
0.3,nugget0,range_only,x4,8,27,,,0,
0.3,nugget0,range_only,x4,8,28,,,0,
0.3,nugget0,range_only,x4,8,29,,,0,
0.3,nugget0,range_only,x4,8,30,,,0,
0.3,nugget0,range_only,x4,8,31,,,0,
0.3,nugget0,range_only,x4,8,32,,,0,
0.3,nugget0,range_only,x4,8,33,,,0,
0.3,nugget0,range_only,x4,8,34,,,0,
0.3,nugget0,range_only,x4,8,35,,,0,
0.3,nugget0,range_only,x4,8,36,,,0,
0.3,nugget0,range_only,x4,8,37,,,0,
0.3,nugget0,range_only,x4,8,38,,,0,
0.3,nugget0,range_only,x4,8,39,,,0,
