k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free
35,40.6760,1.0293,1.0476,1.0103,1.0228,1.0105,1.0241,1.0106,1.0251
36,41.8218,1.0896,1.1013,1.0665,1.0768,1.0670,1.0782,1.0674,1.0793
37,42.9676,1.1196,1.1241,1.0927,1.1007,1.0936,1.1021,1.0942,1.1032
38,44.1134,1.0915,1.0898,1.0631,1.0688,1.0642,1.0701,1.0651,1.0710
39,45.2592,1.0863,1.0780,1.0557,1.0589,1.0571,1.0602,1.0581,1.0611
40,46.4050,1.0783,1.0648,1.0462,1.0475,1.0478,1.0487,1.0489,1.0496
41,47.5508,1.0910,1.0714,1.0564,1.0555,1.0582,1.0566,1.0596,1.0574
42,48.6966,1.0604,1.0368,1.0253,1.0227,1.0273,1.0238,1.0287,1.0245
43,49.8424,1.0902,1.0615,1.0527,1.0484,1.0548,1.0494,1.0565,1.0501
44,50.9882,1.0441,1.0138,1.0075,1.0024,1.0096,1.0033,1.0113,1.0040
45,52.1340,1.0430,1.0090,1.0053,0.9988,1.0076,0.9997,1.0094,1.0003
46,53.2798,1.0388,1.0005,1.0000,0.9919,1.0024,0.9927,1.0043,0.9932
47,54.4256,1.0793,1.0370,1.0387,1.0291,1.0414,1.0299,1.0434,1.0305
48,55.5714,1.0375,0.9946,0.9981,0.9880,1.0007,0.9888,1.0027,0.9893
49,56.7172,1.0412,0.9937,1.0005,0.9886,1.0032,0.9893,1.0054,0.9897
50,57.8630,1.0600,1.0092,1.0180,1.0049,1.0209,1.0056,1.0232,1.0060
51,59.0088,1.0685,1.0134,1.0252,1.0105,1.0283,1.0111,1.0306,1.0115
52,60.1546,1.0839,1.0261,1.0397,1.0239,1.0429,1.0245,1.0453,1.0248
53,61.3005,1.0421,0.9837,0.9990,0.9826,1.0022,0.9832,1.0046,0.9835
54,62.4463,1.0052,0.9464,0.9631,0.9463,0.9662,0.9468,0.9686,0.9470
55,63.5921,1.0685,1.0042,1.0233,1.0047,1.0268,1.0052,1.0294,1.0055
56,64.7379,1.0249,0.9607,0.9810,0.9621,0.9844,0.9625,0.9869,0.9627
57,65.8837,1.0545,0.9869,1.0089,0.9888,1.0124,0.9892,1.0151,0.9894
58,67.0295,0.9789,0.9140,0.9363,0.9168,0.9396,0.9171,0.9421,0.9172
59,68.1753,1.0104,0.9434,0.9665,0.9463,0.9700,0.9467,0.9726,0.9468
60,69.3211,0.9600,0.8953,0.9182,0.8985,0.9215,0.8988,0.9240,0.8989
61,70.4669,1.0420,0.9708,0.9964,0.9746,1.0001,0.9750,1.0028,0.9751
62,71.6127,1.0166,0.9442,0.9712,0.9488,0.9749,0.9490,0.9776,0.9491
63,72.7585,1.0071,0.9295,0.9606,0.9357,0.9643,0.9359,0.9672,0.9358
64,73.9043,0.9732,0.8937,0.9274,0.9014,0.9312,0.9014,0.9341,0.9013
65,75.0501,0.9875,0.9047,0.9408,0.9134,0.9447,0.9134,0.9477,0.9132
66,76.1959,1.0023,0.9156,0.9544,0.9253,0.9585,0.9253,0.9616,0.9250
67,77.3417,1.0010,0.9125,0.9528,0.9228,0.9569,0.9227,0.9600,0.9225
68,78.4875,1.0235,0.9311,0.9740,0.9425,0.9783,0.9423,0.9815,0.9420
69,79.6333,0.9441,0.8575,0.8983,0.8685,0.9022,0.8683,0.9053,0.8680
