true_smooth,fit_smooth,resolution_stride,resolution_label,fit_type,n_reps,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,nugget_mean,nugget_sd,success_rate,fit_s_mean
0.3000,1.5000,1,x1,sigma_only_nugget0,5,43.7625,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0255
0.3000,1.5000,1,x1,sigma_only_nugget_free,5,2.4013,81.0241,29.7085,0.0800,0.0000,2.0000,0.0000,1.0000,0.0971
0.3000,1.5000,2,x2,full_nugget0,5,2.4421,10.6893,2.3220,0.0081,0.0007,0.0000,0.0000,1.0000,0.0981
0.3000,1.5000,2,x2,full_nugget_free,5,2.3581,6.9314,1.6234,0.0401,0.0187,4.0966,0.9555,1.0000,0.0928
0.3000,1.5000,2,x2,nugget_only,5,2.3820,12.0000,0.0000,0.0800,0.0000,4.7680,0.4222,1.0000,0.0297
0.3000,1.5000,2,x2,range_only_nugget0,5,2.4505,12.0000,0.0000,0.0086,0.0010,0.0000,0.0000,1.0000,0.0519
0.3000,1.5000,2,x2,range_only_nugget_free,5,2.4272,12.0000,0.0000,0.0163,0.0037,2.0000,0.0000,1.0000,0.0277
0.3000,1.5000,2,x2,sigma_only_nugget0,5,8.6996,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0086
0.3000,1.5000,2,x2,sigma_only_nugget_free,5,2.5364,37.0510,7.0567,0.0800,0.0000,2.0000,0.0000,1.0000,0.0208
0.3000,1.5000,4,x4,full_nugget0,5,2.4353,10.5401,1.9815,0.0161,0.0041,0.0000,0.0000,1.0000,0.0373
0.3000,1.5000,4,x4,full_nugget_free,5,2.4044,6.9076,3.1591,0.1962,0.3391,3.8601,1.9402,1.0000,0.0416
0.3000,1.5000,4,x4,nugget_only,5,2.4383,12.0000,0.0000,0.0800,0.0000,4.8116,1.0033,1.0000,0.0092
0.3000,1.5000,4,x4,range_only_nugget0,5,2.4435,12.0000,0.0000,0.0171,0.0032,0.0000,0.0000,1.0000,0.0184
0.3000,1.5000,4,x4,range_only_nugget_free,5,2.4392,12.0000,0.0000,0.0274,0.0069,2.0000,0.0000,1.0000,0.0104
0.3000,1.5000,4,x4,sigma_only_nugget0,5,3.0363,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0027
0.3000,1.5000,4,x4,sigma_only_nugget_free,5,2.5688,29.6101,20.0493,0.0800,0.0000,2.0000,0.0000,1.0000,0.0088
0.3000,1.5000,8,x8,full_nugget0,5,2.5449,11.3221,1.8113,0.0248,0.0092,0.0000,0.0000,1.0000,0.0105
0.3000,1.5000,8,x8,full_nugget_free,5,2.4934,5.3444,3.4426,0.1469,0.0775,6.2680,2.7620,1.0000,0.0131
0.3000,1.5000,8,x8,nugget_only,5,2.5418,12.0000,0.0000,0.0800,0.0000,5.3195,2.3835,1.0000,0.0018
0.3000,1.5000,8,x8,range_only_nugget0,5,2.5504,12.0000,0.0000,0.0254,0.0083,0.0000,0.0000,1.0000,0.0062
0.3000,1.5000,8,x8,range_only_nugget_free,5,2.5423,12.0000,0.0000,0.0409,0.0249,2.0000,0.0000,1.0000,0.0029
0.3000,1.5000,8,x8,sigma_only_nugget0,5,2.8792,82.7514,26.1334,0.0800,0.0000,0.0000,0.0000,1.0000,0.0024
0.3000,1.5000,8,x8,sigma_only_nugget_free,5,2.6618,21.8260,18.6462,0.0800,0.0000,2.0000,0.0000,1.0000,0.0014
0.5000,0.3000,1,x1,full_nugget0,5,2.1005,12.4516,2.0493,0.0489,0.0100,0.0000,0.0000,1.0000,1.0216
0.5000,0.3000,1,x1,full_nugget_free,5,2.0825,10.3423,1.6788,0.0997,0.0391,1.0883,0.3091,1.0000,1.2513
0.5000,0.3000,1,x1,nugget_only,5,2.0879,12.0000,0.0000,0.0800,0.0000,0.7979,0.2430,1.0000,0.4479
0.5000,0.3000,1,x1,range_only_nugget0,5,2.1012,12.0000,0.0000,0.0469,0.0088,0.0000,0.0000,1.0000,0.2904
0.5000,0.3000,1,x1,range_only_nugget_free,5,2.0966,12.0000,0.0000,0.2163,0.0701,2.0000,0.0000,1.0000,0.2845
0.5000,0.3000,1,x1,sigma_only_nugget0,5,2.1025,16.5127,1.9316,0.0800,0.0000,0.0000,0.0000,1.0000,0.4062
0.5000,0.3000,1,x1,sigma_only_nugget_free,5,2.0978,7.2918,1.6700,0.0800,0.0000,2.0000,0.0000,1.0000,0.2939
0.5000,0.3000,2,x2,full_nugget0,5,2.1952,11.8264,1.8261,0.0628,0.0117,0.0000,0.0000,1.0000,0.2840
0.5000,0.3000,2,x2,full_nugget_free,5,2.1912,10.8922,1.4960,0.0858,0.0371,0.5966,0.5953,1.0000,0.6047
0.5000,0.3000,2,x2,nugget_only,5,2.1966,12.0000,0.0000,0.0800,0.0000,0.3929,0.2258,1.0000,0.1604
0.5000,0.3000,2,x2,range_only_nugget0,5,2.1961,12.0000,0.0000,0.0657,0.0134,0.0000,0.0000,1.0000,0.0816
0.5000,0.3000,2,x2,range_only_nugget_free,5,2.2145,12.0000,0.0000,0.1886,0.0606,2.0000,0.0000,1.0000,0.0640
0.5000,0.3000,2,x2,sigma_only_nugget0,5,2.1964,13.5071,1.6153,0.0800,0.0000,0.0000,0.0000,1.0000,0.1049
0.5000,0.3000,2,x2,sigma_only_nugget_free,5,2.2155,7.9499,1.8353,0.0800,0.0000,2.0000,0.0000,1.0000,0.0958
0.5000,0.3000,4,x4,full_nugget0,5,2.3548,11.9467,1.5758,0.0723,0.0341,0.0000,0.0000,1.0000,0.0762
0.5000,0.3000,4,x4,full_nugget_free,5,2.3532,11.4898,1.6892,0.0867,0.0553,0.3631,0.5636,1.0000,0.2281
0.5000,0.3000,4,x4,nugget_only,5,2.3602,12.0000,0.0000,0.0800,0.0000,0.6396,0.8998,1.0000,0.0564
0.5000,0.3000,4,x4,range_only_nugget0,5,2.3560,12.0000,0.0000,0.0731,0.0293,0.0000,0.0000,1.0000,0.0228
0.5000,0.3000,4,x4,range_only_nugget_free,5,2.3660,12.0000,0.0000,0.1711,0.0986,2.0000,0.0000,1.0000,0.0199
0.5000,0.3000,4,x4,sigma_only_nugget0,5,2.3596,13.2351,3.1004,0.0800,0.0000,0.0000,0.0000,1.0000,0.0267
0.5000,0.3000,4,x4,sigma_only_nugget_free,5,2.3702,9.0364,2.5467,0.0800,0.0000,2.0000,0.0000,1.0000,0.0291
0.5000,0.3000,8,x8,full_nugget0,5,2.4701,11.6160,2.4033,0.0797,0.0569,0.0000,0.0000,1.0000,0.0160
0.5000,0.3000,8,x8,full_nugget_free,5,2.4690,10.7180,1.3636,0.1004,0.0929,0.7637,1.0410,1.0000,0.0496
0.5000,0.3000,8,x8,nugget_only,5,2.4866,12.0000,0.0000,0.0800,0.0000,1.1327,1.5634,1.0000,0.0139
0.5000,0.3000,8,x8,range_only_nugget0,5,2.4747,12.0000,0.0000,0.0821,0.0475,0.0000,0.0000,1.0000,0.0067
0.5000,0.3000,8,x8,range_only_nugget_free,5,2.4824,12.0000,0.0000,0.1644,0.1120,2.0000,0.0000,1.0000,0.0044
0.5000,0.3000,8,x8,sigma_only_nugget0,5,2.4887,12.6887,3.5554,0.0800,0.0000,0.0000,0.0000,1.0000,0.0082
0.5000,0.3000,8,x8,sigma_only_nugget_free,5,2.4925,9.3645,2.6817,0.0800,0.0000,2.0000,0.0000,1.0000,0.0053
0.5000,0.5000,1,x1,full_nugget0,5,2.1529,11.9916,1.7873,0.0174,0.0016,0.0000,0.0000,1.0000,0.0671
0.5000,0.5000,1,x1,full_nugget_free,5,2.0794,10.0404,1.6014,0.0688,0.0215,1.7762,0.2435,1.0000,0.0598
0.5000,0.5000,1,x1,nugget_only,5,2.0833,12.0000,0.0000,0.0800,0.0000,1.8100,0.2706,1.0000,0.0333
0.5000,0.5000,1,x1,range_only_nugget0,5,2.1539,12.0000,0.0000,0.0176,0.0020,0.0000,0.0000,1.0000,0.0393
0.5000,0.5000,1,x1,range_only_nugget_free,5,2.0826,12.0000,0.0000,0.0908,0.0256,2.0000,0.0000,1.0000,0.0343
0.5000,0.5000,1,x1,sigma_only_nugget0,5,2.1864,49.4862,5.4632,0.0800,0.0000,0.0000,0.0000,1.0000,0.0676
0.5000,0.5000,1,x1,sigma_only_nugget_free,5,2.0828,11.0922,3.2956,0.0800,0.0000,2.0000,0.0000,1.0000,0.0248
0.5000,0.5000,2,x2,full_nugget0,5,2.2136,11.8732,1.7558,0.0294,0.0026,0.0000,0.0000,1.0000,0.0341
0.5000,0.5000,2,x2,full_nugget_free,5,2.1883,10.4241,1.9698,0.0634,0.0285,1.3278,0.9367,1.0000,0.0323
0.5000,0.5000,2,x2,nugget_only,5,2.1992,12.0000,0.0000,0.0800,0.0000,1.6795,0.3189,1.0000,0.0097
0.5000,0.5000,2,x2,range_only_nugget0,5,2.2148,12.0000,0.0000,0.0302,0.0040,0.0000,0.0000,1.0000,0.0101
0.5000,0.5000,2,x2,range_only_nugget_free,5,2.1990,12.0000,0.0000,0.0891,0.0216,2.0000,0.0000,1.0000,0.0110
0.5000,0.5000,2,x2,sigma_only_nugget0,5,2.2389,28.7267,3.2716,0.0800,0.0000,0.0000,0.0000,1.0000,0.0086
0.5000,0.5000,2,x2,sigma_only_nugget_free,5,2.1988,11.0352,3.2143,0.0800,0.0000,2.0000,0.0000,1.0000,0.0094
0.5000,0.5000,4,x4,full_nugget0,5,2.3665,12.0302,1.6488,0.0399,0.0127,0.0000,0.0000,1.0000,0.0151
0.5000,0.5000,4,x4,full_nugget_free,5,2.3522,10.3583,1.9996,0.0738,0.0415,1.6351,0.7603,1.0000,0.0258
0.5000,0.5000,4,x4,nugget_only,5,2.3604,12.0000,0.0000,0.0800,0.0000,1.9941,1.0338,1.0000,0.0059
0.5000,0.5000,4,x4,range_only_nugget0,5,2.3681,12.0000,0.0000,0.0400,0.0111,0.0000,0.0000,1.0000,0.0057
0.5000,0.5000,4,x4,range_only_nugget_free,5,2.3567,12.0000,0.0000,0.0920,0.0425,2.0000,0.0000,1.0000,0.0038
0.5000,0.5000,4,x4,sigma_only_nugget0,5,2.3927,21.7107,5.2036,0.0800,0.0000,0.0000,0.0000,1.0000,0.0049
0.5000,0.5000,4,x4,sigma_only_nugget_free,5,2.3613,11.4224,3.9411,0.0800,0.0000,2.0000,0.0000,1.0000,0.0064
0.5000,0.5000,8,x8,full_nugget0,5,2.4749,11.6234,2.2956,0.0507,0.0261,0.0000,0.0000,1.0000,0.0035
0.5000,0.5000,8,x8,full_nugget_free,5,2.4662,9.3784,0.9969,0.0971,0.0883,2.2305,1.7622,1.0000,0.0110
0.5000,0.5000,8,x8,nugget_only,5,2.4860,12.0000,0.0000,0.0800,0.0000,2.0350,2.0825,1.0000,0.0014
0.5000,0.5000,8,x8,range_only_nugget0,5,2.4797,12.0000,0.0000,0.0524,0.0244,0.0000,0.0000,1.0000,0.0015
0.5000,0.5000,8,x8,range_only_nugget_free,5,2.4793,12.0000,0.0000,0.0983,0.0591,2.0000,0.0000,1.0000,0.0013
0.5000,0.5000,8,x8,sigma_only_nugget0,5,2.5110,16.7048,5.4258,0.0800,0.0000,0.0000,0.0000,1.0000,0.0010
0.5000,0.5000,8,x8,sigma_only_nugget_free,5,2.4944,10.8406,3.6950,0.0800,0.0000,2.0000,0.0000,1.0000,0.0009
0.5000,1.5000,1,x1,full_nugget0,5,2.2804,10.3740,1.4834,0.0055,0.0003,0.0000,0.0000,1.0000,0.4191
0.5000,1.5000,1,x1,full_nugget_free,5,2.0828,9.0044,1.3219,0.0333,0.0083,2.2641,0.2491,1.0000,0.3479
0.5000,1.5000,1,x1,nugget_only,5,2.1282,12.0000,0.0000,0.0800,0.0000,2.9140,0.5312,1.0000,0.0895
0.5000,1.5000,1,x1,range_only_nugget0,5,2.2855,12.0000,0.0000,0.0059,0.0003,0.0000,0.0000,1.0000,0.1474
0.5000,1.5000,1,x1,range_only_nugget_free,5,2.0889,12.0000,0.0000,0.0354,0.0092,2.0000,0.0000,1.0000,0.0830
0.5000,1.5000,1,x1,sigma_only_nugget0,5,33.3312,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0216
0.5000,1.5000,1,x1,sigma_only_nugget_free,5,2.1226,50.5113,35.4280,0.0800,0.0000,2.0000,0.0000,1.0000,0.0639
0.5000,1.5000,2,x2,full_nugget0,5,2.2899,10.7020,1.5382,0.0112,0.0009,0.0000,0.0000,1.0000,0.0917
0.5000,1.5000,2,x2,full_nugget_free,5,2.1970,9.0142,1.6660,0.0378,0.0104,2.3073,0.4966,1.0000,0.1016
0.5000,1.5000,2,x2,nugget_only,5,2.2339,12.0000,0.0000,0.0800,0.0000,3.1996,0.5824,1.0000,0.0320
0.5000,1.5000,2,x2,range_only_nugget0,5,2.2937,12.0000,0.0000,0.0118,0.0010,0.0000,0.0000,1.0000,0.0463
0.5000,1.5000,2,x2,range_only_nugget_free,5,2.2071,12.0000,0.0000,0.0389,0.0079,2.0000,0.0000,1.0000,0.0279
0.5000,1.5000,2,x2,sigma_only_nugget0,5,5.3223,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0086
0.5000,1.5000,2,x2,sigma_only_nugget_free,5,2.2496,33.0779,24.8237,0.0800,0.0000,2.0000,0.0000,1.0000,0.0207
0.5000,1.5000,4,x4,full_nugget0,5,2.4201,11.2128,1.5370,0.0183,0.0024,0.0000,0.0000,1.0000,0.0340
0.5000,1.5000,4,x4,full_nugget_free,5,2.3549,8.7277,1.5035,0.0539,0.0200,3.1221,0.6316,1.0000,0.0279
0.5000,1.5000,4,x4,nugget_only,5,2.3706,12.0000,0.0000,0.0800,0.0000,3.7624,1.2034,1.0000,0.0106
0.5000,1.5000,4,x4,range_only_nugget0,5,2.4234,12.0000,0.0000,0.0189,0.0023,0.0000,0.0000,1.0000,0.0169
0.5000,1.5000,4,x4,range_only_nugget_free,5,2.3707,12.0000,0.0000,0.0426,0.0155,2.0000,0.0000,1.0000,0.0099
0.5000,1.5000,4,x4,sigma_only_nugget0,5,2.9149,200.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0030
0.5000,1.5000,4,x4,sigma_only_nugget_free,5,2.4312,22.6987,15.1029,0.0800,0.0000,2.0000,0.0000,1.0000,0.0072
0.5000,1.5000,8,x8,full_nugget0,5,2.4939,11.1935,2.0074,0.0296,0.0085,0.0000,0.0000,1.0000,0.0156
0.5000,1.5000,8,x8,full_nugget_free,5,2.4636,7.5312,2.1679,0.0837,0.0625,4.1911,2.4152,1.0000,0.0144
0.5000,1.5000,8,x8,nugget_only,5,2.4972,12.0000,0.0000,0.0800,0.0000,4.2907,2.0534,1.0000,0.0024
0.5000,1.5000,8,x8,range_only_nugget0,5,2.4992,12.0000,0.0000,0.0308,0.0090,0.0000,0.0000,1.0000,0.0042
0.5000,1.5000,8,x8,range_only_nugget_free,5,2.4908,12.0000,0.0000,0.0516,0.0261,2.0000,0.0000,1.0000,0.0028
0.5000,1.5000,8,x8,sigma_only_nugget0,5,2.7642,68.0427,29.6720,0.0800,0.0000,0.0000,0.0000,1.0000,0.0036
0.5000,1.5000,8,x8,sigma_only_nugget_free,5,2.5770,17.2868,9.2441,0.0800,0.0000,2.0000,0.0000,1.0000,0.0019
1.5000,0.3000,1,x1,full_nugget0,5,2.0109,15.4389,4.6722,0.1046,0.0576,0.0000,0.0000,1.0000,1.0577
1.5000,0.3000,1,x1,full_nugget_free,5,1.9685,11.4513,2.8362,0.3222,0.1638,1.2717,0.3764,1.0000,1.1998
1.5000,0.3000,1,x1,nugget_only,5,2.0006,12.0000,0.0000,0.0800,0.0000,0.3827,0.3814,1.0000,0.3200
1.5000,0.3000,1,x1,range_only_nugget0,5,2.0136,12.0000,0.0000,0.0670,0.0131,0.0000,0.0000,1.0000,0.3177
1.5000,0.3000,1,x1,range_only_nugget_free,5,1.9868,12.0000,0.0000,0.5028,0.1808,2.0000,0.0000,1.0000,0.1867
1.5000,0.3000,1,x1,sigma_only_nugget0,5,2.0126,13.7895,1.5547,0.0800,0.0000,0.0000,0.0000,1.0000,0.4016
1.5000,0.3000,1,x1,sigma_only_nugget_free,5,2.0037,5.1829,0.8083,0.0800,0.0000,2.0000,0.0000,1.0000,0.3031
1.5000,0.3000,2,x2,full_nugget0,5,2.0615,14.6535,4.1174,0.1557,0.0697,0.0000,0.0000,1.0000,0.2218
1.5000,0.3000,2,x2,full_nugget_free,5,2.0484,13.0331,3.5062,0.2559,0.1456,0.6406,0.6119,1.0000,0.4292
1.5000,0.3000,2,x2,nugget_only,5,2.0747,12.0000,0.0000,0.0800,0.0000,0.0352,0.0787,1.0000,0.2277
1.5000,0.3000,2,x2,range_only_nugget0,5,2.0643,12.0000,0.0000,0.1123,0.0163,0.0000,0.0000,1.0000,0.0706
1.5000,0.3000,2,x2,range_only_nugget_free,5,2.0889,12.0000,0.0000,0.3829,0.1623,2.0000,0.0000,1.0000,0.0511
1.5000,0.3000,2,x2,sigma_only_nugget0,5,2.0685,10.4326,0.9569,0.0800,0.0000,0.0000,0.0000,1.0000,0.0956
1.5000,0.3000,2,x2,sigma_only_nugget_free,5,2.1135,6.3203,1.1033,0.0800,0.0000,2.0000,0.0000,1.0000,0.0996
1.5000,0.3000,4,x4,full_nugget0,5,2.1899,14.2573,3.6940,0.1921,0.0866,0.0000,0.0000,1.0000,0.0681
1.5000,0.3000,4,x4,full_nugget_free,5,2.1878,13.8664,3.8915,0.2158,0.0930,0.2219,0.3992,1.0000,0.2113
1.5000,0.3000,4,x4,nugget_only,5,2.2229,12.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0835
1.5000,0.3000,4,x4,range_only_nugget0,5,2.1935,12.0000,0.0000,0.1438,0.0220,0.0000,0.0000,1.0000,0.0219
1.5000,0.3000,4,x4,range_only_nugget_free,5,2.2430,12.0000,0.0000,0.3018,0.1685,2.0000,0.0000,1.0000,0.0211
1.5000,0.3000,4,x4,sigma_only_nugget0,5,2.2104,9.6462,0.8164,0.0800,0.0000,0.0000,0.0000,1.0000,0.0208
1.5000,0.3000,4,x4,sigma_only_nugget_free,5,2.2747,7.7608,1.6262,0.0800,0.0000,2.0000,0.0000,1.0000,0.0230
1.5000,0.3000,8,x8,full_nugget0,5,2.3941,14.2549,4.8689,0.1700,0.0823,0.0000,0.0000,1.0000,0.0178
1.5000,0.3000,8,x8,full_nugget_free,5,2.3941,14.2541,4.8689,0.1700,0.0824,0.0000,0.0000,1.0000,0.0645
1.5000,0.3000,8,x8,nugget_only,5,2.4334,12.0000,0.0000,0.0800,0.0000,0.0000,0.0000,1.0000,0.0242
1.5000,0.3000,8,x8,range_only_nugget0,5,2.4050,12.0000,0.0000,0.1399,0.0463,0.0000,0.0000,1.0000,0.0052
1.5000,0.3000,8,x8,range_only_nugget_free,5,2.4378,12.0000,0.0000,0.2161,0.0993,2.0000,0.0000,1.0000,0.0049
