k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.35 nugget0,GC a=0.7 b=0.25 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.8 b=0.35 nugget0,GC a=0.8 b=0.25 nugget0,GC a=0.8 b=0.15 nugget0
37,42.9676,1.1052,1.0539,1.0523,1.0501,1.0603,1.0596,1.0585
38,44.1134,1.1096,1.0506,1.0485,1.0460,1.0580,1.0568,1.0551
39,45.2592,1.1158,1.0489,1.0465,1.0438,1.0573,1.0555,1.0535
40,46.4050,1.1126,1.0402,1.0376,1.0347,1.0494,1.0473,1.0450
41,47.5508,1.1242,1.0443,1.0413,1.0380,1.0545,1.0518,1.0490
42,48.6966,1.1059,1.0222,1.0189,1.0154,1.0331,1.0300,1.0269
43,49.8424,1.1568,1.0647,1.0611,1.0574,1.0766,1.0732,1.0699
44,50.9882,1.1239,1.0308,1.0271,1.0232,1.0436,1.0399,1.0362
45,52.1340,1.1381,1.0396,1.0354,1.0311,1.0535,1.0492,1.0450
46,53.2798,1.1162,1.0152,1.0110,1.0069,1.0295,1.0252,1.0210
47,54.4256,1.1134,1.0100,1.0053,1.0004,1.0255,1.0204,1.0154
48,55.5714,1.1006,0.9959,0.9908,0.9856,1.0123,1.0067,1.0012
49,56.7172,1.0907,0.9829,0.9776,0.9722,0.9999,0.9940,0.9882
50,57.8630,1.0698,0.9616,0.9561,0.9506,0.9790,0.9729,0.9669
51,59.0088,1.0927,0.9788,0.9730,0.9671,0.9972,0.9906,0.9842
52,60.1546,1.0767,0.9625,0.9565,0.9505,0.9814,0.9745,0.9678
53,61.3005,1.0596,0.9446,0.9385,0.9324,0.9638,0.9568,0.9500
54,62.4463,1.0629,0.9453,0.9390,0.9327,0.9651,0.9578,0.9507
55,63.5921,1.0973,0.9740,0.9673,0.9605,0.9950,0.9872,0.9796
56,64.7379,1.0646,0.9428,0.9361,0.9294,0.9636,0.9558,0.9482
57,65.8837,1.1128,0.9837,0.9765,0.9694,1.0059,0.9976,0.9894
58,67.0295,1.0532,0.9297,0.9231,0.9166,0.9508,0.9431,0.9356
59,68.1753,1.0914,0.9632,0.9560,0.9488,0.9857,0.9772,0.9689
60,69.3211,1.0980,0.9680,0.9606,0.9532,0.9910,0.9822,0.9737
61,70.4669,1.1216,0.9878,0.9802,0.9725,1.0116,1.0025,0.9936
62,71.6127,1.0675,0.9374,0.9302,0.9230,0.9603,0.9516,0.9433
63,72.7585,1.0182,0.8895,0.8826,0.8759,0.9115,0.9033,0.8954
64,73.9043,1.0308,0.8974,0.8903,0.8833,0.9202,0.9116,0.9034
65,75.0501,1.0317,0.8966,0.8894,0.8824,0.9198,0.9110,0.9027
66,76.1959,1.0407,0.9026,0.8952,0.8880,0.9263,0.9173,0.9087
67,77.3417,1.0587,0.9169,0.9093,0.9019,0.9413,0.9319,0.9231
68,78.4875,1.0032,0.8677,0.8605,0.8534,0.8910,0.8821,0.8737
69,79.6333,1.0262,0.8868,0.8793,0.8720,0.9108,0.9016,0.8929
