date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,10,12.030929620007637,12.063865932841784,0,10.885126799054529,,,6.061278392161993,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,11,13.176732440960746,13.166390002837563,0,10.885126799054529,,,6.061109687067208,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,12,14.322535261913854,14.273893849907077,0,10.885126799054529,,,6.060987926894628,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,13,15.468338082866964,15.425211497575258,0,10.885126799054529,,,6.060895204932419,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,14,16.614140903820072,16.59460817503016,0,10.885126799054529,,,6.060825298142992,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,15,17.75994372477318,17.777808040803787,0,10.885126799054529,,,6.06077179273838,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,16,18.905746545726288,18.924882639210317,0,10.885126799054529,,,6.06073180910513,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,17,20.051549366679396,20.055622399506323,0,10.885126799054529,,,6.060700788151329,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,18,21.197352187632504,21.21689630794462,0,10.885126799054529,,,6.060675378106531,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,19,22.34315500858561,22.365098345328214,0,10.885126799054529,,,6.060655127231959,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,20,23.48895782953872,23.50197308177751,0,10.885126799054529,,,6.06063877493915,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,21,24.63476065049183,24.62149265069659,0,10.885126799054529,,,6.0606254622245785,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,22,25.78056347144494,25.753220292042254,0,10.885126799054529,,,6.0606142475516185,0.7799215107218179
20240703,0.3,0.5,0,y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,1.7235,0.5327,7.7707,23,26.926366292398047,26.888973344881837,0,10.885126799054529,,,6.060604789203853,0.7799215107218179
