bin_scheme,variant,resolution_label,band,ratio_gmean,ratio_median,mean_log_ratio,n_points,n_hours
bins100_q0985,nugget_free,x2,k<=10,0.9314415628967099,0.9505627352178998,-0.16586269594744119,328,8
bins100_q0985,nugget_free,x4,k<=2,0.8810422067023227,1.2373785408991933,-0.20131005913841515,48,8
bins100_q0985,nugget_free,x4,2<k<=5,0.7595055858644325,0.8570138978307312,-0.2887407924424747,160,8
bins100_q0985,nugget_free,x4,k<=5,0.7763927164953557,0.942734752991689,-0.26856446937230716,208,8
bins100_q0985,nugget_free,x4,k<=10,0.8127089994919535,0.8980815409182241,-0.24793565725355962,472,8
bins100_q0985,nugget_free,x8,k<=2,0.9929221939548746,1.2563597467316137,-0.02155163142042485,48,8
bins100_q0985,nugget_free,x8,2<k<=5,0.6650523152539783,0.7389486173506585,-0.5180884896104115,160,8
bins100_q0985,nugget_free,x8,k<=5,0.7236022285253311,0.8284671428780892,-0.40350306079733766,208,8
bins100_q0985,nugget_free,x8,k<=10,0.7249976812411574,0.8284671428780892,-0.39775758218129165,216,8
bins140_q0985,nugget0,x1,k<=2,0.874798749734522,0.838174328157267,-0.4350347051275835,24,8
bins140_q0985,nugget0,x1,2<k<=5,0.7976086097911416,0.8691472556191757,-0.213549653309529,80,8
bins140_q0985,nugget0,x1,k<=5,0.8111180638604977,0.8541905162358929,-0.2646615883444647,104,8
bins140_q0985,nugget0,x1,k<=10,1.0890172223055796,1.0918660931892752,-0.026645879584879042,248,8
bins140_q0985,nugget0,x2,k<=2,0.957452721946899,1.1433154440290179,-0.20031547143765166,40,8
bins140_q0985,nugget0,x2,2<k<=5,0.8106605453117383,0.8863044554074037,-0.22212685181734226,112,8
bins140_q0985,nugget0,x2,k<=5,0.8329895929790136,0.9319968144980206,-0.21638701487531845,152,8
bins140_q0985,nugget0,x2,k<=10,0.906489981299418,0.9591828770593158,-0.14192618344924515,416,8
bins140_q0985,nugget0,x4,k<=2,0.9096407505908273,1.223418847951823,-0.15942244113906853,48,8
bins140_q0985,nugget0,x4,2<k<=5,0.7022612448878703,0.7791451574343395,-0.3712983354377736,160,8
bins140_q0985,nugget0,x4,k<=5,0.7297032626562842,0.8786067063261619,-0.3224038982919186,208,8
bins140_q0985,nugget0,x4,k<=10,0.7864600980461602,0.8522739682173417,-0.291968573913628,512,8
bins140_q0985,nugget0,x8,k<=2,0.9931200289954426,1.2563567620998284,-0.02128873737755627,48,8
bins140_q0985,nugget0,x8,2<k<=5,0.6648851616348608,0.7388938757537462,-0.518321528718847,160,8
bins140_q0985,nugget0,x8,k<=5,0.7234889876207888,0.828478468161874,-0.4036216537939336,208,8
bins140_q0985,nugget0,x8,k<=10,0.7249068664179766,0.828478468161874,-0.3978324575402954,216,8
bins140_q0985,nugget_free,x1,k<=2,0.790783859367472,0.7026641401006695,-0.5610486326257802,24,8
bins140_q0985,nugget_free,x1,2<k<=5,0.7741609631519624,0.8459958845622336,-0.24198823173020165,80,8
bins140_q0985,nugget_free,x1,k<=5,0.7771570998070146,0.8300822414363973,-0.3156175550137967,104,8
bins140_q0985,nugget_free,x1,k<=10,1.0659315286088662,1.0722512171098,-0.056985472457464756,248,8
bins140_q0985,nugget_free,x2,k<=2,0.9524831553284931,1.1426243692327702,-0.20590044136408148,40,8
bins140_q0985,nugget_free,x2,2<k<=5,0.8152135597535782,0.8863256376194606,-0.21654975459106923,112,8
bins140_q0985,nugget_free,x2,k<=5,0.8361916548054372,0.935739445732567,-0.21374730374186193,152,8
bins140_q0985,nugget_free,x2,k<=10,0.9103721450375777,0.9591920626252939,-0.13805719944602945,416,8
bins140_q0985,nugget_free,x4,k<=2,0.8810422067023227,1.2373785408991933,-0.20131005913841515,48,8
bins140_q0985,nugget_free,x4,2<k<=5,0.7595055858644325,0.8570138978307312,-0.2887407924424747,160,8
bins140_q0985,nugget_free,x4,k<=5,0.7763927164953557,0.942734752991689,-0.26856446937230716,208,8
bins140_q0985,nugget_free,x4,k<=10,0.7928874775142914,0.8802355266670007,-0.28462975007394975,512,8
bins140_q0985,nugget_free,x8,k<=2,0.9929221939548746,1.2563597467316137,-0.02155163142042485,48,8
bins140_q0985,nugget_free,x8,2<k<=5,0.6650523152539783,0.7389486173506585,-0.5180884896104115,160,8
bins140_q0985,nugget_free,x8,k<=5,0.7236022285253311,0.8284671428780892,-0.40350306079733766,208,8
bins140_q0985,nugget_free,x8,k<=10,0.7249976812411574,0.8284671428780892,-0.39775758218129165,216,8
bins40_q095,nugget0,x1,k<=2,0.9543179334355948,0.7440364868227649,-0.5624048804070747,16,8
bins40_q095,nugget0,x1,2<k<=5,0.8901844676277381,0.9885551387812459,-0.16123561642165998,24,8
bins40_q095,nugget0,x1,k<=5,0.9000914523221836,0.869836499408911,-0.3217033220158259,40,8
bins40_q095,nugget0,x1,k<=10,1.1701618369293418,1.1277976993076169,-0.02694915115394425,88,8
bins40_q095,nugget0,x2,k<=2,1.0985415381944492,1.0956216767443823,-0.18742714476349756,24,8
bins40_q095,nugget0,x2,2<k<=5,0.8914684116130286,0.8698555107850979,-0.13038293319845393,56,8
bins40_q095,nugget0,x2,k<=5,0.9159351600121963,0.8887342633693516,-0.147496196667967,80,8
bins40_q095,nugget0,x2,k<=10,0.9905521196236967,0.9751987091880636,-0.0760893034788183,168,8
bins40_q095,nugget0,x4,k<=2,1.15228603318387,1.1123832730351162,-0.14304622278963774,24,8
bins40_q095,nugget0,x4,2<k<=5,0.7805934774532691,0.8381041104497254,-0.21634875828936875,96,8
bins40_q095,nugget0,x4,k<=5,0.8297666162701736,0.8730486369672326,-0.20168825118942257,120,8
bins40_q095,nugget0,x4,k<=10,0.8956900301437083,0.9333310651390909,-0.12834118950450948,272,8
bins40_q095,nugget0,x8,k<=2,1.0243062742242801,1.2125941623944594,-0.1289119731747982,40,8
bins40_q095,nugget0,x8,2<k<=5,0.7329094109999298,0.7392084251599671,-0.452486139166384,128,8
bins40_q095,nugget0,x8,k<=5,0.7864235606345787,0.8163676179364985,-0.37544467107314927,168,8
bins40_q095,nugget0,x8,k<=10,0.7864235606345787,0.8163676179364985,-0.37544467107314927,168,8
bins40_q095,nugget_free,x1,k<=2,0.8562440498181283,0.6382993531140441,-0.714822056480964,16,8
bins40_q095,nugget_free,x1,2<k<=5,0.8619071746220822,0.9788580212580276,-0.19760328447492326,24,8
bins40_q095,nugget_free,x1,k<=5,0.8610037239164581,0.869424410265075,-0.4044907932773395,40,8
bins40_q095,nugget_free,x1,k<=10,1.1443712828087735,1.0853487560316522,-0.07381158576970717,88,8
bins40_q095,nugget_free,x2,k<=2,1.0921074804664284,1.0950378969041852,-0.19455481067632854,24,8
bins40_q095,nugget_free,x2,2<k<=5,0.8964290928968213,0.8782956547042252,-0.1252733392838596,56,8
bins40_q095,nugget_free,x2,k<=5,0.9196691337786842,0.9033854206651768,-0.1460577807016003,80,8
bins40_q095,nugget_free,x2,k<=10,0.9945837907571494,0.9831240668066499,-0.07306399072461309,168,8
bins40_q095,nugget_free,x4,k<=2,1.1151912849120187,1.1365219985045996,-0.2170201767146516,24,8
bins40_q095,nugget_free,x4,2<k<=5,0.8461378400501578,0.9025303122488265,-0.1310591832085962,96,8
bins40_q095,nugget_free,x4,k<=5,0.8835889065466844,0.9309910164894943,-0.1482513819098073,120,8
bins40_q095,nugget_free,x4,k<=10,0.9045190356110531,0.9587823025974274,-0.11810980954494783,272,8
bins40_q095,nugget_free,x8,k<=2,1.0241024508197805,1.212585574870078,-0.1291640631659513,40,8
bins40_q095,nugget_free,x8,2<k<=5,0.733097991489493,0.7392083311110041,-0.4522731880440038,128,8
bins40_q095,nugget_free,x8,k<=5,0.7865503521233447,0.8171427582002919,-0.3753424440254199,168,8
bins40_q095,nugget_free,x8,k<=10,0.7865503521233447,0.8171427582002919,-0.3753424440254199,168,8
bins40_q0985,nugget0,x1,k<=2,0.9551745187992733,0.7735065606778714,-0.5766249590068883,16,8
bins40_q0985,nugget0,x1,2<k<=5,0.9276263459139038,0.9580895039034849,-0.08501419791506286,24,8
bins40_q0985,nugget0,x1,k<=5,0.9323596051023336,0.9530597898290463,-0.28165850235179307,40,8
bins40_q0985,nugget0,x1,k<=10,1.1697731361632036,1.1153553366649542,-0.028872774632339893,80,8
bins40_q0985,nugget0,x2,k<=2,1.1269779953152144,0.9836077522204199,-0.11015607265966992,24,8
bins40_q0985,nugget0,x2,2<k<=5,0.8881695442182318,0.9218595893687813,-0.12445940744184658,48,8
bins40_q0985,nugget0,x2,k<=5,0.9233805086968935,0.9218595893687813,-0.11969162918112103,72,8
bins40_q0985,nugget0,x2,k<=10,0.9899281327184337,0.9995286113526324,-0.05729777588335348,152,8
bins40_q0985,nugget0,x4,k<=2,1.030600952425253,1.2829716266862095,-0.11533335707219146,40,8
bins40_q0985,nugget0,x4,2<k<=5,0.797451296458387,0.7866580087451094,-0.21306912243025147,96,8
bins40_q0985,nugget0,x4,k<=5,0.8283346964608804,0.8876700299538504,-0.18432330908964561,136,8
bins40_q0985,nugget0,x4,k<=10,0.8915846854596579,0.9325052485590288,-0.13537962242600823,296,8
bins40_q0985,nugget0,x8,k<=2,0.9931200289954426,1.2563567620998284,-0.02128873737755627,48,8
bins40_q0985,nugget0,x8,2<k<=5,0.721252611786507,0.7291909971645828,-0.45822938940060043,136,8
bins40_q0985,nugget0,x8,k<=5,0.7714939477418113,0.8341654156138425,-0.3442448714815454,184,8
bins40_q0985,nugget0,x8,k<=10,0.7717336049851153,0.8341654156138425,-0.34020605829255174,192,8
bins40_q0985,nugget_free,x1,k<=2,0.8594916629278617,0.6677762141720489,-0.7286480144609675,16,8
bins40_q0985,nugget_free,x1,2<k<=5,0.9015024857012293,0.9457383132798713,-0.11439803586280624,24,8
bins40_q0985,nugget_free,x1,k<=5,0.894051498574058,0.9232756562275256,-0.36009802730207074,40,8
bins40_q0985,nugget_free,x1,k<=10,1.1442280290684297,1.0710644697717653,-0.07627068488237873,80,8
bins40_q0985,nugget_free,x2,k<=2,1.1211101670827428,0.9842055971994188,-0.11716512964014723,24,8
bins40_q0985,nugget_free,x2,2<k<=5,0.893126975097668,0.9268731738360021,-0.11929221607113938,48,8
bins40_q0985,nugget_free,x2,k<=5,0.9269007218045033,0.9268731738360021,-0.11858318726080867,72,8
bins40_q0985,nugget_free,x2,k<=10,0.9941583553606531,0.9995620951168303,-0.05432603577903655,152,8
bins40_q0985,nugget_free,x4,k<=2,0.9977024295947311,1.2634247480791956,-0.15833143693268523,40,8
bins40_q0985,nugget_free,x4,2<k<=5,0.8624796863616194,0.8397634192450933,-0.12779988497622338,96,8
bins40_q0985,nugget_free,x4,k<=5,0.8812914660877075,0.944076458208277,-0.13677975319871216,136,8
bins40_q0985,nugget_free,x4,k<=10,0.8979008423548143,0.9539940421991902,-0.1307029414861263,296,8
bins40_q0985,nugget_free,x8,k<=2,0.9929221939548746,1.2563597467316137,-0.02155163142042485,48,8
bins40_q0985,nugget_free,x8,2<k<=5,0.7214353050239041,0.7284542535816328,-0.4579528249534586,136,8
bins40_q0985,nugget_free,x8,k<=5,0.7716158581348721,0.8334810214539743,-0.34410903533614545,184,8
bins40_q0985,nugget_free,x8,k<=10,0.7718314125703237,0.8334810214539743,-0.3401201229539767,192,8
bins70_q0985,nugget0,x1,k<=2,0.9650444430216082,0.8492741753769031,-0.5038544349811189,16,8
bins70_q0985,nugget0,x1,2<k<=5,0.9314330860782484,0.9383527671569103,-0.09033231137898734,48,8
bins70_q0985,nugget0,x1,k<=5,0.9346134185648656,0.9308928270281815,-0.19371284227952024,64,8
bins70_q0985,nugget0,x1,k<=10,1.1366747705071487,1.076663571506003,-0.0010481228261383993,128,8
bins70_q0985,nugget0,x2,k<=2,1.1269779953152144,0.9836077522204199,-0.11015607265966992,24,8
bins70_q0985,nugget0,x2,2<k<=5,0.84924481701538,0.9261430629416179,-0.19237153295891335,88,8
bins70_q0985,nugget0,x2,k<=5,0.8856002377967032,0.9261430629416179,-0.1747539343233612,112,8
bins70_q0985,nugget0,x2,k<=10,0.9577015129273972,0.9688941531523263,-0.0996684577683936,248,8
bins70_q0985,nugget0,x4,k<=2,1.030600952425253,1.2829716266862095,-0.11533335707219146,40,8
bins70_q0985,nugget0,x4,2<k<=5,0.7416566246615095,0.8311606539688258,-0.302319341205083,128,8
bins70_q0985,nugget0,x4,k<=5,0.7787022371726247,0.8876700299538504,-0.2577988687924898,168,8
bins70_q0985,nugget0,x4,k<=10,0.8398635703566041,0.9179794571972506,-0.21662569260011047,384,8
bins70_q0985,nugget0,x8,k<=2,1.0243062742242801,1.2125941623944594,-0.1289119731747982,40,8
bins70_q0985,nugget0,x8,2<k<=5,0.7154980050990541,0.768514052448652,-0.44023062698644744,136,8
bins70_q0985,nugget0,x8,k<=5,0.771636804194487,0.8234296362128405,-0.3694763874837999,176,8
bins70_q0985,nugget0,x8,k<=10,0.771872841360428,0.8234296362128405,-0.3641649512864912,184,8
bins70_q0985,nugget_free,x1,k<=2,0.8524392223917305,0.7435883740338748,-0.661643289188061,16,8
bins70_q0985,nugget_free,x1,2<k<=5,0.9019385213538835,0.9126554761076349,-0.12442009222714884,48,8
bins70_q0985,nugget_free,x1,k<=5,0.8970566445801933,0.8916250335419973,-0.2587258914673769,64,8
bins70_q0985,nugget_free,x1,k<=10,1.1111215019651046,1.0522199995667172,-0.0413077595787053,128,8
bins70_q0985,nugget_free,x2,k<=2,1.1211101670827428,0.9842055971994188,-0.11716512964014723,24,8
bins70_q0985,nugget_free,x2,2<k<=5,0.8541097567586138,0.935739445732567,-0.18687660277405999,88,8
bins70_q0985,nugget_free,x2,k<=5,0.889232048165635,0.935739445732567,-0.17193842995965006,112,8
bins70_q0985,nugget_free,x2,k<=10,0.9617975953117913,0.9687831904355121,-0.09587402363504578,248,8
bins70_q0985,nugget_free,x4,k<=2,0.9977024295947311,1.2634247480791956,-0.15833143693268523,40,8
bins70_q0985,nugget_free,x4,2<k<=5,0.8021151394525506,0.895838163202586,-0.2180953823456363,128,8
bins70_q0985,nugget_free,x4,k<=5,0.8284682541214724,0.9531990034216915,-0.20386587153302893,168,8
bins70_q0985,nugget_free,x4,k<=10,0.8457971853832574,0.9361138333962773,-0.20832049677471742,384,8
bins70_q0985,nugget_free,x8,k<=2,1.0241024508197805,1.212585574870078,-0.1291640631659513,40,8
bins70_q0985,nugget_free,x8,2<k<=5,0.7156807408834378,0.768200143023603,-0.43998716505521357,136,8
bins70_q0985,nugget_free,x8,k<=5,0.7717600498805358,0.8245218115580928,-0.3693455509894721,176,8
bins70_q0985,nugget_free,x8,k<=10,0.771971946002865,0.8245218115580928,-0.36408596782315134,184,8
bins70_q100,nugget0,x1,k<=2,0.9543179334355948,0.7440364868227649,-0.5624048804070747,16,8
bins70_q100,nugget0,x1,2<k<=5,0.8717864880929957,0.8869472815054875,-0.1378227489126856,40,8
bins70_q100,nugget0,x1,k<=5,0.8844223195549378,0.8628608924131087,-0.25913192933965395,56,8
bins70_q100,nugget0,x1,k<=10,1.137940427229152,1.1036037887321644,-0.024628853694633968,120,8
bins70_q100,nugget0,x2,k<=2,0.9640247307451917,1.056013596167599,-0.3783180143253496,32,8
bins70_q100,nugget0,x2,2<k<=5,0.8173207992113068,0.8847761339186475,-0.18486622631559452,72,8
bins70_q100,nugget0,x2,k<=5,0.8411265763588687,0.9359712983525423,-0.24438985339551922,104,8
bins70_q100,nugget0,x2,k<=10,0.9495837288127732,0.972152980530826,-0.14741626582510425,240,8
bins70_q100,nugget0,x4,k<=2,1.030600952425253,1.2829716266862095,-0.11533335707219146,40,8
bins70_q100,nugget0,x4,2<k<=5,0.7368221743220906,0.8311606539688258,-0.308019140164371,120,8
bins70_q100,nugget0,x4,k<=5,0.7743762035579936,0.9024271575292161,-0.2598476943913261,160,8
bins70_q100,nugget0,x4,k<=10,0.8546962585308067,0.9372237695633818,-0.20100612210227817,360,8
bins70_q100,nugget0,x8,k<=2,1.0243062742242801,1.2125941623944594,-0.1289119731747982,40,8
bins70_q100,nugget0,x8,2<k<=5,0.7487159124438125,0.7830165254766661,-0.34896812780307596,120,8
bins70_q100,nugget0,x8,k<=5,0.7997833951453388,0.8341654156138425,-0.2939540891460065,160,8
bins70_q100,nugget0,x8,k<=10,0.7871436765101736,0.828478468161874,-0.34365875417778935,176,8
bins70_q100,nugget_free,x1,k<=2,0.8562440498181283,0.6382993531140441,-0.714822056480964,16,8
bins70_q100,nugget_free,x1,2<k<=5,0.8439527339399121,0.8612734060672025,-0.17318293023714698,40,8
bins70_q100,nugget_free,x1,k<=5,0.8458963023700151,0.8051263408898137,-0.327936966306809,56,8
bins70_q100,nugget_free,x1,k<=10,1.1121515031394413,1.076052252263197,-0.06542010475883792,120,8
bins70_q100,nugget_free,x2,k<=2,0.9590160034460065,1.0560787037176729,-0.38380241238061585,32,8
bins70_q100,nugget_free,x2,2<k<=5,0.8218983473841849,0.8944962057773189,-0.17954417810740458,72,8
bins70_q100,nugget_free,x2,k<=5,0.8442510869734057,0.9415546000380262,-0.242392865576085,104,8
bins70_q100,nugget_free,x2,k<=10,0.9535619204924239,0.9774637917822102,-0.14389846877042015,240,8
bins70_q100,nugget_free,x4,k<=2,0.9977024295947311,1.2634247480791956,-0.15833143693268523,40,8
bins70_q100,nugget_free,x4,2<k<=5,0.796875308352139,0.8810966959820863,-0.22772994724832907,120,8
bins70_q100,nugget_free,x4,k<=5,0.8238558097105863,0.9560486951307811,-0.21038031966941811,160,8
bins70_q100,nugget_free,x4,k<=10,0.8616381473660708,0.948282595704826,-0.1936392586263296,360,8
bins70_q100,nugget_free,x8,k<=2,1.0241024508197805,1.212585574870078,-0.1291640631659513,40,8
bins70_q100,nugget_free,x8,2<k<=5,0.7489074626224795,0.7830235519604449,-0.34874516283504886,120,8
bins70_q100,nugget_free,x8,k<=5,0.799911415219144,0.8334810214539743,-0.2938498879177745,160,8
bins70_q100,nugget_free,x8,k<=10,0.7872327026576484,0.8284671428780892,-0.3436625725821911,176,8
