date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,est_sigmasq,est_range,est_nugget,direction,directional_bin_mode,k_mid,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,lon,exact_marginal,10.596641887109,58,12.466637514245,7.648392937383066,6.695900291305981,7.404583365692119,1.9798866375742445
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,lon,exact_marginal,11.219973762821,58,12.466637514245,5.973500218876125,6.63854762222212,7.358501927853445,1.9798866375742445
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,lon,exact_marginal,11.843305638533,58,12.466637514245,6.2516171717971565,6.605054459987939,7.318586210473371,1.9798866375742445
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,lon,exact_marginal,12.466637514245,29,12.466637514245,6.762954244891178,6.5940390122880395,7.2837515818832,1.9798866375742445
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,0.5729014104765542,99,21.197352187632504,64.89900573872097,45.40526047034611,33.250471331649806,2.105780165479582
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,1.7187042314296626,120,21.197352187632504,18.927328089424883,27.576266604779068,16.249291874003546,2.105780165479582
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,2.8645070523827707,91,21.197352187632504,16.491576347393696,15.066844286816172,11.64467227775766,2.105780165479582
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,4.0103098733358795,108,21.197352187632504,9.59714080360416,12.7112483528238,9.912080367430745,2.105780165479582
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,5.156112694288987,103,21.197352187632504,14.811754962562654,9.981555206302234,9.071643515415829,2.105780165479582
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,0.3,11.740638849404025,0.9888885033173214,3.4722761050300566,diag,radial_binned_projection,6.301915515242095,77,21.197352187632504,9.709137727958382,8.793423594229488,8.596018641397912,2.105780165479582
