year,variant,model_label,nugget_mode,k_bin,k_mid,data_spectrum,theory_spectrum_expected,n_slices,data_k_max,ratio_I_over_EI
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,50,57.863042458131964,3.1945356069895916,3.147540049865656,24,79.63329605624102,1.0149308845572724
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,51,59.00884527908508,3.3581941561171074,3.090703939576379,24,79.63329605624102,1.0865466967299986
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,52,60.154648100038195,2.9401922104307094,3.06594431786877,24,79.63329605624102,0.958984216802256
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,53,61.300450920991295,2.8943527535709106,3.02449088510175,24,79.63329605624102,0.9569718883360229
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,54,62.446253741944396,3.031973576479208,2.989513851915383,24,79.63329605624102,1.0142028860433683
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,55,63.59205656289751,2.7865572666654823,2.965672766745533,24,79.63329605624102,0.9396037546392523
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,56,64.73785938385063,2.8803860856100365,2.930351060027675,24,79.63329605624102,0.9829491506668943
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,57,65.88366220480373,2.784611467149699,2.9061409666506948,24,79.63329605624102,0.9581818291350617
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,58,67.02946502575685,2.5470641693547016,2.8453117971055932,24,79.63329605624102,0.8951792812111891
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,59,68.17526784670994,2.826790137671255,2.8801157989054986,24,79.63329605624102,0.9814848898594605
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,60,69.32107066766307,2.699387708926111,2.8660981811874717,24,79.63329605624102,0.9418336491905208
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,61,70.46687348861616,2.783091211740602,2.8531795487282223,24,79.63329605624102,0.975435006528467
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,62,71.61267630956928,2.561900591265585,2.797480563334668,24,79.63329605624102,0.9157885223022727
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,63,72.75847913052237,2.4311389238831853,2.6988849405254296,24,79.63329605624102,0.9007938379951395
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,64,73.9042819514755,2.2732290287887227,2.643142355819266,24,79.63329605624102,0.8600478985870266
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,65,75.05008477242859,2.2539078155453334,2.6171226849304783,24,79.63329605624102,0.8612159561809792
