hour_slot_selected,hour_key,tile_id,tile_y,tile_x,loss_no_qc,nll_no_qc,nugget_no_qc,smooth_no_qc,range_lat_no_qc,range_lon_no_qc,sigmasq_no_qc,n_fit_no_qc,loss_qc,nll_qc,nugget_qc,smooth_qc,range_lat_qc,range_lon_qc,sigmasq_qc,n_fit_qc,delta_loss,delta_nll,delta_nugget,delta_smooth,delta_range_lat,delta_range_lon,delta_sigmasq,delta_n_fit,n_qc_removed_qc,qc_max_abs_whitened_qc,qc_refit_qc,qc_initial_success_qc,message_qc
2,2024_07_y24m07day03_hm02:53,4,1,0,1.195496,1.195496,0.012752,0.345590,0.142338,0.206495,8.658437,1826,1.195496,1.195496,0.012752,0.345590,0.142338,0.206495,8.658437,1826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.721843,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,5,1,1,1.446654,1.446654,0.002128,0.288106,0.178304,0.272049,14.582585,2089,1.446654,1.446654,0.002128,0.288106,0.178304,0.272049,14.582585,2089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.898741,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,6,1,2,1.342885,1.342885,0.001396,0.299577,0.577536,0.714563,22.606997,1911,1.342885,1.342885,0.001396,0.299577,0.577536,0.714563,22.606997,1911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.220967,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,2024_07_y24m07day03_hm02:53,7,1,3,1.579465,1.579465,0.027643,0.461695,0.127825,0.155918,20.440364,2183,1.579465,1.579465,0.027643,0.461695,0.127825,0.155918,20.440364,2183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.668365,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
3,2024_07_y24m07day03_hm03:53,0,0,0,1.122201,1.122201,0.011255,0.418056,0.184571,0.196370,9.546509,2101,1.122201,1.122201,0.011255,0.418056,0.184571,0.196370,9.546509,2101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.103110,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,2024_07_y24m07day03_hm03:53,1,0,1,1.410997,1.410997,0.737099,0.590571,0.092844,0.139216,12.059675,2268,1.410997,1.410997,0.737099,0.590571,0.092844,0.139216,12.059675,2268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.482115,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,2024_07_y24m07day03_hm03:53,2,0,2,1.305685,1.305685,0.050255,0.320751,0.259649,0.274002,13.543331,2087,1.305685,1.305685,0.050255,0.320751,0.259649,0.274002,13.543331,2087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,5.613561,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,2024_07_y24m07day03_hm03:53,3,0,3,1.378496,1.378496,0.055710,0.225160,0.187430,0.283441,11.041609,2217,1.378496,1.378496,0.055710,0.225160,0.187430,0.283441,11.041609,2217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.685901,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
3,2024_07_y24m07day03_hm03:53,4,1,0,1.227145,1.227145,0.017466,0.361864,0.190318,0.222095,10.808729,1915,1.227145,1.227145,0.017466,0.361864,0.190318,0.222095,10.808729,1915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.945598,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,2024_07_y24m07day03_hm03:53,5,1,1,1.515543,1.515543,0.020887,0.272299,0.322697,0.438985,21.265230,2142,1.515543,1.515543,0.020887,0.272299,0.322697,0.438985,21.265230,2142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,4.609095,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
