replicate,curve_rmse_per_n,curve_max_abs_per_n,endpoint_difference_per_n,band_energy_per_mode_rmse,band_energy_per_mode_max_abs
24,0.0031941309963239716,0.010399909522307951,0.0013006047238928887,0.06356799704225528,0.1387292138101508
25,0.004538420475891098,0.011617775726862192,5.04414153307664e-05,0.07922370315291363,0.233364342843847
26,0.002453834035224345,0.009187370106124604,0.0005222160160369072,0.07633031677059812,0.19913213314727463
27,0.004636637567031707,0.013175167007743625,0.001631207449069052,0.07286263166457387,0.16454715561886424
28,0.003011062011023896,0.009254431909789246,0.001237492977143262,0.09046706997914918,0.17583782170286777
29,0.0029460063852189446,0.009636254817700802,0.001521033459047345,0.06610288003584937,0.16410993286854447
30,0.002545280261643221,0.009800723836441278,0.0025532827778975784,0.06789291916189792,0.16281561695392888
31,0.0029214868219804876,0.011153858227292375,0.0025645471050350466,0.06078864364900259,0.12398291867363298
32,0.006183498803651245,0.01777092153118815,-0.0038096093664668727,0.0780307767491836,0.1333021993846888
33,0.0033675379857193814,0.011652904153381058,0.0020640105169383105,0.0791106883039672,0.1401151964365328
34,0.003934873395355021,0.012277387897466241,0.002108335728110262,0.09326827733815175,0.22058789116834632
35,0.0028189942399370056,0.010155672461110684,0.0016220711321896886,0.04973114281344214,0.15455363738461858
36,0.0029428856155320937,0.011032847715789558,0.0035059568892513936,0.06616216510239896,0.14397228642760707
37,0.0028599659433053586,0.009910456216668423,0.0011471056063051322,0.05141257372930398,0.11359242927675017
38,0.005151517349435149,0.014788994376463905,-0.0035165721399572194,0.0659985114338955,0.14478965921893816
39,0.003929102955627022,0.011476072485737206,-0.0004318832885050483,0.060124260769024065,0.16080603600500998
40,0.0043954011328778955,0.017240429176043504,0.0005087424884770541,0.0650328720271314,0.13882069226625626
41,0.0035089188653877955,0.01191902314818563,0.0023174886852865484,0.07373285442053223,0.14728017629612744
42,0.0036429335717686616,0.013303957779334042,-0.0010022961642803807,0.05612908931823617,0.12787779062619387
43,0.004448817350095761,0.01156798871709853,0.002671630001484857,0.06719129986082281,0.12712805657720216
44,0.002479086146324166,0.00869524852332475,0.0019244013526241589,0.040086254958153454,0.07300894760511312
45,0.003918744218867099,0.010040266386409157,-0.0016730554981832313,0.046121381438771265,0.10170302308462875
46,0.0036440858521435806,0.012444901504924317,-0.0002481680373081474,0.04701106893655322,0.09707444366386742
47,0.0039346114906853935,0.012219378481278511,-0.0020020721992281667,0.07533420408177695,0.20574833075930854
48,0.002782213385731349,0.009696733379810923,0.001652356655189351,0.04050948558948172,0.08436308135875081
49,0.002821583768577647,0.011820042213543332,0.003224628078805125,0.10028438353901381,0.20346671536818706
50,0.00254041155605925,0.0107042358839729,0.001036113778547616,0.06228218032262985,0.15322248930033322
51,0.002873758268375813,0.010337576973171565,0.00013625673462215105,0.05462936461200323,0.12878430931532736
52,0.0031907716219366053,0.011415079292722225,0.002375591907858734,0.06062688178662872,0.10106086164803196
53,0.003526525678800665,0.0088319798986317,0.002316888170069689,0.04486341151858499,0.10849655830227056
54,0.002790849964964766,0.008802338763767353,0.0019520302756755826,0.057921274412531816,0.11400979675649636
55,0.0033885385710942448,0.010439638714631912,-0.0002708784595984071,0.0364230828804293,0.05516927933167448
56,0.0027279539600506496,0.0097668459721789,0.0019650992724008632,0.053499958756315275,0.13447523410947193
57,0.004198909211784695,0.011271334904446775,0.003420882248622519,0.06706896516103047,0.14998481054680546
58,0.0025569715790459357,0.010470359657414576,0.0018709323006133615,0.08111764242521773,0.18935831527339375
59,0.0031196236482463244,0.011776693361543664,0.0037899939912949777,0.08801259167043655,0.25229976023075107
60,0.004363768923845251,0.014682245293638374,0.001166996266635749,0.07035147328275339,0.17239812102050633
61,0.0034754893932805995,0.012051453594108495,0.0029573363280336194,0.06325786524298165,0.13883646915346648
62,0.006059289700833192,0.014281252377205077,-0.0003543957648118123,0.06704106602445196,0.16340036078253994
63,0.0032174236829152817,0.01200604908660452,0.0018500906678831086,0.0715488362910119,0.17968970453133848
64,0.0028764609293484697,0.010009513225389953,-3.529038840227372e-05,0.06792639419282341,0.13185746167074464
65,0.002271009954314583,0.011069193314128114,0.0015278189169009692,0.0709901390337648,0.12938370514722664
66,0.0028852134765227845,0.009545747823313633,0.00021266575113912723,0.058761574274163904,0.16231194679241412
67,0.002455552092404607,0.008566926243012175,0.0015273502340406252,0.07782847295256952,0.20513497861746033
68,0.0032221503885440502,0.011169580995547221,0.0007226186432286852,0.055750479879352235,0.11891240310480489
69,0.0025600344645341586,0.008785558991144598,0.004013482606852392,0.06514070682561277,0.1500004751070786
70,0.0024908620712888185,0.00892856311410533,0.006379767832138867,0.08356987800485684,0.18707932389706827
71,0.002937436746734655,0.009935999600289378,-0.0010703190064113243,0.05530679915176252,0.12252579522740825
72,0.002973946712579947,0.012104848005893273,0.002124968841587531,0.07761819923976279,0.19401797761224548
73,0.0028998285841059235,0.008625145632369283,-0.0013716749823541362,0.040495743921057294,0.11725560494214038
74,0.002369451668866634,0.008718893679443198,0.0011671642362135514,0.058753709370419994,0.11795005410489923
75,0.0037133990844829944,0.012498007049365469,0.0031859370986758507,0.06434130368433587,0.20547595600365165
76,0.0029172050761308316,0.009720520371180612,6.271606412738606e-05,0.04715921978182505,0.10235228524423212
77,0.002763510127848705,0.011300171799639713,0.0013804182333994675,0.0731823321616451,0.15306114892350742
78,0.0029971009622566658,0.011608556521303796,0.0012855896649998045,0.06848154575784883,0.19611538682517105
79,0.003484901047360974,0.009651134857442116,0.00031331100955611646,0.062347920671136044,0.11590063803624151
80,0.003171455172598869,0.009938975105390142,0.00011829327278888968,0.07462570132993024,0.17324158689565694
81,0.003009015685119542,0.009846986311328293,0.000462830669617631,0.07100890287154292,0.1893274312464004
82,0.0032889323031937046,0.010566764311381434,0.0033600224286729485,0.06924356262597413,0.14285380154916938
83,0.002493628625225292,0.009033428201340357,0.0036752633645409107,0.06540473461354154,0.15339032847717549
84,0.004070121162844897,0.014045329822261152,0.005043110357274401,0.09148387247130034,0.21626076646213677
85,0.00346975950226028,0.009949214528312496,-0.00029352919165646083,0.07089471374204875,0.13725849336964602
86,0.0029638438050481014,0.011062191323384454,0.0035368947556389686,0.05769891751755591,0.13920542601029484
87,0.003409370128824322,0.011896196578045845,0.0016784856942418003,0.08114535738655841,0.18654677813287968
88,0.003027473732412719,0.009266690400442456,0.00013511370678131128,0.074824793449118,0.19489241250156586
89,0.0030254587321597256,0.009434264137373275,0.002057754048828002,0.06788342798573195,0.1625018093275774
90,0.003903487959921279,0.013209848282372079,7.838607179621703e-05,0.09202835435877578,0.2142805013103961
91,0.0029320100446061613,0.00944922455283745,0.0019078343822660315,0.08341048725340831,0.2133026874076236
92,0.003260335505205394,0.011336998106713736,-0.0008585466955227616,0.0691282665353716,0.15056661014515926
93,0.0029237503600763365,0.00846182182995193,0.0032322949056407422,0.06304337419303523,0.11620259890716911
94,0.0031164228175432924,0.012466853268296631,0.006350430104679532,0.06574768957794798,0.15030352762161536
95,0.0026145413506034393,0.011502078320856838,0.001646974926724596,0.06500001837885674,0.17157172162596945
96,0.00419681286659895,0.011563505176315374,-0.0017382007389581133,0.07935118448965024,0.2096183841230188
97,0.002757525737794071,0.00776693585861409,0.0018890700238972614,0.07791097510535423,0.17953355487259615
98,0.003843364789502901,0.011879424418405194,-0.0018793273153248436,0.06261677065124828,0.14558816466204894
99,0.0031452703418537883,0.010350101929631705,-9.817444361658545e-05,0.05417210875448604,0.12883302346118874
100,0.0029681358914392937,0.01006768644407245,0.001229643773454967,0.07816425659982242,0.144311566354128
101,0.003367958236472427,0.010570787862963798,5.571074886731253e-05,0.06350500851014652,0.13783582819623574
102,0.0046188550495360175,0.012072254909819549,-0.00034102414167747953,0.06023133710141696,0.10409001631835957
103,0.0032937143447301547,0.011890028392267311,0.0005233752405844427,0.07613829738449365,0.1832177695051379
104,0.0029412451166500484,0.01032975488634193,0.0007206966866259279,0.07887226234338675,0.16935619772050525
105,0.002568518465770554,0.009214680905356687,0.002606203378835801,0.07469695701836472,0.18167499986192737
106,0.0028257355281931613,0.0095313555212374,0.0032207372217634145,0.06447914770113101,0.15626263762381665
107,0.0030372593231838335,0.01042459883472091,0.00254302714928059,0.06833825173851342,0.20878319420212643
108,0.003112123496455349,0.008959955874934665,0.003005667110313084,0.059997926930719196,0.1782198036067023
109,0.002724356873709884,0.00950015197240532,0.000741350962129701,0.07940237509784957,0.17960651198435817
110,0.00385484188734868,0.012495669422275313,0.0018029370501413667,0.07456277671109118,0.23057720934334958
111,0.002760633649473257,0.008883728376422439,0.0020499481937976327,0.06578606257665853,0.14754909515226333
112,0.0031405027533209563,0.01203515205502761,0.0024096331825735717,0.06265999619514724,0.14814286742175675
113,0.0022832075854510242,0.008179138954866829,0.0034532313264134017,0.05992217630898713,0.15707456814234333
114,0.0027420430843998166,0.010298468525824802,0.0005050141923665308,0.06462518474085834,0.18523306109099635
115,0.002682115842061014,0.009529222316305805,0.0037469313483187248,0.06666832197147213,0.13635736551147315
116,0.003919341873558669,0.012909198343118149,0.0012781904549731848,0.044282472775856334,0.08486613130032405
117,0.0033057964813238854,0.01093376303226151,-0.002493695767178963,0.05859034772954702,0.11506741908210305
118,0.003540326341137153,0.011584217920373518,-0.0009811944444390974,0.07553375620981671,0.16386329599102045
119,0.003059000864748815,0.011067579222127649,0.004273966981111102,0.058152786369678924,0.14504146005734597
120,0.0030199840527610085,0.009442663253730643,-0.001450244303042183,0.08230819663467734,0.19325646441685662
121,0.0030800607676835933,0.011534753838016627,0.0006256133488844284,0.07998997469733507,0.1677830159056628
122,0.004751159536123032,0.01280809399533659,-0.003046155535986088,0.07228350979466387,0.13439911116939207
123,0.00449096039026001,0.012609607213063612,-0.003186638782483584,0.0686725879426303,0.147746400299966
124,0.0028029352016297544,0.009826230094281385,-4.4409783210710426e-05,0.059643778924468684,0.17398102223137557
125,0.0031760805897508267,0.01206233105317068,0.0008864734018582965,0.09802997750720394,0.23143187455511638
