year,month,model_variant,model_label,direction,bin_idx,k_mid,n_days,loss_median,loss_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,ratio_EI_over_continuous_p10,ratio_EI_over_continuous_p90,whitened_ratio_mean,whitened_ratio_median,whitened_ratio_p10,whitened_ratio_p90,global_scale_mean,profile_sigmasq_mean
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,28,4.927732,30,,,0.146147,0.148195,0.143315,0.140423,0.136210,0.991251,0.866032,0.539000,1.418493,1.018488,0.922519,0.543296,1.443645,1.055426,1.018868,1.007290,1.174034,1.007566,0.911365,0.569345,1.417204,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,29,5.100635,30,,,0.130663,0.136022,0.131590,0.128882,0.125064,0.961034,0.946108,0.663998,1.316685,0.993384,0.955657,0.681027,1.444606,1.056190,1.017481,1.007171,1.149607,0.990674,0.943920,0.695239,1.517344,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,30,5.273538,30,,,0.113639,0.128343,0.124201,0.121706,0.118132,0.916706,0.818436,0.545131,1.516521,0.937029,0.819472,0.574584,1.507732,1.055122,1.018589,1.007526,1.137158,0.933769,0.810946,0.571412,1.479780,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,31,5.446440,30,,,0.110597,0.123268,0.119297,0.116633,0.113230,0.906089,0.883577,0.618039,1.186856,0.930208,0.891591,0.628494,1.183158,1.058367,1.018795,1.007411,1.179911,0.930361,0.884735,0.639562,1.160548,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,32,5.619343,30,,,0.103287,0.117974,0.114252,0.111913,0.108669,0.910986,0.906300,0.524710,1.369802,0.938418,0.933188,0.538431,1.357352,1.055973,1.018433,1.007199,1.193953,0.930502,0.925446,0.546546,1.359521,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,33,5.792246,30,,,0.099793,0.110477,0.107004,0.104663,0.101662,0.913563,0.818782,0.637976,1.288893,0.939010,0.873480,0.640270,1.311656,1.057446,1.018807,1.007088,1.187420,0.935835,0.882587,0.640978,1.307919,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,34,5.965149,30,,,0.098950,0.105359,0.102084,0.100067,0.097218,0.937471,0.852772,0.661520,1.263121,0.964282,0.888688,0.694634,1.271971,1.054615,1.018576,1.007040,1.159665,0.969498,0.899841,0.692953,1.276500,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,35,6.138052,30,,,0.111012,0.103452,0.100254,0.098418,0.095624,1.077931,1.150908,0.698898,1.506519,1.114622,1.203486,0.701416,1.585760,1.053218,1.018110,1.006850,1.167694,1.111132,1.207672,0.697731,1.608171,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,36,6.310955,30,,,0.093338,0.098198,0.095153,0.093033,0.090416,0.960455,0.955791,0.660890,1.289322,0.988997,0.983187,0.657503,1.316782,1.057782,1.019361,1.006915,1.153173,0.992254,0.980330,0.642306,1.325072,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,37,6.483858,30,,,0.075465,0.094311,0.091420,0.089584,0.087080,0.819434,0.696387,0.513610,1.268190,0.845285,0.712269,0.518287,1.330231,1.055625,1.017072,1.006835,1.142418,0.847028,0.711164,0.526583,1.337215,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,38,6.656761,30,,,0.082838,0.093248,0.090387,0.088350,0.085886,0.888656,0.829350,0.515062,1.431298,0.915710,0.853952,0.524735,1.439947,1.058758,1.019454,1.006845,1.198784,0.915660,0.859571,0.527365,1.437580,0.970030,17.465490
