method,seed_lat,seed_lon,seed_total_s,subgrid_used,selection_reason,quadratic_residual_df,lat_step,lon_step,fft_surface_s,q3_extra_s,q5_extra_s,initializer_wall_s,dataset_id,direction_deg_grid,speed_cells,signal_regime,replicate,true_advec_lat,true_advec_lon,seed_error_euclid,seed_angle_error_deg,seed_norm,true_advec_norm,seed_norm_abs_error,correct_quadrant,seed_error_grid_cells,grid_seed_lat,grid_seed_lon,delta_lat_cells,delta_lon_cells,hessian_condition_cells,hessian_eigenvalue_min_cells,quadratic_residual_rmse
M3_fft_Q3,0.0459763654,0.0183077155,0.0031155000,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0030086670,0.0001068330,0.0000960830,0.0036920830,a022_s0p75_reference_r03,22.5000000000,0.7500000000,reference,3,0.0304880246,0.0180817922,0.0154899885,8.9589003343,0.0494873582,0.0354467326,0.0140406256,True,0.3520260122,0.0440000000,0.0000000000,0.0449173954,0.2905986594,1.0853332553,0.2639032899,0.0037200007
M3_fft_Q5,0.0472759543,0.0196528185,0.0031047500,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0030086670,0.0001068330,0.0000960830,0.0036920830,a022_s0p75_reference_r03,22.5000000000,0.7500000000,reference,3,0.0304880246,0.0180817922,0.0168612783,8.0984015521,0.0511981360,0.0354467326,0.0157514034,True,0.3823579012,0.0440000000,0.0000000000,0.0744535057,0.3119495004,1.1032062117,0.2345379229,0.0178674025
M3_fft,0.0440000000,0.0000000000,0.0024420409,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0024420409,0.0000868340,0.0000849580,0.0031199590,a022_s0p75_reference_r04,22.5000000000,0.7500000000,reference,4,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0301980052,0.0205342066,0.0025288750,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0024420409,0.0000868340,0.0000849580,0.0031199590,a022_s0p75_reference_r04,22.5000000000,0.7500000000,reference,4,0.0304880246,0.0180817922,0.0024695035,3.5438664309,0.0365181209,0.0354467326,0.0010713884,True,0.0394813087,0.0440000000,0.0000000000,-0.3136816996,0.3259397865,1.1442843730,0.2636473848,0.0042496966
M3_fft_Q5,0.0300923098,0.0197060137,0.0025269990,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0024420409,0.0000868340,0.0000849580,0.0031199590,a022_s0p75_reference_r04,22.5000000000,0.7500000000,reference,4,0.0304880246,0.0180817922,0.0016717314,2.5476016415,0.0359704613,0.0354467326,0.0005237287,True,0.0273049168,0.0440000000,0.0000000000,-0.3160838690,0.3127938681,1.1571918627,0.2340757976,0.0235881860
M3_fft,0.0440000000,0.0000000000,0.0024702920,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0024702920,0.0001160420,0.0000943330,0.0031653330,a022_s0p75_weak_r00,22.5000000000,0.7500000000,weak,0,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0359421842,0.0273035366,0.0025863340,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0024702920,0.0001160420,0.0000943330,0.0031653330,a022_s0p75_weak_r00,22.5000000000,0.7500000000,weak,0,0.0304880246,0.0180817922,0.0107139361,6.5509086660,0.0451367224,0.0354467326,0.0096899899,True,0.1918119497,0.0440000000,0.0000000000,-0.1831321778,0.4333894694,1.2174351575,0.1336506137,0.0006698378
M3_fft_Q5,0.0375070923,0.0272248168,0.0025646249,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0024702920,0.0001160420,0.0000943330,0.0031653330,a022_s0p75_weak_r00,22.5000000000,0.7500000000,weak,0,0.0304880246,0.0180817922,0.0115265871,5.3030464995,0.0463462256,0.0354467326,0.0108994930,True,0.2156616484,0.0440000000,0.0000000000,-0.1475660840,0.4321399491,1.2272416658,0.1242231462,0.0079218046
M3_fft,0.0000000000,0.0630000000,0.0022668750,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0022668750,0.0000892080,0.0000871250,0.0029427920,a022_s0p75_weak_r01,22.5000000000,0.7500000000,weak,1,0.0304880246,0.0180817922,0.0542877982,59.3287312654,0.0630000000,0.0354467326,0.0275532674,False,0.9942207257,,,,,,,
M3_fft_Q3,0.0118125652,0.0444045452,0.0023560830,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0022668750,0.0000892080,0.0000871250,0.0029427920,a022_s0p75_weak_r01,22.5000000000,0.7500000000,weak,1,0.0304880246,0.0180817922,0.0322747596,44.4318290250,0.0459488882,0.0354467326,0.0105021556,True,0.5955887982,0.0000000000,0.0630000000,0.2684673911,-0.2951659497,1.7087690119,0.0940697223,0.0024509449
M3_fft_Q5,0.0114735845,0.0471915898,0.0023540000,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0022668750,0.0000892080,0.0000871250,0.0029427920,a022_s0p75_weak_r01,22.5000000000,0.7500000000,weak,1,0.0304880246,0.0180817922,0.0347696598,45.6636724847,0.0485663390,0.0354467326,0.0131196064,True,0.6326532870,0.0000000000,0.0630000000,0.2607632851,-0.2509271468,1.7689565045,0.0862718355,0.0139562952
M3_fft,0.0440000000,0.0630000000,0.0022897920,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0022897920,0.0000933750,0.0000917080,0.0029556670,a022_s0p75_weak_r02,22.5000000000,0.7500000000,weak,2,0.0304880246,0.0180817922,0.0469064907,24.3977939643,0.0768439978,0.0354467326,0.0413972652,True,0.7763089286,,,,,,,
M3_fft_Q3,0.0248758725,0.0872638591,0.0023831670,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0022897920,0.0000933750,0.0000917080,0.0029556670,a022_s0p75_weak_r02,22.5000000000,0.7500000000,weak,2,0.0304880246,0.0180817922,0.0694093267,43.4177346542,0.0907402343,0.0354467326,0.0552935018,True,1.1055107099,0.0440000000,0.0630000000,-0.4346392623,0.3851406200,1.3277456646,0.1298237692,0.0016565211
M3_fft_Q5,0.0230308704,0.0873336877,0.0023815000,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0022897920,0.0000933750,0.0000917080,0.0029556670,a022_s0p75_weak_r02,22.5000000000,0.7500000000,weak,2,0.0304880246,0.0180817922,0.0696522374,44.5555244087,0.0903193999,0.0354467326,0.0548726673,True,1.1122250123,0.0440000000,0.0630000000,-0.4765711283,0.3862490110,1.3360962700,0.1212879002,0.0063447677
M3_fft,0.0440000000,0.0630000000,0.0023981660,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0023981660,0.0001071250,0.0000965419,0.0031634170,a022_s0p75_weak_r03,22.5000000000,0.7500000000,weak,3,0.0304880246,0.0180817922,0.0469064907,24.3977939643,0.0768439978,0.0354467326,0.0413972652,True,0.7763089286,,,,,,,
M3_fft_Q3,0.0451845963,0.0339305440,0.0025052910,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0023981660,0.0001071250,0.0000965419,0.0031634170,a022_s0p75_weak_r03,22.5000000000,0.7500000000,weak,3,0.0304880246,0.0180817922,0.0216141656,6.2327770773,0.0565060135,0.0354467326,0.0210592809,True,0.4181517446,0.0440000000,0.0630000000,0.0269226425,-0.4614199359,1.2948076288,0.1028276965,0.0022657574
M3_fft_Q5,0.0442408368,0.0320226930,0.0024947079,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0023981660,0.0001071250,0.0000965419,0.0031634170,a022_s0p75_weak_r03,22.5000000000,0.7500000000,weak,3,0.0304880246,0.0180817922,0.0195828639,5.2267495293,0.0546141420,0.0354467326,0.0191674094,True,0.3829658866,0.0440000000,0.0630000000,0.0054735629,-0.4917032864,1.2549339732,0.1018806461,0.0064979578
M3_fft,0.0440000000,0.0000000000,0.0023540000,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0023540000,0.0000793750,0.0000852920,0.0030044170,a022_s0p75_weak_r04,22.5000000000,0.7500000000,weak,4,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0506830571,0.0036887234,0.0024333750,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0023540000,0.0000793750,0.0000852920,0.0030044170,a022_s0p75_weak_r04,22.5000000000,0.7500000000,weak,4,0.0304880246,0.0180817922,0.0247991888,26.5086095215,0.0508171128,0.0354467326,0.0153703802,True,0.5126942855,0.0440000000,0.0000000000,0.1518876604,0.0585511645,1.2580923035,0.1138292442,0.0012132458
M3_fft_Q5,0.0518892745,-0.0006256145,0.0024392920,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0023540000,0.0000793750,0.0000852920,0.0030044170,a022_s0p75_weak_r04,22.5000000000,0.7500000000,weak,4,0.0304880246,0.0180817922,0.0284249989,31.3620344663,0.0518930458,0.0354467326,0.0164463132,False,0.5698704628,0.0440000000,0.0000000000,0.1793016941,-0.0099303886,1.2466178344,0.1083049287,0.0097237670
M3_fft,0.0880000000,0.0630000000,0.0046729590,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0046729590,0.0001085840,0.0000988330,0.0053947910,a022_s2p0_strong_r00,22.5000000000,2.0000000000,strong,0,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0755339436,0.0453963987,0.0047815430,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0046729590,0.0001085840,0.0000988330,0.0053947910,a022_s2p0_strong_r00,22.5000000000,2.0000000000,strong,0,0.0813013989,0.0482181125,0.0064207172,0.3348763095,0.0881261008,0.0945246202,0.0063985194,True,0.1385194749,0.0880000000,0.0630000000,-0.2833194639,-0.2794222429,1.1898045894,0.3895659690,0.0048945316
M3_fft_Q5,0.0751500555,0.0449397848,0.0047717920,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0046729590,0.0001085840,0.0000988330,0.0053947910,a022_s2p0_strong_r00,22.5000000000,2.0000000000,strong,0,0.0813013989,0.0482181125,0.0069703987,0.2081839415,0.0875620642,0.0945246202,0.0069625560,True,0.1491737081,0.0880000000,0.0630000000,-0.2920441942,-0.2866700827,1.2110573646,0.3384560270,0.0303296398
M3_fft,0.0880000000,0.0630000000,0.0068558330,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0068558330,0.0000966249,0.0000878750,0.0075560420,a022_s2p0_strong_r01,22.5000000000,2.0000000000,strong,1,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0833610115,0.0443281276,0.0069524579,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0068558330,0.0000966249,0.0000878750,0.0075560420,a022_s2p0_strong_r01,22.5000000000,2.0000000000,strong,1,0.0813013989,0.0482181125,0.0044015892,2.6689692660,0.0944141999,0.0945246202,0.0001104203,True,0.0774832941,0.0880000000,0.0630000000,-0.1054315557,-0.2963789277,1.2060741309,0.3492098873,0.0040055448
M3_fft_Q5,0.0836567167,0.0441199710,0.0069437080,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0068558330,0.0000966249,0.0000878750,0.0075560420,a022_s2p0_strong_r01,22.5000000000,2.0000000000,strong,1,0.0813013989,0.0482181125,0.0047267627,2.8644159224,0.0945781058,0.0945246202,0.0000534856,True,0.0842433416,0.0880000000,0.0630000000,-0.0987109830,-0.2996829996,1.2080234735,0.3010713934,0.0286994209
M3_fft,0.0880000000,0.0630000000,0.0022627080,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0022627080,0.0000770000,0.0000835830,0.0028949580,a022_s2p0_strong_r02,22.5000000000,2.0000000000,strong,2,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0759642992,0.0337886538,0.0023397080,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0022627080,0.0000770000,0.0000835830,0.0028949580,a022_s2p0_strong_r02,22.5000000000,2.0000000000,strong,2,0.0813013989,0.0482181125,0.0153848598,6.6919382775,0.0831399296,0.0945246202,0.0113846907,True,0.2591756396,0.0880000000,0.0630000000,-0.2735386535,-0.4636721617,1.1843460778,0.3321664755,0.0059986110
M3_fft_Q5,0.0756724904,0.0325387032,0.0023462910,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0022627080,0.0000770000,0.0000835830,0.0028949580,a022_s2p0_strong_r02,22.5000000000,2.0000000000,strong,2,0.0813013989,0.0482181125,0.0166591862,7.4038627483,0.0823716761,0.0945246202,0.0121529442,True,0.2798339311,0.0880000000,0.0630000000,-0.2801706721,-0.4835126469,1.2426601071,0.2805371700,0.0306748637
M3_fft,0.0880000000,0.0630000000,0.0024750840,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0024750840,0.0000735840,0.0000821250,0.0030962920,a022_s2p0_strong_r03,22.5000000000,2.0000000000,strong,3,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0887067609,0.0509631027,0.0025486680,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0024750840,0.0000735840,0.0000821250,0.0030962920,a022_s2p0_strong_r03,22.5000000000,2.0000000000,strong,3,0.0813013989,0.0482181125,0.0078977438,0.7933822485,0.1023040921,0.0945246202,0.0077794719,True,0.1738521936,0.0880000000,0.0630000000,0.0160627467,-0.1910618612,1.4796152060,0.3074831932,0.0047387600
M3_fft_Q5,0.0897771234,0.0518588305,0.0025572091,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0024750840,0.0000735840,0.0000821250,0.0030962920,a022_s2p0_strong_r03,22.5000000000,2.0000000000,strong,3,0.0813013989,0.0482181125,0.0092245723,0.6588329819,0.1036786872,0.0945246202,0.0091540670,True,0.2011117735,0.0880000000,0.0630000000,0.0403891683,-0.1768439603,1.5310640639,0.2621081301,0.0290589061
M3_fft,0.0880000000,0.0630000000,0.0042830830,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0042830830,0.0001035830,0.0000892920,0.0049440000,a022_s2p0_strong_r04,22.5000000000,2.0000000000,strong,4,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0779903242,0.0496233539,0.0043866660,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0042830830,0.0001035830,0.0000892920,0.0049440000,a022_s2p0_strong_r04,22.5000000000,2.0000000000,strong,4,0.0813013989,0.0482181125,0.0035969319,1.7963402994,0.0924389956,0.0945246202,0.0020856246,True,0.0784878954,0.0880000000,0.0630000000,-0.2274926326,-0.2123277160,1.1189380059,0.4204481256,0.0051368939
M3_fft_Q5,0.0783223292,0.0501306039,0.0043723750,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0042830830,0.0001035830,0.0000892920,0.0049440000,a022_s2p0_strong_r04,22.5000000000,2.0000000000,strong,4,0.0813013989,0.0482181125,0.0035401242,1.9502127146,0.0929917453,0.0945246202,0.0015328749,True,0.0742001869,0.0880000000,0.0630000000,-0.2199470637,-0.2042761282,1.1580894037,0.3567034527,0.0345488862
M3_fft,0.0880000000,0.0630000000,0.0027312080,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0027312080,0.0001083750,0.0000966670,0.0034212080,a022_s2p0_reference_r00,22.5000000000,2.0000000000,reference,0,0.0813013989,0.0482181125,0.0162288464,4.9279512244,0.1082266141,0.0945246202,0.0137019939,True,0.2796962825,,,,,,,
M3_fft_Q3,0.0772080391,0.0417655685,0.0028395830,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0027312080,0.0001083750,0.0000966670,0.0034212080,a022_s2p0_reference_r00,22.5000000000,2.0000000000,reference,0,0.0813013989,0.0482181125,0.0076413950,2.2601659111,0.0877806585,0.0945246202,0.0067439617,True,0.1383650189,0.0880000000,0.0630000000,-0.2452718387,-0.3370544680,1.2812583238,0.3044455958,0.0036485978
M3_fft_Q5,0.0768284453,0.0414496364,0.0028278750,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0027312080,0.0001083750,0.0000966670,0.0034212080,a022_s2p0_reference_r00,22.5000000000,2.0000000000,reference,0,0.0813013989,0.0482181125,0.0081129268,2.3240085414,0.0872965198,0.0945246202,0.0072281005,True,0.1479083427,0.0880000000,0.0630000000,-0.2538989712,-0.3420692629,1.2933980505,0.2732484029,0.0219427732
