tile_y,tile_x,n,median_error,mean_error,median_vza,median_sza,year,slot,file
3,1,4311,0.85078645,1.0441862,17.257309,38.696415,2025,1,20250701_0145.nc
3,2,4376,0.8246877,0.88956994,14.630986,36.929375,2025,1,20250701_0145.nc
3,3,4446,0.8917614,0.8658193,12.122146,35.16259,2025,1,20250701_0145.nc
3,4,4298,0.86364865,0.84889656,9.89958,33.480904,2025,1,20250701_0145.nc
3,5,4175,0.85033214,0.90321577,7.9631205,31.695818,2025,1,20250701_0145.nc
3,6,4550,0.7695633,0.8593386,6.9297748,30.087566,2025,1,20250701_0145.nc
3,7,4324,0.89759815,1.3172563,7.104405,28.478872,2025,1,20250701_0145.nc
0,0,4267,0.5666387,0.62718594,18.936571,33.46062,2025,2,20250701_0245.nc
0,1,4177,0.6059098,0.6432888,16.010704,32.09499,2025,2,20250701_0245.nc
0,2,4330,0.692979,0.8508838,13.133583,30.886864,2025,2,20250701_0245.nc
0,3,4479,0.8282094,1.0612732,10.257799,29.725168,2025,2,20250701_0245.nc
0,4,4019,1.5339807,1.6301917,7.549063,28.592163,2025,2,20250701_0245.nc
0,5,3235,2.5745213,2.2973177,4.562304,27.457775,2025,2,20250701_0245.nc
0,6,3791,1.7425528,1.7809423,2.6099281,26.798258,2025,2,20250701_0245.nc
0,7,4511,0.89369357,1.1421305,2.932134,26.162922,2025,2,20250701_0245.nc
1,0,4360,0.9313096,0.8783012,18.8214,31.59779,2025,2,20250701_0245.nc
1,1,4369,0.76040703,0.7871579,15.911639,30.198856,2025,2,20250701_0245.nc
1,2,4338,0.8049786,0.8462199,12.9795065,28.862526,2025,2,20250701_0245.nc
1,3,4577,0.68496865,0.7486171,10.07604,27.64983,2025,2,20250701_0245.nc
1,4,4553,0.69723874,0.7526941,7.176583,26.502312,2025,2,20250701_0245.nc
1,5,4623,0.8015351,1.1151894,4.3177547,25.476988,2025,2,20250701_0245.nc
1,6,4584,1.665849,1.6733621,1.8082299,24.571066,2025,2,20250701_0245.nc
1,7,3365,1.6812596,1.8417515,1.8881494,24.130539,2025,2,20250701_0245.nc
2,0,3370,0.9107521,1.4050685,19.118988,29.902142,2025,2,20250701_0245.nc
2,1,4331,0.96680164,0.93291163,16.33211,28.353601,2025,2,20250701_0245.nc
2,2,4436,0.7514354,0.8208263,13.540743,26.94838,2025,2,20250701_0245.nc
2,3,4472,0.79320085,0.7978085,10.767628,25.638811,2025,2,20250701_0245.nc
2,4,4572,0.8052007,0.91876066,8.120649,24.414812,2025,2,20250701_0245.nc
2,5,4584,0.769776,0.9885093,5.762746,23.301739,2025,2,20250701_0245.nc
2,6,4148,1.1458238,1.5784259,4.2029977,22.418606,2025,2,20250701_0245.nc
2,7,3868,2.7163062,2.610948,4.2665234,21.544037,2025,2,20250701_0245.nc
3,0,4211,0.7714628,0.9291371,19.966846,28.169752,2025,2,20250701_0245.nc
3,1,4334,0.8973094,1.1494596,17.252228,26.609695,2025,2,20250701_0245.nc
3,2,4370,0.7616296,0.81537795,14.629049,25.120888,2025,2,20250701_0245.nc
3,3,4489,0.8298935,0.81258446,12.102476,23.699766,2025,2,20250701_0245.nc
3,4,4287,0.80073357,0.7944865,9.89265,22.424767,2025,2,20250701_0245.nc
3,5,4422,0.8104675,0.9392291,7.9603457,21.155304,2025,2,20250701_0245.nc
3,6,4566,0.7299081,0.89403266,6.930148,20.10205,2025,2,20250701_0245.nc
3,7,4363,0.77446884,1.2635103,7.1154046,19.115377,2025,2,20250701_0245.nc
0,0,4294,0.59178233,0.6341036,18.931774,26.02753,2025,3,20250701_0345.nc
0,1,4117,0.5936255,0.62443244,16.003927,25.443022,2025,3,20250701_0345.nc
0,2,4317,0.7022024,0.9257427,13.123503,25.136831,2025,3,20250701_0345.nc
0,3,4493,0.8070628,1.0165339,10.251822,24.889181,2025,3,20250701_0345.nc
0,4,3567,1.8479196,1.8608953,7.5651,24.570536,2025,3,20250701_0345.nc
0,5,3364,2.5624232,2.2740784,4.640403,24.80006,2025,3,20250701_0345.nc
0,6,3686,2.2008061,2.0680583,2.4933567,25.040771,2025,3,20250701_0345.nc
0,7,4468,1.0634489,1.3067155,2.9464207,25.698475,2025,3,20250701_0345.nc
1,0,4328,0.86459446,0.8410634,18.82288,23.657055,2025,3,20250701_0345.nc
1,1,4366,0.76491594,0.778739,15.910717,23.077877,2025,3,20250701_0345.nc
1,2,4307,0.8102751,0.838523,12.979575,22.628883,2025,3,20250701_0345.nc
1,3,4570,0.69248176,0.7453245,10.068672,22.411922,2025,3,20250701_0345.nc
1,4,4527,0.69025147,0.7616417,7.1663313,22.357046,2025,3,20250701_0345.nc
1,5,4627,0.9770301,1.2305832,4.307129,22.463654,2025,3,20250701_0345.nc
1,6,4595,2.0264354,1.9673901,1.8121988,22.770279,2025,3,20250701_0345.nc
1,7,3503,2.495787,2.3723507,2.1027033,23.52873,2025,3,20250701_0345.nc
2,0,3800,1.0379456,1.6555048,19.230568,21.424297,2025,3,20250701_0345.nc
2,1,4316,0.8397132,0.90282935,16.325993,20.667797,2025,3,20250701_0345.nc
2,2,4437,0.7964468,0.8506744,13.54244,20.191776,2025,3,20250701_0345.nc
2,3,4485,0.7582996,0.7496199,10.765584,19.926628,2025,3,20250701_0345.nc
2,4,4574,0.76425993,1.0046741,8.120796,19.853045,2025,3,20250701_0345.nc
2,5,4600,0.81387866,1.0565394,5.763754,19.98491,2025,3,20250701_0345.nc
2,6,4114,1.4075379,1.6616961,4.153505,20.329021,2025,3,20250701_0345.nc
2,7,3998,2.6373186,2.5661576,4.3337708,20.949703,2025,3,20250701_0345.nc
3,0,4207,0.7936384,0.9816921,19.965067,18.985495,2025,3,20250701_0345.nc
3,1,4336,0.8787579,1.204384,17.242666,18.268425,2025,3,20250701_0345.nc
3,2,4361,0.7786175,0.8237364,14.627946,17.747202,2025,3,20250701_0345.nc
3,3,4507,0.7599665,0.7601672,12.094578,17.44075,2025,3,20250701_0345.nc
3,4,4450,0.7145338,0.72152513,9.850351,17.351835,2025,3,20250701_0345.nc
3,5,4556,0.7643276,1.0120177,7.997368,17.50985,2025,3,20250701_0345.nc
3,6,4576,0.72544134,0.9439362,6.931451,17.887087,2025,3,20250701_0345.nc
3,7,4394,0.8409207,1.3847018,7.1048636,18.4239,2025,3,20250701_0345.nc
0,0,4278,0.61617935,0.6702935,18.921774,25.457888,2025,4,20250701_0445.nc
0,1,4139,0.61690575,0.65699536,15.99889,25.937262,2025,4,20250701_0445.nc
0,2,4382,0.72355074,0.90675503,13.117775,26.703197,2025,4,20250701_0445.nc
0,3,4507,0.934985,1.1454327,10.256898,27.479553,2025,4,20250701_0445.nc
0,4,3686,2.2585106,2.1105597,7.3892164,28.195503,2025,4,20250701_0445.nc
0,5,3558,2.5330195,2.375868,4.717437,29.296019,2025,4,20250701_0445.nc
0,6,3641,2.2519257,2.1269028,2.385022,30.465559,2025,4,20250701_0445.nc
0,7,4437,0.9802417,1.2370005,2.9584324,31.841036,2025,4,20250701_0445.nc
1,0,4326,0.78867376,0.7948433,18.82528,23.05426,2025,4,20250701_0445.nc
1,1,4329,0.78503984,0.8025443,15.918674,23.632446,2025,4,20250701_0445.nc
1,2,4295,0.79899263,0.80744076,12.976966,24.327934,2025,4,20250701_0445.nc
1,3,4576,0.7224703,0.78040636,10.075121,25.233572,2025,4,20250701_0445.nc
1,4,4561,0.72936857,0.8218189,7.1668215,26.254648,2025,4,20250701_0445.nc
1,5,4486,1.6434242,1.7451917,4.337592,27.347984,2025,4,20250701_0445.nc
1,6,4488,2.1245365,2.061739,1.8159113,28.569149,2025,4,20250701_0445.nc
1,7,4344,2.354615,2.141386,2.230249,29.911041,2025,4,20250701_0445.nc
2,0,4193,1.0506089,1.5407169,19.214058,20.667027,2025,4,20250701_0445.nc
2,1,4352,0.79271525,0.95705706,16.337933,21.278427,2025,4,20250701_0445.nc
2,2,4426,0.7870325,0.8613072,13.548075,22.07959,2025,4,20250701_0445.nc
2,3,4574,0.7565223,0.7483404,10.73799,23.043015,2025,4,20250701_0445.nc
2,4,4485,0.79909533,1.1013511,8.098794,24.12383,2025,4,20250701_0445.nc
2,5,4600,0.9087762,1.0767313,5.7635336,25.311874,2025,4,20250701_0445.nc
2,6,3999,2.0771081,2.083013,4.097707,26.56126,2025,4,20250701_0445.nc
2,7,4026,2.7082067,2.5899992,4.4368124,28.037521,2025,4,20250701_0445.nc
3,0,4252,0.7785217,1.0261923,19.947512,18.226467,2025,4,20250701_0445.nc
3,1,4271,0.82194066,1.1639625,17.25844,18.978273,2025,4,20250701_0445.nc
3,2,4373,0.76712435,0.8632356,14.617484,19.8471,2025,4,20250701_0445.nc
3,3,4498,0.73203033,0.7347992,12.102396,20.911358,2025,4,20250701_0445.nc
3,4,4441,0.7200125,0.72796917,9.851435,22.075905,2025,4,20250701_0445.nc
3,5,4554,0.8727782,1.1398256,7.995041,23.36834,2025,4,20250701_0445.nc
3,6,4590,0.7624795,1.0653571,6.932644,24.750877,2025,4,20250701_0445.nc
3,7,4406,0.9796072,1.4980688,7.0734177,26.198612,2025,4,20250701_0445.nc
0,0,4256,0.63666856,0.678869,18.92897,32.05492,2025,5,20250701_0545.nc
0,1,4173,0.6497147,0.69394416,15.995661,33.337383,2025,5,20250701_0545.nc
0,2,4377,0.703421,0.8553488,13.109999,34.81004,2025,5,20250701_0545.nc
0,3,4483,1.3419504,1.4446409,10.250597,36.229557,2025,5,20250701_0545.nc
0,4,3811,2.56539,2.3737116,7.437448,37.590954,2025,5,20250701_0545.nc
0,5,3304,2.4236827,2.2976477,4.7149153,39.21218,2025,5,20250701_0545.nc
0,6,3427,2.4686153,2.2818875,2.4734616,40.788982,2025,5,20250701_0545.nc
0,7,4425,0.9805242,1.2819476,2.9604518,42.496128,2025,5,20250701_0545.nc
1,0,4342,0.784474,0.7986591,18.832222,30.1431,2025,5,20250701_0545.nc
1,1,4367,0.8328738,0.84477603,15.922971,31.5325,2025,5,20250701_0545.nc
1,2,4343,0.82859284,0.8249592,12.987301,32.95829,2025,5,20250701_0545.nc
1,3,4516,0.74909496,0.80800474,10.074653,34.498795,2025,5,20250701_0545.nc
1,4,4593,0.75372434,0.9207242,7.167775,36.08291,2025,5,20250701_0545.nc
1,5,4364,2.3284924,2.1264987,4.3202705,37.689957,2025,5,20250701_0545.nc
1,6,4468,1.9904325,1.9330535,1.8301101,39.281532,2025,5,20250701_0545.nc
1,7,4556,1.5882889,1.609001,2.220182,40.97023,2025,5,20250701_0545.nc
2,0,4259,0.86902636,1.2597401,19.196619,28.2876,2025,5,20250701_0545.nc
2,1,4330,0.8955008,1.118138,16.34594,29.75328,2025,5,20250701_0545.nc
2,2,4401,0.84490836,0.90024483,13.5537815,31.276985,2025,5,20250701_0545.nc
2,3,4598,0.81856436,0.80600137,10.748997,32.875122,2025,5,20250701_0545.nc
2,4,4496,0.8505361,1.0590996,8.091246,34.50014,2025,5,20250701_0545.nc
2,5,4609,1.0492798,1.2963876,5.7533293,36.148567,2025,5,20250701_0545.nc
2,6,4199,2.596812,2.476663,4.133183,37.78452,2025,5,20250701_0545.nc
2,7,4217,2.02532,1.9811623,4.4374695,39.604202,2025,5,20250701_0545.nc
3,0,4238,0.7546093,0.9496416,19.955711,26.521626,2025,5,20250701_0545.nc
3,1,4365,0.91449285,1.236489,17.239073,28.082354,2025,5,20250701_0545.nc
3,2,4385,0.82250476,0.95810413,14.608199,29.69124,2025,5,20250701_0545.nc
3,3,4468,0.81837916,0.81417453,12.103651,31.339935,2025,5,20250701_0545.nc
3,4,4410,0.8124443,0.80994207,9.861933,33.00797,2025,5,20250701_0545.nc
3,5,4515,0.90328276,1.1673965,7.9890957,34.731815,2025,5,20250701_0545.nc
3,6,4523,0.87476397,1.2031969,6.9427795,36.45776,2025,5,20250701_0545.nc
3,7,4478,0.90859914,1.3764639,7.031074,38.225677,2025,5,20250701_0545.nc
0,0,4261,0.6900076,0.7121056,18.927553,42.807426,2025,6,20250701_0645.nc
0,1,4148,0.76676863,0.7896859,16.002357,44.43685,2025,6,20250701_0645.nc
0,2,4334,0.7607862,0.7910391,13.11187,46.20404,2025,6,20250701_0645.nc
0,3,4456,1.2830157,1.3561329,10.261979,47.88901,2025,6,20250701_0645.nc
0,4,3977,2.4062402,2.264877,7.474676,49.55621,2025,6,20250701_0645.nc
0,5,3843,2.2287142,2.1125321,4.7365074,51.370567,2025,6,20250701_0645.nc
0,6,4037,2.044504,1.897596,2.5813687,53.121857,2025,6,20250701_0645.nc
0,7,4429,1.07581,1.2099724,2.969356,54.975403,2025,6,20250701_0645.nc
1,0,4354,0.8509634,0.8492592,18.840065,41.326942,2025,6,20250701_0645.nc
1,1,4382,0.87760234,0.8730785,15.928951,43.043686,2025,6,20250701_0645.nc
1,2,4352,0.90060985,0.8839154,12.984519,44.775795,2025,6,20250701_0645.nc
1,3,4551,0.80682224,0.86158264,10.078125,46.54667,2025,6,20250701_0645.nc
1,4,4627,0.8071492,0.94404024,7.1726446,48.323235,2025,6,20250701_0645.nc
1,5,4593,1.9972104,1.9290816,4.3097057,50.10633,2025,6,20250701_0645.nc
1,6,4403,1.7539778,1.6930016,1.8478259,51.8792,2025,6,20250701_0645.nc
1,7,4559,1.1999165,1.2542561,2.2129672,53.71702,2025,6,20250701_0645.nc
2,0,4276,0.83881146,0.9709465,19.18215,39.919678,2025,6,20250701_0645.nc
2,1,4353,0.9304054,1.0374653,16.343018,41.683456,2025,6,20250701_0645.nc
2,2,4394,0.84387565,0.8863046,13.558933,43.44463,2025,6,20250701_0645.nc
2,3,4577,0.8921158,0.8576735,10.752014,45.26165,2025,6,20250701_0645.nc
2,4,4573,0.89455336,1.0864636,8.073827,47.087105,2025,6,20250701_0645.nc
2,5,4565,1.1314319,1.2766689,5.7305183,48.90186,2025,6,20250701_0645.nc
2,6,4497,2.039719,1.955566,4.1086135,50.73259,2025,6,20250701_0645.nc
2,7,4369,1.2156872,1.3416126,4.3870564,52.61445,2025,6,20250701_0645.nc
3,0,4245,0.8105662,0.9619338,19.945633,38.60402,2025,6,20250701_0645.nc
3,1,4349,0.8771676,1.0496641,17.23946,40.412792,2025,6,20250701_0645.nc
3,2,4390,0.87945724,1.0212544,14.612192,42.228844,2025,6,20250701_0645.nc
3,3,4390,0.91893303,0.9055621,12.096471,44.070786,2025,6,20250701_0645.nc
3,4,4532,0.9052579,0.9037421,9.835754,45.909325,2025,6,20250701_0645.nc
3,5,4400,0.94947016,1.1316147,7.9864607,47.75271,2025,6,20250701_0645.nc
3,6,4482,0.9488704,1.1768026,6.9356217,49.587288,2025,6,20250701_0645.nc
3,7,4564,0.87086403,1.1172539,7.0489464,51.463573,2025,6,20250701_0645.nc
0,0,4276,0.97739166,0.9195374,18.922897,55.31392,2025,7,20250701_0745.nc
0,1,4115,1.1416024,1.0815033,16.00347,57.075497,2025,7,20250701_0745.nc
0,2,4371,1.0558883,0.9653003,13.117839,58.989887,2025,7,20250701_0745.nc
0,3,4347,0.7925075,0.89176553,10.256052,60.766537,2025,7,20250701_0745.nc
0,4,4069,1.4098519,1.3703204,7.4260883,62.5824,2025,7,20250701_0745.nc
0,5,4131,1.1157587,1.1157763,4.707475,64.45606,2025,7,20250701_0745.nc
0,6,4201,0.97589093,0.9804438,2.613358,66.357994,2025,7,20250701_0745.nc
0,7,4516,0.7139251,0.8555287,2.9440212,68.226135,2025,7,20250701_0745.nc
1,0,4327,1.0687177,1.0253662,18.844446,54.10116,2025,7,20250701_0745.nc
1,1,4356,1.1594889,1.0696186,15.930798,55.94789,2025,7,20250701_0745.nc
1,2,4330,1.1672161,1.0769876,12.982685,57.818787,2025,7,20250701_0745.nc
1,3,4542,1.0154226,0.9846888,10.08136,59.659363,2025,7,20250701_0745.nc
1,4,4588,0.68046284,0.757936,7.17716,61.53073,2025,7,20250701_0745.nc
1,5,4598,0.8732271,0.9008785,4.311888,63.397354,2025,7,20250701_0745.nc
1,6,4427,0.817449,0.8665678,1.827085,65.253845,2025,7,20250701_0745.nc
1,7,4495,0.56626135,0.67170227,2.1789436,67.126686,2025,7,20250701_0745.nc
2,0,4239,0.9789117,0.95012003,19.172644,52.956097,2025,7,20250701_0745.nc
2,1,4379,0.9633448,0.96651244,16.337788,54.821796,2025,7,20250701_0745.nc
2,2,4421,0.8206253,0.86345804,13.5436325,56.68507,2025,7,20250701_0745.nc
2,3,4557,1.0072635,0.9412425,10.755884,58.570023,2025,7,20250701_0745.nc
2,4,4594,0.75529134,0.85570824,8.078617,60.46723,2025,7,20250701_0745.nc
2,5,4599,0.7085484,0.7961567,5.724203,62.357235,2025,7,20250701_0745.nc
2,6,4504,0.8168217,0.90402836,4.0849314,64.24846,2025,7,20250701_0745.nc
2,7,4512,0.83324003,0.9017029,4.3409185,66.12186,2025,7,20250701_0745.nc
3,0,4256,0.85437083,0.916864,19.945316,51.857185,2025,7,20250701_0745.nc
3,1,4328,0.84383744,0.89249265,17.24456,53.74723,2025,7,20250701_0745.nc
3,2,4357,0.8895736,0.99550885,14.625717,55.630226,2025,7,20250701_0745.nc
3,3,4384,1.135101,1.0573187,12.083094,57.558006,2025,7,20250701_0745.nc
3,4,4518,1.1085451,1.0265297,9.846485,59.43151,2025,7,20250701_0745.nc
3,5,4332,1.0389912,1.0664316,7.9817758,61.331966,2025,7,20250701_0745.nc
3,6,4448,0.9657261,1.0112165,6.961236,63.193504,2025,7,20250701_0745.nc
3,7,4559,0.63190764,0.741396,7.038503,65.126045,2025,7,20250701_0745.nc
0,0,4275,0.82950723,0.8530327,18.927225,57.25131,2025,0,20250702_0045.nc
0,1,4125,1.1103351,1.0096885,15.991568,55.374657,2025,0,20250702_0045.nc
0,2,4387,0.77350783,0.78271127,13.131224,53.628708,2025,0,20250702_0045.nc
0,3,4532,0.75248027,0.8590817,10.2632265,51.850494,2025,0,20250702_0045.nc
0,4,3310,2.1495705,2.096551,7.4732466,50.136345,2025,0,20250702_0045.nc
0,5,4334,2.0722203,2.0118465,4.73851,48.361313,2025,0,20250702_0045.nc
0,6,2224,2.5012507,2.4514904,3.1676612,46.79232,2025,0,20250702_0045.nc
0,7,3492,2.143604,2.0618205,2.9079323,44.897778,2025,0,20250702_0045.nc
1,0,4245,1.3823429,1.2837337,18.816395,56.063046,2025,0,20250702_0045.nc
1,1,4431,1.0949807,1.0345379,15.906834,54.214813,2025,0,20250702_0045.nc
1,2,4353,1.1341437,1.058424,12.963729,52.356674,2025,0,20250702_0045.nc
1,3,4523,0.97219324,0.9132664,10.0915365,50.570988,2025,0,20250702_0045.nc
1,4,4356,0.92941374,1.0628905,7.199753,48.750885,2025,0,20250702_0045.nc
1,5,4551,0.9973798,1.2237742,4.3454585,46.98807,2025,0,20250702_0045.nc
1,6,4620,1.1243804,1.3263615,1.8158796,45.244553,2025,0,20250702_0045.nc
1,7,4405,1.9244972,1.859992,2.262828,43.46548,2025,0,20250702_0045.nc
2,0,4134,1.1692164,1.1109402,19.119492,54.90252,2025,0,20250702_0045.nc
2,1,4393,1.1829629,1.0826477,16.33314,53.06188,2025,0,20250702_0045.nc
2,2,4368,1.0283799,0.9930998,13.5236225,51.21093,2025,0,20250702_0045.nc
2,3,4478,0.97092056,0.94591224,10.743813,49.36348,2025,0,20250702_0045.nc
2,4,4582,1.0023633,0.9831831,8.095394,47.548374,2025,0,20250702_0045.nc
2,5,4523,0.8324535,0.8530436,5.7391176,45.722355,2025,0,20250702_0045.nc
2,6,4598,0.72260916,0.84369653,4.0931373,43.93435,2025,0,20250702_0045.nc
2,7,4606,1.5934038,1.598348,4.2852144,42.16668,2025,0,20250702_0045.nc
3,0,4234,0.85194796,0.86574537,19.945122,53.877533,2025,0,20250702_0045.nc
3,1,4327,0.9840231,0.93696904,17.23544,51.984035,2025,0,20250702_0045.nc
3,2,4319,0.8404492,0.9395624,14.629711,50.129158,2025,0,20250702_0045.nc
3,3,4398,0.97239196,0.94027436,12.090743,48.22554,2025,0,20250702_0045.nc
3,4,4530,0.9376532,0.9003657,9.833197,46.38401,2025,0,20250702_0045.nc
3,5,4556,0.87463564,0.88087595,7.9681425,44.530167,2025,0,20250702_0045.nc
3,6,4559,0.74998826,0.9548635,6.905042,42.700043,2025,0,20250702_0045.nc
3,7,4535,1.7178012,1.6813755,7.0172215,40.890953,2025,0,20250702_0045.nc
0,0,4267,0.5845661,0.6434123,18.927122,44.573906,2025,1,20250702_0145.nc
0,1,4058,0.92671067,0.8717337,15.999218,42.84104,2025,1,20250702_0145.nc
0,2,4349,0.7115031,0.71750945,13.121627,41.26031,2025,1,20250702_0145.nc
0,3,4469,0.85765773,1.1339113,10.268245,39.672382,2025,1,20250702_0145.nc
0,4,3536,2.670033,2.5270076,7.3336067,38.100296,2025,1,20250702_0145.nc
0,5,4038,2.6543112,2.5753453,4.78041,36.656517,2025,1,20250702_0145.nc
0,6,1665,2.928708,2.9074428,3.2209873,35.37904,2025,1,20250702_0145.nc
0,7,3555,2.5157986,2.3456032,2.981853,33.679054,2025,1,20250702_0145.nc
1,0,4357,1.1045154,1.0750148,18.809517,43.121758,2025,1,20250702_0145.nc
1,1,4369,0.8502363,0.8583996,15.90083,41.407288,2025,1,20250702_0145.nc
1,2,4335,0.8965183,0.8491798,12.966083,39.707726,2025,1,20250702_0145.nc
1,3,4547,0.8183312,0.81776685,10.07228,38.07702,2025,1,20250702_0145.nc
1,4,4232,0.95106363,1.3386071,7.187745,36.415443,2025,1,20250702_0145.nc
1,5,4417,0.8908301,1.2597201,4.2971754,34.85467,2025,1,20250702_0145.nc
1,6,4530,1.4445908,1.5860288,1.8249395,33.33812,2025,1,20250702_0145.nc
1,7,4363,2.2870142,2.1677012,2.2741437,31.846296,2025,1,20250702_0145.nc
2,0,4116,1.0040436,1.0226957,19.096905,41.74384,2025,1,20250702_0145.nc
2,1,4325,1.0705708,1.0100557,16.318102,40.009716,2025,1,20250702_0145.nc
2,2,4423,0.8981263,0.92759216,13.522946,38.282066,2025,1,20250702_0145.nc
2,3,4481,0.8350055,0.8325936,10.749283,36.582184,2025,1,20250702_0145.nc
2,4,4389,0.85996544,0.8358213,8.148239,34.94233,2025,1,20250702_0145.nc
2,5,4381,0.7383192,0.79246306,5.7271166,33.25212,2025,1,20250702_0145.nc
2,6,4593,0.7436912,0.8803803,4.0982575,31.689129,2025,1,20250702_0145.nc
2,7,4621,1.7190646,1.7087368,4.285934,30.155916,2025,1,20250702_0145.nc
3,0,4236,0.8108573,0.88199145,19.94841,40.525394,2025,1,20250702_0145.nc
3,1,4335,0.86000896,0.8496868,17.239618,38.717377,2025,1,20250702_0145.nc
3,2,4282,0.81527245,1.0597957,14.645099,36.949337,2025,1,20250702_0145.nc
