tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
3,2,4387,0.7573572,0.88181996,258.96445,259.43042,14.590337,25.936525,2023,2,20230701_0245.nc
3,3,4448,0.90147495,0.9140568,254.83272,255.18439,12.077118,24.503494,2023,2,20230701_0245.nc
3,4,3024,1.1981981,1.5665703,257.67603,258.71423,10.069836,23.374063,2023,2,20230701_0245.nc
3,5,4506,0.8542316,1.0614523,252.83176,253.81406,7.941506,21.863312,2023,2,20230701_0245.nc
3,6,4564,0.7987713,0.90057784,250.32344,250.84344,6.905798,20.707113,2023,2,20230701_0245.nc
3,7,4558,0.74983835,0.7726381,250.3794,250.5246,7.0447216,19.696133,2023,2,20230701_0245.nc
0,0,4139,0.9905104,1.2298508,248.96005,249.02568,18.92771,26.430607,2023,3,20230701_0345.nc
0,1,4437,0.65223426,0.8089924,244.56468,245.10077,16.004242,25.815342,2023,3,20230701_0345.nc
0,2,4386,0.76668155,0.91726017,241.41641,242.44568,13.140884,25.372244,2023,3,20230701_0345.nc
0,3,4526,0.86727726,0.9787663,242.41327,244.1085,10.235165,25.054497,2023,3,20230701_0345.nc
0,4,4544,0.7938448,0.97000915,242.83981,244.04858,7.398011,24.897293,2023,3,20230701_0345.nc
0,5,4623,0.79378027,0.7899552,242.2444,242.7984,4.702497,24.921076,2023,3,20230701_0345.nc
0,6,4656,0.7516213,0.7938151,242.86339,243.43935,2.5829477,25.08525,2023,3,20230701_0345.nc
0,7,4384,0.84684503,1.0606011,243.42947,245.19498,2.8738656,25.386276,2023,3,20230701_0345.nc
1,0,4235,1.1504034,1.3641907,249.95251,249.68268,18.787249,24.105316,2023,3,20230701_0345.nc
1,1,4302,0.8535583,1.0984921,248.67824,249.10338,15.905554,23.423187,2023,3,20230701_0345.nc
1,2,4274,1.0266556,1.2853941,248.0951,248.13722,13.069936,22.890282,2023,3,20230701_0345.nc
1,3,4283,0.81465083,1.2231027,247.41537,248.0,10.128145,22.496555,2023,3,20230701_0345.nc
1,4,4574,0.8005408,0.9187761,243.793,244.86,7.1533546,22.393536,2023,3,20230701_0345.nc
1,5,4589,0.82670426,0.8280184,244.88852,245.35211,4.301002,22.426405,2023,3,20230701_0345.nc
1,6,4594,0.81946415,0.98728704,247.14244,248.55559,1.8232813,22.6123,2023,3,20230701_0345.nc
1,7,4611,0.8003553,0.9954773,247.41309,248.60103,2.2197764,22.993652,2023,3,20230701_0345.nc
2,0,3907,1.2672783,1.5677574,260.02274,259.32227,19.310822,21.802673,2023,3,20230701_0345.nc
2,1,3858,1.6940306,1.7528251,257.08423,256.69177,16.170732,20.998281,2023,3,20230701_0345.nc
2,2,3839,1.6437085,1.7411081,255.0595,255.25056,13.688094,20.407787,2023,3,20230701_0345.nc
2,3,4335,0.81674933,1.1092618,249.25426,250.35902,10.680863,20.01395,2023,3,20230701_0345.nc
2,4,4587,0.7949994,0.8748472,246.82352,247.76744,8.058282,19.904535,2023,3,20230701_0345.nc
2,5,4575,0.7916844,0.8855564,247.36392,248.32703,5.701804,19.93729,2023,3,20230701_0345.nc
2,6,4571,0.7901121,0.8759905,247.42264,248.3506,4.094342,20.14414,2023,3,20230701_0345.nc
2,7,4600,0.81802887,0.8229019,247.246,247.77908,4.3195615,20.561817,2023,3,20230701_0345.nc
3,0,4263,0.7481199,1.0148784,262.9436,263.38953,19.932045,19.501678,2023,3,20230701_0345.nc
3,1,3623,0.8401048,1.2660192,262.95392,263.18903,17.350636,18.506006,2023,3,20230701_0345.nc
3,2,4374,0.80772734,1.0552429,259.25244,259.571,14.597013,18.023508,2023,3,20230701_0345.nc
3,3,4473,0.84265316,0.9020267,253.86357,254.62544,12.086154,17.616674,2023,3,20230701_0345.nc
3,4,3131,1.6700833,1.807858,259.18304,259.1661,10.012843,17.41849,2023,3,20230701_0345.nc
3,5,4509,0.76375604,0.9678258,251.93314,253.11502,7.9588733,17.44312,2023,3,20230701_0345.nc
3,6,4548,0.7284539,0.8203548,251.08853,251.51112,6.9311333,17.67237,2023,3,20230701_0345.nc
3,7,4560,0.74425983,0.7740726,250.36552,250.6683,7.0402594,18.15057,2023,3,20230701_0345.nc
0,0,4064,0.908767,1.2330438,247.95917,247.98372,18.860182,25.447935,2023,4,20230701_0445.nc
0,1,4365,0.6629773,0.8569444,243.92143,244.58955,15.994945,26.048122,2023,4,20230701_0445.nc
0,2,4301,0.79752135,0.9415082,240.8364,242.28479,13.1485195,26.764555,2023,4,20230701_0445.nc
0,3,4537,0.86717546,1.0335981,242.2413,244.02048,10.239263,27.546856,2023,4,20230701_0445.nc
0,4,4549,0.7757172,0.97865623,242.91718,244.1122,7.401752,28.462666,2023,4,20230701_0445.nc
0,5,4651,0.83429533,0.83134437,242.29655,242.7266,4.696175,29.484854,2023,4,20230701_0445.nc
0,6,4609,0.8089219,0.8426767,242.87892,243.52663,2.5742333,30.614403,2023,4,20230701_0445.nc
0,7,4393,0.8936717,1.0684438,244.18028,246.14796,2.8758373,31.799664,2023,4,20230701_0445.nc
1,0,4082,0.93494284,1.227172,248.80106,249.08987,18.740696,23.16138,2023,4,20230701_0445.nc
1,1,4337,0.788071,1.0568489,247.68922,248.27773,15.910832,23.682758,2023,4,20230701_0445.nc
1,2,4178,1.1669979,1.431863,248.31485,248.37889,13.008978,24.401247,2023,4,20230701_0445.nc
1,3,4246,0.7984504,1.2025682,247.11308,247.92534,10.090315,25.233768,2023,4,20230701_0445.nc
1,4,4585,0.81476605,0.9707333,243.8716,245.24545,7.1537538,26.271643,2023,4,20230701_0445.nc
1,5,4585,0.83938307,0.8840186,244.98949,245.59503,4.3086386,27.388283,2023,4,20230701_0445.nc
1,6,4513,0.86060596,1.016745,247.3792,248.71864,1.8326423,28.58094,2023,4,20230701_0445.nc
1,7,4617,0.8654327,0.95297724,247.11887,248.49493,2.2237756,29.889133,2023,4,20230701_0445.nc
2,0,4034,1.618983,1.7981735,260.29034,259.38217,19.270317,20.646605,2023,4,20230701_0445.nc
2,1,4130,1.5380526,1.6602839,257.22687,257.15753,16.304802,21.28408,2023,4,20230701_0445.nc
2,2,3984,1.5776885,1.7129898,254.68047,254.74675,13.650028,22.06898,2023,4,20230701_0445.nc
2,3,4234,0.82718587,1.1231271,248.21072,249.43033,10.644721,23.038834,2023,4,20230701_0445.nc
2,4,4519,0.7961991,0.9158393,246.98474,247.98557,8.076703,24.17914,2023,4,20230701_0445.nc
2,5,4524,0.83764887,0.96976674,247.63167,248.738,5.737214,25.35093,2023,4,20230701_0445.nc
2,6,4518,0.867947,0.9689786,248.319,249.48453,4.082243,26.662449,2023,4,20230701_0445.nc
2,7,4598,0.9197817,0.8974431,247.20148,247.62929,4.314092,28.027788,2023,4,20230701_0445.nc
3,0,4250,0.75024664,0.95600045,262.1098,262.2228,19.936668,18.267815,2023,4,20230701_0445.nc
3,1,3820,0.8165107,1.425889,263.2699,263.95163,17.344597,18.864208,2023,4,20230701_0445.nc
3,2,4291,0.8490089,1.1914101,260.27197,260.33743,14.591789,19.882652,2023,4,20230701_0445.nc
3,3,4406,0.8174646,0.8911632,253.5016,254.25911,12.08081,20.94743,2023,4,20230701_0445.nc
3,4,3674,1.7507619,1.9362518,262.92148,261.04898,9.992335,21.991035,2023,4,20230701_0445.nc
3,5,4532,0.840562,0.96438706,252.343,253.41045,7.958129,23.425463,2023,4,20230701_0445.nc
3,6,4471,0.8823821,0.9440085,251.12029,251.83258,6.923738,24.800735,2023,4,20230701_0445.nc
3,7,4556,0.8920311,0.8995598,249.97755,250.22198,7.065215,26.250881,2023,4,20230701_0445.nc
0,0,3684,0.8449062,1.1960686,247.67462,248.06244,18.83128,31.984634,2023,5,20230701_0545.nc
0,1,4291,0.71926814,0.86191666,243.16441,243.9565,15.992435,33.438736,2023,5,20230701_0545.nc
0,2,4361,0.8424962,0.95852286,240.3024,242.02228,13.136615,34.844067,2023,5,20230701_0545.nc
0,3,4504,0.9218221,1.0813204,242.58342,244.5088,10.23082,36.26033,2023,5,20230701_0545.nc
0,4,4470,0.8148824,0.9524974,243.34499,244.39146,7.40326,37.778496,2023,5,20230701_0545.nc
0,5,4620,0.89941376,0.8905978,242.90677,243.38647,4.6926804,39.305225,2023,5,20230701_0545.nc
0,6,4589,0.87898165,0.87704694,243.37038,244.06158,2.5815375,40.887615,2023,5,20230701_0545.nc
0,7,4533,0.9502225,1.0305865,245.77963,247.47118,2.899241,42.475468,2023,5,20230701_0545.nc
1,0,4066,0.8688709,1.1502737,247.51898,248.76288,18.752716,30.231749,2023,5,20230701_0545.nc
1,1,4296,0.8002162,0.9915877,247.14636,247.83412,15.897946,31.584164,2023,5,20230701_0545.nc
1,2,4054,1.2316254,1.5007362,249.51779,249.30576,12.972927,33.006607,2023,5,20230701_0545.nc
1,3,4306,0.863899,1.216997,247.1178,248.0915,10.079551,34.536716,2023,5,20230701_0545.nc
1,4,4565,0.8853858,0.98793364,244.28516,245.45583,7.1720285,36.09758,2023,5,20230701_0545.nc
1,5,4560,0.90857315,0.94989604,245.50636,246.23822,4.311507,37.708786,2023,5,20230701_0545.nc
1,6,4459,0.88627195,0.9919776,247.25803,248.63809,1.842329,39.308865,2023,5,20230701_0545.nc
1,7,4648,0.92462456,0.92656904,247.90044,249.01718,2.2325087,41.00302,2023,5,20230701_0545.nc
2,0,4184,1.6893884,1.7078553,259.55383,258.8416,19.165665,28.306416,2023,5,20230701_0545.nc
2,1,4013,1.2769427,1.5395862,256.5865,256.8414,16.271858,29.771187,2023,5,20230701_0545.nc
2,2,3948,1.5167248,1.6551523,255.08328,255.15508,13.642532,31.274006,2023,5,20230701_0545.nc
2,3,4168,0.90529525,1.173884,248.44653,249.69742,10.625625,32.949482,2023,5,20230701_0545.nc
2,4,4468,0.8945817,0.98978215,247.29306,248.46019,8.068549,34.554886,2023,5,20230701_0545.nc
2,5,4458,0.9290645,1.068677,247.9807,249.38417,5.7331877,36.185783,2023,5,20230701_0545.nc
2,6,4512,0.95154214,1.0497885,248.74878,250.08893,4.100473,37.877796,2023,5,20230701_0545.nc
2,7,4594,1.0095263,0.97825193,247.6644,248.11594,4.324156,39.584103,2023,5,20230701_0545.nc
3,0,4257,0.7526074,0.99944544,261.77582,261.6541,19.941786,26.55815,2023,5,20230701_0545.nc
3,1,3973,0.8708248,1.4381987,263.14102,263.775,17.3054,28.046736,2023,5,20230701_0545.nc
3,2,4125,0.8677061,1.2247438,260.52008,260.63885,14.601459,29.720924,2023,5,20230701_0545.nc
3,3,4368,0.9223186,0.976805,253.85223,254.6215,12.08232,31.379133,2023,5,20230701_0545.nc
3,4,4433,1.9067991,1.8890592,262.74487,261.42358,9.859268,33.034157,2023,5,20230701_0545.nc
3,5,4427,0.9258232,1.0254352,252.28728,253.41417,7.9426327,34.762077,2023,5,20230701_0545.nc
3,6,4514,0.96491444,0.99271464,251.56532,252.43974,6.9294634,36.522713,2023,5,20230701_0545.nc
3,7,4494,0.9881042,0.9915129,250.81055,251.44167,7.064602,38.282394,2023,5,20230701_0545.nc
0,0,3612,0.98380446,1.3206145,249.42467,249.39867,18.854675,42.815376,2023,6,20230701_0645.nc
0,1,4203,0.7858391,0.8878947,244.3161,245.09787,16.01765,44.525978,2023,6,20230701_0645.nc
0,2,4301,0.9595289,0.9822886,240.91405,242.29233,13.086309,46.234623,2023,6,20230701_0645.nc
0,3,4404,0.9865099,1.0549878,243.54018,245.12477,10.20092,47.92608,2023,6,20230701_0645.nc
0,4,4442,0.8993248,0.9473505,243.84146,244.92746,7.3780727,49.686035,2023,6,20230701_0645.nc
0,5,4604,1.0508736,0.99221563,243.628,244.08273,4.673626,51.41623,2023,6,20230701_0645.nc
