year,file,rows,rows_in_region,good_error_rows
2023,20230706_0545.nc,1423360,144361,137798
2023,20230706_0645.nc,1423360,144436,134963
2023,20230706_0745.nc,1423360,144343,133162
2023,20230706_2245.nc,710656,51673,46834
2023,20230706_2345.nc,710656,103926,96811
2023,20230707_0045.nc,1423360,144405,134321
2023,20230707_0145.nc,1423360,144430,134718
2023,20230707_0245.nc,1423360,144466,135790
2023,20230707_0345.nc,1423360,144445,137283
2023,20230707_0445.nc,1423360,144485,137326
2023,20230707_0545.nc,1423360,144413,136414
2023,20230707_0645.nc,1423360,144452,136092
2023,20230707_0745.nc,1423360,144442,136410
2023,20230707_2245.nc,710656,51606,47820
2023,20230707_2345.nc,710656,103894,96725
2023,20230708_0045.nc,1423360,144392,132882
2023,20230708_0145.nc,1423360,144432,133316
2023,20230708_0245.nc,1423360,144374,134027
2023,20230708_0345.nc,1423360,144425,135377
2023,20230708_0445.nc,1423360,144472,136249
2023,20230708_0545.nc,1423360,144410,136729
2023,20230708_0645.nc,1423360,144473,137030
2023,20230708_0745.nc,1423360,144462,136721
2023,20230708_2245.nc,710656,51551,48701
2023,20230708_2345.nc,710656,103861,97913
2023,20230709_0045.nc,1423360,144396,137929
2023,20230709_0145.nc,1423360,144415,138019
2023,20230709_0245.nc,1423360,144368,138596
2023,20230709_0345.nc,1423360,144419,138320
2023,20230709_0445.nc,1423360,144449,137697
2023,20230709_0545.nc,1423360,144367,136992
2023,20230709_0645.nc,1423360,144481,137032
2023,20230709_0745.nc,1423360,144420,137060
2023,20230709_2245.nc,710656,51509,48106
2023,20230709_2345.nc,710656,103838,98704
2023,20230710_0045.nc,1423360,144396,135931
2023,20230710_0145.nc,1423360,144420,136204
2023,20230710_0245.nc,1423360,144358,136516
2023,20230710_0345.nc,1423360,144396,136278
2023,20230710_0445.nc,1423360,144429,136334
2023,20230710_0545.nc,1423360,144434,136247
2023,20230710_0645.nc,1423360,144453,136470
2023,20230710_0745.nc,1423360,144424,136721
2023,20230710_2245.nc,710656,51514,47938
2023,20230710_2345.nc,710656,103825,96525
2023,20230711_0045.nc,1423360,144369,136224
2023,20230711_0145.nc,1423360,144397,138438
2023,20230711_0245.nc,1423360,144342,140016
2023,20230711_0345.nc,1423360,144392,140689
2023,20230711_0445.nc,1423360,144448,141761
2023,20230711_0545.nc,1423360,144446,141615
2023,20230711_0645.nc,1423360,144439,141153
2023,20230711_0745.nc,1423360,144409,140929
2023,20230711_2245.nc,710656,51508,47862
2023,20230711_2345.nc,710656,103822,96154
2023,20230712_0045.nc,1423360,144394,130748
2023,20230712_0145.nc,1423360,144386,129788
2023,20230712_0245.nc,1423360,144401,129381
2023,20230712_0345.nc,1423360,144427,130516
2023,20230712_0445.nc,1423360,144429,131144
2023,20230712_0545.nc,1423360,144366,131895
2023,20230712_0645.nc,1423360,144458,133155
2023,20230712_0745.nc,1423360,144438,135016
2023,20230712_2245.nc,710656,51507,48674
2023,20230712_2345.nc,710656,103841,96146
2023,20230713_0045.nc,1423360,144391,132754
2023,20230713_0145.nc,1423360,144380,131291
2023,20230713_0245.nc,1423360,144404,131742
2023,20230713_0345.nc,1423360,144417,133094
2023,20230713_0445.nc,1423360,144428,134013
2023,20230713_0545.nc,1423360,144425,134359
2023,20230713_0645.nc,522240,112305,107146
2023,20230713_0745.nc,1423360,144443,135530
2023,20230713_2245.nc,710656,51494,46718
2023,20230713_2345.nc,710656,103801,94250
2023,20230714_0045.nc,1423360,144369,132677
2023,20230714_0145.nc,1423360,144336,131237
2023,20230714_0245.nc,1423360,144402,130114
2023,20230714_0345.nc,1423360,144437,130008
2023,20230714_0445.nc,1423360,144422,130915
2023,20230714_0545.nc,1423360,144441,133278
2023,20230714_0645.nc,1423360,144453,135681
2023,20230714_0745.nc,1423360,144458,135336
2023,20230714_2245.nc,710656,51477,45999
2023,20230714_2345.nc,710656,103798,94322
2023,20230715_0045.nc,1423360,144370,129860
2023,20230715_0145.nc,1423360,144355,127941
2023,20230715_0245.nc,1423360,144437,126736
2023,20230715_0345.nc,1423360,144397,125906
2023,20230715_0445.nc,1423360,144353,126771
2023,20230715_0545.nc,1423360,144423,127334
2023,20230715_0645.nc,1423360,144402,129570
2023,20230715_0745.nc,1423360,144440,134698
2023,20230715_2245.nc,710656,51412,50295
2023,20230715_2345.nc,710656,103763,98678
2023,20230716_0045.nc,1423360,144337,139100
2023,20230716_0145.nc,1423360,144346,139475
2023,20230716_0245.nc,1423360,144397,140627
2023,20230716_0345.nc,1423360,144403,141652
2023,20230716_0445.nc,1423360,144364,141802
2023,20230716_0545.nc,1423360,144421,141847
2023,20230716_0645.nc,1423360,144359,141860
2023,20230716_0745.nc,1423360,144397,141382
2023,20230716_2245.nc,710656,51386,48102
2023,20230716_2345.nc,710656,103738,98738
2023,20230717_0045.nc,1423360,144273,138191
2023,20230717_0145.nc,1423360,144334,137712
2023,20230717_0245.nc,1423360,144385,137037
2023,20230717_0345.nc,1423360,144405,136947
2023,20230717_0445.nc,1423360,144384,135979
2023,20230717_0545.nc,1423360,144424,136718
2023,20230717_0645.nc,1423360,144435,138853
2023,20230717_0745.nc,1423360,144410,139290
2023,20230717_2245.nc,710656,49229,48614
2023,20230717_2345.nc,710656,101504,99571
2023,20230718_0045.nc,1423360,144188,141635
2023,20230718_0145.nc,1423360,144243,139895
2023,20230718_0245.nc,1423360,144229,137990
2023,20230718_0345.nc,1423360,144218,137113
2023,20230718_0445.nc,1423360,144236,136775
2023,20230718_0545.nc,1423360,144059,137326
2023,20230718_0645.nc,1423360,143846,140858
2023,20230718_0745.nc,1423360,144348,140510
2023,20230718_2245.nc,710656,52029,50057
2023,20230718_2345.nc,710656,104349,101176
2023,20230719_0045.nc,1423360,144374,140620
2023,20230719_0145.nc,1423360,144433,140852
2023,20230719_0245.nc,1423360,144420,140387
2023,20230719_0345.nc,1423360,144378,140294
2023,20230719_0445.nc,1423360,144418,141026
2023,20230719_0545.nc,1423360,144421,141816
2023,20230719_0645.nc,1423360,144446,142005
2023,20230719_0745.nc,1423360,144419,141814
2023,20230720_0045.nc,1423360,144389,136499
2023,20230720_0145.nc,1423360,144414,136300
2023,20230720_0245.nc,1423360,144356,137263
2023,20230720_0345.nc,1423360,144400,139642
2023,20230720_0445.nc,1423360,144408,140809
2023,20230720_0545.nc,1423360,144407,140726
2023,20230720_0645.nc,1423360,144408,140400
2023,20230720_0745.nc,1423360,144408,138661
2023,20230721_0045.nc,1423360,144359,135899
