tile_y,tile_x,n_files,total_n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
1.0,2.0,259.0,1088928.0,0.963161,1.272994,0.368253,0.485698,261.011429,261.107127,13.012965,38.604198,2024,-0.5,2.0,116.0,118.5,0.75,117.25
1.0,3.0,260.0,1130213.0,0.960803,1.256443,0.374849,0.48178,259.290115,259.769072,10.074458,36.842339,2024,-0.5,2.0,118.5,121.0,0.75,119.75
1.0,4.0,260.0,1150424.0,0.944482,1.204266,0.368263,0.463206,258.471375,258.962092,7.163698,35.625148,2024,-0.5,2.0,121.0,123.5,0.75,122.25
1.0,5.0,260.0,1139165.0,0.930786,1.250287,0.364369,0.480646,258.580002,259.101435,4.299604,35.288254,2024,-0.5,2.0,123.5,126.0,0.75,124.75
1.0,6.0,260.0,1145742.0,0.952778,1.274262,0.367856,0.488825,258.717621,259.613798,1.819419,37.017515,2024,-0.5,2.0,126.0,128.5,0.75,127.25
1.0,7.0,260.0,1147229.0,0.943398,1.298978,0.370005,0.497834,259.141266,259.611973,2.227049,38.793196,2024,-0.5,2.0,128.5,131.0,0.75,129.75
2.0,0.0,248.0,1044799.0,0.915279,1.135992,0.348808,0.428474,263.923851,264.214612,19.177554,33.724727,2024,2.0,4.5,111.0,113.5,3.25,112.25
2.0,1.0,248.0,1067183.0,0.986357,1.190631,0.375977,0.448002,264.061882,264.762298,16.33346,34.244646,2024,2.0,4.5,113.5,116.0,3.25,114.75
2.0,2.0,259.0,1118886.0,0.9468,1.231794,0.36248,0.464742,263.249908,263.904817,13.523449,37.354149,2024,2.0,4.5,116.0,118.5,3.25,117.25
2.0,3.0,260.0,1088885.0,0.950827,1.380172,0.364286,0.521152,262.94252,263.513301,10.749769,35.565308,2024,2.0,4.5,118.5,121.0,3.25,119.75
2.0,4.0,260.0,1110231.0,0.933242,1.264198,0.358748,0.479708,262.155075,262.30903,8.085095,34.169827,2024,2.0,4.5,121.0,123.5,3.25,122.25
2.0,5.0,260.0,1127167.0,0.937136,1.271522,0.356909,0.482467,262.230209,262.393937,5.73877,33.966456,2024,2.0,4.5,123.5,126.0,3.25,124.75
2.0,6.0,260.0,1136469.0,0.9137,1.288716,0.35142,0.488966,262.112038,262.438828,4.110564,35.747446,2024,2.0,4.5,126.0,128.5,3.25,127.25
2.0,7.0,260.0,1102989.0,1.0195,1.415475,0.383538,0.535451,262.929726,262.781427,4.316644,37.556029,2024,2.0,4.5,128.5,131.0,3.25,129.75
3.0,0.0,248.0,1003263.0,0.907831,1.270572,0.343467,0.471461,268.73307,268.249556,19.946551,32.461097,2024,4.5,7.0,111.0,113.5,5.75,112.25
3.0,1.0,248.0,1043308.0,0.927062,1.207954,0.348806,0.450031,267.161224,267.357722,17.24067,32.920775,2024,4.5,7.0,113.5,116.0,5.75,114.75
3.0,2.0,259.0,1092791.0,0.960382,1.209761,0.360963,0.450552,267.955124,267.487668,14.604115,36.209473,2024,4.5,7.0,116.0,118.5,5.75,117.25
3.0,3.0,260.0,1096267.0,0.96906,1.329369,0.365588,0.495661,267.801018,267.00252,12.100309,34.380566,2024,4.5,7.0,118.5,121.0,5.75,119.75
3.0,4.0,260.0,1090470.0,0.949908,1.301418,0.360153,0.486959,266.22506,266.045883,9.847194,32.753392,2024,4.5,7.0,121.0,123.5,5.75,122.25
3.0,5.0,260.0,1083415.0,0.947638,1.323611,0.357874,0.495798,266.054024,266.081439,7.991511,32.756929,2024,4.5,7.0,123.5,126.0,5.75,124.75
3.0,6.0,260.0,1110746.0,1.019522,1.391854,0.385173,0.520798,266.249779,265.904143,6.931371,34.588642,2024,4.5,7.0,126.0,128.5,5.75,127.25
3.0,7.0,260.0,1075023.0,1.090663,1.476857,0.407201,0.552784,265.955406,265.726535,7.051506,36.411301,2024,4.5,7.0,128.5,131.0,5.75,129.75
