embedding_factor,dgp,component,target_actual_source,target_fft_mapped_source,fft_generated,mapping_bias,spectral_correction_bias,total_generator_bias,separable_minus_joint_target_gap,abs_total_bias_over_abs_model_gap,signed_total_bias_over_model_gap,spectrum_negative_mass_fraction,spectrum_negative_fraction,spectrum_min_before_clip,embedding_is_exact_nonnegative
4,separable,h_ab,7.2253519073017527,7.2234995302494056,7.3251216608452099,-0.0018523770523470873,0.10162213059580427,0.099769753543457185,6.8344880282029514,0.014597984974404949,0.014597984974404949,0.0012752418681299207,0.0013178584317162449,-1271.9889903855608,False
4,separable,variance_l,1.7466829531179251,1.7717900356754901,1.7811651679927503,0.025107082557564997,0.0093751323172601708,0.034482214874825168,0.36550128568390061,0.094342253298246109,0.094342253298246109,0.0012752418681299207,0.0013178584317162449,-1271.9889903855608,False
8,joint,h_aa,28.237913972055576,28.261117038665407,28.207545247561438,0.023203066609831069,-0.053571791103969701,-0.030368724494138633,1.2132069050955678,0.025031776827668484,-0.025031776827668484,0.032929027065023736,0.0017227791950752693,-1414350.1696576341,False
8,joint,h_bb,28.224748823987049,28.242239431347159,28.100774629850161,0.017490607360109323,-0.14146480149699769,-0.12397419413688837,0.25219010325730196,0.49159024297793813,-0.49159024297793813,0.032929027065023736,0.0017227791950752693,-1414350.1696576341,False
8,joint,h_ab,0.39086387909880166,0.38977680617708221,1.1506008341769975,-0.0010870729217194453,0.76082402799991533,0.75973695507819583,6.8344880282029514,0.11116223365131268,0.11116223365131268,0.032929027065023736,0.0017227791950752693,-1414350.1696576341,False
8,joint,variance_l,1.3811816674340245,1.3821133783366157,1.4141519670218747,0.000931710902591254,0.032038588685258995,0.032970299587850249,0.36550128568390061,0.090205700716369616,0.090205700716369616,0.032929027065023736,0.0017227791950752693,-1414350.1696576341,False
8,separable,h_aa,29.451120877151144,29.920057915842417,29.953671355052215,0.46893703869127279,0.033613439209798202,0.50255047790107099,1.2132069050955678,0.41423311703083626,0.41423311703083626,0.00046800540001830582,0.00047885395051425477,-1698.0892368616578,False
8,separable,h_bb,28.476938927244351,29.054111898667294,29.088065497508065,0.57717297142294299,0.033953598840771093,0.61112657026371409,0.25219010325730196,2.4232773704057693,2.4232773704057693,0.00046800540001830582,0.00047885395051425477,-1698.0892368616578,False
8,separable,h_ab,7.2253519073017527,7.2234995302494056,7.2611404965954618,-0.0018523770523470873,0.037640966346056182,0.035788589293709094,6.8344880282029514,0.0052364696735183666,0.0052364696735183666,0.00046800540001830582,0.00047885395051425477,-1698.0892368616578,False
8,separable,variance_l,1.7466829531179251,1.7717900356754901,1.7752362678794436,0.025107082557564997,0.0034462322039534588,0.028553314761518456,0.36550128568390061,0.078120969419003483,0.078120969419003483,0.00046800540001830582,0.00047885395051425477,-1698.0892368616578,False
