date,time_index,anchor_rank,anchor_row,anchor_column,row_shift,column_shift,grid_row,grid_column,grid_latitude,grid_longitude,source_latitude,source_longitude,response,true_mean,true_residual
2023-07-04,0,72,110,91,0,0,110,91,-2.84,125.267,-2.848847,125.248276,257.114331575,257.651153,-0.536821424961
2023-07-04,0,73,22,99,0,0,22,99,1.032,124.763,1.0372174,124.73663,260.094814799,261.5372174,-1.44240260124
2023-07-04,0,74,22,100,0,0,22,100,1.032,124.7,1.037335,124.67447,259.405427775,261.537335,-2.13190722466
2023-07-04,0,75,51,19,0,0,51,19,-0.244,129.803,-0.25397998,129.81728,259.098136128,260.24602002,-1.14788389206
2023-07-04,0,76,51,20,0,0,51,20,-0.244,129.74,-0.25371218,129.75522,260.793963966,260.24628782,0.54767614603
2023-07-04,0,77,65,79,0,0,65,79,-0.86,126.023,-0.8533437,126.02228,256.566948677,259.6466563,-3.07970762253
2023-07-04,0,78,65,80,0,0,65,80,-0.86,125.96,-0.8531471,125.96001,258.87881421,259.6468529,-0.76803869009
2023-07-04,0,79,75,90,0,0,75,90,-1.3,125.33,-1.3072071,125.33264,255.899355896,259.1927929,-3.29343700409
2023-07-04,0,80,75,91,0,0,75,91,-1.3,125.267,-1.307143,125.27056,262.051727268,259.192857,2.85887026787
2023-07-04,0,81,27,3,0,0,27,3,0.812,130.811,0.80661416,130.82353,263.651983737,261.30661416,2.34536957741
2023-07-04,0,82,27,4,0,0,27,4,0.812,130.748,0.80665797,130.76129,262.689596236,261.30665797,1.3829382658
2023-07-04,0,83,38,44,0,0,38,44,0.328,128.228,0.33532917,128.20972,263.013756389,260.83532917,2.17842721939
2023-07-04,0,84,38,45,0,0,38,45,0.328,128.165,0.31374773,128.14728,261.68232533,260.81374773,0.868577599525
2023-07-04,0,85,74,14,0,0,74,14,-1.256,130.118,-1.252503,130.11603,258.903268911,259.247497,-0.344228088856
2023-07-04,0,86,74,15,0,0,74,15,-1.256,130.055,-1.2523615,130.05399,260.854662574,259.2476385,1.6070240736
2023-07-04,0,87,45,91,0,0,45,91,0.02,125.267,0.016150631,125.28651,260.256878324,260.516150631,-0.259272307158
2023-07-04,0,88,45,92,0,0,45,92,0.02,125.204,0.01624289,125.22429,261.252800731,260.51624289,0.736557841301
2023-07-04,0,89,99,69,0,0,99,69,-2.356,126.653,-2.351274,126.623604,256.508766903,258.148726,-1.63995909691
2023-07-04,0,90,99,70,0,0,99,70,-2.356,126.59,-2.3511834,126.56135,258.587984189,258.1488166,0.439167588949
2023-07-04,0,91,70,63,0,0,70,63,-1.08,127.031,-1.0716009,127.01312,258.788618579,259.4283991,-0.639780521393
2023-07-04,0,92,70,64,0,0,70,64,-1.08,126.968,-1.0714725,126.95119,260.290266241,259.4285275,0.861738741398
2023-07-04,0,93,54,53,0,0,54,53,-0.376,127.661,-0.37860468,127.6427,253.94671318,260.12139532,-6.17468214035
2023-07-04,0,94,54,54,0,0,54,54,-0.376,127.598,-0.3785023,127.58054,257.074322531,260.1214977,-3.04717516899
2023-07-04,0,95,53,111,0,0,53,111,-0.332,124.007,-0.3288859,124.03814,254.058638705,260.1711141,-6.1124753952
2023-07-04,0,96,53,112,0,0,53,112,-0.332,123.944,-0.32873657,123.91361,262.616466019,260.17126343,2.44520258904
2023-07-04,0,97,25,73,0,0,25,73,0.9,126.401,0.9029267,126.41413,261.603817897,261.4029267,0.200891196728
2023-07-04,0,98,25,74,0,0,25,74,0.9,126.338,0.90281767,126.35212,260.119079891,261.40281767,-1.28373777866
2023-07-04,0,99,110,23,0,0,110,23,-2.84,129.551,-2.835589,129.53847,254.301360301,257.664411,-3.36305069923
2023-07-04,0,100,110,24,0,0,110,24,-2.84,129.488,-2.8353696,129.47624,258.478345321,257.6646304,0.813714921474
2023-07-04,1,1,56,67,-2,3,54,70,-0.376,126.59,-0.37815282,126.58168,252.126735238,260.12184718,-7.99511194229
2023-07-04,1,2,56,68,-2,3,54,71,-0.376,126.527,-0.37803102,126.51968,253.106678243,260.12196898,-7.01529073715
2023-07-04,1,3,112,134,-2,3,110,137,-2.84,122.369,-2.8482573,122.37219,257.794654939,257.6517427,0.142912238836
2023-07-04,1,4,112,135,-2,3,110,138,-2.84,122.306,-2.8482163,122.30971,256.094633336,257.6517837,-1.55715036392
2023-07-04,1,5,113,8,-2,3,111,11,-2.884,130.307,-2.8820598,130.27893,258.012640548,257.6179402,0.394700348377
2023-07-04,1,6,113,9,-2,3,111,12,-2.884,130.244,-2.8817673,130.21674,257.298952582,257.6182327,-0.31928011775
2023-07-04,1,7,14,135,-2,3,12,138,1.472,122.306,1.4740568,122.30099,261.945079708,261.9740568,-0.0289770923555
2023-07-04,1,8,14,136,-2,3,12,139,1.472,122.243,1.4741642,122.23839,261.722372812,261.9741642,-0.251791387796
2023-07-04,1,9,13,3,-2,3,11,6,1.516,130.622,1.5218643,130.64119,262.313918119,262.0218643,0.292053818703
2023-07-04,1,10,13,4,-2,3,11,7,1.516,130.559,1.5218065,130.57887,258.698221228,262.0218065,-3.32358527184
2023-07-04,1,11,112,74,-2,3,110,77,-2.84,126.149,-2.8303435,126.176414,250.919465288,257.6696565,-6.7501912117
2023-07-04,1,12,112,75,-2,3,110,78,-2.84,126.086,-2.8300865,126.114265,254.952177494,257.6699135,-2.71773600578
2023-07-04,1,13,63,120,-2,3,61,123,-0.684,123.251,-0.67744577,123.28048,254.332667469,259.82255423,-5.48988676071
2023-07-04,1,14,63,121,-2,3,61,124,-0.684,123.188,-0.67739886,123.217995,254.082312406,259.82260114,-5.74028873444
2023-07-04,1,15,63,5,-2,3,61,8,-0.684,130.496,-0.6904953,130.49055,257.771923018,259.8095047,-2.03758168221
2023-07-04,1,16,63,6,-2,3,61,9,-0.684,130.433,-0.6902254,130.42833,259.908580028,259.8097746,0.0988054275513
2023-07-04,1,17,13,86,-2,3,11,89,1.516,125.393,1.5114049,125.42033,261.37283185,262.0114049,-0.638573050499
2023-07-04,1,18,13,87,-2,3,11,90,1.516,125.33,1.5115192,125.357994,260.206943518,262.0115192,-1.80457568169
2023-07-04,1,19,87,40,-2,3,85,43,-1.74,128.291,-1.747293,128.30438,261.82803082,258.752707,3.07532382011
2023-07-04,1,20,87,41,-2,3,85,44,-1.74,128.228,-1.7472123,128.24226,259.44066917,258.7527877,0.687881469727
2023-07-04,1,21,22,47,-2,3,20,50,1.12,127.85,1.1160463,127.84048,261.852235099,261.6160463,0.236188799143
2023-07-04,1,22,22,48,-2,3,20,51,1.12,127.787,1.1160754,127.77836,263.5343411,261.6160754,1.91826570034
2023-07-04,1,23,90,101,-2,3,88,104,-1.872,124.448,-1.8713877,124.44842,253.023832103,258.6286123,-5.60478019714
2023-07-04,1,24,90,102,-2,3,88,105,-1.872,124.385,-1.8712668,124.38616,256.213256639,258.6287332,-2.41547656059
2023-07-04,1,25,52,35,-2,3,50,38,-0.2,128.606,-0.20811085,128.63345,255.040885408,260.29188915,-5.25100374222
2023-07-04,1,26,52,36,-2,3,50,39,-0.2,128.543,-0.20791903,128.57123,254.34632978,260.29208097,-5.94575119019
2023-07-04,1,27,34,110,-2,3,32,113,0.592,123.881,0.5814689,123.85558,263.352672179,261.0814689,2.2712032795
2023-07-04,1,28,34,111,-2,3,32,114,0.592,123.818,0.5815304,123.79325,261.888569363,261.0815304,0.807038962841
2023-07-04,1,29,113,36,-2,3,111,39,-2.884,128.543,-2.87694,128.53848,255.020008338,257.62306,-2.60305166245
2023-07-04,1,30,113,37,-2,3,111,40,-2.884,128.48,-2.876748,128.47641,254.392400588,257.623252,-3.23085141182
2023-07-04,1,31,38,12,-2,3,36,15,0.416,130.055,0.4171041,130.06894,260.361229454,260.9171041,-0.55587464571
2023-07-04,1,32,38,13,-2,3,36,16,0.416,129.992,0.41720665,130.00684,263.064011221,260.91720665,2.14680457115
2023-07-04,1,33,81,76,-2,3,79,79,-1.476,126.023,-1.4834872,126.00907,258.152981807,259.0165128,-0.863530993462
2023-07-04,1,34,81,77,-2,3,79,80,-1.476,125.96,-1.483301,125.946754,257.814239545,259.016699,-1.20245945454
2023-07-04,1,35,60,95,-2,3,58,98,-0.552,124.826,-0.5483082,124.839485,259.704512098,259.9516918,-0.247179701924
2023-07-04,1,36,60,96,-2,3,58,99,-0.552,124.763,-0.548093,124.77736,259.585817954,259.951907,-0.366089046001
2023-07-04,1,37,36,80,-2,3,34,83,0.504,125.771,0.51289314,125.78371,264.595600068,261.01289314,3.58270692825
2023-07-04,1,38,36,81,-2,3,34,84,0.504,125.708,0.5130122,125.72167,265.739549428,261.0130122,4.72653722763
2023-07-04,1,39,113,106,-2,3,111,109,-2.884,124.133,-2.8921986,124.12107,256.627720557,257.6078014,-0.980080842972
2023-07-04,1,40,113,107,-2,3,111,110,-2.884,124.07,-2.8921328,124.05873,255.667244632,257.6078672,-1.94062256813
2023-07-04,1,41,17,25,-2,3,15,28,1.34,129.236,1.3301649,129.20981,263.621273627,261.8301649,1.79110872746
2023-07-04,1,42,17,26,-2,3,15,29,1.34,129.173,1.3302983,129.14781,265.06907713,261.8302983,3.23877882957
2023-07-04,1,43,13,113,-2,3,11,116,1.516,123.692,1.5147897,123.67632,262.430973976,262.0147897,0.416184276342
2023-07-04,1,44,13,114,-2,3,11,117,1.516,123.629,1.514917,123.61395,262.761040731,262.014917,0.746123731136
2023-07-04,1,45,68,49,-2,3,66,52,-0.904,127.724,-0.9006087,127.69356,257.115614254,259.5993913,-2.4837770462
2023-07-04,1,46,68,50,-2,3,66,53,-0.904,127.661,-0.9006391,127.63131,254.446571307,259.5993609,-5.15278959274
2023-07-04,1,47,102,55,-2,3,100,58,-2.4,127.346,-2.397309,127.363884,264.119213884,258.102691,6.01652288437
2023-07-04,1,48,102,56,-2,3,100,59,-2.4,127.283,-2.3972812,127.30168,262.063072651,258.1027188,3.96035385132
2023-07-04,1,49,83,3,-2,3,81,6,-1.564,130.622,-1.5583638,130.6048,262.813350554,258.9416362,3.87171435356
2023-07-04,1,50,83,4,-2,3,81,7,-1.564,130.559,-1.558393,130.5425,261.203911306,258.941607,2.26230430603
2023-07-04,1,51,44,128,-2,3,42,131,0.152,122.747,0.14857347,122.72746,260.835808587,260.64857347,0.187235116959
2023-07-04,1,52,44,129,-2,3,42,132,0.152,122.684,0.1704367,122.665375,263.924364408,260.6704367,3.25392770767
2023-07-04,1,53,70,29,-2,3,68,32,-0.992,128.984,-0.98970926,128.99695,262.555384276,259.51029074,3.04509353638
2023-07-04,1,54,70,30,-2,3,68,33,-0.992,128.921,-0.9895086,128.93492,257.042239218,259.5104914,-2.46825218201
2023-07-04,1,55,98,19,-2,3,96,22,-2.224,129.614,-2.2281158,129.60292,259.426851866,258.2718842,1.15496766567
2023-07-04,1,56,98,20,-2,3,96,23,-2.224,129.551,-2.228019,129.54097,257.790629624,258.271981,-0.48135137558
2023-07-04,1,57,38,61,-2,3,36,64,0.416,126.968,0.4233175,126.96337,257.741015502,260.9233175,-3.18230199814
2023-07-04,1,58,38,62,-2,3,36,65,0.416,126.905,0.42337888,126.90118,259.20575505,260.92337888,-1.71762382984
2023-07-04,1,59,13,67,-2,3,11,70,1.516,126.59,1.5087824,126.60149,264.412675156,262.0087824,2.40389275551
2023-07-04,1,60,13,68,-2,3,11,71,1.516,126.527,1.508917,126.539444,261.587299313,262.008917,-0.421617686749
2023-07-04,1,61,34,30,-2,3,32,33,0.592,128.921,0.5937025,128.89113,259.739106124,261.0937025,-1.35459637642
2023-07-04,1,62,34,31,-2,3,32,34,0.592,128.858,0.593804,128.8291,259.456653832,261.093804,-1.63715016842
2023-07-04,1,63,84,58,-2,3,82,61,-1.608,127.157,-1.6155815,127.18745,257.168980372,258.8844185,-1.71543812752
2023-07-04,1,64,84,59,-2,3,82,62,-1.608,127.094,-1.6155368,127.06326,258.770730318,258.8844632,-0.113732881844
2023-07-04,1,65,73,105,-2,3,71,108,-1.124,124.196,-1.1329393,124.20984,263.057123223,259.3670607,3.69006252289
2023-07-04,1,66,73,106,-2,3,71,109,-1.124,124.133,-1.1330171,124.14751,264.038962327,259.3669829,4.67197942734
2023-07-04,1,67,28,126,-2,3,26,129,0.856,122.873,0.8645785,122.85927,260.734948948,261.3645785,-0.629629552364
2023-07-04,1,68,28,127,-2,3,26,130,0.856,122.81,0.8647608,122.79677,262.815428062,261.3647608,1.45066726208
2023-07-04,1,69,69,135,-2,3,67,138,-0.948,122.306,-0.9576215,122.27696,255.442716196,259.5423785,-4.09966230392
2023-07-04,1,70,69,136,-2,3,67,139,-0.948,122.243,-0.9575723,122.21439,253.921863239,259.5424277,-5.62056446075
