mode,time_index,anchor_rank,grid_latitude,grid_longitude,source_latitude,source_longitude,training_eigenvalue,training_g_score,weight
1,0,86,-1.256,130.055,-1.2523615,130.05399,1.51602998218,0.0499674589954,-0.000161031567463
1,0,87,0.02,125.267,0.016150631,125.28651,1.51602998218,0.0499674589954,2.10903382562e-07
1,0,88,0.02,125.204,0.01624289,125.22429,1.51602998218,0.0499674589954,1.01257964126e-08
1,0,89,-2.356,126.653,-2.351274,126.623604,1.51602998218,0.0499674589954,4.1036477094e-07
1,0,90,-2.356,126.59,-2.3511834,126.56135,1.51602998218,0.0499674589954,4.63959705703e-07
1,0,91,-1.08,127.031,-1.0716009,127.01312,1.51602998218,0.0499674589954,-5.92075888617e-06
1,0,92,-1.08,126.968,-1.0714725,126.95119,1.51602998218,0.0499674589954,-1.43955273764e-05
1,0,93,-0.376,127.661,-0.37860468,127.6427,1.51602998218,0.0499674589954,2.41492584059e-05
1,0,94,-0.376,127.598,-0.3785023,127.58054,1.51602998218,0.0499674589954,9.31785838965e-06
1,0,95,-0.332,124.007,-0.3288859,124.03814,1.51602998218,0.0499674589954,8.61501313355e-09
1,0,96,-0.332,123.944,-0.32873657,123.91361,1.51602998218,0.0499674589954,3.83721150497e-09
1,0,97,0.9,126.401,0.9029267,126.41413,1.51602998218,0.0499674589954,-1.85476465816e-06
1,0,98,0.9,126.338,0.90281767,126.35212,1.51602998218,0.0499674589954,-3.14474355969e-07
1,0,99,-2.84,129.551,-2.835589,129.53847,1.51602998218,0.0499674589954,1.6728220373e-05
1,0,100,-2.84,129.488,-2.8353696,129.47624,1.51602998218,0.0499674589954,2.51061095405e-06
1,1,1,-0.376,126.59,-0.37815282,126.58168,1.51602998218,0.0499674589954,3.99060837789e-06
1,1,2,-0.376,126.527,-0.37803102,126.51968,1.51602998218,0.0499674589954,2.64438329364e-07
1,1,3,-2.84,122.369,-2.8482573,122.37219,1.51602998218,0.0499674589954,9.426073238e-12
1,1,4,-2.84,122.306,-2.8482163,122.30971,1.51602998218,0.0499674589954,-1.24389331455e-12
1,1,5,-2.884,130.307,-2.8820598,130.27893,1.51602998218,0.0499674589954,-2.45252323762e-07
1,1,6,-2.884,130.244,-2.8817673,130.21674,1.51602998218,0.0499674589954,1.28713622373e-06
1,1,7,1.472,122.306,1.4740568,122.30099,1.51602998218,0.0499674589954,-3.51655876983e-11
1,1,8,1.472,122.243,1.4741642,122.23839,1.51602998218,0.0499674589954,-1.71643504754e-11
1,1,9,1.516,130.622,1.5218643,130.64119,1.51602998218,0.0499674589954,-0.00777465492279
1,1,10,1.516,130.559,1.5218065,130.57887,1.51602998218,0.0499674589954,0.014539838911
1,1,11,-2.84,126.149,-2.8303435,126.176414,1.51602998218,0.0499674589954,-4.36373090246e-08
1,1,12,-2.84,126.086,-2.8300865,126.114265,1.51602998218,0.0499674589954,6.2256232105e-08
1,1,13,-0.684,123.251,-0.67744577,123.28048,1.51602998218,0.0499674589954,-2.82949976508e-09
1,1,14,-0.684,123.188,-0.67739886,123.217995,1.51602998218,0.0499674589954,8.70511920701e-10
1,1,15,-0.684,130.496,-0.6904953,130.49055,1.51602998218,0.0499674589954,0.000253979555356
1,1,16,-0.684,130.433,-0.6902254,130.42833,1.51602998218,0.0499674589954,8.96709264966e-05
1,1,17,1.516,125.393,1.5114049,125.42033,1.51602998218,0.0499674589954,8.49636558732e-08
1,1,18,1.516,125.33,1.5115192,125.357994,1.51602998218,0.0499674589954,7.33264300603e-09
1,1,19,-1.74,128.291,-1.747293,128.30438,1.51602998218,0.0499674589954,-4.93752441064e-06
1,1,20,-1.74,128.228,-1.7472123,128.24226,1.51602998218,0.0499674589954,-3.54478807636e-06
1,1,21,1.12,127.85,1.1160463,127.84048,1.51602998218,0.0499674589954,-6.43037998307e-06
1,1,22,1.12,127.787,1.1160754,127.77836,1.51602998218,0.0499674589954,6.5029456558e-06
1,1,23,-1.872,124.448,-1.8713877,124.44842,1.51602998218,0.0499674589954,2.152925011e-08
1,1,24,-1.872,124.385,-1.8712668,124.38616,1.51602998218,0.0499674589954,-5.20197024077e-09
1,1,25,-0.2,128.606,-0.20811085,128.63345,1.51602998218,0.0499674589954,0.00017849728113
1,1,26,-0.2,128.543,-0.20791903,128.57123,1.51602998218,0.0499674589954,-2.31014775485e-05
1,1,27,0.592,123.881,0.5814689,123.85558,1.51602998218,0.0499674589954,-3.26691153399e-10
1,1,28,0.592,123.818,0.5815304,123.79325,1.51602998218,0.0499674589954,-3.67253562586e-10
1,1,29,-2.884,128.543,-2.87694,128.53848,1.51602998218,0.0499674589954,1.33361711303e-07
1,1,30,-2.884,128.48,-2.876748,128.47641,1.51602998218,0.0499674589954,1.25618656844e-07
1,1,31,0.416,130.055,0.4171041,130.06894,1.51602998218,0.0499674589954,0.0048323225608
1,1,32,0.416,129.992,0.41720665,130.00684,1.51602998218,0.0499674589954,-0.010298993364
1,1,33,-1.476,126.023,-1.4834872,126.00907,1.51602998218,0.0499674589954,1.05550264248e-07
1,1,34,-1.476,125.96,-1.483301,125.946754,1.51602998218,0.0499674589954,-4.28632643719e-07
1,1,35,-0.552,124.826,-0.5483082,124.839485,1.51602998218,0.0499674589954,3.21343635153e-08
1,1,36,-0.552,124.763,-0.548093,124.77736,1.51602998218,0.0499674589954,-1.94824142685e-08
1,1,37,0.504,125.771,0.51289314,125.78371,1.51602998218,0.0499674589954,-2.82647773197e-07
1,1,38,0.504,125.708,0.5130122,125.72167,1.51602998218,0.0499674589954,6.96428652334e-08
1,1,39,-2.884,124.133,-2.8921986,124.12107,1.51602998218,0.0499674589954,9.06184853114e-10
1,1,40,-2.884,124.07,-2.8921328,124.05873,1.51602998218,0.0499674589954,2.23804867018e-10
1,1,41,1.34,129.236,1.3301649,129.20981,1.51602998218,0.0499674589954,0.000143215522398
1,1,42,1.34,129.173,1.3302983,129.14781,1.51602998218,0.0499674589954,1.0001449349e-05
1,1,43,1.516,123.692,1.5147897,123.67632,1.51602998218,0.0499674589954,5.49707752048e-10
1,1,44,1.516,123.629,1.514917,123.61395,1.51602998218,0.0499674589954,-2.41849252792e-10
1,1,45,-0.904,127.724,-0.9006087,127.69356,1.51602998218,0.0499674589954,-6.63981390029e-06
1,1,46,-0.904,127.661,-0.9006391,127.63131,1.51602998218,0.0499674589954,-1.25936335111e-05
1,1,47,-2.4,127.346,-2.397309,127.363884,1.51602998218,0.0499674589954,4.42010200481e-07
1,1,48,-2.4,127.283,-2.3972812,127.30168,1.51602998218,0.0499674589954,4.51228477335e-07
1,1,49,-1.564,130.622,-1.5583638,130.6048,1.51602998218,0.0499674589954,-1.35177799305e-05
1,1,50,-1.564,130.559,-1.558393,130.5425,1.51602998218,0.0499674589954,-2.73746796448e-05
1,1,51,0.152,122.747,0.14857347,122.72746,1.51602998218,0.0499674589954,7.38298411211e-10
1,1,52,0.152,122.684,0.1704367,122.665375,1.51602998218,0.0499674589954,-4.0866386894e-10
1,1,53,-0.992,128.984,-0.98970926,128.99695,1.51602998218,0.0499674589954,-6.71943731453e-05
1,1,54,-0.992,128.921,-0.9895086,128.93492,1.51602998218,0.0499674589954,2.2081765373e-05
1,1,55,-2.224,129.614,-2.2281158,129.60292,1.51602998218,0.0499674589954,-6.51122551521e-06
1,1,56,-2.224,129.551,-2.228019,129.54097,1.51602998218,0.0499674589954,-5.30922914316e-06
1,1,57,0.416,126.968,0.4233175,126.96337,1.51602998218,0.0499674589954,-3.98202592457e-06
1,1,58,0.416,126.905,0.42337888,126.90118,1.51602998218,0.0499674589954,7.965737176e-07
1,1,59,1.516,126.59,1.5087824,126.60149,1.51602998218,0.0499674589954,6.08413657566e-07
1,1,60,1.516,126.527,1.508917,126.539444,1.51602998218,0.0499674589954,5.58179725007e-08
1,1,61,0.592,128.921,0.5937025,128.89113,1.51602998218,0.0499674589954,-0.000231295168692
1,1,62,0.592,128.858,0.593804,128.8291,1.51602998218,0.0499674589954,2.85241110289e-05
1,1,63,-1.608,127.157,-1.6155815,127.18745,1.51602998218,0.0499674589954,-2.16129298992e-07
1,1,64,-1.608,127.094,-1.6155368,127.06326,1.51602998218,0.0499674589954,-1.43021126942e-06
1,1,65,-1.124,124.196,-1.1329393,124.20984,1.51602998218,0.0499674589954,-2.9053672959e-08
1,1,66,-1.124,124.133,-1.1330171,124.14751,1.51602998218,0.0499674589954,8.56829036462e-09
1,1,67,0.856,122.873,0.8645785,122.85927,1.51602998218,0.0499674589954,-5.31203213506e-10
1,1,68,0.856,122.81,0.8647608,122.79677,1.51602998218,0.0499674589954,4.08703480123e-11
1,1,69,-0.948,122.306,-0.9576215,122.27696,1.51602998218,0.0499674589954,-4.74528174478e-11
1,1,70,-0.948,122.243,-0.9575723,122.21439,1.51602998218,0.0499674589954,1.64436072495e-11
1,1,71,-2.752,125.141,-2.7415373,125.12021,1.51602998218,0.0499674589954,1.08265933596e-08
1,1,72,-2.752,125.078,-2.741473,125.05791,1.51602998218,0.0499674589954,-1.24511885814e-09
1,1,73,1.12,124.574,1.1228529,124.545525,1.51602998218,0.0499674589954,-1.85162905059e-08
1,1,74,1.12,124.511,1.123,124.483215,1.51602998218,0.0499674589954,2.54362340156e-09
1,1,75,-0.156,129.614,-0.14546604,129.6275,1.51602998218,0.0499674589954,0.00294029119497
1,1,76,-0.156,129.551,-0.14537993,129.56558,1.51602998218,0.0499674589954,5.30841331129e-05
1,1,77,-0.772,125.834,-0.7669523,125.83148,1.51602998218,0.0499674589954,-1.25254515751e-06
1,1,78,-0.772,125.771,-0.76675206,125.7693,1.51602998218,0.0499674589954,4.64473046076e-07
1,1,79,-1.212,125.141,-1.2216803,125.142075,1.51602998218,0.0499674589954,-6.29467884743e-08
1,1,80,-1.212,125.078,-1.2215967,125.07983,1.51602998218,0.0499674589954,-3.08119049288e-08
1,1,81,0.9,130.622,0.8926967,130.63358,1.51602998218,0.0499674589954,-0.0357400773527
1,1,82,0.9,130.559,0.8926448,130.57127,1.51602998218,0.0499674589954,-0.017176089818
1,1,83,0.416,128.039,0.42166764,128.01958,1.51602998218,0.0499674589954,2.00998609962e-05
1,1,84,0.416,127.976,0.42182466,127.95736,1.51602998218,0.0499674589954,-2.24672493048e-05
1,1,85,-1.168,129.929,-1.1659435,129.9261,1.51602998218,0.0499674589954,-0.000101447038344
1,1,86,-1.168,129.866,-1.1657199,129.86418,1.51602998218,0.0499674589954,4.94288566986e-05
1,1,87,0.108,125.078,0.10169146,125.09563,1.51602998218,0.0499674589954,1.50234737784e-07
1,1,88,0.108,125.015,0.101854324,125.03338,1.51602998218,0.0499674589954,-5.0939083005e-08
1,1,89,-2.268,126.464,-2.2655637,126.43334,1.51602998218,0.0499674589954,3.67366394215e-07
1,1,90,-2.268,126.401,-2.2654529,126.37119,1.51602998218,0.0499674589954,1.22277657621e-07
1,1,91,-0.992,126.842,-0.9861408,126.82279,1.51602998218,0.0499674589954,-3.65176247977e-06
1,1,92,-0.992,126.779,-0.98600835,126.760765,1.51602998218,0.0499674589954,-3.68916346359e-06
1,1,93,-0.288,127.472,-0.29301137,127.4524,1.51602998218,0.0499674589954,2.10798858837e-05
1,1,94,-0.288,127.409,-0.29282162,127.39028,1.51602998218,0.0499674589954,-2.39040623763e-06
1,1,95,-0.244,123.818,-0.24304514,123.84699,1.51602998218,0.0499674589954,6.87484485679e-09
1,1,96,-0.244,123.755,-0.24299821,123.784676,1.51602998218,0.0499674589954,1.37998683346e-09
1,1,97,0.988,126.212,0.98842645,126.22366,1.51602998218,0.0499674589954,-1.3156581455e-06
1,1,98,0.988,126.149,0.9887148,126.16156,1.51602998218,0.0499674589954,2.33747916984e-07
1,1,99,-2.752,129.362,-2.7486558,129.3482,1.51602998218,0.0499674589954,1.0132483885e-05
1,1,100,-2.752,129.299,-2.7484882,129.28601,1.51602998218,0.0499674589954,-2.61414088521e-06
1,2,1,-0.288,126.401,-0.29680163,126.3904,1.51602998218,0.0499674589954,5.83786703461e-06
1,2,2,-0.288,126.338,-0.2968012,126.328125,1.51602998218,0.0499674589954,4.69340233068e-07
1,2,3,-2.752,122.18,-2.743955,122.17807,1.51602998218,0.0499674589954,2.01501360706e-11
1,2,4,-2.752,122.117,-2.743889,122.11546,1.51602998218,0.0499674589954,-2.20391017493e-12
1,2,5,-2.796,130.118,-2.800068,130.14732,1.51602998218,0.0499674589954,-2.83608564655e-07
1,2,6,-2.796,130.055,-2.7998161,130.0852,1.51602998218,0.0499674589954,4.31334284153e-07
