dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,16,0.015944558026899633,0.015321078747551009
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,17,0.014099896652767169,0.015321078747551009
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,18,0.012007629459001634,0.011334790977989739
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,19,0.011186021319099626,0.011334790977989737
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,20,0.010558542460826987,0.009768072550589677
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,21,0.009372620881590245,0.009768072550589677
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,22,0.008466588923081607,0.00825885246492899
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,23,0.007826858473541396,0.00825885246492899
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,24,0.007048107723200975,0.00671384921245019
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,25,0.006593044367360363,0.00671384921245019
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,26,0.0062341862001788475,0.0059109927041455235
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,27,0.005934066938920025,0.005910992704145523
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,28,0.005725973217449662,0.0056381883533571245
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,29,0.005597628500577681,0.005638188353357124
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,30,0.005597427903445248,0.0053363578000782405
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,31,0.005217517040874773,0.0053363578000782405
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,32,0.0048546522793542915,0.004899664570868928
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,33,0.004558718808412134,0.004899664570868928
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,34,0.004160257263630179,0.004195356960101502
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,35,0.003978152023310274,0.004195356960101501
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,36,0.0037637720237593264,0.0036604144421470636
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,37,0.003596881053135357,0.0036604144421470636
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,38,0.0035299999280076553,0.0036204721160408427
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,39,0.0035237793521209725,0.0036204721160408423
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,40,0.0034863616644236367,0.0034852250779931248
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,41,0.003421800661364636,0.003485225077993124
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,42,0.0033290130166130404,0.0032582132074506546
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,43,0.003186467016989923,0.0032582132074506537
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,44,0.003003564673753481,0.002825722140582127
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,45,0.002852338909997372,0.0028257221405821264
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,46,0.0028395835646983516,0.002759732204318783
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,47,0.0027691174785871193,0.002759732204318783
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,48,0.002633374392217283,0.0024874726923088926
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,49,0.0024918048963785437,0.0024874726923088926
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,50,0.0024019548242413045,0.0024074012719472243
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,51,0.002369460646525825,0.002407401271947224
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,52,0.0023032230171796675,0.002341294705184585
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,53,0.0022676143271567126,0.002341294705184584
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,54,0.002262313739475696,0.00230915516411508
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,55,0.002201265642098873,0.0023091551641150794
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,56,0.002194558290288074,0.002191843738388024
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,57,0.0021686158380365525,0.002191843738388024
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,58,0.0020988787919604484,0.002100078492220574
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,59,0.0020667006061770893,0.002100078492220574
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,60,0.0020487128963528616,0.002019604006019581
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,61,0.0020334395079659538,0.00201960400601958
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,62,0.0020163795095270703,0.0020107186055088825
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,63,0.001995027121991744,0.002010718605508882
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,64,0.00197703633788043,0.00197373437524527
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,65,0.00196419390447675,0.0019737343752452697
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,66,0.0019324285014731088,0.0019554365845326307
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,67,0.0019320815887331594,0.0019554365845326307
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,68,0.0019169289120908467,0.0019340759756349476
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,69,0.001860648636783134,0.0019340759756349473
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,70,0.0018525346706395527,0.0019255914221208601
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,71,0.001837305270875858,0.0019255914221208601
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,72,0.0018082339614069712,0.0018526373583850268
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,73,0.0018041312233179573,0.0018526373583850264
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,74,0.0017901153949647114,0.0018114593433238657
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,75,0.001783165839526281,0.0018114593433238653
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,76,0.0017786820180629166,0.0018061076133219028
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,77,0.0017784896458904887,0.0018061076133219028
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,78,0.001752058876397384,0.001739793198767102
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,79,0.0017425392484069185,0.001739793198767102
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,80,0.0017126281236392754,0.0016602773899973688
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,1,0.08408001602503637,0.09709013683700997
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,2,0.07640952343122479,0.07353487826301175
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,3,0.07609608881174636,0.07353487826301174
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,4,0.0705564202666745,0.07280406420582401
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,5,0.06280163960352939,0.072804064205824
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,6,0.0541234286970947,0.051749209696569626
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,7,0.05035895549288114,0.051749209696569626
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,8,0.044981694538593,0.041017894695349166
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,9,0.03943846977974254,0.041017894695349166
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,10,0.033202276147525,0.02659085450097429
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,11,0.026907727785210722,0.026590854500974287
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,12,0.024463990521616664,0.02366104433510523
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,13,0.024388673085373982,0.023661044335105224
