dataset,direction,rank,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,periodogram_fraction_mean,periodogram_fraction_min,periodogram_fraction_max
real,east_west,37,0.003469929710387736,0.0019194947789686618,0.0053308049060368755,0.003481107629100933,0.0018273824853890553,0.005518696660692236
real,east_west,38,0.0033191806715667156,0.0018505059956251638,0.0050357889582449645,0.003237954608497047,0.0018100675154501668,0.004938657318741636
real,east_west,39,0.0032334901490728425,0.0018031322318318842,0.00485053951680034,0.0032379546084970465,0.0018100675154501668,0.0049386573187416355
real,east_west,40,0.0031168087984902635,0.0016956050953045492,0.004646531280464109,0.002972754728220045,0.0015550800729030169,0.00448824957248052
real,east_west,41,0.002984799765521488,0.0015949665522668932,0.004486994314096203,0.002972754728220044,0.0015550800729030162,0.00448824957248052
real,east_west,42,0.0029128213811984954,0.0015230644134284978,0.004384081241013381,0.0028335700794168053,0.0014440278795281021,0.0043222081380928975
real,east_west,43,0.002802297448725141,0.0014675341399733991,0.004176729131214392,0.002833570079416805,0.0014440278795281021,0.004322208138092897
real,east_west,44,0.0026980389007097588,0.0014573278606876579,0.004062001783098875,0.0026955782633884683,0.0014230249841580122,0.0042832498997266155
real,east_west,45,0.002632413785202419,0.001456156034856702,0.004005525527267162,0.002695578263388468,0.001423024984158012,0.0042832498997266155
real,east_west,46,0.002541447319121325,0.001420077815714645,0.0037114060353984407,0.0024732751337889045,0.0013926672223658963,0.0034669268840621026
real,east_west,47,0.002475449340397117,0.0014189490757317614,0.0036122770340225496,0.0024732751337889036,0.001392667222365896,0.0034669268840621026
real,east_west,48,0.002414553489116394,0.0014175251844855724,0.003525954056277549,0.0023268340276839687,0.0013657395190953556,0.0034314458587674334
real,east_west,49,0.0023381499320216216,0.0013520089987114974,0.003416700850731469,0.0023268340276839687,0.0013657395190953554,0.0034314458587674334
real,east_west,50,0.002260803610008138,0.0012911349630088467,0.003335894615867311,0.0021850516376696275,0.0012428681399790616,0.0032735545753043533
real,east_west,51,0.002173615315401043,0.0012467563490758003,0.0032148430517055107,0.002185051637669627,0.0012428681399790614,0.003273554575304352
real,east_west,52,0.0021160762190088472,0.001229955999827189,0.003139222872510791,0.0021236817328352683,0.0012407705702099404,0.0031387415331804226
real,east_west,53,0.0020856515631645246,0.0012169718147219267,0.0031199766141948387,0.002123681732835268,0.0012407705702099404,0.0031387415331804226
real,east_west,54,0.0020440260986736196,0.0011689755389636108,0.003043784800470156,0.002021668447186448,0.0011294121753087742,0.003024176283251091
real,east_west,55,0.002008371270822985,0.0011306111266819303,0.003034519064841316,0.0020216684471864475,0.0011294121753087742,0.00302417628325109
real,east_west,56,0.0019665392137956685,0.001105797024066557,0.003010306787964493,0.0019336308546864147,0.0010645200578389767,0.002988188248702606
real,east_west,57,0.0019300952434944823,0.001088283017525318,0.0029889127121220434,0.0019336308546864145,0.0010645200578389767,0.0029881882487026055
real,east_west,58,0.0019025487707281066,0.0010739969142954174,0.002967485005591124,0.0018718947748226637,0.0010575355887172658,0.0029426374252893794
real,east_west,59,0.0018573699291802932,0.0010583183807796482,0.002900434783665625,0.0018718947748226633,0.0010575355887172655,0.002942637425289379
real,east_west,60,0.0018138031176530276,0.0010514287212798842,0.0028702362473336106,0.0017946249926383056,0.001054677577198553,0.0028001266632942195
