dataset,direction,frequency_index,frequency_cycles_per_degree,power_fraction_mean,power_fraction_min,power_fraction_max
real,north_south,9,1.7774999999999999,0.02459256668625863,0.01387753492595034,0.03492998410528024
real,north_south,10,1.9749999999999999,0.019813814350626336,0.012395936771255897,0.02641632847799072
real,north_south,11,2.1725,0.018565629259661192,0.010887855799783512,0.024705008398268245
real,north_south,12,2.3699999999999997,0.01681730935533449,0.010713609544591267,0.02350674764489941
real,north_south,13,2.5675,0.015343277170695217,0.0077149744080973175,0.020694883755945803
real,north_south,14,2.7649999999999997,0.01365245351296832,0.006996278766325183,0.017417157836533408
real,north_south,15,2.9625,0.012526998087975551,0.006075873987281435,0.01902371595561001
real,north_south,16,3.1599999999999997,0.011509545438417836,0.00525987852187348,0.016516208726519113
real,north_south,17,3.3575,0.011038600004389446,0.005430951929777294,0.016591377099482305
real,north_south,18,3.5549999999999997,0.010181541208894281,0.004116491611078821,0.015321034676390718
real,north_south,19,3.7525,0.0091146374138566,0.0037083316965137833,0.015366938373628458
real,north_south,20,3.9499999999999997,0.00874811530696926,0.0033011497666690574,0.014019855484162949
real,north_south,21,4.1475,0.008237517958867433,0.0032673868469488827,0.014418031005031976
real,north_south,22,4.345,0.007495857166235413,0.0025734639934866976,0.010321735754685538
real,north_south,23,4.5424999999999995,0.0074949947347761805,0.0026019736294886453,0.011743029749413688
real,north_south,24,4.739999999999999,0.0071622464646155,0.002602388148472491,0.010035338159416226
real,north_south,25,4.9375,0.006326006098250467,0.0020822829240064148,0.010352054703296311
real,north_south,26,5.135,0.005954729286717485,0.0022325883403688383,0.008813676317842732
real,north_south,27,5.3325,0.00569463194193743,0.0019121921977389548,0.007814686329982806
real,north_south,28,5.529999999999999,0.005433718420952105,0.001856638251810049,0.007497886822879792
real,north_south,29,5.7275,0.005053770872978749,0.0016411283319361896,0.008231549727665991
real,north_south,30,5.925,0.005198495682960924,0.001499677731520407,0.008823232928515116
real,north_south,31,6.1225,0.005032732821141306,0.0018343731668396472,0.006409665779008825
real,north_south,32,6.319999999999999,0.005041074606756538,0.0014335822339122952,0.007001270355619304
real,north_south,33,6.517499999999999,0.004618607507590822,0.001555704563755056,0.008092016795242865
real,north_south,34,6.715,0.004304597049244158,0.0014372836601085346,0.006943254469135186
real,north_south,35,6.9125,0.004552333253836481,0.0014168022649022256,0.007084018312186762
real,north_south,36,7.109999999999999,0.004373299539744759,0.0014302071377938685,0.0074438910973215495
real,north_south,37,7.307499999999999,0.004559439234600526,0.001384298008036484,0.009114832537547522
real,north_south,38,7.505,0.004114506020573418,0.001387515244414983,0.006768750350053348
real,north_south,39,7.7025,0.0040609935951170725,0.001339847537606355,0.006392143613413957
real,north_south,40,7.8999999999999995,0.0019517364488425687,0.0006099616974173849,0.0031993223628363097
simulation,east_west,0,0.0,0.09851950118006486,0.06517381389422025,0.13891049062555597
simulation,east_west,1,0.19749999999999998,0.17022196824721844,0.13270576972664402,0.21650390649984233
simulation,east_west,2,0.39499999999999996,0.14466138460558134,0.1114269481482653,0.17416383809266833
simulation,east_west,3,0.5924999999999999,0.11659806193175341,0.09827476636643877,0.13980156898604915
simulation,east_west,4,0.7899999999999999,0.07795504839419212,0.058889098850823156,0.1033540824640387
simulation,east_west,5,0.9874999999999999,0.05553188091025401,0.047237039749433316,0.07542767910710767
simulation,east_west,6,1.1849999999999998,0.043885130110010336,0.03829579754067291,0.051438263799033206
simulation,east_west,7,1.3824999999999998,0.03587725705617569,0.028961843457365896,0.04665368385305948
simulation,east_west,8,1.5799999999999998,0.027741907549027757,0.02155903131543305,0.03344201659321493
simulation,east_west,9,1.7774999999999999,0.022827797639149147,0.020228181693028067,0.02703645360817887
simulation,east_west,10,1.9749999999999999,0.018795490541013475,0.015855186050708833,0.022108615318864627
simulation,east_west,11,2.1725,0.0159221319701416,0.013266745693147316,0.018391695319980722
simulation,east_west,12,2.3699999999999997,0.013843854858373266,0.012149176957846562,0.015292368183132269
simulation,east_west,13,2.5675,0.012682505587105358,0.011053491768772492,0.014046127394982847
simulation,east_west,14,2.7649999999999997,0.011313173539282352,0.010011833642818315,0.012537417027487254
simulation,east_west,15,2.9625,0.010417855642344032,0.009256945102240326,0.012112602239393103
simulation,east_west,16,3.1599999999999997,0.009008647739462396,0.007603551102557753,0.009909783615303602
simulation,east_west,17,3.3575,0.008366705621321085,0.007606209907437258,0.009080055463492442
simulation,east_west,18,3.5549999999999997,0.00753944584640477,0.006664629000188855,0.008549218245472279
simulation,east_west,19,3.7525,0.0070143716102913254,0.006532295651156871,0.007810781486511443
simulation,east_west,20,3.9499999999999997,0.006919321636747978,0.0059870943842619114,0.007451720752201226
simulation,east_west,21,4.1475,0.006206853845412432,0.005706812409887547,0.006659160896266578
simulation,east_west,22,4.345,0.0057657815533241905,0.004954768590631994,0.0063649484817043245
simulation,east_west,23,4.5424999999999995,0.005456205111293879,0.00461072082032058,0.006214189328395022
simulation,east_west,24,4.739999999999999,0.005149111208920598,0.004599417486319019,0.005854834123795733
simulation,east_west,25,4.9375,0.004936735663082672,0.004507715746655213,0.005512154924032584
simulation,east_west,26,5.135,0.004641927657366403,0.00394746875049054,0.005346163709226105
simulation,east_west,27,5.3325,0.004587905937530333,0.004192536188461339,0.005012807394894662
simulation,east_west,28,5.529999999999999,0.004472414738061564,0.00391950587992919,0.005081505113443223
simulation,east_west,29,5.7275,0.004200678166214108,0.0038111316403537654,0.0046343673309546364
simulation,east_west,30,5.925,0.004074967542764588,0.0035518625348240573,0.004511476648994264
simulation,east_west,31,6.1225,0.003942273952083434,0.003392373091686145,0.004342037156106479
simulation,east_west,32,6.319999999999999,0.0038630592383963602,0.0032439218139270302,0.004614630927956612
simulation,east_west,33,6.517499999999999,0.003777788375139534,0.003212562121439746,0.004065678733141507
simulation,east_west,34,6.715,0.0035936043471412483,0.0030888888165898068,0.00398400732657374
simulation,east_west,35,6.9125,0.0036758145301723087,0.0034018992811663405,0.004193233463867975
simulation,east_west,36,7.109999999999999,0.0036338751227295634,0.00322478300781692,0.004080469531086546
simulation,east_west,37,7.307499999999999,0.003651414912190861,0.0031339379522266823,0.004277892214520542
simulation,east_west,38,7.505,0.00351625637121076,0.0028998634936079223,0.003945692757092526
simulation,east_west,39,7.7025,0.0034372917835474473,0.0030658605567634527,0.003819752498863598
simulation,east_west,40,7.8999999999999995,0.0017725977275030017,0.0015404126353603797,0.0020658316573715406
simulation,north_south,0,0.0,0.05973189020428741,0.02754119859134245,0.08994623501430138
simulation,north_south,1,0.19749999999999998,0.1338354261497028,0.07123695725228174,0.2065393348001057
simulation,north_south,2,0.39499999999999996,0.10796829486255698,0.06006632003790981,0.186090330314197
simulation,north_south,3,0.5924999999999999,0.10709776529384452,0.06023116866012832,0.17900476224295436
simulation,north_south,4,0.7899999999999999,0.0768616838811777,0.041603227888156104,0.1331612676363337
simulation,north_south,5,0.9874999999999999,0.06872859755581742,0.03558584025995177,0.11144331652785562
simulation,north_south,6,1.1849999999999998,0.05219961946324483,0.036938950578665405,0.07077221503688849
simulation,north_south,7,1.3824999999999998,0.042451786899417844,0.021480066003472822,0.06087235714988448
simulation,north_south,8,1.5799999999999998,0.038678973127773755,0.03197164160824737,0.04923308215269781
simulation,north_south,9,1.7774999999999999,0.03123213450243906,0.020623213757124042,0.048050861992343395
simulation,north_south,10,1.9749999999999999,0.02986492763694481,0.020761302280070545,0.04093573965125162
simulation,north_south,11,2.1725,0.02316938397296747,0.017933605597689518,0.030745385978199875
simulation,north_south,12,2.3699999999999997,0.020033233243247506,0.014087910105132823,0.027350782135814333
simulation,north_south,13,2.5675,0.017974185004637606,0.013327925490031433,0.02559481412510207
simulation,north_south,14,2.7649999999999997,0.015991277628702612,0.012932765725668859,0.0221429792027451
simulation,north_south,15,2.9625,0.014018523282838017,0.010780126527314315,0.017110296764729978
simulation,north_south,16,3.1599999999999997,0.012887668547586266,0.010010934918862433,0.01540902237866433
simulation,north_south,17,3.3575,0.011210242869210432,0.008500162440376581,0.013507731181590182
simulation,north_south,18,3.5549999999999997,0.010875020142037985,0.007802796760459982,0.01349881352004352
simulation,north_south,19,3.7525,0.009376654000298055,0.00799020816702884,0.010980339984020137
simulation,north_south,20,3.9499999999999997,0.008389430926568209,0.006241085501719704,0.012395760006010632
simulation,north_south,21,4.1475,0.008342408438009874,0.006542791033616631,0.010099245199694332
