Iteration,Heads,MAPE,FrobNorm,Time,Est_SigmaSq,Est_RangeLat,Est_RangeLon,Est_RangeTime,Est_AdvecLat,Est_AdvecLon,Est_Nugget
53,100,13.379042,0.410958,94.59202,12.677635,0.142651,0.181853,1.098627,0.018456,-0.176751,0.131477
53,300,12.387061,0.266245,99.401667,12.847105,0.145331,0.185222,1.122119,0.0184,-0.176495,0.142914
54,0,14.956871,0.480188,97.4627,12.602677,0.141921,0.180243,1.100466,0.02798,-0.174602,0.138268
54,100,14.688066,0.436997,96.766054,12.649244,0.14264,0.18114,1.107099,0.027966,-0.174546,0.141146
54,300,14.055777,0.339658,98.790156,12.758317,0.144375,0.183313,1.122332,0.028007,-0.174433,0.148543
55,0,12.556869,0.687173,95.802387,12.382984,0.139112,0.176911,1.042413,0.019832,-0.176868,0.133897
55,100,12.208729,0.629398,95.350123,12.441701,0.140019,0.178047,1.050752,0.019849,-0.17677,0.137635
55,300,11.486407,0.513096,96.16702,12.560891,0.141948,0.180465,1.068091,0.019805,-0.176788,0.146521
56,0,12.735663,0.524787,95.810397,12.554908,0.140991,0.179809,1.089544,0.023559,-0.179539,0.134047
56,100,12.336478,0.460272,96.795434,12.623439,0.142052,0.181145,1.099417,0.02354,-0.179445,0.138349
56,300,11.488752,0.33571,100.37359,12.761821,0.144249,0.18391,1.119236,0.023508,-0.179392,0.147813
57,0,13.649894,0.488713,96.577631,12.594407,0.142004,0.180526,1.108143,0.017889,-0.178845,0.142929
57,100,13.317932,0.42772,96.057368,12.66075,0.143009,0.181788,1.117775,0.017866,-0.17874,0.146685
57,300,12.524033,0.313486,99.44465,12.793143,0.145169,0.184506,1.138238,0.017838,-0.178864,0.156552
58,0,13.054143,0.467502,97.492803,12.621635,0.144323,0.183964,1.145559,0.02777,-0.17449,0.170841
58,100,12.75153,0.418202,95.988059,12.677229,0.145174,0.185039,1.153493,0.02775,-0.174423,0.173919
58,300,12.012594,0.316822,98.747889,12.801919,0.147193,0.187576,1.173006,0.027694,-0.174577,0.182298
59,0,11.808509,0.491982,96.73877,12.59131,0.141669,0.179351,1.098383,0.020968,-0.173722,0.132052
59,100,11.459653,0.43696,96.232133,12.650561,0.142585,0.180495,1.106835,0.02098,-0.173682,0.135943
59,300,10.451788,0.283314,97.134707,12.829552,0.145461,0.184076,1.132947,0.020859,-0.173478,0.148352
60,0,14.859401,0.62868,95.223929,12.448521,0.140069,0.179269,1.093873,0.026511,-0.176819,0.132046
60,100,14.591832,0.578622,95.305318,12.500901,0.140863,0.180276,1.101534,0.026517,-0.176755,0.13499
60,300,13.825585,0.457436,97.125259,12.630661,0.142966,0.182929,1.12218,0.026526,-0.176975,0.144581
61,0,13.133693,0.607767,99.67088,12.471788,0.139504,0.176861,1.072276,0.02112,-0.173805,0.109977
61,100,12.735493,0.537169,98.818595,12.545467,0.140635,0.178274,1.082545,0.021089,-0.173674,0.114565
61,300,11.75942,0.387278,100.195074,12.707042,0.143221,0.181505,1.105731,0.021062,-0.173646,0.126133
62,0,13.488226,0.74483,98.031763,12.328967,0.137082,0.175439,1.046753,0.021016,-0.175388,0.109425
62,100,13.164221,0.688609,97.476833,12.386222,0.137965,0.176553,1.054856,0.020995,-0.175277,0.113194
62,300,12.376428,0.556651,98.793476,12.521971,0.140141,0.1793,1.075311,0.020924,-0.175375,0.123279
63,0,15.104447,0.472228,97.336753,12.616191,0.140388,0.177928,1.070491,0.01802,-0.170679,0.100521
63,100,14.754312,0.414392,97.57818,12.678658,0.141344,0.179128,1.07934,0.018019,-0.170579,0.104391
63,300,13.760529,0.280811,100.389328,12.833074,0.143798,0.182192,1.101032,0.0181,-0.170661,0.115394
64,0,11.58741,0.859871,96.732942,12.207701,0.136932,0.174764,1.018857,0.022022,-0.174038,0.130445
64,100,11.152688,0.793285,95.275008,12.274575,0.137983,0.176084,1.028495,0.02199,-0.173844,0.135074
64,300,10.413339,0.678433,97.777228,12.390377,0.139858,0.178437,1.045087,0.022003,-0.17364,0.143632
65,0,10.620741,0.641725,93.814269,12.426528,0.140466,0.179171,1.051007,0.023422,-0.172635,0.153525
65,100,10.290583,0.582213,95.348906,12.487182,0.1414,0.180344,1.059282,0.023422,-0.172569,0.157046
65,300,9.360933,0.439695,97.173138,12.634443,0.143755,0.183308,1.080275,0.02334,-0.172606,0.167114
66,0,15.68619,0.561273,97.476207,12.522729,0.14055,0.177837,1.094981,0.025868,-0.178949,0.113487
66,100,15.153255,0.48247,99.081799,12.606912,0.141848,0.179453,1.10691,0.025791,-0.178702,0.118692
66,300,14.485051,0.387703,99.485577,12.712086,0.143536,0.18156,1.122343,0.025735,-0.178799,0.126197
67,0,9.114146,0.520482,96.097366,12.551762,0.144363,0.183585,1.097675,0.023351,-0.179321,0.185866
67,100,8.62027,0.440028,95.200722,12.636922,0.14569,0.185252,1.109775,0.023306,-0.179207,0.190861
67,300,7.762794,0.308956,98.644174,12.783538,0.148087,0.188241,1.131312,0.023308,-0.179276,0.200731
68,0,13.595974,0.620519,96.040804,12.45741,0.138806,0.176692,1.049112,0.02055,-0.174359,0.105142
68,100,13.344732,0.571017,96.727745,12.508467,0.139573,0.177659,1.055948,0.020513,-0.174284,0.108057
68,300,12.51433,0.444533,98.622374,12.64093,0.141689,0.18031,1.075668,0.020557,-0.174436,0.117763
69,0,12.774669,0.459265,95.37541,12.62556,0.1415,0.180864,1.083477,0.019435,-0.167587,0.121607
69,100,12.497018,0.398946,95.251621,12.691139,0.142461,0.182078,1.092426,0.019419,-0.167519,0.124582
