year,month,day_idx,slot,hours_elapsed,spatial_mean,n_obs,spatial_mean_c
2022,8,2,5,460973.8,255.2683462503629,17223,-2.104704373429257
2022,8,2,6,460974.8,255.32884308310076,17557,-2.0442075406913887
2022,8,2,7,460975.8,256.75038233387454,17863,-0.6226682899176126
2022,8,3,0,460992.88333333336,251.3929670018034,17744,-5.98008362198874
2022,8,3,1,460993.88333333336,251.33308723373875,17511,-6.039963390053401
2022,8,3,2,460994.8,251.3081206912895,17301,-6.0649299325026504
2022,8,3,3,460995.8,251.7112012938192,17344,-5.661849329972966
2022,8,3,4,460996.8,252.44732525815613,17257,-4.925725365636026
2022,8,3,5,460997.8,253.2216820265898,16999,-4.1513685972023495
2022,8,3,6,460998.8,254.05442156702583,17262,-3.3186290567663264
2022,8,3,7,460999.8,255.77678136590114,17461,-1.5962692578910094
2022,8,4,0,461016.88333333336,250.88819294214036,17698,-6.484857681651789
2022,8,4,1,461017.88333333336,251.02142423327004,17379,-6.351626390522114
2022,8,4,2,461018.8,250.83851206023192,17333,-6.534538563560233
2022,8,4,3,461019.8,251.01157669275597,17504,-6.361473931036187
2022,8,4,4,461020.8,251.47345361874457,17285,-5.899597005047582
2022,8,4,5,461040.88333333336,252.5237205313343,15941,-4.849330092457848
2022,8,4,6,461041.88333333336,252.74285789447143,15863,-4.630192729320726
2022,8,4,7,461042.8,252.80349531334295,15941,-4.5695553104492035
2022,8,5,0,461043.8,252.90301086261584,16079,-4.470039761176309
2022,8,5,1,461044.8,253.01830606576596,16209,-4.354744558026198
2022,8,5,2,461045.8,253.4083352990626,16535,-3.9647153247295535
2022,8,5,3,461046.8,253.25226205953433,16965,-4.120788564257822
2022,8,5,4,461047.8,254.5689331655713,17346,-2.804117458220844
2022,8,5,5,461064.88333333336,251.19193937026725,17960,-6.181111253524904
2022,8,5,6,461065.88333333336,250.896059769735,17849,-6.4769908540571635
2022,8,5,7,461066.8,250.26661133303512,17884,-7.106439290757038
2022,8,6,0,461067.8,250.1054924126699,17806,-7.267558211122264
2022,8,6,1,461068.8,250.471440343101,17575,-6.901610280691159
2022,8,6,2,461069.8,251.3728097623897,17676,-6.00024086140246
2022,8,6,3,461070.8,252.01457493115896,17722,-5.358475692633192
2022,8,6,4,461071.8,254.5661821321321,17649,-2.8068684916600546
2022,8,6,5,461088.88333333336,254.63292983784694,17761,-2.7401207859452086
2022,8,6,6,461089.88333333336,254.28799438675782,17701,-3.085056237034337
2022,8,6,7,461090.8,253.75882561237302,17522,-3.614225011419137
2022,8,7,0,461091.8,253.38527101364852,17511,-3.987779610143633
2022,8,7,1,461092.8,253.27428399532045,17523,-4.098766628471708
2022,8,7,2,461093.8,253.3247842114065,17341,-4.048266412385658
2022,8,7,3,461094.8,252.65201708491543,17382,-4.721033538876725
2022,8,7,4,461095.8,254.01770120950692,17503,-3.3553494142852287
2022,8,7,5,461112.88333333336,254.6015518606622,17698,-2.771498763129955
2022,8,7,6,461113.88333333336,254.54895046221915,17178,-2.824100161573
2022,8,7,7,461114.8,254.13824801092088,17581,-3.2348026128712775
2022,8,8,0,461115.8,254.05753931635465,17787,-3.3155113074375038
2022,8,8,1,461116.8,254.6220597230214,17727,-2.750990900770745
2022,8,8,2,461117.8,255.88505063860416,17366,-1.4879999851879973
2022,8,8,3,461118.8,255.3460100845534,17622,-2.0270405392387545
2022,8,8,4,461119.8,257.23266071331363,17636,-0.14038991047851823
2022,8,8,5,461136.88333333336,255.39675977747504,17616,-1.976290846317113
2022,8,8,6,461137.88333333336,255.5154899218207,17268,-1.8575607019714653
2022,8,8,7,461138.8,254.99094020007982,17543,-2.3821104237123336
2022,8,9,0,461139.8,254.98478577288478,17894,-2.388264850907376
2022,8,9,1,461140.8,255.59021716768567,17664,-1.7828334561064878
2022,8,9,2,461141.8,257.0946250812867,17346,-0.27842554250543117
2022,8,9,3,461142.8,256.0280668072628,17734,-1.34498381652935
2022,8,9,4,461143.8,257.7994912422256,17847,0.42644061843344616
2022,8,9,5,461160.88333333336,254.79742404077743,17853,-2.5756265830147242
2022,8,9,6,461161.88333333336,254.6847892002487,17693,-2.6882614235434517
2022,8,9,7,461162.8,254.4925504119302,17770,-2.8805002118619427
2022,8,10,0,461163.8,254.69256473643108,17927,-2.6804858873610726
2022,8,10,1,461164.8,255.5047856325657,17761,-1.8682649912264537
2022,8,10,2,461165.8,256.7198943831535,17784,-0.6531562406386797
2022,8,10,3,461166.8,256.57763204997764,17888,-0.7954185738145156
2022,8,10,4,461167.8,258.5543145760529,17856,1.1812639522607356
2022,8,10,5,461184.88333333336,257.6553587168805,18003,0.2823080930883748
2022,8,10,6,461185.88333333336,257.5414661584841,17415,0.1684155346919738
2022,8,10,7,461186.8,256.72305442122837,17373,-0.6499962025637842
2022,8,11,0,461187.8,256.34101104201585,17898,-1.0320395817763028
2022,8,11,1,461188.8,256.5594365204303,17939,-0.8136141033618287
2022,8,11,2,461189.8,257.5004090283583,17702,0.12735840456616643
2022,8,11,3,461190.8,258.00482372977797,17926,0.6317731059858147
2022,8,11,4,461191.8,260.33242516414913,17941,2.9593745403569756
2022,8,11,5,461208.88333333336,257.3572703535296,17594,-0.01578027026255313
2022,8,11,6,461209.88333333336,257.20635048435463,17673,-0.16670013943752338
2022,8,11,7,461210.8,256.8136832217903,17751,-0.5593674020018398
2022,8,12,0,461211.8,256.7842700863077,17959,-0.5887805374844675
2022,8,12,1,461212.8,256.97887175465144,17844,-0.39417886914071687
2022,8,12,2,461213.8,257.93821236517323,17745,0.5651617413810754
2022,8,12,3,461214.8,258.50799576123103,17741,1.1349451374388764
2022,8,12,4,461215.8,260.45880334640077,17601,3.0857527226086177
2022,8,12,5,461232.88333333336,259.1673155789155,16505,1.7942649551233671
2022,8,12,6,461233.88333333336,259.2424329589695,17158,1.869382335177363
2022,8,12,7,461234.8,258.99307682428594,17574,1.6200262004937827
2022,8,13,0,461235.8,259.01026625705896,17708,1.6372156332668055
2022,8,13,1,461236.8,259.3319811620829,17744,1.9589305382907582
2022,8,13,2,461237.8,259.7511768572074,17704,2.37812623341523
2022,8,13,3,461238.8,259.7274342171049,17761,2.3543835933127752
2022,8,13,4,461239.8,261.4456695953368,17842,4.072618971544671
2022,8,13,5,461256.88333333336,259.67297062825986,16872,2.299920004467708
2022,8,13,6,461257.88333333336,259.46229529271574,16364,2.089244668923584
2022,8,13,7,461258.8,259.054117911785,15961,1.681067287992846
2022,8,14,0,461259.8,258.7461253141411,15805,1.3730746903489717
2022,8,14,1,461260.8,259.05758461858005,15888,1.6845339947878983
2022,8,14,2,461261.8,259.79917715326684,16331,2.4261265294746863
2022,8,14,3,461262.8,259.36341934093485,16751,1.990368717142701
2022,8,14,4,461263.8,260.8835001802913,17028,3.510449556499168
2022,8,14,5,461280.88333333336,262.75779423426326,15521,5.384743610471105
2022,8,14,6,461281.88333333336,262.1397739331585,14871,4.766723309366341
2022,8,14,7,461282.8,261.50880091238287,14084,4.135750288590714
2022,8,15,0,461283.8,260.92000426632615,13705,3.5469536425339925
2022,8,15,1,461284.8,260.41851087928876,14398,3.0454602554966073
2022,8,15,2,461285.8,260.522148758098,15436,3.1490981343058593
2022,8,15,3,461286.8,260.30741429238736,15842,2.9343636685952106
2022,8,15,4,461287.8,261.9553384853566,16697,4.582287861564453
2022,8,15,5,461304.88333333336,262.56246126809594,18098,5.189410644303791
2022,8,15,6,461305.88333333336,261.8972389203598,18006,4.524188296567672
2022,8,15,7,461306.8,261.0554333161025,17991,3.682382692310341
2022,8,16,0,461307.8,261.02601830298335,18067,3.6529676791911925
2022,8,16,1,461308.8,261.5061196341801,18069,4.133069010387942
2022,8,16,2,461309.8,263.53295645317183,18002,6.159905829379682
2022,8,16,3,461310.8,262.76538547833337,18000,5.392334854541218
2022,8,16,4,461311.8,264.9813518062507,17982,7.608301182458547
2022,8,16,5,461328.88333333336,261.5244652207563,17055,4.151414596964173
2022,8,16,6,461329.88333333336,261.43469274415816,16690,4.0616421203660025
2022,8,16,7,461330.8,260.9021338934476,16330,3.529083269655473
2022,8,17,0,461331.8,260.5426506567277,15897,3.1696000329355343
2022,8,17,1,461332.8,260.57117936591897,15692,3.198128742126812
