h,h_lat,h_lon,radius_squared,radius,K_delta_1,K_delta_1_minimum,K_delta_1_maximum,K_delta_1_stationarity_span,K_delta_M,K_delta_M_minimum,K_delta_M_maximum,K_delta_M_stationarity_span,placement_count,delta_K_delta,absolute_delta_K_delta,opposite_lag_error_1,opposite_lag_error_M,opposite_lag_error_delta
"(3,1)",3,1,10,3.1622776601683795,0.03261282676428956,0.032612826764289449,0.032612826764289671,2.2204460492503131e-16,0.33310500240043006,0.33310500240042995,0.33310500240043017,2.2204460492503131e-16,8,-0.3004921756361405,0.3004921756361405,0,0,0
"(2,3)",2,3,13,3.6055512754639891,0.018431191850334039,0.018431191850334039,0.018431191850334039,0,0.21383060742847237,0.21383060742847237,0.21383060742847237,0,6,-0.19539941557813834,0.19539941557813834,0,0,0
"(3,2)",3,2,13,3.6055512754639891,0.018431191850333734,0.018431191850333595,0.018431191850333817,2.2204460492503131e-16,0.21383060742847207,0.21383060742847193,0.21383060742847221,2.7755575615628914e-16,6,-0.19539941557813834,0.19539941557813834,0,0,0
"(0,4)",0,4,16,4,0.011227251910420483,0.011227251910420483,0.011227251910420483,0,0.14413284700983731,0.14413284700983731,0.14413284700983731,0,5,-0.13290559509941682,0.13290559509941682,0,0,0
"(4,0)",4,0,16,4,0.011227251910420621,0.011227251910420621,0.011227251910420621,0,0.14413284700983744,0.14413284700983744,0.14413284700983744,0,5,-0.13290559509941682,0.13290559509941682,0,0,0
"(1,4)",1,4,17,4.1231056256176606,0.0096370227498480954,0.0096370227498480954,0.0096370227498480954,0,0.12743797776619903,0.12743797776619903,0.12743797776619903,0,4,-0.11780095501635093,0.11780095501635093,0,0,0
"(4,1)",4,1,17,4.1231056256176606,0.0096370227498480954,0.0096370227498480954,0.0096370227498480954,0,0.12743797776619908,0.12743797776619908,0.12743797776619908,0,4,-0.11780095501635099,0.11780095501635099,0,0,0
"(3,3)",3,3,18,4.2426406871192848,0.0083154937848926719,0.008315493784892658,0.0083154937848926858,2.7755575615628914e-17,0.11307990987801965,0.11307990987801962,0.11307990987801969,6.9388939039072284e-17,4,-0.10476441609312698,0.10476441609312698,0,0,0
"(2,4)",2,4,20,4.4721359549995796,0.0062778891044925761,0.0062778891044925761,0.0062778891044925761,0,0.089891147667478674,0.089891147667478674,0.089891147667478674,0,3,-0.083613258562986098,0.083613258562986098,0,0,0
"(4,2)",4,2,20,4.4721359549995796,0.0062778891044926732,0.0062778891044926732,0.0062778891044926732,0,0.089891147667478785,0.089891147667478771,0.089891147667478771,0,3,-0.083613258562986112,0.083613258562986112,0,0,0
"(3,4)",3,4,25,5,0.0033190361633317553,0.0033190361633317206,0.00331903616333179,6.9388939039072284e-17,0.05302351121242798,0.053023511212427946,0.053023511212428015,6.9388939039072284e-17,2,-0.049704475049096225,0.049704475049096225,0,0,0
"(4,3)",4,3,25,5,0.00331903616333179,0.00331903616333179,0.00331903616333179,0,0.053023511212428015,0.053023511212428015,0.053023511212428015,0,2,-0.049704475049096225,0.049704475049096225,0,0,0
"(4,4)",4,4,32,5.6568542494923806,0.0015240474623142708,0.0015240474623142708,0.0015240474623142708,0,0.027491618419659372,0.027491618419659372,0.027491618419659372,0,1,-0.025967570957345101,0.025967570957345101,0,0,0
