year,month,day_num,direction,lag,model,fitted_gamma_tau1,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2024,7,1,lat,1.4960,Vecchia_mm20,14.8744,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,1.7160,Vecchia_mm20,14.9378,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,1.9360,Vecchia_mm20,14.9704,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lat,2.1560,Vecchia_mm20,14.9871,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-1.8810,Corridor_4x4_lag643,12.2175,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-1.6920,Corridor_4x4_lag643,12.2117,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-1.5030,Corridor_4x4_lag643,12.1978,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-1.3140,Corridor_4x4_lag643,12.1643,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-1.1250,Corridor_4x4_lag643,12.0841,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.9360,Corridor_4x4_lag643,11.8943,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.7470,Corridor_4x4_lag643,11.4523,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.5580,Corridor_4x4_lag643,10.4681,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.3690,Corridor_4x4_lag643,8.5966,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.1800,Corridor_4x4_lag643,7.2235,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.1260,Corridor_4x4_lag643,7.5137,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-0.0630,Corridor_4x4_lag643,8.1514,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.0000,Corridor_4x4_lag643,8.8885,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.0630,Corridor_4x4_lag643,9.5793,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.1260,Corridor_4x4_lag643,10.1674,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.1800,Corridor_4x4_lag643,10.5823,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.3690,Corridor_4x4_lag643,11.5052,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.5580,Corridor_4x4_lag643,11.9172,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.7470,Corridor_4x4_lag643,12.0939,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,0.9360,Corridor_4x4_lag643,12.1683,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,1.1250,Corridor_4x4_lag643,12.1995,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,1.3140,Corridor_4x4_lag643,12.2124,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,1.5030,Corridor_4x4_lag643,12.2178,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,1.6920,Corridor_4x4_lag643,12.2200,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,1.8810,Corridor_4x4_lag643,12.2210,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791
2024,7,1,lon,-1.8810,Debiased_Whittle,11.6936,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-1.6920,Debiased_Whittle,11.6657,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-1.5030,Debiased_Whittle,11.6121,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-1.3140,Debiased_Whittle,11.5090,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-1.1250,Debiased_Whittle,11.3122,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.9360,Debiased_Whittle,10.9392,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.7470,Debiased_Whittle,10.2445,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.5580,Debiased_Whittle,9.0063,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.3690,Debiased_Whittle,7.1278,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.1800,Debiased_Whittle,6.0817,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.1260,Debiased_Whittle,6.3634,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-0.0630,Debiased_Whittle,6.9309,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.0000,Debiased_Whittle,7.5968,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.0630,Debiased_Whittle,8.2513,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.1260,Debiased_Whittle,8.8432,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.1800,Debiased_Whittle,9.2874,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.3690,Debiased_Whittle,10.4067,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.5580,Debiased_Whittle,11.0272,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.7470,Debiased_Whittle,11.3588,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,0.9360,Debiased_Whittle,11.5335,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,1.1250,Debiased_Whittle,11.6248,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,1.3140,Debiased_Whittle,11.6724,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,1.5030,Debiased_Whittle,11.6971,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,1.6920,Debiased_Whittle,11.7099,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,1.8810,Debiased_Whittle,11.7165,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321
2024,7,1,lon,-1.8810,Vecchia_mm20,14.8250,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-1.6920,Vecchia_mm20,14.7168,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-1.5030,Vecchia_mm20,14.5440,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-1.3140,Vecchia_mm20,14.2685,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-1.1250,Vecchia_mm20,13.8314,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.9360,Vecchia_mm20,13.1427,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.7470,Vecchia_mm20,12.0736,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.5580,Vecchia_mm20,10.4736,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.3690,Vecchia_mm20,8.3563,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.1800,Vecchia_mm20,6.9016,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.1260,Vecchia_mm20,7.0040,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,-0.0630,Vecchia_mm20,7.4376,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
2024,7,1,lon,0.0000,Vecchia_mm20,8.0829,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232
