variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangetime_long,2795,4.94291124,0.09273742,0.99726920,2394.14923218,2787.51966854,0.89804113,0.77131096,-0.12673017,0.86356755,0.93251471
s05_n1_rangetime_long,2796,4.94114240,0.35322514,0.99505476,2394.50245732,2788.51472331,0.89836170,0.77142476,-0.12693694,0.86388812,0.93283528
s05_n1_rangetime_long,2797,4.94101215,1.94723903,0.99678241,2396.44969636,2789.51150572,0.89868283,0.77205209,-0.12663074,0.86420925,0.93315641
s05_n1_rangetime_long,2798,4.93933896,0.11571322,0.99862554,2396.56540958,2790.51013126,0.89900455,0.77208937,-0.12691518,0.86453097,0.93347813
s05_n1_rangetime_long,2799,4.93516596,1.77607386,0.99895161,2398.34148344,2791.50908287,0.89932638,0.77266156,-0.12666482,0.86485280,0.93379996
s05_n1_rangetime_long,2800,4.93060947,0.26007233,0.99894084,2398.60155577,2792.50802371,0.89964820,0.77274535,-0.12690286,0.86517462,0.93412178
s05_n1_rangetime_long,2801,4.92760330,2.52761896,0.99980312,2401.12917473,2793.50782682,0.89997031,0.77355966,-0.12641065,0.86549673,0.93444388
s05_n1_rangetime_long,2802,4.92452395,0.16826980,0.99789541,2401.29744454,2794.50572223,0.90029179,0.77361387,-0.12667792,0.86581821,0.93476537
s05_n1_rangetime_long,2803,4.91740610,0.04101425,0.99938095,2401.33845879,2795.50510319,0.90061376,0.77362708,-0.12698668,0.86614018,0.93508734
s05_n1_rangetime_long,2804,4.91672046,6.69921729,0.99862431,2408.03767608,2796.50372750,0.90093548,0.77578533,-0.12515015,0.86646190,0.93540906
s05_n1_rangetime_long,2805,4.91569089,0.29719387,0.99906288,2408.33486996,2797.50279038,0.90125734,0.77588108,-0.12537626,0.86678376,0.93573092
s05_n1_rangetime_long,2806,4.91295722,0.08654464,0.99295393,2408.42141460,2798.49574431,0.90157724,0.77590896,-0.12566828,0.86710366,0.93605082
s05_n1_rangetime_long,2807,4.91059060,0.12907364,0.99602198,2408.55048824,2799.49176629,0.90189812,0.77595054,-0.12594758,0.86742454,0.93637170
s05_n1_rangetime_long,2808,4.90611474,0.39190292,0.99833226,2408.94239116,2800.49009855,0.90221975,0.77607680,-0.12614295,0.86774617,0.93669333
s05_n1_rangetime_long,2809,4.90550311,0.06012881,0.99961524,2409.00251997,2801.48971378,0.90254179,0.77609617,-0.12644562,0.86806821,0.93701537
s05_n1_rangetime_long,2810,4.90310472,3.60524125,0.99977972,2412.60776122,2802.48949351,0.90286388,0.77725766,-0.12560623,0.86839030,0.93733746
s05_n1_rangetime_long,2811,4.90043483,1.46559277,0.99746522,2414.07335399,2803.48695873,0.90318523,0.77772982,-0.12545541,0.86871165,0.93765881
s05_n1_rangetime_long,2812,4.89943347,4.00322190,0.99900765,2418.07657589,2804.48596638,0.90350708,0.77901952,-0.12448756,0.86903350,0.93798066
s05_n1_rangetime_long,2813,4.89901259,0.09595554,0.99854990,2418.17253144,2805.48451629,0.90382877,0.77905043,-0.12477835,0.86935520,0.93830235
s05_n1_rangetime_long,2814,4.89837975,0.30687400,0.99304881,2418.47940544,2806.47756510,0.90414870,0.77914929,-0.12499941,0.86967512,0.93862228
s05_n1_rangetime_long,2815,4.89663490,0.75146082,0.99693021,2419.23086626,2807.47449531,0.90446988,0.77939139,-0.12507849,0.86999630,0.93894346
s05_n1_rangetime_long,2816,4.89499085,0.10459158,0.99723884,2419.33545784,2808.47173415,0.90479115,0.77942508,-0.12536607,0.87031757,0.93926473
s05_n1_rangetime_long,2817,4.89233359,1.74510160,0.99512277,2421.08055944,2809.46685693,0.90511175,0.77998729,-0.12512445,0.87063817,0.93958532
s05_n1_rangetime_long,2818,4.89181343,0.53912300,0.99721858,2421.61968244,2810.46407551,0.90543301,0.78016098,-0.12527203,0.87095943,0.93990659
s05_n1_rangetime_long,2819,4.88808756,0.00848290,0.99952804,2421.62816534,2811.46360355,0.90575503,0.78016371,-0.12559131,0.87128145,0.94022861
s05_n1_rangetime_long,2820,4.88765076,0.34247920,0.99876160,2421.97064454,2812.46236515,0.90607679,0.78027405,-0.12580275,0.87160321,0.94055037
s05_n1_rangetime_long,2821,4.88444276,0.45659582,0.99958705,2422.42724036,2813.46195220,0.90639882,0.78042115,-0.12597768,0.87192525,0.94087240
s05_n1_rangetime_long,2822,4.88424851,3.12663599,0.99084318,2425.55387635,2814.45279538,0.90671804,0.78142844,-0.12528960,0.87224446,0.94119162
s05_n1_rangetime_long,2823,4.88033926,0.11273286,0.99676629,2425.66660921,2815.44956167,0.90703916,0.78146476,-0.12557440,0.87256558,0.94151274
s05_n1_rangetime_long,2824,4.87843654,0.24428276,0.99966980,2425.91089196,2816.44923147,0.90736122,0.78154346,-0.12581776,0.87288764,0.94183480
s05_n1_rangetime_long,2825,4.87829974,0.00009542,0.99875741,2425.91098738,2817.44798888,0.90768299,0.78154349,-0.12613950,0.87320941,0.94215657
s05_n1_rangetime_long,2826,4.87795302,0.00138589,0.99922113,2425.91237327,2818.44721001,0.90800490,0.78154393,-0.12646097,0.87353132,0.94247848
s05_n1_rangetime_long,2827,4.87639333,0.07592953,0.99927343,2425.98830280,2819.44648343,0.90832683,0.78156840,-0.12675843,0.87385325,0.94280041
s05_n1_rangetime_long,2828,4.87549067,0.70672797,0.99747845,2426.69503077,2820.44396188,0.90864818,0.78179608,-0.12685210,0.87417460,0.94312176
s05_n1_rangetime_long,2829,4.87387172,0.09676792,0.98383288,2426.79179868,2821.42779476,0.90896514,0.78182725,-0.12713789,0.87449156,0.94343872
s05_n1_rangetime_long,2830,4.87234512,1.01761643,0.99898843,2427.80941511,2822.42678319,0.90928698,0.78215510,-0.12713188,0.87481340,0.94376056
