scenario,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
true,0.788235294117647,0.7809958980273671,0.788235294117647,0.7769421248951321,0.8015843300847553
true,0.792156862745098,0.7845320426771097,0.792156862745098,0.7807396488803864,0.8055211465371359
true,0.796078431372549,0.788371334676454,0.796078431372549,0.7847296596212588,0.8096056061326778
true,0.8,0.7920790073742897,0.8,0.7887813392861082,0.8133691278912738
true,0.803921568627451,0.7961938354033978,0.803921568627451,0.7925848480662713,0.8174203888016268
true,0.807843137254902,0.8001987290088967,0.807843137254902,0.7966327123944911,0.8216093181498408
true,0.8117647058823529,0.8042688213127326,0.8117647058823529,0.8007642697875665,0.8256382896828357
true,0.8156862745098039,0.80856007827486,0.8156862745098039,0.8046276476342351,0.8298224322827306
true,0.8196078431372549,0.8125797213522337,0.8196078431372549,0.8085665175745417,0.8340221037254014
true,0.8235294117647058,0.8165101506053272,0.8235294117647058,0.8127673946121708,0.8381606173180836
true,0.8274509803921568,0.8203661202340428,0.8274509803921568,0.8167656606741472,0.8417507135342893
true,0.8313725490196079,0.8241133950271822,0.8313725490196079,0.8208752161324397,0.8454192456451494
true,0.8352941176470589,0.8276281111572737,0.8352941176470589,0.8245413369459673,0.849419168021643
true,0.8392156862745098,0.8315046882490911,0.8392156862745098,0.8284844349571755,0.8532430658139057
true,0.8431372549019608,0.8352363173154498,0.8431372549019608,0.8324490520945255,0.8574741522311139
true,0.8470588235294118,0.8389138005946982,0.8470588235294118,0.8364893995461486,0.8614720886476714
true,0.8509803921568627,0.842559624680778,0.8509803921568627,0.8401259548930863,0.8656154242429307
true,0.8549019607843137,0.8461336399903588,0.8549019607843137,0.8440144159643328,0.8695783587140106
true,0.8588235294117647,0.8496450053941957,0.8588235294117647,0.8476111638471995,0.8735551534008474
true,0.8627450980392157,0.8536395733885105,0.8627450980392157,0.8514375140279785,0.8773046717962096
true,0.8666666666666667,0.8580116841835075,0.8666666666666667,0.8552148800620927,0.8810200563050148
true,0.8705882352941177,0.8616488798224148,0.8705882352941177,0.8594864549781287,0.8848074126613716
true,0.8745098039215686,0.8650634672750537,0.8745098039215686,0.863114131053887,0.8887690362189902
true,0.8784313725490196,0.8690744430830363,0.8784313725490196,0.8667686022562715,0.8927772451778042
true,0.8823529411764706,0.8727881836388445,0.8823529411764706,0.8705586738608475,0.8967771357778909
true,0.8862745098039215,0.876447806395862,0.8862745098039215,0.8741964775495127,0.900702227363686
true,0.8901960784313725,0.8805170474255118,0.8901960784313725,0.8780505021018511,0.9047574271533465
true,0.8941176470588236,0.8845160841059367,0.8941176470588236,0.8822171198728134,0.9086581554142285
true,0.8980392156862745,0.8879713905118113,0.8980392156862745,0.8861506940973177,0.9127293482264147
true,0.9019607843137255,0.8919202913768531,0.9019607843137255,0.8902888573208091,0.9164962370807536
true,0.9058823529411765,0.8955565739573849,0.9058823529411765,0.8940172897724806,0.9205483913249568
true,0.9098039215686274,0.8999354575743477,0.9098039215686274,0.8981233051749159,0.924618647219062
true,0.9137254901960784,0.904507935424016,0.9137254901960784,0.9022712044912117,0.9284723890701635
true,0.9176470588235294,0.9087587401444868,0.9176470588235294,0.9059861972456433,0.9321064954594526
true,0.9215686274509803,0.9125525438225907,0.9215686274509803,0.9099113028495323,0.9362493912969376
true,0.9254901960784314,0.9165129332449059,0.9254901960784314,0.9135747791648677,0.9404145644746112
true,0.9294117647058824,0.9205898026360806,0.9294117647058824,0.917464330251199,0.9442330508273379
true,0.9333333333333333,0.9244497722054388,0.9333333333333333,0.9213296742529611,0.9480846334551355
true,0.9372549019607843,0.928278638446391,0.9372549019607843,0.9251052965332555,0.9517366445976901
true,0.9411764705882353,0.9324969975929253,0.9411764705882353,0.9288890348197498,0.9555797989364969
true,0.9450980392156862,0.9360216524299029,0.9450980392156862,0.9326879629785496,0.9594603151345901
true,0.9490196078431372,0.940091908862479,0.9490196078431372,0.9367432642324786,0.9635557129849277
true,0.9529411764705882,0.9440443475104143,0.9529411764705882,0.940778400482498,0.9674370413494029
true,0.9568627450980393,0.9482321564259465,0.9568627450980393,0.9446786219597865,0.971274750810678
true,0.9607843137254902,0.9521218425693576,0.9607843137254902,0.9486356586501269,0.9748468798821724
true,0.9647058823529412,0.9559203167750768,0.9647058823529412,0.952268447598013,0.978804496585924
true,0.9686274509803922,0.9599087000208494,0.9686274509803922,0.9560056328042795,0.9825148082131061
true,0.9725490196078431,0.963766359400184,0.9725490196078431,0.9598870428691276,0.9864141135459153
true,0.9764705882352941,0.967958193671194,0.9764705882352941,0.9638147221042948,0.9903680825651051
true,0.9803921568627451,0.9716749749639783,0.9803921568627451,0.967273130084135,0.9941513824942134
true,0.984313725490196,0.9754913551123556,0.984313725490196,0.9708540347583923,0.998507390850821
true,0.9882352941176471,0.9792844063140562,0.9882352941176471,0.9743855443091048,1.0024100882010605
true,0.9921568627450981,0.9831824966288923,0.9921568627450981,0.9785837157767179,1.0064908190577564
true,0.996078431372549,0.9871192015941816,0.996078431372549,0.9825850407878456,1.0105880853472713
true,1.0,0.9908242646321018,1.0,0.9866654430050644,1.0147962793897745
lon_short,6.940829429116779e-06,2.87034829279697e-05,6.940829429116779e-06,5.8394273787606596e-08,4.952456505501935e-05
lon_short,0.00392156862745098,0.0040031837788300365,0.00392156862745098,0.0034322293620600406,0.0044221326232759504
lon_short,0.00784313725490196,0.008502178166255633,0.00784313725490196,0.007083363864655322,0.008581992309342201
lon_short,0.011764705882352941,0.011144206070981908,0.011764705882352941,0.010755129117639501,0.01255503004536144
lon_short,0.01568627450980392,0.015901031506408255,0.01568627450980392,0.014244790390674413,0.01664287686704312
lon_short,0.0196078431372549,0.019448023647824057,0.0196078431372549,0.0181954979097135,0.020715775708323475
lon_short,0.023529411764705882,0.023210519063669607,0.023529411764705882,0.021828376370804613,0.02494616414911794
lon_short,0.027450980392156862,0.028714314322709208,0.027450980392156862,0.025667393135599872,0.02909120974526149
lon_short,0.03137254901960784,0.03197280004535221,0.03137254901960784,0.02951161248420505,0.03333937656884492
lon_short,0.03529411764705882,0.03620449007788659,0.03529411764705882,0.033126231517340995,0.03740979755446527
lon_short,0.0392156862745098,0.04078142814737079,0.0392156862745098,0.03710056010476436,0.04143824767006714
lon_short,0.043137254901960784,0.043788563690391885,0.043137254901960784,0.04093710245379244,0.04531174341639063
lon_short,0.047058823529411764,0.048457453086260274,0.047058823529411764,0.04483181263644452,0.049523025835564234
lon_short,0.050980392156862744,0.05290033577936162,0.050980392156862744,0.04850390158191874,0.05357908461852063
lon_short,0.054901960784313725,0.05831379127882865,0.054901960784313725,0.05254643999497961,0.05778622467247792
lon_short,0.058823529411764705,0.06273855901261713,0.058823529411764705,0.05632180509491592,0.06193733325940844
lon_short,0.06274509803921569,0.06485025552268966,0.06274509803921569,0.05986124138084313,0.06570833000560118
lon_short,0.06666666666666667,0.06717146957062084,0.06666666666666667,0.0639313214310425,0.06966233587040814
lon_short,0.07058823529411765,0.07051858872089051,0.07058823529411765,0.06803012522388255,0.07379081273024353
lon_short,0.07450980392156863,0.07368263370371533,0.07450980392156863,0.07186532566042389,0.07776868668407204
lon_short,0.0784313725490196,0.07887478122786484,0.0784313725490196,0.07556492402719085,0.08177785369843003
lon_short,0.08235294117647059,0.08365932504424936,0.08235294117647059,0.07976415508064151,0.08545233651844729
lon_short,0.08627450980392157,0.08571237479981968,0.08627450980392157,0.08398729927758203,0.08995477127430355
lon_short,0.09019607843137255,0.08770060880219378,0.09019607843137255,0.08760746497768473,0.09413043664474947
lon_short,0.09411764705882353,0.09098089922193248,0.09411764705882353,0.09130196192366086,0.09820819569394419
lon_short,0.09803921568627451,0.0942701199978751,0.09803921568627451,0.09526830421789995,0.10226229126309694
lon_short,0.10196078431372549,0.09953379460043509,0.10196078431372549,0.09925874035931385,0.10644573715098878
lon_short,0.10588235294117647,0.10502726935978143,0.10588235294117647,0.10302435443533615,0.11047450706803891
lon_short,0.10980392156862745,0.10721767884520356,0.10980392156862745,0.10673778347402338,0.1145675053492935
