scenario,scenario_label,expected_primary_band,band,orientation,power_simulations,mean_true_dgp_energy_ratio,median_true_dgp_energy_ratio,q025_true_dgp_energy_ratio,q975_true_dgp_energy_ratio,candidate_null_q025,candidate_null_q975,two_sided_rejection_rate,low_side_rejection_rate,high_side_rejection_rate
smooth_rough,smoothness 0.3,high,middle,all,64,0.890710070558137,0.890264167786545,0.8749881120387596,0.9086624937417405,0.9752126026146666,1.023206769023346,1.0,1.0,0.0
smooth_rough,smoothness 0.3,high,high,H,64,0.7140038326804895,0.713996066614339,0.7052336533314443,0.7245537387788469,0.9857450701784424,1.0192468256264002,1.0,1.0,0.0
smooth_rough,smoothness 0.3,high,high,V,64,0.7096468353636647,0.7095673179739727,0.6992972667896996,0.7215628898009633,0.9798027111962971,1.0125965728088002,1.0,1.0,0.0
smooth_rough,smoothness 0.3,high,high,D,64,0.6490078867720865,0.6489003204614009,0.6386238673638008,0.6584352834826803,0.9860159852356996,1.0208252901576618,1.0,1.0,0.0
smooth_rough,smoothness 0.3,high,high,all,64,0.6908861849387469,0.6905320370200324,0.6843614898918285,0.6978949589926379,0.9896960519805109,1.0118258942660843,1.0,1.0,0.0
smooth_smoother,smoothness 1.0,high,low,H,64,0.8679485115155721,0.8654787442290959,0.8008493292767878,0.9330408380867763,0.9008849346253114,1.0725422767749662,0.8125,0.8125,0.0
smooth_smoother,smoothness 1.0,high,low,V,64,0.8859252510945976,0.8902482125559983,0.8194321906084395,0.9692858352740339,0.9326366952202207,1.0959647631432734,0.890625,0.890625,0.0
smooth_smoother,smoothness 1.0,high,low,D,64,1.0448885896832705,1.0473902960925083,0.9740027866870604,1.124137108569587,0.9321562229492204,1.063795146856477,0.3125,0.0,0.3125
smooth_smoother,smoothness 1.0,high,low,all,64,0.9329207840978133,0.9309400103334351,0.8791472244389652,0.9766294234772196,0.9469291491343655,1.0590235987759007,0.734375,0.734375,0.0
smooth_smoother,smoothness 1.0,high,middle,H,64,1.1805202601421487,1.1779459973429574,1.1465223703384617,1.2217753648351446,0.9555191704202565,1.0395478128504627,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,middle,V,64,1.2168744915100058,1.2151760455182647,1.18345132184116,1.2545353629597624,0.965282501538357,1.042695183947922,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,middle,D,64,1.5871411889312537,1.5838354993004327,1.557118313968075,1.638123610898491,0.9711881918267912,1.0343062492338189,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,middle,all,64,1.328178646861136,1.3287066620736967,1.3072599871246517,1.3520611250963512,0.9726072589162079,1.0310892129626883,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,high,H,64,1.6571367887904398,1.6566073611876233,1.6381159470443913,1.6799219013631852,0.9833097536791208,1.0205571493837255,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,high,V,64,1.6483388615495609,1.6491785057108337,1.622112157469478,1.6727713858055262,0.9779885666981439,1.0170121400921948,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,high,D,64,1.7004237722044913,1.6983171996951594,1.672071898986583,1.7247372364468272,0.986055417063929,1.021449497811982,1.0,0.0,1.0
smooth_smoother,smoothness 1.0,high,high,all,64,1.668633140848164,1.6676959566395988,1.652831909600299,1.6831752690979225,0.9880701713903461,1.0150460424189875,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,low,H,64,1.0061321202315998,1.0031757466034745,0.9298943133726134,1.0830947832214837,0.9081696115351351,1.0666909892222391,0.078125,0.0,0.078125
nugget_zero,nugget 0 (truth 1),high,low,V,64,1.0172295181388586,1.022700682080608,0.9427298403920459,1.1147532443752197,0.9339596326893856,1.0925192580196479,0.078125,0.015625,0.0625
nugget_zero,nugget 0 (truth 1),high,low,D,64,1.0422237712058233,1.0455698775218056,0.9717830318995119,1.1194015583417047,0.934395018425092,1.059786379115737,0.328125,0.0,0.328125
nugget_zero,nugget 0 (truth 1),high,low,all,64,1.0218618031920939,1.0197398783953378,0.964874393305993,1.071698136368424,0.954864050074015,1.0506616179742074,0.0625,0.0,0.0625
nugget_zero,nugget 0 (truth 1),high,middle,H,64,1.080149547672741,1.0783584238361574,1.049364696337379,1.1199567590254431,0.9554361208002797,1.0342511601583861,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,middle,V,64,1.1017917116024234,1.1011307409427293,1.0713286163686384,1.1366877338947687,0.9657454864027895,1.0402805623331635,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,middle,D,64,1.2644145483379206,1.2621073536120022,1.2404268151446085,1.3042349821618806,0.9706539610480068,1.0316628952343667,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,middle,all,64,1.1487852692043619,1.1485225020800982,1.1303297840343578,1.1701112446486133,0.9731707661247857,1.0280875460118521,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,high,H,64,1.4560655595041525,1.4554145434618895,1.4390951284488382,1.4765321925161312,0.9824655530369754,1.0216633093644991,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,high,V,64,1.479358662205247,1.4797494487928329,1.4565241217675169,1.5019673132446825,0.9775775777064609,1.0169964066037176,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,high,D,64,1.8339322376491056,1.8320419554008236,1.8038315891403978,1.8599174031443744,0.987288059961991,1.0222874539459592,1.0,0.0,1.0
nugget_zero,nugget 0 (truth 1),high,high,all,64,1.589785486452835,1.5882924371817166,1.5743534499909182,1.604522539820867,0.9881923698202094,1.014033242851924,1.0,0.0,1.0
