variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n0,1268,8.01541653,0.73877552,0.96361207,1682.67446928,1263.45245053,0.40704009,0.54209873,0.13505864,0.37256651,0.44151367
s05_n0,1269,8.01299819,0.17203335,0.99737826,1682.84650263,1264.44982879,0.40736141,0.54215416,0.13479274,0.37288783,0.44183499
s05_n0,1270,8.01118742,2.04018471,0.99940830,1684.88668734,1265.44923709,0.40768339,0.54281143,0.13512804,0.37320981,0.44215697
s05_n0,1271,8.00884143,0.04492746,0.99363537,1684.93161480,1266.44287246,0.40800350,0.54282591,0.13482240,0.37352992,0.44247708
s05_n0,1272,8.00612216,3.18722529,0.98946437,1688.11884009,1267.43233682,0.40832227,0.54385272,0.13553045,0.37384869,0.44279585
s05_n0,1273,8.00440698,7.69963397,0.99023216,1695.81847406,1268.42256898,0.40864129,0.54633327,0.13769198,0.37416771,0.44311487
s05_n0,1274,8.00186340,0.33143288,0.98979715,1696.14990693,1269.41236613,0.40896017,0.54644005,0.13747988,0.37448659,0.44343375
s05_n0,1275,7.99899462,0.01015277,0.99909597,1696.16005971,1270.41146211,0.40928204,0.54644332,0.13716127,0.37480846,0.44375562
s05_n0,1276,7.99718297,0.82565811,0.99818442,1696.98571782,1271.40964653,0.40960362,0.54670932,0.13710569,0.37513004,0.44407720
s05_n0,1277,7.99410729,0.12301604,0.99982319,1697.10873386,1272.40946972,0.40992573,0.54674895,0.13682322,0.37545215,0.44439931
s05_n0,1278,7.99163517,1.42755688,0.99306521,1698.53629074,1273.40253493,0.41024566,0.54720886,0.13696319,0.37577208,0.44471924
s05_n0,1279,7.98976008,0.72106622,0.99944703,1699.25735696,1274.40198196,0.41056765,0.54744116,0.13687351,0.37609407,0.44504123
s05_n0,1280,7.98771746,0.51228277,0.99987969,1699.76963973,1275.40186165,0.41088978,0.54760620,0.13671642,0.37641620,0.44536335
s05_n0,1281,7.98383218,0.32472265,0.99957668,1700.09436238,1276.40143832,0.41121180,0.54771081,0.13649901,0.37673822,0.44568538
s05_n0,1282,7.98321444,0.23733835,0.99814425,1700.33170073,1277.39958257,0.41153337,0.54778727,0.13625390,0.37705979,0.44600695
s05_n0,1283,7.98116803,0.19048260,0.98722026,1700.52218333,1278.38680283,0.41185142,0.54784864,0.13599722,0.37737784,0.44632500
s05_n0,1284,7.98023190,0.04032138,0.99893386,1700.56250471,1279.38573669,0.41217324,0.54786163,0.13568839,0.37769966,0.44664682
s05_n0,1285,7.97858426,0.00515240,0.99636423,1700.56765711,1280.38210092,0.41249423,0.54786329,0.13536906,0.37802065,0.44696781
s05_n0,1286,7.97775349,0.50329404,0.99832822,1701.07095115,1281.38042913,0.41281586,0.54802544,0.13520958,0.37834228,0.44728944
s05_n0,1287,7.97354089,1.35780840,0.94434064,1702.42875955,1282.32476977,0.41312009,0.54846287,0.13534278,0.37864651,0.44759367
s05_n0,1288,7.97083672,1.72592348,0.99823255,1704.15468303,1283.32300233,0.41344169,0.54901891,0.13557722,0.37896811,0.44791527
s05_n0,1289,7.96798380,0.73531121,0.99209421,1704.88999423,1284.31509654,0.41376131,0.54925580,0.13549449,0.37928773,0.44823489
s05_n0,1290,7.96345582,0.76009071,0.99514940,1705.65008494,1285.31024594,0.41408191,0.54950067,0.13541876,0.37960833,0.44855549
s05_n0,1291,7.96164670,0.01614538,0.99947724,1705.66623032,1286.30972318,0.41440391,0.54950587,0.13510197,0.37993033,0.44887748
s05_n0,1292,7.96103288,3.34628376,0.99974072,1709.01251409,1287.30946389,0.41472599,0.55058393,0.13585794,0.38025241,0.44919957
