spatial_bin_lower,spatial_bin_upper,temporal_bin_lower,temporal_bin_upper,pair_count,fraction_of_visible_pairs,mean_margin_matched_log_gap,mean_margin_matched_correlation_gap,mean_fitted_null_actual_correlation_difference
0.25,0.375,2.625,2.75,0,0,,,
0.25,0.375,2.75,2.875,0,0,,,
0.25,0.375,2.875,3,0,0,,,
0.25,0.375,3,3.125,0,0,,,
0.25,0.375,3.125,3.25,0,0,,,
0.25,0.375,3.25,3.375,0,0,,,
0.25,0.375,3.375,3.5,7,3.28972103166e-05,0.247737212158,0.0065637315579,-0.000993408320953
0.375,0.5,0,0.125,0,0,,,
0.375,0.5,0.125,0.25,0,0,,,
0.375,0.5,0.25,0.375,0,0,,,
0.375,0.5,0.375,0.5,0,0,,,
0.375,0.5,0.5,0.625,38,0.000178584856004,0.264313502566,0.121416868504,0.0776510241048
0.375,0.5,0.625,0.75,0,0,,,
0.375,0.5,0.75,0.875,0,0,,,
0.375,0.5,0.875,1,0,0,,,
0.375,0.5,1,1.125,13,6.10948191593e-05,0.315823926161,0.092607954305,0.0367889298838
0.375,0.5,1.125,1.25,0,0,,,
0.375,0.5,1.25,1.375,0,0,,,
0.375,0.5,1.375,1.5,0,0,,,
0.375,0.5,1.5,1.625,0,0,,,
0.375,0.5,1.625,1.75,0,0,,,
0.375,0.5,1.75,1.875,0,0,,,
0.375,0.5,1.875,2,0,0,,,
0.375,0.5,2,2.125,21,9.86916309497e-05,0.351694637722,0.0386441133529,0.00256233106009
0.375,0.5,2.125,2.25,0,0,,,
0.375,0.5,2.25,2.375,0,0,,,
0.375,0.5,2.375,2.5,0,0,,,
0.375,0.5,2.5,2.625,0,0,,,
0.375,0.5,2.625,2.75,0,0,,,
0.375,0.5,2.75,2.875,0,0,,,
0.375,0.5,2.875,3,0,0,,,
0.375,0.5,3,3.125,0,0,,,
0.375,0.5,3.125,3.25,0,0,,,
0.375,0.5,3.25,3.375,0,0,,,
0.375,0.5,3.375,3.5,0,0,,,
0.5,0.625,0,0.125,0,0,,,
0.5,0.625,0.125,0.25,0,0,,,
0.5,0.625,0.25,0.375,0,0,,,
0.5,0.625,0.375,0.5,0,0,,,
0.5,0.625,0.5,0.625,0,0,,,
0.5,0.625,0.625,0.75,0,0,,,
0.5,0.625,0.75,0.875,0,0,,,
0.5,0.625,0.875,1,0,0,,,
0.5,0.625,1,1.125,0,0,,,
0.5,0.625,1.125,1.25,0,0,,,
0.5,0.625,1.25,1.375,0,0,,,
0.5,0.625,1.375,1.5,0,0,,,
0.5,0.625,1.5,1.625,0,0,,,
0.5,0.625,1.625,1.75,0,0,,,
0.5,0.625,1.75,1.875,0,0,,,
0.5,0.625,1.875,2,0,0,,,
0.5,0.625,2,2.125,0,0,,,
0.5,0.625,2.125,2.25,0,0,,,
0.5,0.625,2.25,2.375,0,0,,,
0.5,0.625,2.375,2.5,0,0,,,
0.5,0.625,2.5,2.625,0,0,,,
0.5,0.625,2.625,2.75,0,0,,,
0.5,0.625,2.75,2.875,0,0,,,
0.5,0.625,2.875,3,0,0,,,
0.5,0.625,3,3.125,0,0,,,
0.5,0.625,3.125,3.25,0,0,,,
0.5,0.625,3.25,3.375,0,0,,,
0.5,0.625,3.375,3.5,0,0,,,
0.625,0.75,0,0.125,0,0,,,
0.625,0.75,0.125,0.25,0,0,,,
0.625,0.75,0.25,0.375,0,0,,,
0.625,0.75,0.375,0.5,0,0,,,
0.625,0.75,0.5,0.625,0,0,,,
0.625,0.75,0.625,0.75,0,0,,,
0.625,0.75,0.75,0.875,0,0,,,
0.625,0.75,0.875,1,0,0,,,
0.625,0.75,1,1.125,0,0,,,
0.625,0.75,1.125,1.25,0,0,,,
0.625,0.75,1.25,1.375,0,0,,,
0.625,0.75,1.375,1.5,0,0,,,
0.625,0.75,1.5,1.625,0,0,,,
0.625,0.75,1.625,1.75,0,0,,,
0.625,0.75,1.75,1.875,0,0,,,
0.625,0.75,1.875,2,0,0,,,
0.625,0.75,2,2.125,0,0,,,
0.625,0.75,2.125,2.25,0,0,,,
0.625,0.75,2.25,2.375,0,0,,,
0.625,0.75,2.375,2.5,0,0,,,
0.625,0.75,2.5,2.625,0,0,,,
0.625,0.75,2.625,2.75,0,0,,,
0.625,0.75,2.75,2.875,0,0,,,
0.625,0.75,2.875,3,0,0,,,
0.625,0.75,3,3.125,0,0,,,
0.625,0.75,3.125,3.25,0,0,,,
0.625,0.75,3.25,3.375,0,0,,,
0.625,0.75,3.375,3.5,0,0,,,
0.75,0.875,0,0.125,0,0,,,
0.75,0.875,0.125,0.25,0,0,,,
0.75,0.875,0.25,0.375,0,0,,,
0.75,0.875,0.375,0.5,0,0,,,
0.75,0.875,0.5,0.625,0,0,,,
0.75,0.875,0.625,0.75,0,0,,,
0.75,0.875,0.75,0.875,0,0,,,
0.75,0.875,0.875,1,0,0,,,
0.75,0.875,1,1.125,0,0,,,
0.75,0.875,1.125,1.25,0,0,,,
0.75,0.875,1.25,1.375,0,0,,,
0.75,0.875,1.375,1.5,0,0,,,
0.75,0.875,1.5,1.625,0,0,,,
0.75,0.875,1.625,1.75,0,0,,,
0.75,0.875,1.75,1.875,0,0,,,
0.75,0.875,1.875,2,0,0,,,
0.75,0.875,2,2.125,0,0,,,
0.75,0.875,2.125,2.25,0,0,,,
0.75,0.875,2.25,2.375,0,0,,,
0.75,0.875,2.375,2.5,0,0,,,
0.75,0.875,2.5,2.625,0,0,,,
0.75,0.875,2.625,2.75,0,0,,,
0.75,0.875,2.75,2.875,0,0,,,
0.75,0.875,2.875,3,0,0,,,
0.75,0.875,3,3.125,0,0,,,
0.75,0.875,3.125,3.25,0,0,,,
0.75,0.875,3.25,3.375,0,0,,,
0.75,0.875,3.375,3.5,0,0,,,
0.875,1,0,0.125,0,0,,,
0.875,1,0.125,0.25,0,0,,,
0.875,1,0.25,0.375,0,0,,,
0.875,1,0.375,0.5,0,0,,,
0.875,1,0.5,0.625,0,0,,,
0.875,1,0.625,0.75,0,0,,,
0.875,1,0.75,0.875,0,0,,,
0.875,1,0.875,1,0,0,,,
0.875,1,1,1.125,0,0,,,
0.875,1,1.125,1.25,0,0,,,
0.875,1,1.25,1.375,0,0,,,
0.875,1,1.375,1.5,0,0,,,
0.875,1,1.5,1.625,0,0,,,
0.875,1,1.625,1.75,0,0,,,
0.875,1,1.75,1.875,0,0,,,
0.875,1,1.875,2,0,0,,,
0.875,1,2,2.125,0,0,,,
0.875,1,2.125,2.25,0,0,,,
0.875,1,2.25,2.375,0,0,,,
0.875,1,2.375,2.5,0,0,,,
0.875,1,2.5,2.625,0,0,,,
0.875,1,2.625,2.75,0,0,,,
0.875,1,2.75,2.875,0,0,,,
0.875,1,2.875,3,0,0,,,
0.875,1,3,3.125,0,0,,,
0.875,1,3.125,3.25,0,0,,,
0.875,1,3.25,3.375,0,0,,,
0.875,1,3.375,3.5,0,0,,,
1,1.125,0,0.125,0,0,,,
1,1.125,0.125,0.25,0,0,,,
1,1.125,0.25,0.375,0,0,,,
1,1.125,0.375,0.5,0,0,,,
1,1.125,0.5,0.625,0,0,,,
1,1.125,0.625,0.75,0,0,,,
1,1.125,0.75,0.875,0,0,,,
1,1.125,0.875,1,0,0,,,
1,1.125,1,1.125,0,0,,,
1,1.125,1.125,1.25,0,0,,,
1,1.125,1.25,1.375,0,0,,,
1,1.125,1.375,1.5,0,0,,,
1,1.125,1.5,1.625,0,0,,,
1,1.125,1.625,1.75,0,0,,,
1,1.125,1.75,1.875,0,0,,,
1,1.125,1.875,2,0,0,,,
1,1.125,2,2.125,0,0,,,
1,1.125,2.125,2.25,0,0,,,
1,1.125,2.25,2.375,0,0,,,
1,1.125,2.375,2.5,0,0,,,
1,1.125,2.5,2.625,0,0,,,
1,1.125,2.625,2.75,0,0,,,
1,1.125,2.75,2.875,0,0,,,
1,1.125,2.875,3,0,0,,,
1,1.125,3,3.125,0,0,,,
1,1.125,3.125,3.25,0,0,,,
1,1.125,3.25,3.375,0,0,,,
1,1.125,3.375,3.5,0,0,,,
1.125,1.25,0,0.125,0,0,,,
1.125,1.25,0.125,0.25,0,0,,,
1.125,1.25,0.25,0.375,0,0,,,
1.125,1.25,0.375,0.5,0,0,,,
1.125,1.25,0.5,0.625,0,0,,,
1.125,1.25,0.625,0.75,0,0,,,
1.125,1.25,0.75,0.875,0,0,,,
1.125,1.25,0.875,1,0,0,,,
1.125,1.25,1,1.125,0,0,,,
1.125,1.25,1.125,1.25,0,0,,,
1.125,1.25,1.25,1.375,0,0,,,
1.125,1.25,1.375,1.5,0,0,,,
1.125,1.25,1.5,1.625,0,0,,,
1.125,1.25,1.625,1.75,0,0,,,
1.125,1.25,1.75,1.875,0,0,,,
1.125,1.25,1.875,2,0,0,,,
1.125,1.25,2,2.125,0,0,,,
1.125,1.25,2.125,2.25,0,0,,,
1.125,1.25,2.25,2.375,0,0,,,
1.125,1.25,2.375,2.5,0,0,,,
1.125,1.25,2.5,2.625,0,0,,,
1.125,1.25,2.625,2.75,0,0,,,
1.125,1.25,2.75,2.875,0,0,,,
1.125,1.25,2.875,3,0,0,,,
1.125,1.25,3,3.125,0,0,,,
1.125,1.25,3.125,3.25,0,0,,,
1.125,1.25,3.25,3.375,0,0,,,
1.125,1.25,3.375,3.5,0,0,,,
1.25,1.375,0,0.125,0,0,,,
1.25,1.375,0.125,0.25,0,0,,,
1.25,1.375,0.25,0.375,0,0,,,
1.25,1.375,0.375,0.5,0,0,,,
1.25,1.375,0.5,0.625,0,0,,,
1.25,1.375,0.625,0.75,0,0,,,
1.25,1.375,0.75,0.875,0,0,,,
1.25,1.375,0.875,1,0,0,,,
1.25,1.375,1,1.125,0,0,,,
1.25,1.375,1.125,1.25,0,0,,,
1.25,1.375,1.25,1.375,0,0,,,
1.25,1.375,1.375,1.5,0,0,,,
1.25,1.375,1.5,1.625,0,0,,,
1.25,1.375,1.625,1.75,0,0,,,
1.25,1.375,1.75,1.875,0,0,,,
1.25,1.375,1.875,2,0,0,,,
1.25,1.375,2,2.125,0,0,,,
1.25,1.375,2.125,2.25,0,0,,,
1.25,1.375,2.25,2.375,0,0,,,
1.25,1.375,2.375,2.5,0,0,,,
1.25,1.375,2.5,2.625,0,0,,,
1.25,1.375,2.625,2.75,0,0,,,
1.25,1.375,2.75,2.875,0,0,,,
1.25,1.375,2.875,3,0,0,,,
1.25,1.375,3,3.125,0,0,,,
1.25,1.375,3.125,3.25,0,0,,,
1.25,1.375,3.25,3.375,0,0,,,
1.25,1.375,3.375,3.5,0,0,,,
1.375,1.5,0,0.125,0,0,,,
1.375,1.5,0.125,0.25,0,0,,,
1.375,1.5,0.25,0.375,0,0,,,
1.375,1.5,0.375,0.5,0,0,,,
1.375,1.5,0.5,0.625,0,0,,,
1.375,1.5,0.625,0.75,0,0,,,
1.375,1.5,0.75,0.875,0,0,,,
1.375,1.5,0.875,1,0,0,,,
1.375,1.5,1,1.125,0,0,,,
1.375,1.5,1.125,1.25,0,0,,,
1.375,1.5,1.25,1.375,0,0,,,
1.375,1.5,1.375,1.5,0,0,,,
1.375,1.5,1.5,1.625,0,0,,,
1.375,1.5,1.625,1.75,0,0,,,
1.375,1.5,1.75,1.875,0,0,,,
1.375,1.5,1.875,2,0,0,,,
1.375,1.5,2,2.125,0,0,,,
1.375,1.5,2.125,2.25,0,0,,,
1.375,1.5,2.25,2.375,0,0,,,
1.375,1.5,2.375,2.5,0,0,,,
1.375,1.5,2.5,2.625,0,0,,,
1.375,1.5,2.625,2.75,0,0,,,
1.375,1.5,2.75,2.875,0,0,,,
1.375,1.5,2.875,3,0,0,,,
1.375,1.5,3,3.125,0,0,,,
1.375,1.5,3.125,3.25,0,0,,,
1.375,1.5,3.25,3.375,0,0,,,
1.375,1.5,3.375,3.5,0,0,,,
1.5,1.625,0,0.125,0,0,,,
1.5,1.625,0.125,0.25,0,0,,,
1.5,1.625,0.25,0.375,0,0,,,
1.5,1.625,0.375,0.5,0,0,,,
1.5,1.625,0.5,0.625,3,1.40988044214e-05,0.423501670342,0.0648441039716,0.0602100861756
1.5,1.625,0.625,0.75,0,0,,,
1.5,1.625,0.75,0.875,0,0,,,
1.5,1.625,0.875,1,0,0,,,
1.5,1.625,1,1.125,0,0,,,
1.5,1.625,1.125,1.25,0,0,,,
1.5,1.625,1.25,1.375,0,0,,,
1.5,1.625,1.375,1.5,0,0,,,
1.5,1.625,1.5,1.625,0,0,,,
1.5,1.625,1.625,1.75,0,0,,,
1.5,1.625,1.75,1.875,0,0,,,
1.5,1.625,1.875,2,0,0,,,
1.5,1.625,2,2.125,0,0,,,
1.5,1.625,2.125,2.25,0,0,,,
1.5,1.625,2.25,2.375,0,0,,,
1.5,1.625,2.375,2.5,0,0,,,
1.5,1.625,2.5,2.625,0,0,,,
1.5,1.625,2.625,2.75,0,0,,,
1.5,1.625,2.75,2.875,0,0,,,
1.5,1.625,2.875,3,0,0,,,
1.5,1.625,3,3.125,0,0,,,
1.5,1.625,3.125,3.25,0,0,,,
1.5,1.625,3.25,3.375,0,0,,,
1.5,1.625,3.375,3.5,0,0,,,
1.625,1.75,0,0.125,0,0,,,
1.625,1.75,0.125,0.25,0,0,,,
1.625,1.75,0.25,0.375,0,0,,,
1.625,1.75,0.375,0.5,0,0,,,
1.625,1.75,0.5,0.625,15,7.04940221069e-05,0.427877408417,0.0593353190303,0.0513034842371
1.625,1.75,0.625,0.75,0,0,,,
1.625,1.75,0.75,0.875,0,0,,,
1.625,1.75,0.875,1,0,0,,,
1.625,1.75,1,1.125,20,9.39920294759e-05,0.729894794171,0.0710779253057,0.0516244215561
1.625,1.75,1.125,1.25,0,0,,,
1.625,1.75,1.25,1.375,0,0,,,
1.625,1.75,1.375,1.5,0,0,,,
1.625,1.75,1.5,1.625,17,7.98932250545e-05,0.936275169117,0.0623208204975,0.0205754233522
1.625,1.75,1.625,1.75,0,0,,,
1.625,1.75,1.75,1.875,0,0,,,
1.625,1.75,1.875,2,0,0,,,
1.625,1.75,2,2.125,20,9.39920294759e-05,1.07459726914,0.047737439074,0.00890264594406
1.625,1.75,2.125,2.25,0,0,,,
1.625,1.75,2.25,2.375,0,0,,,
1.625,1.75,2.375,2.5,0,0,,,
1.625,1.75,2.5,2.625,0,0,,,
1.625,1.75,2.625,2.75,0,0,,,
1.625,1.75,2.75,2.875,0,0,,,
1.625,1.75,2.875,3,0,0,,,
1.625,1.75,3,3.125,0,0,,,
1.625,1.75,3.125,3.25,0,0,,,
1.625,1.75,3.25,3.375,0,0,,,
1.625,1.75,3.375,3.5,0,0,,,
1.75,1.875,0,0.125,2,9.39920294759e-06,0,0,0.0136210165255
1.75,1.875,0.125,0.25,0,0,,,
1.75,1.875,0.25,0.375,0,0,,,
1.75,1.875,0.375,0.5,0,0,,,
1.75,1.875,0.5,0.625,93,0.000437062937063,0.43280477419,0.0528605167177,0.0413128322795
1.75,1.875,0.625,0.75,0,0,,,
1.75,1.875,0.75,0.875,0,0,,,
1.75,1.875,0.875,1,0,0,,,
1.75,1.875,1,1.125,155,0.000728438228438,0.744354702955,0.0653299745343,0.0413008485793
1.75,1.875,1.125,1.25,0,0,,,
1.75,1.875,1.25,1.375,0,0,,,
1.75,1.875,1.375,1.5,0,0,,,
1.75,1.875,1.5,1.625,136,0.000639145800436,0.962151148541,0.0582976456081,0.0330059360504
1.75,1.875,1.625,1.75,0,0,,,
1.75,1.875,1.75,1.875,0,0,,,
1.75,1.875,1.875,2,0,0,,,
1.75,1.875,2,2.125,64,0.000300774494323,1.11835476585,0.0448111346381,0.0163623117413
1.75,1.875,2.125,2.25,0,0,,,
1.75,1.875,2.25,2.375,0,0,,,
1.75,1.875,2.375,2.5,0,0,,,
1.75,1.875,2.5,2.625,12,5.63952176855e-05,1.24376418945,0.0315610008527,0.0194026809633
1.75,1.875,2.625,2.75,0,0,,,
1.75,1.875,2.75,2.875,0,0,,,
1.75,1.875,2.875,3,0,0,,,
1.75,1.875,3,3.125,12,5.63952176855e-05,1.31674112316,0.0217718446484,0.0021088267088
1.75,1.875,3.125,3.25,0,0,,,
1.75,1.875,3.25,3.375,0,0,,,
1.75,1.875,3.375,3.5,18,8.45928265283e-05,1.3739632411,0.0144644088492,-0.000481628174776
1.875,2,0,0.125,371,0.00174355214678,0,0,0.0179200249841
1.875,2,0.125,0.25,0,0,,,
1.875,2,0.25,0.375,0,0,,,
1.875,2,0.375,0.5,0,0,,,
1.875,2,0.5,0.625,555,0.00260827881796,0.436950611501,0.0472339844359,0.0342206602112
1.875,2,0.625,0.75,0,0,,,
1.875,2,0.75,0.875,0,0,,,
1.875,2,0.875,1,0,0,,,
1.875,2,1,1.125,543,0.00255188360027,0.758517652353,0.0594149238927,0.0310491577226
1.875,2,1.125,1.25,0,0,,,
1.875,2,1.25,1.375,0,0,,,
1.875,2,1.375,1.5,0,0,,,
1.875,2,1.5,1.625,509,0.00239209715016,0.990496283808,0.0535461179076,0.0246718027081
1.875,2,1.625,1.75,0,0,,,
1.875,2,1.75,1.875,0,0,,,
1.875,2,1.875,2,0,0,,,
1.875,2,2,2.125,349,0.00164016091435,1.1558331278,0.0420235018328,0.0154359677162
1.875,2,2.125,2.25,0,0,,,
1.875,2,2.25,2.375,0,0,,,
1.875,2,2.375,2.5,0,0,,,
1.875,2,2.5,2.625,219,0.00102921272276,1.28066791174,0.0302498047258,0.00432509577656
1.875,2,2.625,2.75,0,0,,,
1.875,2,2.75,2.875,0,0,,,
1.875,2,2.875,3,0,0,,,
1.875,2,3,3.125,157,0.000737837431386,1.3753128127,0.0207822892006,-0.00542107060177
1.875,2,3.125,3.25,0,0,,,
1.875,2,3.25,3.375,0,0,,,
1.875,2,3.375,3.5,78,0.000366568914956,1.44458355059,0.0138866824038,-0.0144715329561
2,2.125,0,0.125,833,0.00391476802767,0,0,0.0191193261633
2,2.125,0.125,0.25,0,0,,,
2,2.125,0.25,0.375,0,0,,,
2,2.125,0.375,0.5,0,0,,,
2,2.125,0.5,0.625,1394,0.00655124445447,0.440460090013,0.0423684784983,0.0362197103014
2,2.125,0.625,0.75,0,0,,,
2,2.125,0.75,0.875,0,0,,,
2,2.125,0.875,1,0,0,,,
2,2.125,1,1.125,982,0.00461500864727,0.770502845683,0.0542097272607,0.0367154531413
2,2.125,1.125,1.25,0,0,,,
2,2.125,1.25,1.375,0,0,,,
2,2.125,1.375,1.5,0,0,,,
2,2.125,1.5,1.625,727,0.00341661027145,1.01253031543,0.0496273089791,0.024031568098
2,2.125,1.625,1.75,0,0,,,
2,2.125,1.75,1.875,0,0,,,
2,2.125,1.875,2,0,0,,,
2,2.125,2,2.125,697,0.00327562222724,1.18960925443,0.0393117418095,0.0102610022955
2,2.125,2.125,2.25,0,0,,,
2,2.125,2.25,2.375,0,0,,,
2,2.125,2.375,2.5,0,0,,,
2,2.125,2.5,2.625,644,0.00302654334912,1.32382614173,0.0285926902088,0.00397434091923
2,2.125,2.625,2.75,0,0,,,
2,2.125,2.75,2.875,0,0,,,
2,2.125,2.875,3,0,0,,,
2,2.125,3,3.125,437,0.00205372584405,1.42660521986,0.0198105125481,-0.00253499197516
2,2.125,3.125,3.25,0,0,,,
2,2.125,3.25,3.375,0,0,,,
2,2.125,3.375,3.5,201,0.000944619896233,1.5050664383,0.0133136956015,-0.00374866087565
2.125,2.25,0,0.125,764,0.00359049552598,0,0,0.0161671245109
2.125,2.25,0.125,0.25,0,0,,,
2.125,2.25,0.25,0.375,0,0,,,
2.125,2.25,0.375,0.5,0,0,,,
2.125,2.25,0.5,0.625,1430,0.00672043010753,0.443454983852,0.0381732189725,0.0304685464692
2.125,2.25,0.625,0.75,0,0,,,
2.125,2.25,0.75,0.875,0,0,,,
2.125,2.25,0.875,1,0,0,,,
2.125,2.25,1,1.125,1253,0.00588860064667,0.782121599712,0.049030131157,0.0301600406153
2.125,2.25,1.125,1.25,0,0,,,
2.125,2.25,1.25,1.375,0,0,,,
2.125,2.25,1.375,1.5,0,0,,,
2.125,2.25,1.5,1.625,1109,0.00521185803444,1.03523793713,0.0454194772302,0.023914790423
2.125,2.25,1.625,1.75,0,0,,,
2.125,2.25,1.75,1.875,0,0,,,
2.125,2.25,1.875,2,0,0,,,
2.125,2.25,2,2.125,904,0.00424843973231,1.22362331198,0.0364150348927,0.0160971687863
2.125,2.25,2.125,2.25,0,0,,,
2.125,2.25,2.25,2.375,0,0,,,
2.125,2.25,2.375,2.5,0,0,,,
2.125,2.25,2.5,2.625,662,0.00311113617565,1.36451982566,0.0269141530911,0.00785898066842
2.125,2.25,2.625,2.75,0,0,,,
2.125,2.25,2.75,2.875,0,0,,,
2.125,2.25,2.875,3,0,0,,,
2.125,2.25,3,3.125,399,0.00187514098804,1.47235282681,0.0188684572539,0.00147988273939
2.125,2.25,3.125,3.25,0,0,,,
2.125,2.25,3.25,3.375,0,0,,,
2.125,2.25,3.375,3.5,196,0.000921121888864,1.55747962419,0.0127640077601,-0.00642929337225
2.25,2.375,0,0.125,836,0.00392886683209,0,0,0.0175310673435
2.25,2.375,0.125,0.25,0,0,,,
2.25,2.375,0.25,0.375,0,0,,,
2.25,2.375,0.375,0.5,0,0,,,
2.25,2.375,0.5,0.625,1399,0.00657474246184,0.446490640174,0.0339094517503,0.0304105860174
2.25,2.375,0.625,0.75,0,0,,,
2.25,2.375,0.75,0.875,0,0,,,
2.25,2.375,0.875,1,0,0,,,
2.25,2.375,1,1.125,1209,0.00568181818182,0.792993275648,0.0441001968542,0.0290103754256
2.25,2.375,1.125,1.25,0,0,,,
2.25,2.375,1.25,1.375,0,0,,,
2.25,2.375,1.375,1.5,0,0,,,
2.25,2.375,1.5,1.625,905,0.00425313933378,1.05573033239,0.0414994557677,0.0198605697873
2.25,2.375,1.625,1.75,0,0,,,
2.25,2.375,1.75,1.875,0,0,,,
2.25,2.375,1.875,2,0,0,,,
2.25,2.375,2,2.125,736,0.00345890668471,1.25547403865,0.0335724180951,0.0107715130801
2.25,2.375,2.125,2.25,0,0,,,
2.25,2.375,2.25,2.375,0,0,,,
2.25,2.375,2.375,2.5,0,0,,,
2.25,2.375,2.5,2.625,589,0.00276806526807,1.40624812866,0.0250905603055,0.00257866329177
2.25,2.375,2.625,2.75,0,0,,,
2.25,2.375,2.75,2.875,0,0,,,
2.25,2.375,2.875,3,0,0,,,
2.25,2.375,3,3.125,414,0.00194563501015,1.52281660266,0.017755303842,-0.00185017995473
2.25,2.375,3.125,3.25,0,0,,,
2.25,2.375,3.25,3.375,0,0,,,
2.25,2.375,3.375,3.5,223,0.00104801112866,1.61734922929,0.0120821130022,-0.00348633661529
2.375,2.5,0,0.125,678,0.00318632979923,0,0,0.013204577983
2.375,2.5,0.125,0.25,0,0,,,
2.375,2.5,0.25,0.375,0,0,,,
2.375,2.5,0.375,0.5,0,0,,,
2.375,2.5,0.5,0.625,1243,0.00584160463193,0.449244341914,0.0300615974299,0.025036744437
2.375,2.5,0.625,0.75,0,0,,,
2.375,2.5,0.75,0.875,0,0,,,
2.375,2.5,0.875,1,0,0,,,
2.375,2.5,1,1.125,1098,0.00516016241823,0.802670211039,0.0396789834801,0.0258035749389
2.375,2.5,1.125,1.25,0,0,,,
2.375,2.5,1.25,1.375,0,0,,,
2.375,2.5,1.375,1.5,0,0,,,
