pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
10,1,2,11.4705489311,12.2727525706,1.06993594154,0.00116858128903
11,1,2,11.4720686798,12.2884178762,1.07115972012,0.00120890400432
12,1,2,12.3780135765,12.7006240938,1.02606318981,0.000166928224562
13,1,2,11.2446324589,12.2148772246,1.0862851471,0.00176069683104
14,1,2,11.2884618713,12.2109515592,1.08171969737,0.00158380511965
15,1,2,11.4699757946,12.2753048011,1.07021191857,0.00117761748394
16,1,2,11.3339129205,12.2227268845,1.07842075109,0.00146152380969
17,1,2,12.3725591973,12.5754790314,1.01640079719,6.65201996623e-05
18,1,2,11.4172189892,12.2793944117,1.07551536178,0.00135770438585
19,1,2,12.1274913495,12.4794148326,1.02901865464,0.000206534525226
20,1,2,11.2328063286,12.3720021115,1.10141684541,0.00240972656865
21,1,2,11.2669124892,12.3666328573,1.09760618707,0.0022372860942
22,1,2,12.2919349085,12.7020381599,1.03336360422,0.000272243709757
23,1,2,11.3036215083,12.2292571126,1.08188841105,0.00159018403015
24,1,2,12.8878467765,12.8606303199,0.997888207621,1.1164889015e-06
25,1,2,11.3473314314,12.211414016,1.07614852795,0.00138001930412
26,1,2,12.2146974263,12.6838256093,1.03840686074,0.000359593381962
27,1,2,11.4529028443,12.2754768069,1.07182231211,0.00123100841436
28,1,2,11.2977307812,12.2154894793,1.08123389695,0.00156550539554
29,1,2,11.17865641,12.3720333431,1.10675495241,0.00266134252898
30,1,2,12.9179046225,13.0378108571,1.0092821737,2.14073181688e-05
31,1,2,11.4161289985,12.1358322999,1.06304267423,0.000953715293371
32,1,2,12.4268117067,12.4031521268,0.998096086068,9.07373956238e-07
33,1,2,11.5373891921,12.1279253812,1.05118455998,0.000633439667184
34,1,2,11.3981684776,12.131885257,1.06437146291,0.000993506821038
35,1,2,11.5132245982,12.2735720662,1.06604122603,0.00104461373007
36,1,2,13.3992885196,12.9251870819,0.964617417031,0.000320566160017
37,1,2,11.2469382881,12.3667949266,1.09956991047,0.00232539880226
38,1,2,11.2173032972,12.3548810589,1.10141276665,0.0024095387889
39,1,2,11.3258847867,12.216645858,1.07864825468,0.00146980675339
40,1,2,11.2546081987,12.3746911745,1.09952216514,0.00232323751996
41,1,2,11.27255849,12.2153252793,1.08363378997,0.001656888081
42,1,2,11.2876235424,12.2100977374,1.08172439411,0.00158398253476
43,1,2,12.261408536,12.6619652226,1.03266808095,0.000261129039733
44,1,2,12.1520281129,12.4764668843,1.02669832298,0.000175090533252
45,1,2,12.16242924,12.4764993695,1.02582297692,0.000163891086283
46,1,2,11.1932746939,12.200316524,1.08996847282,0.00190985050799
47,1,2,11.3395474232,12.2325702063,1.07875294752,0.00147362588022
48,1,2,12.4496461107,12.5534709497,1.00833958155,1.72910880139e-05
49,1,2,13.2176641529,12.6892169273,0.960019620748,0.000410588598984
50,1,2,12.3497378951,12.6842332506,1.02708521901,0.000180156458987
