key,day,hour,minute,slot_in_day,n_obs,n_miss,n_valid,pct_miss,slot_idx
2024_07_y24m07day06_hm01:53,6,1,53,113,18126,609,17517,3.36,1
2024_07_y24m07day06_hm02:53,6,2,53,173,18126,1541,16585,8.5,2
2024_07_y24m07day06_hm03:53,6,3,53,233,18126,1544,16582,8.52,3
2024_07_y24m07day06_hm04:48,6,4,48,288,18126,1423,16703,7.85,4
2024_07_y24m07day06_hm05:48,6,5,48,348,18126,451,17675,2.49,5
2024_07_y24m07day06_hm06:48,6,6,48,408,18126,30,18096,0.17,6
2024_07_y24m07day06_hm07:48,6,7,48,468,18126,24,18102,0.13,7
2024_07_y24m07day07_hm00:53,7,0,53,53,18126,56,18070,0.31,0
2024_07_y24m07day07_hm01:53,7,1,53,113,18126,498,17628,2.75,1
2024_07_y24m07day07_hm02:53,7,2,53,173,18126,1080,17046,5.96,2
2024_07_y24m07day07_hm03:53,7,3,53,233,18126,1114,17012,6.15,3
2024_07_y24m07day07_hm04:48,7,4,48,288,18126,960,17166,5.3,4
2024_07_y24m07day07_hm05:48,7,5,48,348,18126,537,17589,2.96,5
2024_07_y24m07day07_hm06:48,7,6,48,408,18126,34,18092,0.19,6
2024_07_y24m07day07_hm07:48,7,7,48,468,18126,20,18106,0.11,7
2024_07_y24m07day08_hm00:53,8,0,53,53,18126,60,18066,0.33,0
2024_07_y24m07day08_hm01:53,8,1,53,113,18126,319,17807,1.76,1
2024_07_y24m07day08_hm02:53,8,2,53,173,18126,1645,16481,9.08,2
2024_07_y24m07day08_hm03:53,8,3,53,233,18126,1764,16362,9.73,3
2024_07_y24m07day08_hm04:48,8,4,48,288,18126,1565,16561,8.63,4
2024_07_y24m07day08_hm05:48,8,5,48,348,18126,1114,17012,6.15,5
2024_07_y24m07day08_hm06:48,8,6,48,408,18126,24,18102,0.13,6
2024_07_y24m07day08_hm07:48,8,7,48,468,18126,24,18102,0.13,7
2024_07_y24m07day09_hm00:53,9,0,53,53,18126,66,18060,0.36,0
2024_07_y24m07day09_hm01:53,9,1,53,113,18126,1130,16996,6.23,1
2024_07_y24m07day09_hm02:53,9,2,53,173,18126,1461,16665,8.06,2
2024_07_y24m07day09_hm03:53,9,3,53,233,18126,1425,16701,7.86,3
2024_07_y24m07day09_hm04:48,9,4,48,288,18126,1308,16818,7.22,4
2024_07_y24m07day09_hm05:48,9,5,48,348,18126,473,17653,2.61,5
2024_07_y24m07day09_hm06:48,9,6,48,408,18126,17,18109,0.09,6
2024_07_y24m07day09_hm07:48,9,7,48,468,18126,25,18101,0.14,7
2024_07_y24m07day10_hm00:53,10,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day10_hm01:53,10,1,53,113,18126,2023,16103,11.16,1
2024_07_y24m07day10_hm02:53,10,2,53,173,18126,3643,14483,20.1,2
2024_07_y24m07day10_hm03:53,10,3,53,233,18126,3273,14853,18.06,3
2024_07_y24m07day10_hm04:48,10,4,48,288,18126,2869,15257,15.83,4
2024_07_y24m07day10_hm05:48,10,5,48,348,18126,1182,16944,6.52,5
2024_07_y24m07day10_hm06:48,10,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day10_hm07:48,10,7,48,468,18126,28,18098,0.15,7
2024_07_y24m07day11_hm00:53,11,0,53,53,18126,57,18069,0.31,0
2024_07_y24m07day11_hm01:53,11,1,53,113,18126,920,17206,5.08,1
2024_07_y24m07day11_hm02:53,11,2,53,173,18126,3742,14384,20.64,2
2024_07_y24m07day11_hm03:53,11,3,53,233,18126,4186,13940,23.09,3
2024_07_y24m07day11_hm04:48,11,4,48,288,18126,4504,13622,24.85,4
2024_07_y24m07day11_hm05:48,11,5,48,348,18126,2401,15725,13.25,5
2024_07_y24m07day11_hm06:48,11,6,48,408,18126,23,18103,0.13,6
2024_07_y24m07day11_hm07:48,11,7,48,468,18126,31,18095,0.17,7
2024_07_y24m07day12_hm00:53,12,0,53,53,18126,56,18070,0.31,0
2024_07_y24m07day12_hm01:53,12,1,53,113,18126,56,18070,0.31,1
2024_07_y24m07day12_hm02:53,12,2,53,173,18126,346,17780,1.91,2
2024_07_y24m07day12_hm03:53,12,3,53,233,18126,375,17751,2.07,3
2024_07_y24m07day12_hm04:48,12,4,48,288,18126,492,17634,2.71,4
2024_07_y24m07day12_hm05:48,12,5,48,348,18126,369,17757,2.04,5
2024_07_y24m07day12_hm06:48,12,6,48,408,18126,27,18099,0.15,6
2024_07_y24m07day12_hm07:48,12,7,48,468,18126,33,18093,0.18,7
2024_07_y24m07day13_hm00:53,13,0,53,53,18126,57,18069,0.31,0
2024_07_y24m07day13_hm01:53,13,1,53,113,18126,194,17932,1.07,1
2024_07_y24m07day13_hm02:53,13,2,53,173,18126,766,17360,4.23,2
2024_07_y24m07day13_hm03:53,13,3,53,233,18126,895,17231,4.94,3
2024_07_y24m07day13_hm04:48,13,4,48,288,18126,814,17312,4.49,4
2024_07_y24m07day13_hm05:48,13,5,48,348,18126,987,17139,5.45,5
2024_07_y24m07day13_hm06:48,13,6,48,408,18126,24,18102,0.13,6
2024_07_y24m07day13_hm07:48,13,7,48,468,18126,29,18097,0.16,7
2024_07_y24m07day14_hm00:53,14,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day14_hm01:53,14,1,53,113,18126,57,18069,0.31,1
2024_07_y24m07day14_hm02:53,14,2,53,173,18126,189,17937,1.04,2
2024_07_y24m07day14_hm03:53,14,3,53,233,18126,196,17930,1.08,3
2024_07_y24m07day14_hm04:48,14,4,48,288,18126,209,17917,1.15,4
2024_07_y24m07day14_hm05:48,14,5,48,348,18126,173,17953,0.95,5
2024_07_y24m07day14_hm06:48,14,6,48,408,18126,20,18106,0.11,6
2024_07_y24m07day14_hm07:48,14,7,48,468,18126,28,18098,0.15,7
2024_07_y24m07day15_hm00:53,15,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day15_hm01:53,15,1,53,113,18126,50,18076,0.28,1
2024_07_y24m07day15_hm02:53,15,2,53,173,18126,270,17856,1.49,2
2024_07_y24m07day15_hm03:53,15,3,53,233,18126,230,17896,1.27,3
2024_07_y24m07day15_hm04:48,15,4,48,288,18126,268,17858,1.48,4
2024_07_y24m07day15_hm05:48,15,5,48,348,18126,299,17827,1.65,5
2024_07_y24m07day15_hm06:48,15,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day15_hm07:48,15,7,48,468,18126,26,18100,0.14,7
2024_07_y24m07day16_hm00:53,16,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day16_hm01:53,16,1,53,113,18126,52,18074,0.29,1
2024_07_y24m07day16_hm02:53,16,2,53,173,18126,315,17811,1.74,2
2024_07_y24m07day16_hm03:53,16,3,53,233,18126,280,17846,1.54,3
2024_07_y24m07day16_hm04:48,16,4,48,288,18126,217,17909,1.2,4
2024_07_y24m07day16_hm05:48,16,5,48,348,18126,231,17895,1.27,5
2024_07_y24m07day16_hm06:48,16,6,48,408,18126,19,18107,0.1,6
2024_07_y24m07day16_hm07:48,16,7,48,468,18126,25,18101,0.14,7
2024_07_y24m07day17_hm00:53,17,0,53,53,18126,57,18069,0.31,0
2024_07_y24m07day17_hm01:53,17,1,53,113,18126,86,18040,0.47,1
2024_07_y24m07day17_hm02:53,17,2,53,173,18126,492,17634,2.71,2
2024_07_y24m07day17_hm03:53,17,3,53,233,18126,530,17596,2.92,3
2024_07_y24m07day17_hm04:48,17,4,48,288,18126,528,17598,2.91,4
2024_07_y24m07day17_hm05:48,17,5,48,348,18126,502,17624,2.77,5
2024_07_y24m07day17_hm06:48,17,6,48,408,18126,20,18106,0.11,6
2024_07_y24m07day17_hm07:48,17,7,48,468,18126,26,18100,0.14,7
2024_07_y24m07day18_hm00:53,18,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day18_hm01:53,18,1,53,113,18126,72,18054,0.4,1
2024_07_y24m07day18_hm02:53,18,2,53,173,18126,307,17819,1.69,2
2024_07_y24m07day18_hm03:53,18,3,53,233,18126,304,17822,1.68,3
2024_07_y24m07day18_hm04:48,18,4,48,288,18126,294,17832,1.62,4
2024_07_y24m07day18_hm05:48,18,5,48,348,18126,220,17906,1.21,5
2024_07_y24m07day18_hm06:48,18,6,48,408,18126,19,18107,0.1,6
2024_07_y24m07day18_hm07:48,18,7,48,468,18126,24,18102,0.13,7
2024_07_y24m07day19_hm00:53,19,0,53,53,18126,59,18067,0.33,0
2024_07_y24m07day19_hm01:53,19,1,53,113,18126,83,18043,0.46,1
2024_07_y24m07day19_hm02:53,19,2,53,173,18126,288,17838,1.59,2
2024_07_y24m07day19_hm03:53,19,3,53,233,18126,374,17752,2.06,3
2024_07_y24m07day19_hm04:48,19,4,48,288,18126,313,17813,1.73,4
2024_07_y24m07day19_hm05:48,19,5,48,348,18126,331,17795,1.83,5
2024_07_y24m07day19_hm06:48,19,6,48,408,18126,17,18109,0.09,6
2024_07_y24m07day19_hm07:48,19,7,48,468,18126,23,18103,0.13,7
2024_07_y24m07day20_hm00:53,20,0,53,53,18126,61,18065,0.34,0
2024_07_y24m07day20_hm01:53,20,1,53,113,18126,100,18026,0.55,1
2024_07_y24m07day20_hm02:53,20,2,53,173,18126,167,17959,0.92,2
2024_07_y24m07day20_hm03:53,20,3,53,233,18126,153,17973,0.84,3
2024_07_y24m07day20_hm04:48,20,4,48,288,18126,145,17981,0.8,4
2024_07_y24m07day20_hm05:48,20,5,48,348,18126,44,18082,0.24,5
2024_07_y24m07day20_hm06:48,20,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day20_hm07:48,20,7,48,468,18126,20,18106,0.11,7
2024_07_y24m07day21_hm00:53,21,0,53,53,18126,59,18067,0.33,0
2024_07_y24m07day21_hm01:53,21,1,53,113,18126,146,17980,0.81,1
2024_07_y24m07day21_hm02:53,21,2,53,173,18126,216,17910,1.19,2
2024_07_y24m07day21_hm03:53,21,3,53,233,18126,191,17935,1.05,3
2024_07_y24m07day21_hm04:48,21,4,48,288,18126,175,17951,0.97,4
2024_07_y24m07day21_hm05:48,21,5,48,348,18126,211,17915,1.16,5
2024_07_y24m07day21_hm06:48,21,6,48,408,18126,26,18100,0.14,6
2024_07_y24m07day21_hm07:48,21,7,48,468,18126,20,18106,0.11,7
2024_07_y24m07day22_hm00:53,22,0,53,53,18126,61,18065,0.34,0
2024_07_y24m07day22_hm01:53,22,1,53,113,18126,218,17908,1.2,1
2024_07_y24m07day22_hm02:53,22,2,53,173,18126,359,17767,1.98,2
2024_07_y24m07day22_hm03:53,22,3,53,233,18126,259,17867,1.43,3
2024_07_y24m07day22_hm04:48,22,4,48,288,18126,259,17867,1.43,4
2024_07_y24m07day22_hm05:48,22,5,48,348,18126,195,17931,1.08,5
2024_07_y24m07day22_hm06:48,22,6,48,408,18126,16,18110,0.09,6
2024_07_y24m07day22_hm07:48,22,7,48,468,18126,20,18106,0.11,7
2024_07_y24m07day23_hm00:53,23,0,53,53,18126,61,18065,0.34,0
2024_07_y24m07day23_hm01:53,23,1,53,113,18126,323,17803,1.78,1
2024_07_y24m07day23_hm02:53,23,2,53,173,18126,1272,16854,7.02,2
2024_07_y24m07day23_hm03:53,23,3,53,233,18126,1075,17051,5.93,3
2024_07_y24m07day23_hm04:48,23,4,48,288,18126,848,17278,4.68,4
2024_07_y24m07day23_hm05:48,23,5,48,348,18126,524,17602,2.89,5
2024_07_y24m07day23_hm06:48,23,6,48,408,18126,20,18106,0.11,6
2024_07_y24m07day23_hm07:48,23,7,48,468,18126,23,18103,0.13,7
2024_07_y24m07day24_hm00:53,24,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day24_hm01:53,24,1,53,113,18126,1298,16828,7.16,1
2024_07_y24m07day24_hm02:53,24,2,53,173,18126,1607,16519,8.87,2
2024_07_y24m07day24_hm03:53,24,3,53,233,18126,1180,16946,6.51,3
2024_07_y24m07day24_hm04:48,24,4,48,288,18126,798,17328,4.4,4
2024_07_y24m07day24_hm05:48,24,5,48,348,18126,49,18077,0.27,5
2024_07_y24m07day24_hm06:48,24,6,48,408,18126,27,18099,0.15,6
2024_07_y24m07day24_hm07:48,24,7,48,468,18126,28,18098,0.15,7
2024_07_y24m07day25_hm00:53,25,0,53,53,18126,59,18067,0.33,0
2024_07_y24m07day25_hm01:53,25,1,53,113,18126,52,18074,0.29,1
2024_07_y24m07day25_hm02:53,25,2,53,173,18126,94,18032,0.52,2
2024_07_y24m07day25_hm03:53,25,3,53,233,18126,63,18063,0.35,3
2024_07_y24m07day25_hm04:48,25,4,48,288,18126,65,18061,0.36,4
2024_07_y24m07day25_hm05:48,25,5,48,348,18126,70,18056,0.39,5
2024_07_y24m07day25_hm06:48,25,6,48,408,18126,33,18093,0.18,6
2024_07_y24m07day25_hm07:48,25,7,48,468,18126,36,18090,0.2,7
2024_07_y24m07day26_hm00:53,26,0,53,53,18126,61,18065,0.34,0
2024_07_y24m07day26_hm01:53,26,1,53,113,18126,49,18077,0.27,1
2024_07_y24m07day26_hm02:53,26,2,53,173,18126,54,18072,0.3,2
2024_07_y24m07day26_hm03:53,26,3,53,233,18126,39,18087,0.22,3
2024_07_y24m07day26_hm04:48,26,4,48,288,18126,38,18088,0.21,4
2024_07_y24m07day26_hm05:48,26,5,48,348,18126,41,18085,0.23,5
2024_07_y24m07day26_hm06:48,26,6,48,408,18126,27,18099,0.15,6
2024_07_y24m07day26_hm07:48,26,7,48,468,18126,30,18096,0.17,7
2024_07_y24m07day27_hm00:53,27,0,53,53,18126,57,18069,0.31,0
2024_07_y24m07day27_hm01:53,27,1,53,113,18126,66,18060,0.36,1
2024_07_y24m07day27_hm02:53,27,2,53,173,18126,72,18054,0.4,2
2024_07_y24m07day27_hm03:53,27,3,53,233,18126,44,18082,0.24,3
2024_07_y24m07day27_hm04:48,27,4,48,288,18126,59,18067,0.33,4
2024_07_y24m07day27_hm05:48,27,5,48,348,18126,37,18089,0.2,5
2024_07_y24m07day27_hm06:48,27,6,48,408,18126,23,18103,0.13,6
2024_07_y24m07day27_hm07:48,27,7,48,468,18126,27,18099,0.15,7
2024_07_y24m07day28_hm00:53,28,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day28_hm01:53,28,1,53,113,18126,51,18075,0.28,1
2024_07_y24m07day28_hm02:53,28,2,53,173,18126,220,17906,1.21,2
2024_07_y24m07day28_hm03:53,28,3,53,233,18126,148,17978,0.82,3
2024_07_y24m07day28_hm04:48,28,4,48,288,18126,148,17978,0.82,4
2024_07_y24m07day28_hm05:48,28,5,48,348,18126,160,17966,0.88,5
2024_07_y24m07day28_hm06:48,28,6,48,408,18126,26,18100,0.14,6
2024_07_y24m07day28_hm07:48,28,7,48,468,18126,25,18101,0.14,7
2024_07_y24m07day29_hm00:53,29,0,53,53,18126,58,18068,0.32,0
2024_07_y24m07day29_hm01:53,29,1,53,113,18126,50,18076,0.28,1
2024_07_y24m07day29_hm02:53,29,2,53,173,18126,45,18081,0.25,2
2024_07_y24m07day29_hm03:53,29,3,53,233,18126,33,18093,0.18,3
2024_07_y24m07day29_hm04:48,29,4,48,288,18126,37,18089,0.2,4
2024_07_y24m07day29_hm05:48,29,5,48,348,18126,47,18079,0.26,5
2024_07_y24m07day29_hm06:48,29,6,48,408,18126,22,18104,0.12,6
2024_07_y24m07day29_hm07:48,29,7,48,468,18126,23,18103,0.13,7
2024_07_y24m07day30_hm00:53,30,0,53,53,18126,59,18067,0.33,0
2024_07_y24m07day30_hm01:53,30,1,53,113,18126,54,18072,0.3,1
2024_07_y24m07day30_hm02:53,30,2,53,173,18126,186,17940,1.03,2
2024_07_y24m07day30_hm03:53,30,3,53,233,18126,117,18009,0.65,3
2024_07_y24m07day30_hm04:48,30,4,48,288,18126,89,18037,0.49,4
2024_07_y24m07day30_hm05:48,30,5,48,348,18126,82,18044,0.45,5
2024_07_y24m07day30_hm06:48,30,6,48,408,18126,19,18107,0.1,6
2024_07_y24m07day30_hm07:48,30,7,48,468,18126,31,18095,0.17,7
2024_07_y24m07day31_hm00:53,31,0,53,53,18126,117,18009,0.65,0
2024_07_y24m07day31_hm01:53,31,1,53,113,18126,141,17985,0.78,1
2024_07_y24m07day31_hm02:53,31,2,53,173,18126,82,18044,0.45,2
2024_07_y24m07day31_hm03:53,31,3,53,233,18126,63,18063,0.35,3
2024_07_y24m07day31_hm04:48,31,4,48,288,18126,105,18021,0.58,4
2024_07_y24m07day31_hm05:48,31,5,48,348,18126,126,18000,0.7,5
2024_07_y24m07day31_hm06:48,31,6,48,408,18126,148,17978,0.82,6
2024_07_y24m07day31_hm07:48,31,7,48,468,18126,178,17948,0.98,7
