iter,model,lag2_nbs,limit_A,limit_B,limit_C,extra_current_nbs,lag1_ratio,lag2_ratio,is_quarter_baseline,is_half_baseline,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
6,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.429216,0.083355,0.074758,0.124748,0.084804,0.043876,1.342,98.481,0.0,99.823,1,9.724584,0.2712,0.367036,1.750504,0.078528,-0.111068,2.39031
6,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.422609,0.080613,0.073331,0.093216,0.094624,0.052535,1.387,83.417,0.0,84.804,2,9.919625,0.269823,0.369148,1.813568,0.080146,-0.10914,2.368663
6,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.406434,0.053256,0.060623,0.077263,0.020335,0.045067,1.231,102.934,0.0,104.165,1,9.853472,0.275743,0.373853,1.845474,0.078871,-0.122843,2.387334
6,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.405021,0.081677,0.081116,0.101158,0.083902,0.051441,1.274,75.433,0.0,76.707,1,9.783327,0.27352,0.357144,1.797684,0.083062,-0.111848,2.371398
6,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.398166,0.062061,0.066894,0.09254,0.035545,0.049454,1.339,69.861,0.0,71.201,1,9.794705,0.272932,0.372108,1.81492,0.082459,-0.120988,2.376365
6,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.400487,0.068919,0.061851,0.056751,0.092473,0.03807,1.28,73.008,0.0,74.288,1,9.826888,0.277311,0.370451,1.886498,0.082113,-0.109862,2.404825
7,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.544532,0.12448,0.16346,0.132485,0.053061,0.071602,1.238,111.894,0.0,113.132,1,10.257116,0.364894,0.472338,2.26497,0.078958,-0.135312,2.679006
7,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.423534,0.078206,0.106272,0.077767,0.022049,0.04373,1.298,83.589,0.0,84.888,1,10.149152,0.337611,0.453578,2.155534,0.077973,-0.128291,2.609324
7,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.414385,0.069075,0.083324,0.093428,0.035181,0.036962,1.29,76.204,0.0,77.494,1,10.168518,0.334627,0.433994,2.186856,0.077467,-0.130835,2.592404
7,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.397949,0.054825,0.060019,0.084345,0.035453,0.024611,1.347,64.663,0.0,66.01,1,9.98659,0.325036,0.42479,2.168689,0.076022,-0.126805,2.561528
7,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.396809,0.05268,0.04712,0.043447,0.073569,0.007299,1.288,73.824,0.0,75.111,1,10.139791,0.316399,0.423588,2.086893,0.071684,-0.125459,2.518249
7,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.391788,0.036207,0.047768,0.043154,0.012881,0.011713,1.276,75.599,0.0,76.875,4,10.030486,0.316713,0.424438,2.086308,0.080021,-0.123705,2.529282
7,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.406808,0.04294,0.051252,0.036663,0.042437,0.00898,1.274,48.245,0.0,49.519,0,10.03604,0.317747,0.426436,2.073326,0.075677,-0.129291,2.522451
8,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.544186,0.055755,0.034758,0.074106,0.075078,0.037026,1.249,101.146,0.0,102.395,4,9.647781,0.285421,0.398124,1.851788,0.07464,-0.136379,2.407436
8,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.42549,0.053031,0.039222,0.050667,0.078963,0.005733,1.287,82.361,0.0,83.649,1,9.593058,0.284736,0.3923,1.898666,0.073868,-0.136232,2.485667
8,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.415558,0.079681,0.056054,0.071702,0.121514,0.018561,1.344,64.906,0.0,66.25,1,9.53723,0.279397,0.379729,1.856595,0.067961,-0.136455,2.453597
8,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.403767,0.046093,0.029536,0.020357,0.076736,0.007956,1.266,73.457,0.0,74.723,1,9.769802,0.287335,0.393014,1.959286,0.072322,-0.132381,2.480111
8,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.400183,0.036121,0.02257,0.043511,0.052835,0.011336,1.27,76.669,0.0,77.94,1,9.666567,0.294378,0.396769,1.912979,0.074088,-0.127393,2.528341
8,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.396699,0.08486,0.04034,0.031072,0.149236,0.004246,1.274,75.87,0.0,77.145,1,9.57633,0.28598,0.38798,1.937855,0.064637,-0.137032,2.510614
8,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.394764,0.042861,0.018445,0.013058,0.075348,0.017709,1.265,64.782,0.0,66.047,1,9.848668,0.291589,0.399046,1.973884,0.072904,-0.133441,2.455726
9,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.546598,0.039218,0.03771,0.000559,0.05453,0.023518,1.133,73.794,0.0,74.927,1,10.166379,0.318841,0.397316,2.001117,0.076556,-0.117938,2.441206
9,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.427107,0.025572,0.028528,0.02737,0.02615,0.004381,1.194,68.458,0.0,69.652,1,10.209536,0.313226,0.40307,2.05474,0.078512,-0.121972,2.489046
