iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
8,Lag1Nbs_13,13,1.373779,0.20412,0.253344,0.279032,0.094361,0.058634,0.115,7.446,0.0,7.561,0,7.620338,0.211452,0.311636,1.441936,0.079927,-0.109186,2.353415
8,Lag1Nbs_15,15,1.365206,0.197947,0.253424,0.250799,0.056187,0.111333,0.117,9.745,0.0,9.863,0,7.755696,0.21303,0.303452,1.498403,0.073763,-0.124063,2.221666
9,Lag1Nbs_03,3,1.387412,0.209075,0.238946,0.300844,0.144134,0.051443,0.095,5.189,0.0,5.283,1,7.826443,0.228966,0.295711,1.398311,0.093553,-0.140283,2.371392
9,Lag1Nbs_05,5,1.386045,0.200398,0.168335,0.304204,0.22413,0.055645,0.097,5.256,0.0,5.354,0,8.389668,0.246273,0.334267,1.391592,0.081613,-0.165857,2.360887
9,Lag1Nbs_07,7,1.39192,0.202319,0.224934,0.308493,0.139198,0.028695,0.161,7.143,0.0,7.304,1,8.067314,0.232533,0.298919,1.383014,0.084211,-0.149901,2.428262
9,Lag1Nbs_09,9,1.394239,0.195789,0.218759,0.311211,0.117053,0.02261,0.11,6.319,0.0,6.429,0,7.648259,0.242379,0.309341,1.377579,0.089558,-0.140437,2.556526
9,Lag1Nbs_11,11,1.382934,0.218308,0.237867,0.305616,0.187502,0.012319,0.111,9.345,0.0,9.456,1,7.696178,0.237286,0.291951,1.388769,0.074085,-0.158086,2.469203
9,Lag1Nbs_13,13,1.387257,0.225875,0.243364,0.274779,0.22312,0.066269,0.115,9.406,0.0,9.522,0,7.8519,0.223209,0.297227,1.450442,0.085908,-0.164654,2.334328
9,Lag1Nbs_15,15,1.388847,0.162741,0.196072,0.243441,0.068722,0.036732,0.119,6.826,0.0,6.945,0,8.159079,0.234642,0.326265,1.513117,0.082401,-0.137647,2.40817
10,Lag1Nbs_03,3,1.404717,0.178401,0.212661,0.22058,0.136697,0.03297,0.097,5.573,0.0,5.67,4,8.045284,0.238145,0.306232,1.558839,0.065624,-0.134979,2.582425
10,Lag1Nbs_05,5,1.393201,0.156499,0.172606,0.136119,0.176876,0.031093,0.097,8.215,0.0,8.312,4,8.77045,0.24784,0.316065,1.727762,0.069987,-0.153288,2.422268
10,Lag1Nbs_07,7,1.396164,0.14707,0.168382,0.18189,0.128163,0.020341,0.105,7.42,0.0,7.524,1,8.664475,0.24778,0.323139,1.63622,0.080616,-0.148817,2.449147
10,Lag1Nbs_09,9,1.391503,0.19797,0.238091,0.193976,0.177363,0.061154,0.109,8.669,0.0,8.778,1,8.215421,0.229926,0.284307,1.612048,0.080355,-0.157599,2.347115
10,Lag1Nbs_11,11,1.385654,0.172705,0.218694,0.195996,0.098976,0.085445,0.112,10.825,0.0,10.937,4,8.447754,0.236699,0.290555,1.608009,0.079617,-0.143626,2.286386
10,Lag1Nbs_13,13,1.397695,0.146098,0.179249,0.124761,0.136685,0.009547,0.116,9.39,0.0,9.506,1,8.61823,0.250555,0.310439,1.750478,0.091649,-0.142019,2.476132
10,Lag1Nbs_15,15,1.396512,0.15263,0.176252,0.153522,0.152164,8.7e-05,0.172,11.894,0.0,12.067,1,8.560564,0.246196,0.319692,1.692956,0.06728,-0.14427,2.499781
