tile_y,tile_x,tile_id,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget,mean_ratio_to_global,median_ratio_to_global,mean_tile_n,tile_center_x,tile_center_y,tile_center_lon,tile_center_lat,tile_x_min,tile_x_max,tile_y_min,tile_y_max,tile_lon_min,tile_lon_max,tile_lat_min,tile_lat_max,dist_to_nadir_deg,dist_to_nadir_km
2,2,18,31,246,1.1144,1.0518,0.8734,33592.7453,3.1976,645.9677,127.0093,18.1355,127.0093,18.1355,126.2101,127.8086,17.5140,18.7570,126.2101,127.8086,17.5140,18.7570,1.4858,165.1009
2,3,19,31,244,1.1099,0.8235,0.8598,275135.8021,1287.6602,649.8911,128.6213,18.1355,128.6213,18.1355,127.8202,129.4225,17.5140,18.7570,127.8202,129.4225,17.5140,18.7570,1.7001,189.0765
2,4,20,31,247,1.2130,1.1155,1.1050,29963.6091,566.2982,647.8646,130.1976,18.1355,130.1976,18.1355,129.3993,130.9959,17.5140,18.7570,129.3993,130.9959,17.5140,18.7570,2.3091,256.7837
2,5,21,31,248,0.8733,0.7516,0.7848,28300.3520,306.8944,653.4476,131.7837,18.1355,131.7837,18.1355,130.9864,132.5810,17.5140,18.7570,130.9864,132.5810,17.5140,18.7570,3.5306,392.8694
2,6,22,31,247,0.8816,0.8753,0.7699,23949.9187,1261.9898,644.8404,133.3660,18.1355,133.3660,18.1355,132.5696,134.1624,17.5140,18.7570,132.5696,134.1624,17.5140,18.7570,4.9884,555.2143
2,7,23,31,248,1.0979,0.8867,1.0654,60497.9440,1153.9513,628.9637,134.9729,18.1355,134.9729,18.1355,134.1757,135.7702,17.5140,18.7570,134.1757,135.7702,17.5140,18.7570,6.5019,723.7283
3,0,24,31,248,1.0224,0.6587,1.1692,23874.3859,2.4903,652.2903,123.8106,19.3785,123.8106,19.3785,123.0133,124.6079,18.7570,20.0000,123.0133,124.6079,18.7570,20.0000,4.5894,510.3127
3,1,25,31,248,1.0812,0.7073,1.1309,16933.6431,1.2066,666.4597,125.4052,19.3785,125.4052,19.3785,124.6079,126.2025,18.7570,20.0000,124.6079,126.2025,18.7570,20.0000,3.2843,364.7902
3,2,26,31,248,1.0486,0.7922,0.8702,53978.3516,3115.8580,673.2137,126.9998,19.3785,126.9998,19.3785,126.2025,127.7972,18.7570,20.0000,126.2025,127.7972,18.7570,20.0000,2.4095,267.0753
3,3,27,31,248,0.8983,0.6450,0.7555,29139.8120,4.0065,678.3065,128.5944,19.3785,128.5944,19.3785,127.7972,129.3918,18.7570,20.0000,127.7972,129.3918,18.7570,20.0000,2.4616,272.9487
3,4,28,31,248,0.7876,0.6336,0.6749,55265.4057,1032.5661,666.4597,130.1891,19.3785,130.1891,19.3785,129.3918,130.9864,18.7570,20.0000,129.3918,130.9864,18.7570,20.0000,3.1090,345.0868
3,5,29,31,248,0.6232,0.4587,0.5552,40469.7686,2.0170,676.8871,131.7837,19.3785,131.7837,19.3785,130.9864,132.5810,18.7570,20.0000,130.9864,132.5810,18.7570,20.0000,4.1391,459.9266
3,6,30,31,248,0.7033,0.4672,0.7019,104450.9712,2211.0101,673.5363,133.3783,19.3785,133.3783,19.3785,132.5810,134.1757,18.7570,20.0000,132.5810,134.1757,18.7570,20.0000,5.4169,602.3731
3,7,31,31,248,0.6627,0.3444,0.8237,82899.5287,94.4963,677.3065,134.9729,19.3785,134.9729,19.3785,134.1757,135.7702,18.7570,20.0000,134.1757,135.7702,18.7570,20.0000,6.8104,757.6363
