lanczos_steps,threshold_index,precision_threshold,mode_count_slq,mode_count_slq_se,mode_fraction_slq,cumulative_energy_lanczos,cumulative_energy_per_n,shape_bridge
64,127,0.0006113461398053082,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,128,0.0006150740635068447,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,129,0.0006188247196903897,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,130,0.0006225982469762006,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,131,0.0006263947848298238,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,132,0.0006302144735672543,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,133,0.0006340574543601173,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,134,0.000637923869240888,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,135,0.0006418138611081401,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,136,0.0006457275737318293,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,137,0.0006496651517586028,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,138,0.0006536267407171501,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,139,0.0006576124870235772,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,140,0.0006616225379868202,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,141,0.0006656570418140911,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,142,0.0006697161476163519,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,143,0.0006738000054138272,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,144,0.000677908766141551,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,145,0.0006820425816549413,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,146,0.0006862016047354141,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
64,147,0.000690385989096032,75.0146853386581,3.258565771315604,0.0005344753572350811,175.67923244831488,0.0012517045175581031,0.18999893635691295
