date,method,residual_lanczos_steps,target_mode_fraction,estimated_mode_fraction,cumulative_energy_per_n,precision_threshold
2024-07-03,adapted,128,0.2583333333333333,0.25873150024016006,0.24813729754949596,0.15323337033549453
2024-07-03,adapted,128,0.26666666666666666,0.2670796239584249,0.25784587201121495,0.15932065650784447
2024-07-03,adapted,128,0.275,0.27536754280070347,0.26738514507444844,0.16247547976348653
2024-07-03,adapted,128,0.2833333333333333,0.2840531891665091,0.27724822219807893,0.16557672115606914
2024-07-03,adapted,128,0.2916666666666667,0.29221333257629095,0.28800857468156466,0.17173156547902485
2024-07-03,adapted,128,0.3,0.300676353877844,0.2995242502449373,0.1748653465881258
2024-07-03,adapted,128,0.30833333333333335,0.3083583700273323,0.2995242502449373,0.17800251538370218
2024-07-03,adapted,128,0.31666666666666665,0.31718753268943367,0.3112387234364141,0.18114202297203172
2024-07-03,adapted,128,0.325,0.32557686557707566,0.32356298589811944,0.18427228409084392
2024-07-03,adapted,128,0.3333333333333333,0.33397924406081125,0.32356298589811944,0.18742848780129867
2024-07-03,adapted,128,0.3416666666666667,0.34245353750723473,0.3487372824174282,0.1935708607141674
2024-07-03,adapted,128,0.35,0.3504068973525924,0.3487372824174282,0.19669711190336356
2024-07-03,adapted,128,0.35833333333333334,0.35853368397815194,0.3624516780827541,0.19983340406824693
2024-07-03,adapted,128,0.36666666666666664,0.36700459097670857,0.37713553015406737,0.2029370960279049
2024-07-03,adapted,128,0.375,0.37573286156411934,0.37713553015406737,0.20607847989059172
2024-07-03,adapted,128,0.3833333333333333,0.38342808921128896,0.37713553015406737,0.20612538933705088
2024-07-03,adapted,128,0.39166666666666666,0.39261095286457526,0.39132201590065013,0.20926007379013373
2024-07-03,adapted,128,0.4,0.4009586732875228,0.4063887211598642,0.21234056559669828
2024-07-03,adapted,128,0.4083333333333333,0.4095812857999028,0.4063887211598642,0.21543432421662478
2024-07-03,adapted,128,0.4166666666666667,0.41722181900487443,0.42218065772097174,0.21849187422284833
2024-07-03,adapted,128,0.425,0.4250082520528594,0.43883920903184365,0.22156335586047088
2024-07-03,adapted,128,0.43333333333333335,0.4345051457153001,0.43883920903184365,0.2246082211892199
2024-07-03,adapted,128,0.44166666666666665,0.4428638583907095,0.43883920903184365,0.2247011500156511
2024-07-03,adapted,128,0.45,0.4500493297068424,0.4567785093916094,0.22773352122737425
2024-07-03,adapted,128,0.4583333333333333,0.4590786134871008,0.4765373872547111,0.23076133407139143
2024-07-03,adapted,128,0.4666666666666667,0.4671700220073703,0.4765373872547111,0.23079887684409683
2024-07-03,adapted,128,0.475,0.47566162963605757,0.4765373872547111,0.23379016555436336
2024-07-03,adapted,128,0.48333333333333334,0.4840485890129654,0.4976756872037218,0.23674443395220343
2024-07-03,adapted,128,0.49166666666666664,0.4926592336275066,0.4976756872037218,0.23679366531322552
2024-07-03,adapted,128,0.5,0.5013427633978911,0.5193335360970197,0.23977703806730705
2024-07-03,adapted,128,0.5083333333333333,0.5098005852482789,0.5193335360970197,0.23980363812189556
2024-07-03,adapted,128,0.5166666666666666,0.5166786546831532,0.5193335360970197,0.24276325225372397
2024-07-03,adapted,128,0.525,0.5251739665280931,0.5423141242077506,0.2456700510349547
2024-07-03,adapted,128,0.5333333333333333,0.5337175283606852,0.5423141242077506,0.24574456331527944
