dataset_id,data_kind,date,method,index,frac_index,eigenvalue,whitened_score,squared_score,leverage,expected_increment,cumulative_squared_score,expected,scaled_cumulative,scaled_expected,scaled_band_lower,scaled_band_upper
real_20240703,real,2024-07-03,adapted,39,0.0117156617,55.75260665,-0.1880861103,0.03537638488,0.02054834954,0.9794516505,190.2720953,37.38467649,0.05962773279,0.0117156617,-0.0222847229,0.0457160463
real_20240703,real,2024-07-03,adapted,40,0.0120276105,55.55233734,0.9240049875,0.8537852169,0.00457139538,0.9954286046,191.1258805,38.3801051,0.05989529318,0.0120276105,-0.0219727741,0.0460279951
real_20240703,real,2024-07-03,adapted,41,0.01233577044,54.94173391,1.435669984,2.061148302,0.01666162162,0.9833383784,193.1870288,39.36344348,0.06054121869,0.01233577044,-0.02166461416,0.04633615504
real_20240703,real,2024-07-03,adapted,42,0.01264777183,54.90932406,1.856109463,3.445142337,0.004403563598,0.9955964364,196.6321712,40.35903991,0.06162086217,0.01264777183,-0.02135261277,0.04664815643
real_20240703,real,2024-07-03,adapted,43,0.01295798529,54.3779687,-0.04279840422,0.001831703404,0.01010885715,0.9898911428,196.6340029,41.34893106,0.06162143619,0.01295798529,-0.02104239931,0.04695836989
real_20240703,real,2024-07-03,adapted,44,0.01326847646,53.58100499,-0.106347619,0.01130981606,0.00922268736,0.9907773126,196.6453127,42.33970837,0.06162498048,0.01326847646,-0.02073190814,0.04726886106
real_20240703,real,2024-07-03,adapted,45,0.01358143328,53.07083446,-2.353855898,5.540637588,0.001354778618,0.9986452214,202.1859503,43.33835359,0.06336131316,0.01358143328,-0.02041895132,0.04758181788
real_20240703,real,2024-07-03,adapted,46,0.01389341258,52.8536449,3.129214808,9.791985312,0.004474057073,0.9955259429,211.9779356,44.33387953,0.06642993908,0.01389341258,-0.02010697202,0.04789379718
real_20240703,real,2024-07-03,adapted,47,0.01420460912,52.51136718,0.2616191444,0.06844457672,0.006971833845,0.9930281662,212.0463802,45.3269077,0.06645138834,0.01420460912,-0.01979577548,0.04820499372
real_20240703,real,2024-07-03,adapted,48,0.01451557401,52.11411102,1.788106963,3.197326512,0.007711042411,0.9922889576,215.2437067,46.31919666,0.06745337095,0.01451557401,-0.01948481059,0.04851595861
real_20240703,real,2024-07-03,adapted,49,0.014824606,51.74464527,-0.7026032921,0.4936513861,0.01387890592,0.9861210941,215.7373581,47.30531775,0.0676080721,0.014824606,-0.0191757786,0.0488249906
real_20240703,real,2024-07-03,adapted,50,0.01513637758,51.26770328,-0.9816854891,0.9637063996,0.005136894812,0.9948631052,216.7010645,48.30018086,0.06791007975,0.01513637758,-0.01886400702,0.04913676218
real_20240703,real,2024-07-03,adapted,51,0.01544714062,50.91023493,-0.2621254166,0.06870973403,0.008355130108,0.9916448699,216.7697742,49.29182573,0.0679316121,0.01544714062,-0.01855324398,0.04944752522
real_20240703,real,2024-07-03,adapted,52,0.01575845053,50.6290174,2.49104072,6.205283868,0.006610075643,0.9933899244,222.9750581,50.28521565,0.06987623255,0.01575845053,-0.01824193407,0.04975883513
real_20240703,real,2024-07-03,adapted,53,0.01606677205,50.0732361,2.679841308,7.181549435,0.01614604296,0.983853957,230.1566075,51.26906961,0.07212679646,0.01606677205,-0.01793361255,0.05006715665
real_20240703,real,2024-07-03,adapted,54,0.01637620722,49.94807322,-2.060191079,4.244387281,0.01259235961,0.9874076404,234.4009948,52.25647725,0.07345690843,0.01637620722,-0.01762417738,0.05037659182
real_20240703,real,2024-07-03,adapted,55,0.01668546196,49.58231207,-1.724250126,2.973038495,0.01316813795,0.9868318621,237.3740333,53.24330911,0.07438860335,0.01668546196,-0.01731492264,0.05068584656
real_20240703,real,2024-07-03,adapted,56,0.01698127949,49.41871499,3.251589759,10.57283596,0.05604626558,0.9439537344,247.9468692,54.18726285,0.07770193333,0.01698127949,-0.01701910511,0.05098166409
real_20240703,real,2024-07-03,adapted,57,0.01729429724,48.95443571,0.2587108837,0.06693132137,0.001160343216,0.9988396568,248.0138006,55.1861025,0.07772290836,0.01729429724,-0.01670608736,0.05129468184
real_20240703,real,2024-07-03,adapted,58,0.0175500399,48.92158866,1.953313766,3.815434667,0.1839251802,0.8160748198,251.8292352,56.00217732,0.07891859456,0.0175500399,-0.0164503447,0.0515504245
real_20240703,real,2024-07-03,adapted,59,0.01784149803,48.61966504,0.1785360222,0.03187511122,0.06995710472,0.9300428953,251.8611103,56.93222022,0.07892858363,0.01784149803,-0.01615888657,0.05184188263
real_20240703,real,2024-07-03,adapted,60,0.01815163739,48.13454137,-2.063421945,4.257710121,0.0103452919,0.9896547081,256.1188205,57.92187493,0.08026287072,0.01815163739,-0.01584874721,0.05215202199
real_20240703,real,2024-07-03,adapted,61,0.01842116138,47.9380197,3.636154696,13.22162098,0.1399489499,0.8600510501,269.3404414,58.78192598,0.08440628062,0.01842116138,-0.01557922322,0.05242154598
real_20240703,real,2024-07-03,adapted,62,0.0187339695,47.38759824,0.3210867402,0.1030966947,0.001829301361,0.9981706986,269.4435381,59.78009667,0.0844385892,0.0187339695,-0.0152664151,0.0527343541
real_20240703,real,2024-07-03,adapted,63,0.01904685892,47.28709009,0.209453508,0.04387077201,0.001569846196,0.9984301538,269.4874089,60.77852683,0.08445233748,0.01904685892,-0.01495352568,0.05304724352
real_20240703,real,2024-07-03,adapted,64,0.01935665939,47.06494754,-1.799836899,3.239412863,0.01142671166,0.9885732883,272.7268218,61.76710012,0.08546750917,0.01935665939,-0.01464372521,0.05335704399
real_20240703,real,2024-07-03,adapted,65,0.01965796195,46.82490305,-0.04830626708,0.002333495439,0.038543529,0.961456471,272.7291553,62.72855659,0.08546824045,0.01965796195,-0.01434242265,0.05365834655
real_20240703,real,2024-07-03,adapted,66,0.0199645069,46.68990455,-0.9992086215,0.9984178693,0.02181506212,0.9781849379,273.7275731,63.70674152,0.08578112602,0.0199645069,-0.0140358777,0.0539648915
real_20240703,real,2024-07-03,adapted,67,0.02027632051,46.51631459,0.96851183,0.9380151649,0.005002771382,0.9949972286,274.6655883,64.70173875,0.08607508251,0.02027632051,-0.01372406409,0.05427670511
real_20240703,real,2024-07-03,adapted,68,0.02058868364,46.2688616,0.1275789175,0.01627638018,0.003249243664,0.9967507563,274.6818647,65.69848951,0.08608018323,0.02058868364,-0.01341170096,0.05458906824
real_20240703,real,2024-07-03,adapted,69,0.02090184953,45.9646695,1.934886294,3.743784972,0.0006876475008,0.9993123525,278.4256497,66.69780186,0.08725341575,0.02090184953,-0.01309853507,0.05490223413
real_20240703,real,2024-07-03,adapted,70,0.02121407135,45.9362219,0.8058850893,0.6494507771,0.003700189232,0.9962998108,279.0751004,67.69410167,0.08745694153,0.02121407135,-0.01278631325,0.05521445595
real_20240703,real,2024-07-03,adapted,71,0.02152010351,45.79436471,0.2974616418,0.08848342834,0.02345136763,0.9765486324,279.1635839,68.67065031,0.08748467059,0.02152010351,-0.01248028109,0.05552048811
real_20240703,real,2024-07-03,adapted,72,0.02182010746,45.70280705,-2.003256622,4.013037093,0.04268740822,0.9573125918,283.176621,69.6279629,0.08874228172,0.02182010746,-0.01218027714,0.05582049206
real_20240703,real,2024-07-03,adapted,73,0.02213192449,45.30638552,-0.364781008,0.1330651838,0.004991851137,0.9950081489,283.3096861,70.62297105,0.08878398187,0.02213192449,-0.01186846011,0.05613230909
real_20240703,real,2024-07-03,adapted,74,0.02244501766,44.98475141,0.674365368,0.4547686496,0.0009196854272,0.9990803146,283.7644548,71.62205136,0.0889264979,0.02244501766,-0.01155536694,0.05644540226
real_20240703,real,2024-07-03,adapted,75,0.0227560116,44.87099696,2.165093135,4.687628285,0.007618329659,0.9923816703,288.4520831,72.61443303,0.09039551334,0.0227560116,-0.011244373,0.05675639621
real_20240703,real,2024-07-03,adapted,76,0.02306769993,44.67844017,-0.776469413,0.6029047493,0.005402543579,0.9945974564,289.0549878,73.60903049,0.09058445247,0.02306769993,-0.01093268467,0.05706808453
real_20240703,real,2024-07-03,adapted,77,0.02338022262,44.54220828,-2.5624168,6.565979857,0.002740121346,0.9972598787,295.6209677,74.60629037,0.09264210833,0.02338022262,-0.01062016198,0.05738060722
real_20240703,real,2024-07-03,adapted,78,0.02369047904,44.29731696,2.35181934,5.531054208,0.00997174859,0.9900282514,301.1520219,75.59631862,0.09437543776,0.02369047904,-0.01030990556,0.05769086364
real_20240703,real,2024-07-03,adapted,79,0.02399921216,44.26212869,0.1135913319,0.01290299068,0.01483262048,0.9851673795,301.1649249,76.581486,0.09437948132,0.02399921216,-0.01000117244,0.05799959676
real_20240703,real,2024-07-03,adapted,80,0.0243110347,44.0590788,1.033910014,1.068969917,0.004974277383,0.9950257226,302.2338948,77.57651172,0.09471447659,0.0243110347,-0.009689349903,0.0583114193
real_20240703,real,2024-07-03,adapted,81,0.02461566929,43.84984419,0.07734930608,0.00598291515,0.02791101665,0.9720889834,302.2398777,78.5486007,0.09471635152,0.02461566929,-0.009384715311,0.05861605389
real_20240703,real,2024-07-03,adapted,82,0.02492874413,43.77521362,-1.132206131,1.281890723,0.000978175519,0.9990218245,303.5217684,79.54762253,0.09511807221,0.02492874413,-0.009071640468,0.05892912873
real_20240703,real,2024-07-03,adapted,83,0.02523926354,43.64881235,1.208755496,1.461089849,0.009132572344,0.9908674277,304.9828583,80.53848996,0.09557595057,0.02523926354,-0.008761121061,0.05923964814
real_20240703,real,2024-07-03,adapted,84,0.02555166341,43.53701431,-1.693290576,2.867232975,0.003132003447,0.9968679966,307.8500913,81.53535795,0.09647448802,0.02555166341,-0.008448721187,0.05955204801
real_20240703,real,2024-07-03,adapted,85,0.02586408107,43.22022999,0.9793886635,0.9592021541,0.003075262921,0.9969247371,308.8092934,82.53228269,0.09677508411,0.02586408107,-0.008136303532,0.05986446567
real_20240703,real,2024-07-03,adapted,86,0.02617703723,42.92666259,1.014074345,1.028346778,0.001356903094,0.9986430969,309.8376402,83.53092579,0.09709734885,0.02617703723,-0.007823347375,0.06017742183
real_20240703,real,2024-07-03,adapted,87,0.02648646704,42.85990014,1.845420524,3.405576911,0.01260945837,0.9873905416,313.2432171,84.51831633,0.09816459326,0.02648646704,-0.007513917559,0.06048685164
real_20240703,real,2024-07-03,adapted,88,0.02679709716,42.78432742,2.891784922,8.362420037,0.008779296829,0.9912207032,321.6056371,85.50953703,0.10078522,0.02679709716,-0.007203287443,0.06079748176
real_20240703,real,2024-07-03,adapted,89,0.0271087373,42.45670436,-0.4762797503,0.2268424005,0.005556290303,0.9944437097,321.8324795,86.50398074,0.1008563082,0.0271087373,-0.006891647295,0.06110912191
real_20240703,real,2024-07-03,adapted,90,0.02742038653,42.32044616,0.8325721718,0.6931764212,0.005527308638,0.9944726914,322.525656,87.49845343,0.1010735368,0.02742038653,-0.006579998066,0.06142077113
real_20240703,real,2024-07-03,adapted,91,0.02773181169,42.06126867,1.679426246,2.820472517,0.006242340917,0.9937576591,325.3461285,88.49221109,0.1019574204,0.02773181169,-0.006268572914,0.06173219629
real_20240703,real,2024-07-03,adapted,92,0.0280435281,42.01850136,-0.03965802762,0.001572759155,0.005312937681,0.9946870623,325.3477012,89.48689815,0.1019579133,0.0280435281,-0.005956856505,0.0620439127
real_20240703,real,2024-07-03,adapted,93,0.02834846148,41.82244225,-1.004898262,1.009820518,0.02695755663,0.9730424434,326.3575218,90.4599406,0.1022743722,0.02834846148,-0.005651923116,0.06234884608
real_20240703,real,2024-07-03,adapted,94,0.02866172391,41.5310727,-0.3339978969,0.1115545951,0.0003796086317,0.9996203914,326.4690763,91.45956099,0.1023093314,0.02866172391,-0.005338660693,0.06266210851
