strategy,frac_index,scaled_cumsum_mean,scaled_cumsum_std,n_curves,n_eigen_mean
heads200_points_x8_plus_432,0.525,0.47179181374898727,0.046663182269097825,8,270.375
heads200_points_x8_plus_432,0.53,0.4778058408752264,0.04424860859717143,8,270.375
heads200_points_x8_plus_432,0.535,0.48056699121922136,0.04410140955716302,8,270.375
heads200_points_x8_plus_432,0.54,0.48880182751591283,0.0429657307035325,8,270.375
heads200_points_x8_plus_432,0.545,0.4923791216651764,0.04509740492478435,8,270.375
heads200_points_x8_plus_432,0.55,0.497365807385991,0.04444321829289402,8,270.375
heads200_points_x8_plus_432,0.555,0.5020742100827758,0.04561930332102477,8,270.375
heads200_points_x8_plus_432,0.56,0.5051159352114135,0.04497985625374284,8,270.375
heads200_points_x8_plus_432,0.5650000000000001,0.5077109195672901,0.04673717419490229,8,270.375
heads200_points_x8_plus_432,0.5700000000000001,0.5101719468180637,0.04618651112751817,8,270.375
heads200_points_x8_plus_432,0.5750000000000001,0.5140797953906802,0.043428991496747164,8,270.375
heads200_points_x8_plus_432,0.5800000000000001,0.5219910667458116,0.04299597238465641,8,270.375
heads200_points_x8_plus_432,0.585,0.5265718836896323,0.04472205535033158,8,270.375
heads200_points_x8_plus_432,0.59,0.5332669923758697,0.04445476424378658,8,270.375
heads200_points_x8_plus_432,0.595,0.5398639005183002,0.04685541571170525,8,270.375
heads200_points_x8_plus_432,0.6,0.543195025227231,0.0452831329035904,8,270.375
heads200_points_x8_plus_432,0.605,0.5497346702997039,0.04381233949865377,8,270.375
heads200_points_x8_plus_432,0.61,0.5547282098404249,0.04478896619880552,8,270.375
heads200_points_x8_plus_432,0.615,0.5585583441951594,0.04690467427720687,8,270.375
heads200_points_x8_plus_432,0.62,0.5650801761114832,0.04557037708045275,8,270.375
heads200_points_x8_plus_432,0.625,0.5709612732481677,0.048856910512673095,8,270.375
heads200_points_x8_plus_432,0.63,0.5743180700371777,0.05084896696847057,8,270.375
heads200_points_x8_plus_432,0.635,0.5803656394499646,0.04971147969661831,8,270.375
heads200_points_x8_plus_432,0.64,0.5850187198040999,0.050273796477922364,8,270.375
heads200_points_x8_plus_432,0.645,0.5889676309693888,0.04979097865071768,8,270.375
heads200_points_x8_plus_432,0.65,0.5968548697973238,0.05285422021013273,8,270.375
heads200_points_x8_plus_432,0.655,0.6025499799798385,0.05129533178800016,8,270.375
heads200_points_x8_plus_432,0.66,0.6113005723513577,0.056964607470755234,8,270.375
heads200_points_x8_plus_432,0.665,0.6147291976183729,0.05754092900120019,8,270.375
heads200_points_x8_plus_432,0.67,0.6173344674487647,0.05768576234755222,8,270.375
heads200_points_x8_plus_432,0.675,0.6223411353980888,0.05555323580918394,8,270.375
heads200_points_x8_plus_432,0.68,0.6300859369534941,0.055312992296237415,8,270.375
heads200_points_x8_plus_432,0.685,0.6365725308713059,0.056999642996138515,8,270.375
heads200_points_x8_plus_432,0.6900000000000001,0.641073329590273,0.0591815882335157,8,270.375
heads200_points_x8_plus_432,0.6950000000000001,0.6455241854997816,0.06160766099913474,8,270.375
heads200_points_x8_plus_432,0.7000000000000001,0.6493705111890374,0.06232157182048686,8,270.375
heads200_points_x8_plus_432,0.7050000000000001,0.6518199861249432,0.06145919212928709,8,270.375
heads200_points_x8_plus_432,0.71,0.6543796455937142,0.06294575631054998,8,270.375
heads200_points_x8_plus_432,0.715,0.6573702696327306,0.06438336107302146,8,270.375
heads200_points_x8_plus_432,0.72,0.6602176051044126,0.06526944345875663,8,270.375
heads200_points_x8_plus_432,0.725,0.6639969497630652,0.06480307378415101,8,270.375
heads200_points_x8_plus_432,0.73,0.666550917158752,0.06486827125455247,8,270.375
heads200_points_x8_plus_432,0.735,0.6715966877643509,0.07132505605940843,8,270.375
heads200_points_x8_plus_432,0.74,0.6741681073968039,0.07099128550674873,8,270.375
heads200_points_x8_plus_432,0.745,0.6795650474728901,0.07075020365655434,8,270.375
heads200_points_x8_plus_432,0.75,0.6836531408707638,0.0710571746383805,8,270.375
heads200_points_x8_plus_432,0.755,0.6903343770252599,0.06920675580688719,8,270.375
heads200_points_x8_plus_432,0.76,0.6939165099658815,0.0692314177583216,8,270.375
heads200_points_x8_plus_432,0.765,0.6983227133032374,0.07031916816198519,8,270.375
heads200_points_x8_plus_432,0.77,0.7013074158221073,0.0701282970560926,8,270.375
heads200_points_x8_plus_432,0.775,0.7044195732044995,0.07070094829337699,8,270.375
heads200_points_x8_plus_432,0.78,0.7067196530133004,0.07069259447344563,8,270.375
heads200_points_x8_plus_432,0.785,0.7123768285803885,0.07419825422160978,8,270.375
heads200_points_x8_plus_432,0.79,0.7182794054242949,0.07383257664468909,8,270.375
heads200_points_x8_plus_432,0.795,0.7222049810436938,0.07364712052364099,8,270.375
heads200_points_x8_plus_432,0.8,0.7250996055410247,0.07391503324947031,8,270.375
heads200_points_x8_plus_432,0.805,0.7302421940480169,0.07273829333111777,8,270.375
heads200_points_x8_plus_432,0.81,0.7350919114531491,0.07262821061164987,8,270.375
heads200_points_x8_plus_432,0.8150000000000001,0.741920932894984,0.07002305415162399,8,270.375
heads200_points_x8_plus_432,0.8200000000000001,0.7468473452977148,0.0697805818747949,8,270.375
heads200_points_x8_plus_432,0.8250000000000001,0.754545140053609,0.06659458366460307,8,270.375
heads200_points_x8_plus_432,0.8300000000000001,0.7585010716529427,0.07008876097817933,8,270.375
heads200_points_x8_plus_432,0.8350000000000001,0.7626009323152909,0.07096028402125451,8,270.375
heads200_points_x8_plus_432,0.84,0.7699878393537392,0.07203602394361433,8,270.375
heads200_points_x8_plus_432,0.845,0.7730787422835813,0.07036525331502806,8,270.375
heads200_points_x8_plus_432,0.85,0.7788961659899627,0.06817042667402098,8,270.375
heads200_points_x8_plus_432,0.855,0.7861905188299663,0.06280938705862629,8,270.375
heads200_points_x8_plus_432,0.86,0.7933341106389714,0.05784558449251419,8,270.375
heads200_points_x8_plus_432,0.865,0.7982730752398461,0.05738120219165236,8,270.375
heads200_points_x8_plus_432,0.87,0.80370961127188,0.061700032110888564,8,270.375
heads200_points_x8_plus_432,0.875,0.8080218147521806,0.06440658448997708,8,270.375
heads200_points_x8_plus_432,0.88,0.8112876312212445,0.06337591067068135,8,270.375
heads200_points_x8_plus_432,0.885,0.814868463184708,0.06506821817535764,8,270.375
heads200_points_x8_plus_432,0.89,0.8217854623385821,0.06256787963475027,8,270.375
heads200_points_x8_plus_432,0.895,0.8267909418558086,0.06354520112125496,8,270.375
heads200_points_x8_plus_432,0.9,0.8314274828731125,0.06617614829832334,8,270.375
heads200_points_x8_plus_432,0.905,0.8382747415318681,0.06578212914673608,8,270.375
heads200_points_x8_plus_432,0.91,0.8433416641694857,0.06505914428032616,8,270.375
heads200_points_x8_plus_432,0.915,0.847632899876062,0.06610108129890628,8,270.375
heads200_points_x8_plus_432,0.92,0.8530469758877168,0.06490355785850287,8,270.375
heads200_points_x8_plus_432,0.925,0.8566691669922748,0.0632721516971938,8,270.375
heads200_points_x8_plus_432,0.93,0.8594292232424163,0.06118299894313522,8,270.375
heads200_points_x8_plus_432,0.935,0.8618363408691316,0.06034053917586581,8,270.375
heads200_points_x8_plus_432,0.9400000000000001,0.8637475647760823,0.060360472843916615,8,270.375
heads200_points_x8_plus_432,0.9450000000000001,0.8712771373318338,0.062355671040468144,8,270.375
heads200_points_x8_plus_432,0.9500000000000001,0.8768277292216723,0.06397097144940071,8,270.375
heads200_points_x8_plus_432,0.9550000000000001,0.881736021349429,0.062349833149735294,8,270.375
heads200_points_x8_plus_432,0.9600000000000001,0.8850762164241406,0.06164263443272381,8,270.375
heads200_points_x8_plus_432,0.965,0.8893788319794295,0.062311976326657616,8,270.375
heads200_points_x8_plus_432,0.97,0.8925043293135168,0.06303026251358533,8,270.375
heads200_points_x8_plus_432,0.975,0.8975784268005415,0.06270370990230323,8,270.375
heads200_points_x8_plus_432,0.98,0.8999864697137162,0.061847047289446934,8,270.375
heads200_points_x8_plus_432,0.985,0.9039514199887645,0.05922855434195169,8,270.375
heads200_points_x8_plus_432,0.99,0.9067271055496942,0.05893672804407424,8,270.375
heads200_points_x8_plus_432,0.995,0.9116746987364099,0.06185206344697689,8,270.375
heads200_points_x8_plus_432,1.0,0.9179896609888115,0.05942681237208054,8,270.375
standard_432,0.005,0.0036453958050662242,0.003232283017666719,8,270.375
standard_432,0.01,0.007882288282078171,0.005125380098889576,8,270.375
standard_432,0.015,0.010749304985314281,0.0036894261628309536,8,270.375
standard_432,0.02,0.018344890982133058,0.0039059007184760156,8,270.375
standard_432,0.025,0.02223133662566223,0.0046759769886704685,8,270.375
standard_432,0.030000000000000002,0.030515010081605048,0.007829024819604957,8,270.375
standard_432,0.034999999999999996,0.033367745378742514,0.007240842017188424,8,270.375
standard_432,0.04,0.036475739420348374,0.008135943884408914,8,270.375
standard_432,0.045,0.044133562647372795,0.013059267648379997,8,270.375
standard_432,0.049999999999999996,0.055308521720496294,0.018686987242913043,8,270.375
standard_432,0.055,0.06442706937310957,0.01839946432305757,8,270.375
standard_432,0.06,0.07109866921767077,0.02023342351794413,8,270.375
standard_432,0.065,0.07646290689065109,0.023501630192501205,8,270.375
standard_432,0.07,0.07913089134728381,0.02460346887291939,8,270.375
standard_432,0.07500000000000001,0.0825560048088048,0.022820299158580835,8,270.375
standard_432,0.08,0.08757716648919177,0.0212595423593395,8,270.375
standard_432,0.085,0.09254769695418885,0.025547428484861162,8,270.375
standard_432,0.09000000000000001,0.09527781616960314,0.025982207968261183,8,270.375
standard_432,0.095,0.09926081749694209,0.02633855014278003,8,270.375
standard_432,0.1,0.10199090536008756,0.028320712799381687,8,270.375
standard_432,0.10500000000000001,0.10673831889110043,0.024942832314440465,8,270.375
standard_432,0.11,0.11087492192031997,0.026556842435345607,8,270.375
standard_432,0.115,0.11246684649823,0.026714017868455852,8,270.375
standard_432,0.12000000000000001,0.1161587972330676,0.027220064869010716,8,270.375
standard_432,0.125,0.12150509103819267,0.023961360146408418,8,270.375
standard_432,0.13,0.1273052329810347,0.024150057891342246,8,270.375
standard_432,0.135,0.13091100347372045,0.02550994442105475,8,270.375
standard_432,0.14,0.13488485410958342,0.02357692150321458,8,270.375
standard_432,0.14500000000000002,0.1394940378535693,0.02553534830347913,8,270.375
standard_432,0.15,0.14119107569486372,0.025319343410468667,8,270.375
standard_432,0.155,0.14298207421064346,0.025876794020490056,8,270.375
standard_432,0.16,0.1460512748272852,0.02471472609994029,8,270.375
standard_432,0.165,0.1510398556070222,0.025076635163952546,8,270.375
standard_432,0.17,0.15533370647607547,0.025925884491600486,8,270.375
standard_432,0.17500000000000002,0.160353397098519,0.025576387504365045,8,270.375
standard_432,0.18000000000000002,0.16468381463339313,0.027636656233248784,8,270.375
standard_432,0.185,0.16684191595658163,0.028927793485324853,8,270.375
standard_432,0.19,0.17431279907409908,0.03321726204166775,8,270.375
standard_432,0.195,0.1778747107264209,0.03440536344207285,8,270.375
standard_432,0.2,0.18514166125653567,0.03547955003326405,8,270.375
standard_432,0.20500000000000002,0.18979818204142568,0.033174765997912886,8,270.375
standard_432,0.21000000000000002,0.19772278443621782,0.02971159626317631,8,270.375
standard_432,0.215,0.20434850104020377,0.03590911415574249,8,270.375
standard_432,0.22,0.20968734690777927,0.04143155212418602,8,270.375
standard_432,0.225,0.21342329929412165,0.04165710580835097,8,270.375
standard_432,0.23,0.21882153713893054,0.04053463890577139,8,270.375
standard_432,0.23500000000000001,0.22362056368363487,0.03964150095318163,8,270.375
standard_432,0.24000000000000002,0.2296196444364456,0.03786566514180091,8,270.375
standard_432,0.245,0.23499509035496435,0.038728741561794254,8,270.375
standard_432,0.25,0.24155565564264933,0.04122162716804928,8,270.375
standard_432,0.255,0.2455419495189315,0.04096164085048085,8,270.375
standard_432,0.26,0.249257880741522,0.03950886410507641,8,270.375
standard_432,0.265,0.2525522920836113,0.03933207031630135,8,270.375
standard_432,0.27,0.25519079152140073,0.03885394168973699,8,270.375
standard_432,0.275,0.2595451494772554,0.037909708560668554,8,270.375
standard_432,0.28,0.263943774421869,0.037509959014031154,8,270.375
standard_432,0.28500000000000003,0.2674852642949932,0.03703479875662237,8,270.375
standard_432,0.29000000000000004,0.27061722585953285,0.03704977344241757,8,270.375
standard_432,0.295,0.27532654572940823,0.03649956843079312,8,270.375
standard_432,0.3,0.28027413168695214,0.037809009449930306,8,270.375
standard_432,0.305,0.28375486596540667,0.038015237350303814,8,270.375
standard_432,0.31,0.2899605608126146,0.04100990049906565,8,270.375
standard_432,0.315,0.2928596941309668,0.04095658618559182,8,270.375
standard_432,0.32,0.29760446388515904,0.038755475558865445,8,270.375
standard_432,0.325,0.30124562013046385,0.03907927306309637,8,270.375
standard_432,0.33,0.30528514112404,0.038600431842858794,8,270.375
standard_432,0.335,0.31082924234718695,0.04090700676669584,8,270.375
standard_432,0.34,0.3139487175595751,0.041545600837947096,8,270.375
standard_432,0.34500000000000003,0.31939233143455376,0.0464324238373704,8,270.375
standard_432,0.35000000000000003,0.3207958979620731,0.046440973757296757,8,270.375
standard_432,0.35500000000000004,0.3242434064290414,0.04475465265642533,8,270.375
standard_432,0.36,0.3309756472638339,0.04647337243232805,8,270.375
standard_432,0.365,0.33491500472292013,0.046820387716538965,8,270.375
standard_432,0.37,0.33763834592358427,0.0471364240794242,8,270.375
standard_432,0.375,0.3412724551565719,0.047204334632725865,8,270.375
standard_432,0.38,0.34678214138536095,0.04510757867436145,8,270.375
standard_432,0.385,0.35038823812233827,0.045025253856606245,8,270.375
standard_432,0.39,0.35370298470695627,0.04405848825133485,8,270.375
standard_432,0.395,0.3577802197520261,0.041794177243911476,8,270.375
standard_432,0.4,0.3602559850574982,0.041365784914359466,8,270.375
standard_432,0.405,0.36264682484034316,0.04190776995225603,8,270.375
standard_432,0.41000000000000003,0.36576379966860184,0.042300406420523934,8,270.375
standard_432,0.41500000000000004,0.36945717252546106,0.04419958478077611,8,270.375
standard_432,0.42000000000000004,0.3748663138111094,0.04502463534488492,8,270.375
standard_432,0.425,0.38178619475051995,0.04585902795421755,8,270.375
standard_432,0.43,0.38709256561860966,0.04414849201716971,8,270.375
standard_432,0.435,0.3890484697411295,0.0442285164062741,8,270.375
standard_432,0.44,0.3925396924529864,0.04393521749317227,8,270.375
standard_432,0.445,0.39613971480448584,0.045925449261983005,8,270.375
standard_432,0.45,0.4001433777999704,0.04514599973113307,8,270.375
standard_432,0.455,0.40307172739624364,0.04284074935096195,8,270.375
standard_432,0.46,0.4054681349188878,0.04337672242125779,8,270.375
standard_432,0.465,0.40952132202781666,0.04369476341551472,8,270.375
standard_432,0.47000000000000003,0.4126694453047883,0.04217852947529861,8,270.375
standard_432,0.47500000000000003,0.4170977276457109,0.042823744212180194,8,270.375
standard_432,0.48000000000000004,0.42268869822966876,0.045390848543099854,8,270.375
standard_432,0.485,0.42749183955083186,0.047397584352187244,8,270.375
standard_432,0.49,0.4318322436653046,0.04628381981812114,8,270.375
standard_432,0.495,0.43447192141677804,0.04632380644906483,8,270.375
standard_432,0.5,0.4375415751213527,0.04666733491293465,8,270.375
standard_432,0.505,0.43956666598632455,0.046705973206088124,8,270.375
standard_432,0.51,0.44650523541900666,0.04467940792027647,8,270.375
standard_432,0.515,0.45065218848260535,0.04538663146012812,8,270.375
