maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
647,16,20.649330,5.000000,5,5,2.232131,2.217843,0.000000,10072,10072,75759.574050,74533.484932,0.557076,0.566240,0.557076,73830.953839,75236.016026,0.551826,0.562327
648,1,8.102495,7.999668,8,8,20.880787,20.562858,0.000042,10073,10073,75767.676546,74541.484600,0.557136,0.566301,0.557136,73838.953506,75244.015694,0.551885,0.562387
648,2,5.886566,7.999999,8,8,8.253702,8.108200,0.000000,10074,10074,75773.563112,74549.484599,0.557196,0.566345,0.557196,73846.953506,75252.015693,0.551945,0.562447
648,3,4.030709,8.000000,8,8,8.028753,7.946627,0.000000,10075,10075,75777.593821,74557.484599,0.557256,0.566375,0.557256,73854.953505,75260.015693,0.552005,0.562507
648,4,7.059685,8.000000,8,8,5.181977,5.139866,0.000000,10076,10076,75784.653506,74565.484599,0.557316,0.566428,0.557316,73862.953505,75268.015693,0.552065,0.562566
648,5,10.297145,7.999996,8,8,4.318655,4.294915,0.000001,10077,10077,75794.950651,74573.484595,0.557375,0.566505,0.557375,73870.953501,75276.015688,0.552125,0.562626
648,6,2.087936,7.999994,8,8,4.230042,4.196559,0.000001,10078,10078,75797.038587,74581.484589,0.557435,0.566520,0.557435,73878.953495,75284.015683,0.552184,0.562686
648,7,8.026661,8.000000,8,8,3.486109,3.473554,0.000000,10079,10079,75805.065248,74589.484589,0.557495,0.566580,0.557495,73886.953495,75292.015683,0.552244,0.562746
648,8,0.613581,8.000000,8,8,3.452982,3.439536,0.000000,10080,10080,75805.678829,74597.484589,0.557555,0.566585,0.557555,73894.953495,75300.015682,0.552304,0.562806
648,9,2.183616,8.000000,8,8,3.022758,3.022401,0.000000,10081,10081,75807.862445,74605.484589,0.557615,0.566601,0.557615,73902.953495,75308.015682,0.552364,0.562865
648,10,7.427042,8.000000,8,8,2.963856,2.954465,0.000000,10082,10082,75815.289486,74613.484589,0.557674,0.566657,0.557674,73910.953495,75316.015682,0.552424,0.562925
648,11,3.899294,8.000000,8,8,2.793812,2.788677,0.000000,10083,10083,75819.188780,74621.484588,0.557734,0.566686,0.557734,73918.953495,75324.015682,0.552483,0.562985
648,12,14.204452,8.000000,8,8,2.720241,2.719345,0.000000,10084,10084,75833.393233,74629.484588,0.557794,0.566792,0.557794,73926.953495,75332.015682,0.552543,0.563045
648,13,3.276423,8.000000,8,8,2.683610,2.680013,0.000000,10085,10085,75836.669656,74637.484588,0.557854,0.566817,0.557854,73934.953495,75340.015682,0.552603,0.563105
648,14,7.620017,8.000000,8,8,2.412184,2.411048,0.000000,10086,10086,75844.289673,74645.484588,0.557914,0.566874,0.557914,73942.953495,75348.015682,0.552663,0.563164
648,15,12.316966,8.000000,8,8,2.396843,2.395956,0.000000,10087,10087,75856.606638,74653.484588,0.557973,0.566966,0.557973,73950.953495,75356.015682,0.552722,0.563224
648,16,2.803921,8.000000,8,8,2.204060,2.204056,0.000000,10088,10088,75859.410559,74661.484588,0.558033,0.566987,0.558033,73958.953495,75364.015682,0.552782,0.563284
649,1,9.593415,7.999670,8,8,20.491582,20.453913,0.000041,10089,10089,75869.003974,74669.484259,0.558093,0.567058,0.558093,73966.953165,75372.015352,0.552842,0.563344
649,2,36.392319,7.999998,8,8,8.143639,8.166996,0.000000,10090,10090,75905.396293,74677.484257,0.558153,0.567330,0.558153,73974.953163,75380.015351,0.552902,0.563404
649,3,9.798803,8.000000,8,8,7.924514,7.925370,0.000000,10091,10091,75915.195096,74685.484257,0.558213,0.567404,0.558213,73982.953163,75388.015350,0.552962,0.563463
649,4,39.017381,8.000000,8,8,5.135356,5.154747,0.000000,10092,10092,75954.212478,74693.484257,0.558272,0.567695,0.558272,73990.953163,75396.015350,0.553021,0.563523
649,5,26.409213,7.999995,8,8,4.415695,4.337585,0.000001,10093,10093,75980.621691,74701.484251,0.558332,0.567893,0.558332,73998.953158,75404.015345,0.553081,0.563583
649,6,10.445663,7.999995,8,8,4.189579,4.186203,0.000001,10094,10094,75991.067354,74709.484247,0.558392,0.567971,0.558392,74006.953153,75412.015340,0.553141,0.563643
649,7,7.830337,8.000000,8,8,3.544511,3.496578,0.000000,10095,10095,75998.897691,74717.484247,0.558452,0.568029,0.558452,74014.953153,75420.015340,0.553201,0.563703
