date,method,residual_lanczos_steps,frequency_bin,mode_fraction_lower,mode_fraction_upper,precision_lower,precision_upper,estimated_mode_count,estimated_residual_energy,energy_per_mode,known_parameter_chi2_standard_error
2024-07-13,wrong_nugget,512,12,0.9166666666666666,1.0,1.0334885388336479,inf,11625.950763458546,24558.80639406471,2.112412730256466,0.01311598037417794
2024-07-13,wrong_scale_range,128,1,0.0,0.08333333333333333,-inf,0.07778894050706302,11666.39452551153,10506.26058558781,0.9005576283755197,0.013093226123865024
2024-07-13,wrong_scale_range,128,2,0.08333333333333333,0.16666666666666666,0.07778894050706302,0.16997876252339109,11656.917251766381,11325.069197953402,0.9715320914916254,0.013098547551233632
2024-07-13,wrong_scale_range,128,3,0.16666666666666666,0.25,0.16997876252339109,0.25212527512347144,11669.510889339519,11692.796655631992,1.0019954363566124,0.013091477722360429
2024-07-13,wrong_scale_range,128,4,0.25,0.3333333333333333,0.25212527512347144,0.3187976996209235,11615.932437733674,11627.249488283422,1.0009742696602628,0.013121635186846703
2024-07-13,wrong_scale_range,128,5,0.3333333333333333,0.41666666666666663,0.3187976996209235,0.36576004041909743,11708.500678113684,9787.428148340936,0.8359249759993826,0.013069661965770174
2024-07-13,wrong_scale_range,128,6,0.41666666666666663,0.5,0.36576004041909743,0.40193890095472923,11750.788729813132,12683.589480676099,1.0793819693563498,0.013046123601751522
2024-07-13,wrong_scale_range,128,7,0.5,0.5833333333333333,0.40193890095472923,0.4277499542805829,11541.206801362772,11957.587687740175,1.03607775976497,0.013164045852000147
2024-07-13,wrong_scale_range,128,8,0.5833333333333333,0.6666666666666666,0.4277499542805829,0.4481022926041576,11785.011559442937,10982.057663185784,0.931866516022738,0.013027167325483422
2024-07-13,wrong_scale_range,128,9,0.6666666666666666,0.75,0.4481022926041576,0.4636720114937341,11495.619851864132,10932.486058451614,0.9510131858334546,0.013190121650052535
2024-07-13,wrong_scale_range,128,10,0.75,0.8333333333333333,0.4636720114937341,0.48579347268638895,11585.78846985189,12479.097542365955,1.0771038652085354,0.013138694069221317
2024-07-13,wrong_scale_range,128,11,0.8333333333333333,0.9166666666666666,0.48579347268638895,0.5091616736262291,11660.607446376584,12627.799854007215,1.0829452849757992,0.013096474759803089
2024-07-13,wrong_scale_range,128,12,0.9166666666666666,1.0,0.5091616736262291,inf,11601.721358823765,10434.655962287332,0.8994058415608461,0.013129669146599496
2024-07-13,wrong_scale_range,256,1,0.0,0.08333333333333333,-inf,0.07778894050706302,11666.39452551153,10289.023054828152,0.8819368342403126,0.013093226123865024
2024-07-13,wrong_scale_range,256,2,0.08333333333333333,0.16666666666666666,0.07778894050706302,0.16997876252339109,11656.917251766381,11214.398783046063,0.9620381221584752,0.013098547551233632
2024-07-13,wrong_scale_range,256,3,0.16666666666666666,0.25,0.16997876252339109,0.25212527512347144,11669.510889339519,11527.927674719387,0.9878672537381603,0.013091477722360429
2024-07-13,wrong_scale_range,256,4,0.25,0.3333333333333333,0.25212527512347144,0.3187976996209235,11615.932437733674,12229.07590911167,1.0527846967658177,0.013121635186846703
2024-07-13,wrong_scale_range,256,5,0.3333333333333333,0.41666666666666663,0.3187976996209235,0.36576004041909743,11708.500678113684,10700.341533658459,0.9138951115799357,0.013069661965770174
2024-07-13,wrong_scale_range,256,6,0.41666666666666663,0.5,0.36576004041909743,0.40193890095472923,11750.788729813132,10585.04260696991,0.9007942232945106,0.013046123601751522
2024-07-13,wrong_scale_range,256,7,0.5,0.5833333333333333,0.40193890095472923,0.4277499542805829,11541.206801362772,11601.865632400688,1.0052558482039116,0.013164045852000147
2024-07-13,wrong_scale_range,256,8,0.5833333333333333,0.6666666666666666,0.4277499542805829,0.4481022926041576,11785.011559442937,12829.623523306625,1.0886390275134414,0.013027167325483422
2024-07-13,wrong_scale_range,256,9,0.6666666666666666,0.75,0.4481022926041576,0.4636720114937341,11495.619851864132,9268.279186602696,0.8062444049156471,0.013190121650052535
2024-07-13,wrong_scale_range,256,10,0.75,0.8333333333333333,0.4636720114937341,0.48579347268638895,11585.78846985189,12851.847758288946,1.1092769207492048,0.013138694069221317
2024-07-13,wrong_scale_range,256,11,0.8333333333333333,0.9166666666666666,0.48579347268638895,0.5091616736262291,11660.607446376584,12882.142456564907,1.1047574078628213,0.013096474759803089
2024-07-13,wrong_scale_range,256,12,0.9166666666666666,1.0,0.5091616736262291,inf,11601.721358823765,11056.510205014201,0.9530060120436439,0.013129669146599496
2024-07-13,wrong_scale_range,512,1,0.0,0.08333333333333333,-inf,0.07778894050706302,11666.39452551153,10322.698797089077,0.8848233937671042,0.013093226123865024
2024-07-13,wrong_scale_range,512,2,0.08333333333333333,0.16666666666666666,0.07778894050706302,0.16997876252339109,11656.917251766381,11222.537340854382,0.9627362962668216,0.013098547551233632
2024-07-13,wrong_scale_range,512,3,0.16666666666666666,0.25,0.16997876252339109,0.25212527512347144,11669.510889339519,11527.922450025493,0.9878668060164054,0.013091477722360429
2024-07-13,wrong_scale_range,512,4,0.25,0.3333333333333333,0.25212527512347144,0.3187976996209235,11615.932437733674,11869.754740425451,1.02185122064478,0.013121635186846703
2024-07-13,wrong_scale_range,512,5,0.3333333333333333,0.41666666666666663,0.3187976996209235,0.36576004041909743,11708.500678113684,11068.620448919326,0.9453490889409552,0.013069661965770174
2024-07-13,wrong_scale_range,512,6,0.41666666666666663,0.5,0.36576004041909743,0.40193890095472923,11750.788729813132,11224.551240628483,0.9552168368196833,0.013046123601751522
2024-07-13,wrong_scale_range,512,7,0.5,0.5833333333333333,0.40193890095472923,0.4277499542805829,11541.206801362772,11935.25658830862,1.0341428581714107,0.013164045852000147
2024-07-13,wrong_scale_range,512,8,0.5833333333333333,0.6666666666666666,0.4277499542805829,0.4481022926041576,11785.011559442937,12006.117415687084,1.018761615559637,0.013027167325483422
2024-07-13,wrong_scale_range,512,9,0.6666666666666666,0.75,0.4481022926041576,0.4636720114937341,11495.619851864132,9321.39806135623,0.8108651974816887,0.013190121650052535
2024-07-13,wrong_scale_range,512,10,0.75,0.8333333333333333,0.4636720114937341,0.48579347268638895,11585.78846985189,12832.951153549075,1.1076459048896417,0.013138694069221317
2024-07-13,wrong_scale_range,512,11,0.8333333333333333,0.9166666666666666,0.48579347268638895,0.5091616736262291,11660.607446376584,12312.90107539203,1.0559399355492531,0.013096474759803089
2024-07-13,wrong_scale_range,512,12,0.9166666666666666,1.0,0.5091616736262291,inf,11601.721358823765,11391.36901227069,0.9818688675544608,0.013129669146599496
