fit_id,year,month,day_idx,day,model_variant,model_family,model_label,smooth,gc_alpha,gc_beta,nugget_mode,loss,direction,bin_idx,k_min,k_max,k_mid,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,whitened_ratio_mean,whitened_ratio_median,n,global_scale,profile_sigmasq,strategy,loss_label
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,10,1.7290287070878945,1.901931577796684,1.8154801424422893,1.3044821918140956,1.6191119688408542,1.509410965986105,1.36728719795247,1.2746482824899223,0.8095666887236813,0.7879604214950452,0.4298544214326917,1.237069776639986,0.8684043940485309,0.8452278260626184,0.4610953903770955,1.3269775606410446,1.1997023985759885,1.114027791518037,0.8679996153744739,0.8130221304960774,98,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,11,1.901931577796684,2.0748344485054737,1.988383013151079,1.1645275038733818,1.2871754250011849,1.1999643872903651,1.0992200731870974,1.0247437264567199,0.9009442172489655,0.7964092402964866,0.4460508343940803,1.301895204761883,0.9664230605696976,0.8542906882997723,0.47846892659023765,1.3965143726310285,1.1840105975176642,1.0987679111073891,1.0146259207535038,0.9469329713227652,108,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,12,2.0748344485054737,2.247737319214263,2.1612858838598683,0.9387596597485924,1.0462024121249252,0.9753182138681933,0.8848367241217044,0.824885665846004,0.8944904240631948,0.8426381519583097,0.5625961236563408,1.3468530789605313,0.9595002184630891,0.9038794258039051,0.6034844969079391,1.4447396961837282,1.2003944894840983,1.1130886334115733,1.0040549782162331,0.9746502117905687,122,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,13,2.247737319214263,2.4206401899230525,2.3341887545686575,0.9577907301649313,0.8826677237522396,0.8228636235129823,0.7426729210794938,0.6923540019414838,1.0802579625930013,0.9114893048647802,0.457680869706624,1.8313296137041521,1.15876897417881,0.9777345442914862,0.4909442098609401,1.9644270270051736,1.2117641364100384,1.118234755441342,1.1355282720214344,0.9938015247110095,126,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,14,2.4206401899230525,2.5935430606318417,2.507091625277447,0.7196824784368504,0.7268031622285143,0.6775594796982989,0.6290803243307186,0.5864577362803832,0.9738738543070516,0.9618242388806861,0.5497418184341675,1.368393201118623,1.0446530793683377,1.03172772173122,0.5896959662126177,1.4678453118062276,1.1800312605727157,1.116325250250174,1.0397569030626022,1.0247048480864498,120,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,15,2.5935430606318417,2.7664459313406313,2.6799944959862367,0.5899126474941049,0.6392231784068586,0.5959133733601851,0.5458757147975906,0.5088905559575754,0.9191978369423053,0.8500643581105579,0.5239942816217458,1.3914158158866328,0.9860033172301806,0.9118453539276148,0.5620771493624779,1.4925411646686348,1.1752962672718175,1.127506451611299,0.9914964096872025,0.9676240290576439,148,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,16,2.7664459313406313,2.939348802049421,2.852897366695026,0.5093012746711691,0.5571917071231186,0.5194398467020535,0.46821473681296966,0.4364914050309636,0.9145141861476312,0.8623800969386705,0.49663017625126077,1.323339033781395,0.980979267961681,0.9250561762888314,0.532724274949624,1.4195166967201382,1.208486857134151,1.1239935518310165,0.9997114905050286,0.9594350634024289,162,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,17,2.939348802049421,3.11225167275821,3.0258002374038155,0.47048343450499,0.47908318816753326,0.4466234774098797,0.403451642489949,0.37611625702168583,0.9494082461455782,0.8418859386665298,0.5572207103387863,1.4066136910272573,1.0184093592073855,0.9030725431382247,0.5977184091849491,1.5088435913076634,1.2093293400767708,1.1150094572157312,0.9979710632019289,0.8969924496211423,166,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,18,3.11225167275821,3.2851545434669998,3.198703108112605,0.4042234978347707,0.4180943167601933,0.38976683433827025,0.3563144979303385,0.33217283354462684,0.9310090603068187,0.8599093021079625,0.5399619722301081,1.30766188042884,0.9986729569420153,0.9224058089779408,0.5792053401344703,1.402700158876919,1.1920292457049926,1.1059422762079048,0.9924501953497792,0.931766892690068,176,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,19,3.2851545434669998,3.458057414175789,3.3716059788213943,0.3699900116504484,0.36923477421001066,0.3442177118948679,0.31127637848663103,0.29018621823698215,0.966653846189688,0.8900118332243787,0.3946461420119388,1.5792295651265778,1.0369083353447548,0.9546961325023575,0.4233282428625737,1.6940048456407717,1.210601052624044,1.1129657624054468,1.0307512857987589,0.9749064508881803,190,0.9322461911431078,21.793371475209845,standard_432,1.19013
