residual_mode,space_cells,tau,model,sector,n_entries,rms_z,max_abs_z,rmse_raw
fitted_gls,1,2,no_advection,odd_even,2,0.35934617581329936,0.49592510277698754,0.01056708466167965
fitted_gls,1,2,no_advection,even_odd,2,0.5124427511357112,0.7232996953280477,0.00462442588101085
fitted_gls,1,2,no_advection,all_space_time,8,3.5312438443846,7.164391836205244,0.17033143638009685
fitted_gls,1,2,reversed_advection,odd_odd,2,11.635989750895645,14.773483185296243,0.7076640835650571
fitted_gls,1,2,reversed_advection,even_even,2,0.2295705863871776,0.31412878701433705,0.002665303600565887
fitted_gls,1,2,reversed_advection,odd_even,2,0.2953947892546769,0.4064494758209442,0.008692903912459164
fitted_gls,1,2,reversed_advection,even_odd,2,0.5066409300362958,0.7158742796946886,0.004571633277879681
fitted_gls,1,2,reversed_advection,all_space_time,8,5.82651060349566,14.773483185296243,0.3538686286676575
fitted_gls,1,2,separable_same_margins,odd_odd,2,5.50364337061151,7.094302393144786,0.3332600193488667
fitted_gls,1,2,separable_same_margins,even_even,2,25.889065280100656,26.535265782970104,0.3065020082274328
fitted_gls,1,2,separable_same_margins,odd_even,2,0.5168140727085901,0.7214621561444686,0.015154060931428149
fitted_gls,1,2,separable_same_margins,even_odd,2,2.3815066970684926,2.902097197606407,0.021733827875860205
fitted_gls,1,2,separable_same_margins,all_space_time,8,13.289774851009714,26.535265782970104,0.2267750682839205
fitted_gls,2,1,truth,odd_odd,2,0.7289366577285378,1.0146718682398006,0.06224807839641361
fitted_gls,2,1,truth,even_even,2,0.4152502521670708,0.45032837539189163,0.009511701814605984
fitted_gls,2,1,truth,odd_even,2,0.4667014609796258,0.5096217760323075,0.01140430463482695
fitted_gls,2,1,truth,even_odd,2,0.2185914912530887,0.27655500531911714,0.003282055206295367
fitted_gls,2,1,truth,all_space_time,8,0.4922839416012962,1.0146718682398006,0.03203952943645216
fitted_gls,2,1,fitted,odd_odd,2,0.4915829444888134,0.5251015335886305,0.04026336887731243
fitted_gls,2,1,fitted,even_even,2,0.596429315931524,0.6357873978324433,0.013814451193844487
fitted_gls,2,1,fitted,odd_even,2,0.4680135621370482,0.510450321167667,0.011433605624229733
fitted_gls,2,1,fitted,even_odd,2,0.22066883734757137,0.2791911205119365,0.003313234229133643
fitted_gls,2,1,fitted,all_space_time,8,0.46505729494745457,0.6357873978324433,0.022100242044857582
fitted_gls,2,1,no_advection,odd_odd,2,21.769300707079022,27.499809508156723,1.7500061130232274
fitted_gls,2,1,no_advection,even_even,2,21.480578933784084,23.014171354793536,0.4977337137900654
fitted_gls,2,1,no_advection,odd_even,2,0.3838483320174844,0.4988436437081507,0.009770604110123178
fitted_gls,2,1,no_advection,even_odd,2,0.16914989846827286,0.17525334999109782,0.002603833266227636
fitted_gls,2,1,no_advection,all_space_time,8,15.29292055033884,27.499809508156723,0.9097200792158915
fitted_gls,2,1,reversed_advection,odd_odd,2,43.39461546892384,54.48595770755473,3.4912499662444825
fitted_gls,2,1,reversed_advection,even_even,2,0.6308393943405411,0.7044955617359966,0.014668305304231794
fitted_gls,2,1,reversed_advection,odd_even,2,0.4115818035095638,0.47110228616183464,0.010158365457209268
fitted_gls,2,1,reversed_advection,even_odd,2,0.3208001857299771,0.39970841148040726,0.004825471066911894
fitted_gls,2,1,reversed_advection,all_space_time,8,21.701168876222777,54.48595770755473,1.7456494467348231
fitted_gls,2,1,separable_same_margins,odd_odd,2,21.755077428039154,27.482338320295145,1.748858500878121
fitted_gls,2,1,separable_same_margins,even_even,2,45.90206540105332,46.398948204179156,1.0588866046627654
fitted_gls,2,1,separable_same_margins,odd_even,2,0.3660938605295004,0.49337646628189735,0.009411888605972765
fitted_gls,2,1,separable_same_margins,even_odd,2,0.22110201740831742,0.2992537192554645,0.0034954588970434056
fitted_gls,2,1,separable_same_margins,all_space_time,8,25.399143257201484,46.398948204179156,1.022233791691991
fitted_gls,2,2,truth,odd_odd,2,0.7065460129478542,0.839552939756878,0.08082529764135954
fitted_gls,2,2,truth,even_even,2,0.7382790202046785,0.7913342556976091,0.022462135853831104
fitted_gls,2,2,truth,odd_even,2,0.4929946463468723,0.6770440168015895,0.026565509239829147
fitted_gls,2,2,truth,even_odd,2,0.04008221252630627,0.04816839918099881,0.000925629049812917
fitted_gls,2,2,truth,all_space_time,8,0.5676516284603108,0.839552939756878,0.04399960044204842
fitted_gls,2,2,fitted,odd_odd,2,0.26992914651759303,0.31410084568767654,0.031005173245801078
fitted_gls,2,2,fitted,even_even,2,0.7787678416197554,1.0841302681942346,0.023809458461439552
fitted_gls,2,2,fitted,odd_even,2,0.4926388923705589,0.6763619508590134,0.026548232191972082
fitted_gls,2,2,fitted,even_odd,2,0.03868575861112309,0.04636785817716235,0.000893687176688427
fitted_gls,2,2,fitted,all_space_time,8,0.4805025393991737,1.0841302681942346,0.023631643983850315
fitted_gls,2,2,no_advection,odd_odd,2,6.071860107168932,7.626799328756517,0.686362490493648
fitted_gls,2,2,no_advection,even_even,2,6.99096581073395,7.135711761988763,0.2125591080525156
fitted_gls,2,2,no_advection,odd_even,2,0.5620073266846823,0.7732499867229151,0.03027032872689717
fitted_gls,2,2,no_advection,even_odd,2,0.014744865527120753,0.019177265847285394,0.00033667446439549376
fitted_gls,2,2,no_advection,all_space_time,8,4.638349862132739,7.626799328756517,0.3595800498232812
fitted_gls,2,2,reversed_advection,odd_odd,2,12.491298052509514,15.664172685476615,1.412551846781166
fitted_gls,2,2,reversed_advection,even_even,2,0.778427623024055,1.0855749634901826,0.023800058747139342
fitted_gls,2,2,reversed_advection,odd_even,2,0.4909499028434323,0.6735907095880309,0.026461635929013752
fitted_gls,2,2,reversed_advection,even_odd,2,0.020667938274297745,0.028066222627768457,0.00046857631579779553
fitted_gls,2,2,reversed_advection,all_space_time,8,6.262586038764045,15.664172685476615,0.7065001062245237
fitted_gls,2,2,separable_same_margins,odd_odd,2,6.053313008679884,7.600309598580994,0.6843318499917692
fitted_gls,2,2,separable_same_margins,even_even,2,22.444656578758828,22.86416510441665,0.6824085338645076
fitted_gls,2,2,separable_same_margins,odd_even,2,0.6106342126415457,0.8435500208906082,0.032856036931304795
fitted_gls,2,2,separable_same_margins,even_odd,2,0.7815433527916118,0.8340502612725625,0.01829596411081756
fitted_gls,2,2,separable_same_margins,all_space_time,8,11.633882536296902,22.86416510441665,0.48358188279489955
fitted_gls,4,1,truth,odd_odd,2,0.48437506966718985,0.665532781154963,0.06182823673912067
fitted_gls,4,1,truth,even_even,2,0.8135565585944966,0.8227282020880561,0.03988129965399295
fitted_gls,4,1,truth,odd_even,2,0.6601104089158296,0.857090161045127,0.025833258309446765
fitted_gls,4,1,truth,even_odd,2,0.5106677114321785,0.5665223969108246,0.018682370497684925
fitted_gls,4,1,truth,all_space_time,8,0.631074628234573,0.857090161045127,0.04009250903428126
fitted_gls,4,1,fitted,odd_odd,2,0.2862909254371729,0.3252801258152881,0.03620169356275343
fitted_gls,4,1,fitted,even_even,2,0.8610931962860833,0.8942413656946038,0.042113298973945404
fitted_gls,4,1,fitted,odd_even,2,0.6620098992632271,0.8577856422887409,0.025898798935393534
fitted_gls,4,1,fitted,even_odd,2,0.5145454192934634,0.5722847964139276,0.018816074764438136
fitted_gls,4,1,fitted,all_space_time,8,0.6177495612941077,0.8942413656946038,0.03205029260052582
fitted_gls,4,1,no_advection,odd_odd,2,19.454518405313795,24.281923102932712,2.476794245106136
fitted_gls,4,1,no_advection,even_even,2,23.226332156475205,25.057502125415404,1.1473966069155492
fitted_gls,4,1,no_advection,odd_even,2,0.645679724216226,0.869357364029656,0.025425008217585615
fitted_gls,4,1,no_advection,even_odd,2,0.5187077116442309,0.5688771865159162,0.019012878210191795
fitted_gls,4,1,no_advection,all_space_time,8,15.154427998294679,25.057502125415404,1.364920934224112
fitted_gls,4,1,reversed_advection,odd_odd,2,38.96919322299624,48.802777646049904,4.9616614536349
fitted_gls,4,1,reversed_advection,even_even,2,0.8982471405641463,0.90710084962641,0.044038166447093297
fitted_gls,4,1,reversed_advection,odd_even,2,0.6395008428986371,0.8479386495172699,0.02511501251549164
fitted_gls,4,1,reversed_advection,even_odd,2,0.6885893502596714,0.8016247101603092,0.024974979220498215
fitted_gls,4,1,reversed_advection,all_space_time,8,19.495435266993315,48.802777646049904,2.480991649221694
fitted_gls,4,1,separable_same_margins,odd_odd,2,19.459628825724586,24.288091496150866,2.4774443326505105
fitted_gls,4,1,separable_same_margins,even_even,2,33.37228243888034,34.994467448244855,1.6442557135978257
fitted_gls,4,1,separable_same_margins,odd_even,2,0.6541986013003155,0.8750523146520196,0.025730950041184763
fitted_gls,4,1,separable_same_margins,even_odd,2,0.5171915179953919,0.5670557815965259,0.018958175665240745
fitted_gls,4,1,separable_same_margins,all_space_time,8,19.320208669238035,34.994467448244855,1.4868026741380145
fitted_gls,4,2,truth,odd_odd,2,0.4825383269334602,0.6753449431093287,0.08604095022108448
fitted_gls,4,2,truth,even_even,2,0.59226405016683,0.6490879539581882,0.04670310257600162
fitted_gls,4,2,truth,odd_even,2,0.421715220065196,0.5859790177618577,0.04098219233751083
fitted_gls,4,2,truth,even_odd,2,0.3107007322320541,0.4253593900431985,0.01869640455654338
fitted_gls,4,2,truth,all_space_time,8,0.46314107297991064,0.6753449431093287,0.053882558721033126
fitted_gls,4,2,fitted,odd_odd,2,0.33432196525519287,0.45613149102780276,0.06328337576361262
fitted_gls,4,2,fitted,even_even,2,0.6858326677855083,0.9670867579918387,0.05541335345992223
fitted_gls,4,2,fitted,odd_even,2,0.4221655603648484,0.586889847593741,0.041029513951360334
fitted_gls,4,2,fitted,even_odd,2,0.31260471829007624,0.4280143844464933,0.018810712530777676
fitted_gls,4,2,fitted,all_space_time,8,0.4631638735127304,0.9670867579918387,0.04773020351599524
fitted_gls,4,2,no_advection,odd_odd,2,7.305518005026888,9.001595858180947,1.322500477515915
fitted_gls,4,2,no_advection,even_even,2,8.511355894489649,8.985967667435911,0.6644204064602182
fitted_gls,4,2,no_advection,odd_even,2,0.44626914904020226,0.6032960026509483,0.04316105336098893
fitted_gls,4,2,no_advection,even_odd,2,0.339352696666859,0.4630923645318545,0.020428674811510058
fitted_gls,4,2,no_advection,all_space_time,8,5.615338121844398,9.001595858180947,0.7403955356484075
fitted_gls,4,2,reversed_advection,odd_odd,2,14.59257046740629,18.196263174991586,2.6383792945259397
fitted_gls,4,2,reversed_advection,even_even,2,0.6868709673070252,0.969972476693832,0.05550702237737102
fitted_gls,4,2,reversed_advection,odd_even,2,0.4228311754257506,0.5886038841476252,0.0411040540353764
fitted_gls,4,2,reversed_advection,even_odd,2,0.33875091008680697,0.46312005718213023,0.02038782191106604
fitted_gls,4,2,reversed_advection,all_space_time,8,7.3093851135704995,18.196263174991586,1.3196809782914218
fitted_gls,4,2,separable_same_margins,odd_odd,2,7.3131181284418405,9.011382745733481,1.323869936178635
fitted_gls,4,2,separable_same_margins,even_even,2,15.63621157194994,16.358665209621826,1.221398881279676
fitted_gls,4,2,separable_same_margins,odd_even,2,0.4456191788600391,0.6046782047576041,0.043125810954606714
fitted_gls,4,2,separable_same_margins,even_odd,2,0.6234092481353484,0.7773922108153483,0.03790865455200465
fitted_gls,4,2,separable_same_margins,all_space_time,8,8.639444782891932,16.358665209621826,0.9010748771286023
truth_mean,1,1,truth,odd_odd,2,1.411681601342667,1.972536680634796,0.0674666248344719
truth_mean,1,1,truth,even_even,2,0.5288950434652632,0.6776189039993544,0.004967296199379847
truth_mean,1,1,truth,odd_even,2,0.8025290356291066,1.1014857625286492,0.010644274819582168
truth_mean,1,1,truth,even_odd,2,0.753198082161465,0.9010872200378854,0.004896811577113729
truth_mean,1,1,truth,all_space_time,8,0.9332651170180706,1.972536680634796,0.034328191214162085
truth_mean,1,1,fitted,odd_odd,2,1.0331519609737354,1.3981380883486394,0.049222409156025375
truth_mean,1,1,fitted,even_even,2,0.4241865000424962,0.5945204963752105,0.0039743162597302316
truth_mean,1,1,fitted,odd_even,2,0.8028710504573341,1.101881662327872,0.010649031061983193
truth_mean,1,1,fitted,even_odd,2,0.754811666353127,0.9019371644140719,0.004907072055156492
truth_mean,1,1,fitted,all_space_time,8,0.7844870516151661,1.3981380883486394,0.02537775586793042
truth_mean,1,1,no_advection,odd_odd,2,20.256893826988723,25.511056212078543,0.9291070051407365
truth_mean,1,1,no_advection,even_even,2,15.297892537330496,16.837143177688947,0.14458334678319493
truth_mean,1,1,no_advection,odd_even,2,0.6913913114739936,0.9475236894844227,0.009174463972813107
truth_mean,1,1,no_advection,even_odd,2,0.7341886232331385,0.799035290829156,0.004757066096650146
truth_mean,1,1,no_advection,all_space_time,8,12.70220766718991,25.511056212078543,0.47017309887839565
truth_mean,1,1,reversed_advection,odd_odd,2,40.7456157517129,50.59349695198453,1.871148557613112
truth_mean,1,1,reversed_advection,even_even,2,0.4367874422117238,0.604380811074853,0.004093898155494548
truth_mean,1,1,reversed_advection,odd_even,2,0.7588238648903162,1.048751346453155,0.010042799675024038
truth_mean,1,1,reversed_advection,even_odd,2,0.845800919465933,0.9585058260410925,0.005487777111411077
truth_mean,1,1,reversed_advection,all_space_time,8,20.381898703930926,50.59349695198453,0.9355940169462759
truth_mean,1,1,separable_same_margins,odd_odd,2,20.239788796952872,25.511477341443637,0.9282517416891333
truth_mean,1,1,separable_same_margins,even_even,2,53.80778238583282,54.045794439291775,0.5077912538160329
truth_mean,1,1,separable_same_margins,odd_even,2,0.5213880247336323,0.7128373142790578,0.006923673366879593
truth_mean,1,1,separable_same_margins,even_odd,2,1.1403586232792338,1.5750355860662393,0.007276689353167429
truth_mean,1,1,separable_same_margins,all_space_time,8,28.75108154091087,54.045794439291775,0.5290567410169257
truth_mean,1,2,truth,odd_odd,2,0.9375575918096765,1.0194786359844963,0.06067344089012308
truth_mean,1,2,truth,even_even,2,0.622138937551723,0.8301617645541586,0.00723334586935434
truth_mean,1,2,truth,odd_even,2,0.3001117320331229,0.4177138741932393,0.008809476608839784
truth_mean,1,2,truth,even_odd,2,0.4862358467776111,0.6842713087399539,0.004412473741958687
truth_mean,1,2,truth,all_space_time,8,0.6309840421859748,1.0194786359844963,0.03094618120446421
truth_mean,1,2,fitted,odd_odd,2,0.5562181077247943,0.7083429233877505,0.037109592608859085
truth_mean,1,2,fitted,even_even,2,0.2422088380671361,0.33126897467342803,0.002810530592307348
truth_mean,1,2,fitted,odd_even,2,0.2998529078467281,0.4172492407409021,0.008802486550122295
truth_mean,1,2,fitted,even_odd,2,0.48696089682362087,0.685477970061842,0.004418959040513765
truth_mean,1,2,fitted,all_space_time,8,0.4168592046417431,0.7083429233877505,0.01924858380681944
truth_mean,1,2,no_advection,odd_odd,2,5.548230916275258,7.132878920600836,0.33691451670392686
truth_mean,1,2,no_advection,even_even,2,4.304906850970779,4.546392972468102,0.050771214590350104
truth_mean,1,2,no_advection,odd_even,2,0.362267203323832,0.5041173168053813,0.010634618177810598
truth_mean,1,2,no_advection,even_odd,2,0.5005463233882139,0.7069912175241598,0.004541028341342171
truth_mean,1,2,no_advection,all_space_time,8,3.524800471101494,7.132878920600836,0.17045734351957728
truth_mean,1,2,reversed_advection,odd_odd,2,11.612377100942922,14.707277486668346,0.7079445566968632
truth_mean,1,2,reversed_advection,even_even,2,0.23751269445482057,0.3246342263859929,0.002756184672654845
truth_mean,1,2,reversed_advection,odd_even,2,0.2982052839750558,0.41463762429065426,0.008755973629965655
truth_mean,1,2,reversed_advection,even_odd,2,0.4949035223971798,0.6996055233664253,0.0044895387996197154
truth_mean,1,2,reversed_advection,all_space_time,8,5.814584467148158,14.707277486668346,0.3540091506386204
truth_mean,1,2,separable_same_margins,odd_odd,2,5.492762245446346,7.063109042351572,0.3335266428052695
truth_mean,1,2,separable_same_margins,even_even,2,25.89073157586718,26.53375683752431,0.3064186371806019
truth_mean,1,2,separable_same_margins,odd_even,2,0.5205152932722144,0.7296646180376384,0.015248915822240531
truth_mean,1,2,separable_same_margins,even_odd,2,2.3675367285348865,2.8741334729919643,0.021699585398820345
truth_mean,1,2,separable_same_margins,all_space_time,8,13.288873023606051,26.53375683752431,0.22684565463812925
truth_mean,2,1,truth,odd_odd,2,0.7371193008122644,1.0283867176688894,0.06252684279951375
truth_mean,2,1,truth,even_even,2,0.41721781499229693,0.4541729127425595,0.009547677331271627
truth_mean,2,1,truth,odd_even,2,0.4719304669384999,0.5158409532906938,0.011550519176360928
truth_mean,2,1,truth,even_odd,2,0.23525084794696785,0.290893220954567,0.00355507649691954
truth_mean,2,1,truth,all_space_time,8,0.49886794241098165,1.0283867176688894,0.03219789307951536
truth_mean,2,1,fitted,odd_odd,2,0.4999064091576479,0.5323481595202187,0.04094454018371794
truth_mean,2,1,fitted,even_even,2,0.5980899854196781,0.6354096175005326,0.013844565599208864
truth_mean,2,1,fitted,odd_even,2,0.47324067057897645,0.5166678956013682,0.011579789869830544
truth_mean,2,1,fitted,even_odd,2,0.23731745952217137,0.29351602222406037,0.0035862186107426404
truth_mean,2,1,fitted,all_space_time,8,0.4711407320165337,0.6354096175005326,0.022444820476227683
truth_mean,2,1,no_advection,odd_odd,2,21.703940549749003,27.347807104648385,1.7503370007714196
truth_mean,2,1,no_advection,even_even,2,21.490224428753738,23.004253313538307,0.49776354209002494
truth_mean,2,1,no_advection,odd_even,2,0.38905595446022784,0.5050836713171214,0.009917662072458922
truth_mean,2,1,no_advection,even_odd,2,0.18843743873302227,0.19856791797673234,0.0029107134846363698
truth_mean,2,1,no_advection,all_space_time,8,15.273159910356306,27.347807104648385,0.9098839201207852
truth_mean,2,1,reversed_advection,odd_odd,2,43.265320769555125,54.17463873561022,3.491573218374092
truth_mean,2,1,reversed_advection,even_even,2,0.6323465515194577,0.7040884900212737,0.014696158826736659
truth_mean,2,1,reversed_advection,odd_even,2,0.41688593503460486,0.47739597956494584,0.010305606614567085
truth_mean,2,1,reversed_advection,even_odd,2,0.3372896924706603,0.41342463039453126,0.005101816893075433
truth_mean,2,1,reversed_advection,all_space_time,8,21.636632141308365,54.17463873561022,1.7458115412620272
truth_mean,2,1,separable_same_margins,odd_odd,2,21.68975484098551,27.330439060432063,1.7491894115243238
truth_mean,2,1,separable_same_margins,even_even,2,45.92667625608206,46.37906086070774,1.0589188864031378
truth_mean,2,1,separable_same_margins,odd_even,2,0.3711968450366031,0.49962707017278923,0.009557119466627136
truth_mean,2,1,separable_same_margins,even_odd,2,0.24007292370243638,0.32256338923491534,0.0037937040203223954
truth_mean,2,1,separable_same_margins,all_space_time,8,25.396360364722966,46.37906086070774,1.0223842888186376
truth_mean,2,2,truth,odd_odd,2,0.6984873292897489,0.825089978770088,0.08003802868212832
truth_mean,2,2,truth,even_even,2,0.7362338181822897,0.784991777397182,0.02238878441367713
truth_mean,2,2,truth,odd_even,2,0.5030742300857802,0.6943419854214566,0.02708547416705869
truth_mean,2,2,truth,even_odd,2,0.037815199574909114,0.04990024231982428,0.0008651906994362298
truth_mean,2,2,truth,all_space_time,8,0.5666653453558127,0.825089978770088,0.043708452182169816
truth_mean,2,2,fitted,odd_odd,2,0.2625953951631689,0.30206358964117463,0.03023011941093981
truth_mean,2,2,fitted,even_even,2,0.7752696955727079,1.0784113474794765,0.0236547116244517
truth_mean,2,2,fitted,odd_even,2,0.5027053022443477,0.693659787271832,0.027067472555420212
truth_mean,2,2,fitted,even_odd,2,0.036418556951600414,0.04810805633800263,0.0008330974058157342
truth_mean,2,2,fitted,all_space_time,8,0.48063457393047526,1.0784113474794765,0.02348801621817844
truth_mean,2,2,no_advection,odd_odd,2,6.066024677501719,7.602178093951242,0.6871787939632277
truth_mean,2,2,no_advection,even_even,2,6.986329906276515,7.142880686001032,0.21237184101956397
truth_mean,2,2,no_advection,odd_even,2,0.5721410727237715,0.790566603257203,0.0307943490072358
truth_mean,2,2,no_advection,even_odd,2,0.014977087194979904,0.021043636084755814,0.00033903693753204286
truth_mean,2,2,no_advection,all_space_time,8,4.635003523936951,7.602178093951242,0.35995308743210536
truth_mean,2,2,reversed_advection,odd_odd,2,12.471818420929155,15.602447599571704,1.4133673080091116
truth_mean,2,2,reversed_advection,even_even,2,0.7748998512711597,1.0798591194932494,0.023644122240401248
truth_mean,2,2,reversed_advection,odd_even,2,0.5009860516481092,0.6908880088421878,0.026979197620584993
truth_mean,2,2,reversed_advection,even_odd,2,0.02120629811354328,0.02989134557932239,0.0004797670009948943
truth_mean,2,2,reversed_advection,all_space_time,8,6.2529625225798675,15.602447599571704,0.7069112920208
truth_mean,2,2,separable_same_margins,odd_odd,2,6.0475626210336175,7.575810651364024,0.6851479461346994
truth_mean,2,2,separable_same_margins,even_even,2,22.44317684622524,22.904830373918333,0.682221373847071
truth_mean,2,2,separable_same_margins,odd_even,2,0.620953094773996,0.860880263907972,0.033390598329808945
truth_mean,2,2,separable_same_margins,even_odd,2,0.7825475740777217,0.8282246728014966,0.01840063427458423
truth_mean,2,2,separable_same_margins,all_space_time,8,11.632574565179755,22.904830373918333,0.4838148474429323
truth_mean,4,1,truth,odd_odd,2,0.4801135753735891,0.6524003619223524,0.06173428613865824
truth_mean,4,1,truth,even_even,2,0.815263919468196,0.819962817985335,0.03994844035824824
truth_mean,4,1,truth,odd_even,2,0.6799663734469331,0.888315163948685,0.026707370978538553
truth_mean,4,1,truth,even_odd,2,0.5402960817895787,0.5872726072463043,0.019928576581968428
truth_mean,4,1,truth,all_space_time,8,0.6421523239583428,0.888315163948685,0.04036530627059242
truth_mean,4,1,fitted,odd_odd,2,0.26966179096827686,0.30292171689658687,0.03406672733364
truth_mean,4,1,fitted,even_even,2,0.8627494869153031,0.8916285544293612,0.042172881760081306
truth_mean,4,1,fitted,odd_even,2,0.6818145317985317,0.8890088616620706,0.026771381533901673
truth_mean,4,1,fitted,even_odd,2,0.5441073434594869,0.592995246057368,0.02006078586777106
truth_mean,4,1,fitted,all_space_time,8,0.6280879746617961,0.8916285544293612,0.03185214225935466
truth_mean,4,1,no_advection,odd_odd,2,19.349557161073456,24.075752712076657,2.4763688808514046
truth_mean,4,1,no_advection,even_even,2,23.245669800097556,25.058760464933833,1.1474874356337903
truth_mean,4,1,no_advection,odd_even,2,0.6664073360741468,0.9005509082453772,0.026326399561118104
truth_mean,4,1,no_advection,even_odd,2,0.5484888088560138,0.5896111487477622,0.020265262246500125
truth_mean,4,1,no_advection,all_space_time,8,15.128710003630765,25.058760464933833,1.3647558398074746
truth_mean,4,1,reversed_advection,odd_odd,2,38.75954307236096,48.381054521798255,4.961249726479977
truth_mean,4,1,reversed_advection,even_even,2,0.9000415188156362,0.9045154739807518,0.044105605037282024
truth_mean,4,1,reversed_advection,odd_even,2,0.6598888127199092,0.8791871210586871,0.026004823007037783
truth_mean,4,1,reversed_advection,even_odd,2,0.7162291299091326,0.8207527090073647,0.0261873154849509
truth_mean,4,1,reversed_advection,all_space_time,8,19.39111066523447,48.381054521798255,2.480791515787113
truth_mean,4,1,separable_same_margins,odd_odd,2,19.35464496382496,24.081866881490477,2.4770189320351457
truth_mean,4,1,separable_same_margins,even_even,2,33.40179491570597,34.993677566382516,1.6443381463598257
truth_mean,4,1,separable_same_margins,odd_even,2,0.6747494781361413,0.9062312544241605,0.02662732351900902
truth_mean,4,1,separable_same_margins,even_odd,2,0.5469853814374342,0.5878023115651348,0.02021072019467291
truth_mean,4,1,separable_same_margins,all_space_time,8,19.306971960488436,34.993677566382516,1.4866563335891698
truth_mean,4,2,truth,odd_odd,2,0.47582157318945334,0.6698922363602915,0.08508135023969328
truth_mean,4,2,truth,even_even,2,0.5890425441121012,0.6465977739017289,0.0464049516589309
truth_mean,4,2,truth,odd_even,2,0.4447011622750406,0.6127414697301913,0.043653591473348866
truth_mean,4,2,truth,even_odd,2,0.3235951370073049,0.4382625524012643,0.01958105376649238
truth_mean,4,2,truth,all_space_time,8,0.46793435028593794,0.6698922363602915,0.0540400532295384
truth_mean,4,2,fitted,odd_odd,2,0.3121425926453001,0.4245174573171646,0.05867331389360305
truth_mean,4,2,fitted,even_even,2,0.6848151977676313,0.9658297727079285,0.0551206388003025
