residual_mode,axis,sign,space_cells,tau,empirical_variance,jackknife_se,empirical_mean,n_rectangles,n_spatial_blocks,truth,z_truth,fitted,z_fitted,no_advection,z_no_advection,reversed_advection,z_reversed_advection,separable_same_margins,z_separable_same_margins
fitted_gls,lon,1,4,2,5.720431687379946,0.07651392059294441,0.010089816303753841,93412,300,5.774822435966579,-0.7108608233002759,5.723134301064352,-0.035321855989888136,4.694897804039878,13.403232711024295,5.721134859000878,-0.00919011358302042,3.859059751750255,24.327232498413288
truth_mean,lat,-1,1,1,1.902930684500792,0.011505538231190026,-0.00010513178352774176,114776,300,1.9075639613411994,-0.40269970403011307,1.9063948874626173,-0.30109003961537856,1.7073827091630251,16.99598675076857,1.9065385348809343,-0.31357510684392004,1.1379500183674238,66.48803826140046
truth_mean,lat,1,1,1,1.902930684500792,0.011624793300809894,0.00010513178352774176,114776,300,1.9075639613411994,-0.39856853541512655,1.9063948874626173,-0.29800125233916275,1.7073827091630251,16.82163031011856,1.9065385348809343,-0.3103582392205513,1.1379500183674238,65.80595855240475
truth_mean,lon,-1,1,1,1.887846095552562,0.011419331161208007,-0.0012132127871870718,114118,300,1.892782628422039,-0.4322961476278636,1.887123540916274,0.06327468974211457,1.648020661629501,21.001705838758667,1.8864125414170516,0.12553748685214014,1.110498020434734,68.07299518193459
truth_mean,lon,1,1,1,1.887846095552562,0.011392613169752984,0.0012132127871870718,114118,300,1.892782628422039,-0.43330996988323744,1.887123540916274,0.06342308173916206,1.648020661629501,21.05095910390337,1.8864125414170516,0.12583189775252124,1.110498020434734,68.23264017966149
truth_mean,lat,-1,1,2,1.9536003239086495,0.012605334617392331,0.0003258719639553648,96985,300,1.963363923488414,-0.7745609201276616,1.95967567577022,-0.4819667264673858,1.8850388662713176,5.439082715244511,1.9596736490639208,-0.4818059448332011,1.4814327646979255,37.457756857897785
truth_mean,lat,1,1,2,1.9536003239086495,0.013395526998440906,-0.0003258719639553648,96985,300,1.963363923488414,-0.7288701355983118,1.95967567577022,-0.453535860312006,1.8850388662713176,5.1182351874108205,1.9596736490639208,-0.453384563069317,1.4814327646979255,35.248151063088386
truth_mean,lon,-1,1,2,1.885028980725738,0.011410576772529372,-0.0023097307710797897,96341,300,1.9037684870805383,-1.6422926490372476,1.8951191142666728,-0.8842790107881651,1.8106082202313794,6.522085778654462,1.8950166196878684,-0.8752965920333872,1.4542612213871338,37.751620091252974
truth_mean,lon,1,1,2,1.8850289807257379,0.011854307268171091,0.0023097307710797897,96341,300,1.9037684870805383,-1.580818341457716,1.8951191142666728,-0.8511786739345788,1.8106082202313794,6.277951027486766,1.8950166196878684,-0.8425324851286247,1.4542612213871338,36.33850123787654
truth_mean,lat,-1,2,1,3.2981242911552284,0.02752571617113582,-6.70142352482165e-05,112594,300,3.2948972004532506,0.11723911857239189,3.291436713528276,0.24295744333675673,2.648891021768717,23.586426066084137,3.2916200332606986,0.23629749918551912,1.7883069863197143,54.851154296895196
truth_mean,lat,1,2,1,3.2981242911552284,0.027775541642852643,6.70142352482165e-05,112594,280,3.2948972004532506,0.11618461823257406,3.291436713528276,0.24077217693694422,2.648891021768717,23.374279347440766,3.2916200332606986,0.2341721352607181,1.7883069863197143,54.357798823485005
truth_mean,lon,-1,2,1,3.3943916520454804,0.028870199635180144,-0.0016558209694598814,112828,300,3.3931887701905885,0.041665172741865535,3.383926619801215,0.362485621038558,2.5830198044780373,28.104130134893,3.381479784572058,0.44723859331018984,1.7378750571633417,57.37807898160737
truth_mean,lon,1,2,1,3.3943916520454804,0.028803465811977392,0.0016558209694598814,112828,300,3.3931887701905885,0.04176170544003519,3.383926619801215,0.3633254523111498,2.5830198044780373,28.16924368976629,3.381479784572058,0.4482747860173535,1.7378750571633417,57.511016406689045
truth_mean,lat,-1,2,2,3.5025601579705548,0.03275244714958409,0.0029916717606490776,94956,300,3.5197339076089045,-0.5243501213791838,3.5063258432712434,-0.11497416615895456,3.229092587165129,8.349530939061399,3.506307134797102,-0.11440295772204043,2.510599775772296,30.28660355264034
truth_mean,lat,1,2,2,3.502560157970555,0.03228158038431788,-0.0029916717606490776,94956,280,3.5197339076089045,-0.5319984162452016,3.5063258432712434,-0.11665120653502929,3.229092587165129,8.471319171792295,3.506307134797102,-0.11607166631677791,2.510599775772296,30.72837111407795
truth_mean,lon,-1,2,2,3.4291338427092564,0.03018519309290514,-0.006687640274277486,95112,300,3.4614151539801026,-1.0694419337153007,3.4393748164672675,-0.33927143439139446,3.121091905564614,10.20506763685557,3.43894302732316,-0.3249667671070505,2.4366589161382346,32.87952883111745
truth_mean,lon,1,2,2,3.4291338427092564,0.030474623470849994,0.006687640274277486,95112,300,3.4614151539801026,-1.0592849917152998,3.4393748164672675,-0.3360492301999064,3.121091905564614,10.10814579675759,3.43894302732316,-0.32188042038603926,2.4366589161382346,32.56725805063211
truth_mean,lat,-1,4,1,4.911510728797742,0.0562622263964487,-0.00023953602778028983,109953,300,4.883517917600868,0.4975418320566368,4.878489769729187,0.5869117022827085,3.4441624984598254,26.08052194732444,4.877593876712595,0.6028352281360801,2.7006702474340165,39.2952896279852
truth_mean,lat,1,4,1,4.911510728797743,0.0549858121996515,0.00023953602778028983,109953,280,4.883517917600868,0.5090915288335536,4.878489769729187,0.6005359882410725,3.4441624984598254,26.685942639349022,4.877593876712595,0.6168291551645535,2.7006702474340165,40.20747158078241
truth_mean,lon,-1,4,1,5.311004661064898,0.06176739988460499,-0.0035498287168001,110997,300,5.259480243792509,0.8341684670011776,5.257782948449859,0.8616472882858823,3.4010264046698686,30.92210874932872,5.253386813977676,0.9328196944482836,2.6311399765847567,43.3863929756913
truth_mean,lon,1,4,1,5.311004661064897,0.06282602807691293,0.0035498287168001,110997,300,5.259480243792509,0.8201126006137236,5.257782948449859,0.8471283995525343,3.4010264046698686,30.4010664824584,5.253386813977676,0.917101539773984,2.6311399765847567,42.65532561121633
truth_mean,lat,-1,4,2,5.671026169085659,0.0777979881743688,0.004811359237303794,92614,300,5.688699361517146,-0.22716773076285796,5.65018975215581,0.26782719474889555,4.797161332852577,11.232486298675063,5.65002649625929,0.2699256538524107,3.966657099366383,21.907623959366013
truth_mean,lat,1,4,2,5.671026169085657,0.07630582165853854,-0.004811359237303794,92614,280,5.688699361517146,-0.23161001411628443,5.65018975215581,0.2730645772099565,4.797161332852577,11.452138476976819,5.65002649625929,0.2752040718510105,3.966657099366383,22.33602931826312
truth_mean,lon,-1,4,2,5.72041884066332,0.07718515151957436,-0.01009016119139915,93412,300,5.774822435966579,-0.7048453521460276,5.723134301064352,-0.03518112418738418,4.694897804039878,13.286506749466788,5.721134859000878,-0.00927663317958599,3.859059751750255,24.11550735170895
truth_mean,lon,1,4,2,5.720418840663319,0.07651400121820018,0.01009016119139915,93412,300,5.774822435966579,-0.7110279744502362,5.723134301064352,-0.035489718976912936,4.694897804039878,13.403050687401546,5.721134859000878,-0.009358004105899853,3.859059751750255,24.327038963821792
