residual_mode,tau,dr,dc,h_lat,h_lon,n_pairs,source,covariance,correlation,semivariogram,log_correlation_interaction,cross_variogram_asymmetry
fitted_gls,2,4,-6,0.17600000000000016,-0.3780000000000143,93151,no_advection,1.4930718032736936,0.1530762315263911,8.26070765932224,0.7257322728402327,-0.0024066611199291543
fitted_gls,2,4,-6,0.17600000000000016,-0.3780000000000143,93151,reversed_advection,0.3413721743198853,0.034998963799518834,9.412407288276048,0.1389220258695707,3.108534194858814
fitted_gls,2,4,-6,0.17600000000000016,-0.3780000000000143,93151,separable_same_margins,0.7266684436455869,0.07450121734167103,9.027111018950347,0.07594259143389381,-0.0009916788950281585
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,empirical,2.9433807318152967,0.31037256184270795,6.594801984912755,2.4499697471356767,-2.944030903911549
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,truth,3.5173719155752594,0.3517371915575259,6.482628084424741,2.1737783842971012,-3.0585113665280996
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,fitted,3.311072626649258,0.339465602984633,6.442706835946675,2.2424352207392566,-2.90725690090645
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,no_advection,1.7173164783528758,0.17606677339163646,8.036462984243057,0.6953086763092422,-0.002884661808396416
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,reversed_advection,0.4042966754094772,0.041450258021506994,9.349482787186457,0.13774680568595965,2.901522018586274
fitted_gls,2,4,-5,0.17600000000000016,-0.31500000000001194,93827,separable_same_margins,0.8614774109773814,0.0883224204813118,8.892302051618552,0.07577024268243693,-0.0012687345842987696
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,empirical,2.6747141226943802,0.2820423010466388,6.864724410125792,2.188183757305646,-2.5404648439404784
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,truth,3.2627858157419705,0.32627858157419704,6.737214184258029,1.9453736458188822,-2.724744784711328
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,fitted,3.0501238747294037,0.31271199912055675,6.703655587866529,2.0037947329078194,-2.574645227125175
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,no_advection,1.9427801532400157,0.19918229243240979,7.810999309355918,0.6621153077320452,-0.0032756339191308825
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,reversed_advection,0.47602986571364714,0.048804657470382616,9.277749596882286,0.1445279485024733,2.5725570146113697
fitted_gls,2,4,-4,0.17600000000000016,-0.25200000000000955,94455,separable_same_margins,1.0071553999269,0.10325796310949698,8.746624062669033,0.07545610912377487,-0.0015466938344701475
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,empirical,2.3494264080160794,0.2477414781019979,7.183476989417323,1.916785418111066,-2.071008803077121
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,truth,2.9321636516309626,0.29321636516309624,7.067836348369037,1.7044432499084194,-2.3055601649981385
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,fitted,2.7233766053630966,0.27921244434598685,7.030402857232836,1.753574479002481,-2.1673252391933993
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,no_advection,2.153140656582975,0.22074936847197535,7.600638806012958,0.6280122797100973,-0.0036452323831266398
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,reversed_advection,0.5567451429171372,0.057079939632852995,9.197034319678796,0.16424437636510114,2.168066595279857
fitted_gls,2,4,-3,0.17600000000000016,-0.18900000000000716,95117,separable_same_margins,1.1544500323300337,0.11835925107361214,8.599329430265898,0.07503969680673883,-0.0019102475388308449
