model,loss,steps,time_s,rmsre,mae_zero_true,sigmasq_est,range_lat_est,range_lon_est,range_time_est,advec_lat_est,advec_lon_est,nugget_est,natural,raw,iter,n1,n2,p_total,init_sigmasq,init_range_lon,init_advec_lat,init_advec_lon,init_nugget
DW_2110,2.062,4,45.57677674293518,0.08527055105388404,,11.105038985581762,0.32325247910018334,0.4364801407798203,2.1596748226161004,0.06984630863386261,-0.12055487510701622,2.4917945521883342,"sigmasq: 11.1050, range_lat: 0.3233, range_lon: 0.4365, range_time: 2.1597, advec_lat: 0.0698, advec_lon: -0.1206, nugget: 2.4918","log_phi1: 3.2364, log_phi2: 0.8290, log_phi3: 0.6006, log_phi4: -3.1979, advec_lat: 0.0698, advec_lon: -0.1206, log_nugget: 0.9130",11,113,158,8,7.622188504110747,0.45464843315221143,0.010042845447038887,-0.23002874608559146,1.3470467050855996
DW_Gradient,-65.23,4,88.27621817588806,0.037971750813449466,,10.64442764360293,0.3083977700979685,0.4151417002245424,2.083232152723518,0.07702690130587121,-0.12288671661356951,2.4996183480759386,"sigmasq: 10.6444, range_lat: 0.3084, range_lon: 0.4151, range_time: 2.0832, advec_lat: 0.0770, advec_lon: -0.1229, nugget: 2.4996","log_phi1: 3.2442, log_phi2: 0.8791, log_phi3: 0.5945, log_phi4: -3.2261, advec_lat: 0.0770, advec_lon: -0.1229, log_nugget: 0.9161",11,113,158,16,7.622188504110747,0.45464843315221143,0.010042845447038887,-0.23002874608559146,1.3470467050855996
DW_2110,2.01,4,43.67522978782654,0.04116438151544231,,10.123532474094308,0.28903501734735154,0.4028651694885716,1.9629077724745936,0.08310059646259776,-0.1374730751028121,2.466050201802043,"sigmasq: 10.1235, range_lat: 0.2890, range_lon: 0.4029, range_time: 1.9629, advec_lat: 0.0831, advec_lon: -0.1375, nugget: 2.4661","log_phi1: 3.2240, log_phi2: 0.9092, log_phi3: 0.6641, log_phi4: -3.1672, advec_lat: 0.0831, advec_lon: -0.1375, log_nugget: 0.9026",12,113,158,8,11.581664492043659,0.3693037713003956,0.1804865230931311,-0.2938456483665172,2.1929163791150312
DW_Gradient,-65.331,4,83.20189905166626,0.07891667140517163,,9.396225564876387,0.26851618937572513,0.36595237881015985,1.8325510357700787,0.08599330493524,-0.13792892699497972,2.474368656067693,"sigmasq: 9.3962, range_lat: 0.2685, range_lon: 0.3660, range_time: 1.8326, advec_lat: 0.0860, advec_lon: -0.1379, nugget: 2.4744","log_phi1: 3.2456, log_phi2: 1.0053, log_phi3: 0.6192, log_phi4: -3.2219, advec_lat: 0.0860, advec_lon: -0.1379, log_nugget: 0.9060",12,113,158,16,11.581664492043659,0.3693037713003956,0.1804865230931311,-0.2938456483665172,2.1929163791150312
DW_2110,1.93,4,43.48308563232422,0.05305825695970938,,9.768392587688071,0.29684119749591104,0.4064448674851841,2.0383534743368292,0.08529413286686549,-0.14092607376299782,2.510976756924432,"sigmasq: 9.7684, range_lat: 0.2968, range_lon: 0.4064, range_time: 2.0384, advec_lat: 0.0853, advec_lon: -0.1409, nugget: 2.5110","log_phi1: 3.1795, log_phi2: 0.9003, log_phi3: 0.6285, log_phi4: -3.2249, advec_lat: 0.0853, advec_lon: -0.1409, log_nugget: 0.9207",13,113,158,8,9.100369256123559,0.7100941323500913,0.08033432803307633,-0.30123470023256316,1.5559265534998064
DW_Gradient,-65.601,4,86.52633810043335,0.046162993266543266,,9.500787167575057,0.291387667003318,0.40017208442525865,1.9938104234752188,0.08047232505734772,-0.1395215170565746,2.515820729860198,"sigmasq: 9.5008, range_lat: 0.2914, range_lon: 0.4002, range_time: 1.9938, advec_lat: 0.0805, advec_lon: -0.1395, nugget: 2.5158","log_phi1: 3.1672, log_phi2: 0.9159, log_phi3: 0.6345, log_phi4: -3.2118, advec_lat: 0.0805, advec_lon: -0.1395, log_nugget: 0.9226",13,113,158,16,9.100369256123559,0.7100941323500913,0.08033432803307633,-0.30123470023256316,1.5559265534998064
DW_2110,2.011,4,46.15787982940674,0.0723797384892311,,9.45012900534237,0.27248660725703044,0.36275861566444223,1.8532617175217838,0.07340539035417878,-0.1179418781224487,2.456641935386942,"sigmasq: 9.4501, range_lat: 0.2725, range_lon: 0.3628, range_time: 1.8533, advec_lat: 0.0734, advec_lon: -0.1179, nugget: 2.4566","log_phi1: 3.2600, log_phi2: 1.0140, log_phi3: 0.5723, log_phi4: -3.2619, advec_lat: 0.0734, advec_lon: -0.1179, log_nugget: 0.8988",14,113,158,8,14.193936016380503,0.4313180535825162,0.035780035377084934,-0.3338244406646851,3.000222228948012
DW_Gradient,-65.442,4,82.6528069972992,0.027090166531844078,,9.976224394176269,0.29822706420942635,0.39995561063411256,2.0229465214575324,0.07834139418802552,-0.11751645860836021,2.4966587232550883,"sigmasq: 9.9762, range_lat: 0.2982, range_lon: 0.4000, range_time: 2.0229, advec_lat: 0.0783, advec_lon: -0.1175, nugget: 2.4967","log_phi1: 3.2166, log_phi2: 0.9164, log_phi3: 0.5870, log_phi4: -3.2419, advec_lat: 0.0783, advec_lon: -0.1175, log_nugget: 0.9150",14,113,158,16,14.193936016380503,0.4313180535825162,0.035780035377084934,-0.3338244406646851,3.000222228948012
DW_2110,1.934,4,44.11600399017334,0.13957074995341742,,11.5208204235606,0.3519314719647605,0.4701149749817602,2.4403576696290257,0.08508772800262102,-0.12554265155452748,2.495259369726525,"sigmasq: 11.5208, range_lat: 0.3519, range_lon: 0.4701, range_time: 2.4404, advec_lat: 0.0851, advec_lon: -0.1255, nugget: 2.4953","log_phi1: 3.1989, log_phi2: 0.7548, log_phi3: 0.5791, log_phi4: -3.2938, advec_lat: 0.0851, advec_lon: -0.1255, log_nugget: 0.9144",15,113,158,8,3.068339775540704,0.20951761495086937,0.23013644075127165,0.014490455598760471,1.8013000927131058
DW_Gradient,-65.474,4,85.36699604988098,0.12272072272461533,,11.257775116997669,0.3443820444558002,0.4650569379683266,2.3782552298356054,0.08571381471935148,-0.12372279392331091,2.5204233455954785,"sigmasq: 11.2578, range_lat: 0.3444, range_lon: 0.4651, range_time: 2.3783, advec_lat: 0.0857, advec_lon: -0.1237, nugget: 2.5204","log_phi1: 3.1867, log_phi2: 0.7656, log_phi3: 0.6008, log_phi4: -3.2639, advec_lat: 0.0857, advec_lon: -0.1237, log_nugget: 0.9244",15,113,158,16,3.068339775540704,0.20951761495086937,0.23013644075127165,0.014490455598760471,1.8013000927131058
