hour_index,day_index,hour_slot,hour_utc,hour,month,method,nugget_mode,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,nll,message,n_eval,raw_params,n_restarts,n,n_fit,n_initial_fit,fit_method,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,source_file,pre_qc_loss,pre_qc_nll,hour_utc_dt
25,4,1,1,2024-07-04T01:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988,-0.502,123.5345,126.023,-1.745,124.77875,6.181946,0.161846,0.2176,0.586903,1.296479,28.409712,4.595594,1.807653,2.486352,True,2.013235,3619.797272,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,114,"[3.3467310642391594, 1.525097943563713, 0.5920293757707987, -1.2706602673573495, 0.2596517914205715]",1,1798,1798,1798,full_likelihood,10.0,1798,0,1798,4.718842,False,True,h025_20240704T0100Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000001
55,7,7,7,2024-07-07T07:00:00Z,2024-07,full_likelihood,free,4,1,0,-0.502,1.984,121.046,123.5345,0.741,122.29025,13.520368,0.266261,0.46636,0.585817,1.653113,28.991278,2.144267,3.0678,3.677005,True,2.099848,4558.769685,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; whitened_outlier_qc |r|>10 removed 1/2172,102,"[3.3669950380917237, 0.7627977675084717, 1.1209606281773965, -1.2732526754057705, 0.5026602012774894]",1,2172,2171,2172,full_likelihood,10.0,2172,1,2171,14.241297,True,True,h055_20240707T0700Z_full_likelihood_free_tiles.csv,2.160589,4692.798822,1970-01-01 00:00:00.000000007
35,5,3,3,2024-07-05T03:00:00Z,2024-07,full_likelihood,free,7,1,3,-0.502,1.984,128.5115,131.0,0.741,129.75575,20.143696,0.139426,0.177148,0.583939,0.000259,113.710982,5.644991,1.614305,4.488173,True,2.321352,5016.442665,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204,"[4.733659985357227, 1.7307685902575989, 0.4789042780585461, -1.2777442964217798, -8.256983424287458]",1,2161,2161,2161,full_likelihood,10.0,2161,0,2161,4.894399,False,True,h035_20240705T0300Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000003
52,7,4,4,2024-07-07T04:00:00Z,2024-07,full_likelihood,free,5,1,1,-0.502,1.984,123.5345,126.023,0.741,124.77875,8.937148,0.073627,0.139437,0.574455,1.555935,64.094618,7.171708,3.586586,2.989506,True,2.322733,5295.830337,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84,"[4.160360402536256, 1.9701438779858447, 1.2772006656922152, -1.3006052494943716, 0.44207640543495014]",1,2280,2280,2280,full_likelihood,10.0,2280,0,2280,5.762183,False,True,h052_20240707T0400Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000004
29,4,5,5,2024-07-04T05:00:00Z,2024-07,full_likelihood,free,6,1,2,-0.502,1.984,126.023,128.5115,0.741,127.26725,14.143979,0.148663,0.190437,0.573398,1.837298,74.271117,5.251077,1.640963,3.760848,True,2.358514,4846.745316,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,"[4.307722134877866, 1.658433104311339, 0.4952829681649196, -1.3031700042535357, 0.6082958227446421]",1,2055,2055,2055,full_likelihood,10.0,2055,0,2055,4.794682,False,True,h029_20240704T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
24,4,0,0,2024-07-04T00:00:00Z,2024-07,full_likelihood,free,3,0,3,-2.988,-0.502,128.5115,131.0,-1.745,129.75575,16.271304,0.242377,0.377732,0.569136,1.357369,43.076266,2.647376,2.428773,4.03377,True,2.164056,4150.658726,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,102,"[3.762972177760577, 0.9735691128831161, 0.8873861172536882, -1.3135560544014442, 0.30554829158640184]",1,1918,1918,1918,full_likelihood,10.0,1918,0,1918,5.446586,False,True,h024_20240704T0000Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000000
29,4,5,5,2024-07-04T05:00:00Z,2024-07,full_likelihood,free,5,1,1,-0.502,1.984,123.5345,126.023,0.741,124.77875,15.584965,0.126527,0.148156,0.567019,0.000304,105.192989,6.749646,1.371101,3.94778,True,2.270759,5113.749639,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204,"[4.655796657124864, 1.9094900030673485, 0.3156142926287084, -1.31873882405313, -8.098007343102145]",1,2252,2252,2252,full_likelihood,10.0,2252,0,2252,3.987443,False,True,h029_20240704T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
34,5,2,2,2024-07-05T02:00:00Z,2024-07,full_likelihood,free,7,1,3,-0.502,1.984,128.5115,131.0,0.741,129.75575,19.564215,0.172181,0.22727,0.559963,0.000382,86.083595,4.400054,1.742253,4.423145,True,2.215007,4713.534914,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,222,"[4.455318858609391, 1.4816167169133412, 0.5551791241481535, -1.3361235319264517, -7.871365282575857]",1,2128,2128,2128,full_likelihood,10.0,2128,0,2128,4.566133,False,True,h034_20240705T0200Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000002
61,8,5,5,2024-07-08T05:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988,-0.502,126.023,128.5115,-1.745,127.26725,14.957955,0.155939,0.115077,0.553575,0.000248,129.982594,8.689864,0.54458,3.867552,True,2.241922,4773.05193,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,246,"[4.867400550796942, 2.162157280559218, -0.607739594349943, -1.3520175324616373, -8.300327395703551]",1,2129,2129,2129,full_likelihood,10.0,2129,0,2129,5.399566,False,True,h061_20240708T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
29,4,5,5,2024-07-04T05:00:00Z,2024-07,full_likelihood,free,4,1,0,-0.502,1.984,121.046,123.5345,0.741,122.29025,19.546916,0.165465,0.217352,0.551919,0.000101,89.932015,4.600829,1.725496,4.421189,True,2.239547,5081.532594,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,216,"[4.4990539955583095, 1.5262364626198692, 0.5455143049165245, -1.3561609070249527, -9.197820497213545]",1,2269,2269,2269,full_likelihood,10.0,2269,0,2269,4.522622,False,True,h029_20240704T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
